"","tokenlabel","cluster"
"方案/Na/XIN_CMN_20030418_wpr/61053","方案/Na/XIN_CMN_20030418_wpr/61053",1
"计划/Na/XIN_CMN_20030809_wpr/35377","计划/Na/XIN_CMN_20030809_wpr/35377",1
"计划/Na/XIN_CMN_20030913_wpr/2028","计划/Na/XIN_CMN_20030913_wpr/2028",1
"计划/Na/XIN_CMN_20030911_wpr/64977","计划/Na/XIN_CMN_20030911_wpr/64977",1
"计划/Na/XIN_CMN_20030821_wpr/67903","计划/Na/XIN_CMN_20030821_wpr/67903",1
"计划/Na/XIN_CMN_20030421_wpr/54331","计划/Na/XIN_CMN_20030421_wpr/54331",1
"计划/Na/XIN_CMN_20030512_wpr/63847","计划/Na/XIN_CMN_20030512_wpr/63847",1
"计划/Na/XIN_CMN_20030622_wpr/52017","计划/Na/XIN_CMN_20030622_wpr/52017",1
"计划/Na/XIN_CMN_20030624_wpr/64113","计划/Na/XIN_CMN_20030624_wpr/64113",1
"计划/Na/XIN_CMN_20030520_wpr/59919","计划/Na/XIN_CMN_20030520_wpr/59919",1
"计划/Na/XIN_CMN_20030517_wpr/59114","计划/Na/XIN_CMN_20030517_wpr/59114",1
"计划/Na/XIN_CMN_20030715_wpr/57818","计划/Na/XIN_CMN_20030715_wpr/57818",1
"计划/Na/XIN_CMN_20030503_wpr/60782","计划/Na/XIN_CMN_20030503_wpr/60782",1
"计划/Na/XIN_CMN_20030804_wpr/59631","计划/Na/XIN_CMN_20030804_wpr/59631",1
"计划/Na/XIN_CMN_20030806_wpr/52646","计划/Na/XIN_CMN_20030806_wpr/52646",1
"计划/Na/XIN_CMN_20030723_wpr/46646","计划/Na/XIN_CMN_20030723_wpr/46646",1
"计划/Na/XIN_CMN_20030527_wpr/55946","计划/Na/XIN_CMN_20030527_wpr/55946",1
"计划/Na/XIN_CMN_20030708_wpr/55100","计划/Na/XIN_CMN_20030708_wpr/55100",1
"计划/Na/XIN_CMN_20030527_wpr/55745","计划/Na/XIN_CMN_20030527_wpr/55745",1
"计划/Na/XIN_CMN_20030717_wpr/61931","计划/Na/XIN_CMN_20030717_wpr/61931",1
"计划/Na/XIN_CMN_20030604_wpr/26615","计划/Na/XIN_CMN_20030604_wpr/26615",1
"计划/Na/XIN_CMN_20030525_wpr/42289","计划/Na/XIN_CMN_20030525_wpr/42289",1
"计划/Na/XIN_CMN_20030517_wpr/60215","计划/Na/XIN_CMN_20030517_wpr/60215",1
"计划/Na/CNA_CMN_20001130_wpr/157476","计划/Na/CNA_CMN_20001130_wpr/157476",2
