"","tokenlabel","cluster"
"实力/Na/XIN_CMN_20001203_wpr/1778","实力/Na/XIN_CMN_20001203_wpr/1778",1
"实力/Na/XIN_CMN_20030907_wpr/39749","实力/Na/XIN_CMN_20030907_wpr/39749",1
"实力/Na/XIN_CMN_20030612_wpr/16408","实力/Na/XIN_CMN_20030612_wpr/16408",1
"实力/Na/XIN_CMN_20001105_wpr/4247","实力/Na/XIN_CMN_20001105_wpr/4247",1
"实力/Na/XIN_CMN_20001123_wpr/881","实力/Na/XIN_CMN_20001123_wpr/881",1
"能力/Na/ZBN_CMN_20030605_wpr/46194","能力/Na/ZBN_CMN_20030605_wpr/46194",1
"能力/Na/XIN_CMN_20001226_wpr/12225","能力/Na/XIN_CMN_20001226_wpr/12225",1
"实力/Na/ZBN_CMN_20030922_wpr/48563","实力/Na/ZBN_CMN_20030922_wpr/48563",1
"实力/Na/XIN_CMN_20030916_wpr/21795","实力/Na/XIN_CMN_20030916_wpr/21795",1
"实力/Na/ZBN_CMN_20010130_wpr/37289","实力/Na/ZBN_CMN_20010130_wpr/37289",1
"能力/Na/XIN_CMN_20030802_wpr/37903","能力/Na/XIN_CMN_20030802_wpr/37903",1
"实力/Na/XIN_CMN_20030523_wpr/55601","实力/Na/XIN_CMN_20030523_wpr/55601",1
"能力/Na/ZBN_CMN_20001220_wpr/11960","能力/Na/ZBN_CMN_20001220_wpr/11960",1
"能力/Na/XIN_CMN_20030830_wpr/40688","能力/Na/XIN_CMN_20030830_wpr/40688",1
"能力/Na/ZBN_CMN_20030622_wpr/35685","能力/Na/ZBN_CMN_20030622_wpr/35685",1
"能力/Na/XIN_CMN_20010128_wpr/20992","能力/Na/XIN_CMN_20010128_wpr/20992",1
"能力/Na/ZBN_CMN_20030411_wpr/54495","能力/Na/ZBN_CMN_20030411_wpr/54495",1
"能力/Na/ZBN_CMN_20030627_wpr/63330","能力/Na/ZBN_CMN_20030627_wpr/63330",1
"能力/Na/ZBN_CMN_20001219_wpr/30506","能力/Na/ZBN_CMN_20001219_wpr/30506",1
"能力/Na/XIN_CMN_20030602_wpr/23077","能力/Na/XIN_CMN_20030602_wpr/23077",1
"能力/Na/XIN_CMN_20030401_wpr/49958","能力/Na/XIN_CMN_20030401_wpr/49958",1
"能力/Na/XIN_CMN_20001018_wpr/61602","能力/Na/XIN_CMN_20001018_wpr/61602",1
"能力/Na/ZBN_CMN_20030823_wpr/62703","能力/Na/ZBN_CMN_20030823_wpr/62703",1
"能力/Na/ZBN_CMN_20030711_wpr/67434","能力/Na/ZBN_CMN_20030711_wpr/67434",1
"能力/Na/XIN_CMN_20001031_wpr/6862","能力/Na/XIN_CMN_20001031_wpr/6862",1
"能力/Na/XIN_CMN_20001018_wpr/53905","能力/Na/XIN_CMN_20001018_wpr/53905",1
"能力/Na/XIN_CMN_20001203_wpr/25642","能力/Na/XIN_CMN_20001203_wpr/25642",1
"实力/Na/XIN_CMN_20001126_wpr/5729","实力/Na/XIN_CMN_20001126_wpr/5729",1
"实力/Na/ZBN_CMN_20030804_wpr/44224","实力/Na/ZBN_CMN_20030804_wpr/44224",2
"能力/Na/ZBN_CMN_20030606_wpr/58703","能力/Na/ZBN_CMN_20030606_wpr/58703",2
"实力/Na/ZBN_CMN_20030727_wpr/35166","实力/Na/ZBN_CMN_20030727_wpr/35166",2
"实力/Na/XIN_CMN_20030502_wpr/68369","实力/Na/XIN_CMN_20030502_wpr/68369",2
"实力/Na/XIN_CMN_20001221_wpr/73264","实力/Na/XIN_CMN_20001221_wpr/73264",2
"实力/Na/ZBN_CMN_20030809_wpr/15301","实力/Na/ZBN_CMN_20030809_wpr/15301",2
"实力/Na/XIN_CMN_20030519_wpr/50009","实力/Na/XIN_CMN_20030519_wpr/50009",2
"实力/Na/ZBN_CMN_20030601_wpr/16300","实力/Na/ZBN_CMN_20030601_wpr/16300",2
"实力/Na/XIN_CMN_20001006_wpr/1236","实力/Na/XIN_CMN_20001006_wpr/1236",2
"实力/Na/ZBN_CMN_20030406_wpr/76490","实力/Na/ZBN_CMN_20030406_wpr/76490",2
"实力/Na/XIN_CMN_20010127_wpr/26757","实力/Na/XIN_CMN_20010127_wpr/26757",2
"实力/Na/ZBN_CMN_20030424_wpr/4159","实力/Na/ZBN_CMN_20030424_wpr/4159",2
"能力/Na/ZBN_CMN_20030815_wpr/30317","能力/Na/ZBN_CMN_20030815_wpr/30317",2
"能力/Na/ZBN_CMN_20030505_wpr/19027","能力/Na/ZBN_CMN_20030505_wpr/19027",2
"能力/Na/ZBN_CMN_20030604_wpr/9041","能力/Na/ZBN_CMN_20030604_wpr/9041",2
"实力/Na/XIN_CMN_20010108_wpr/64835","实力/Na/XIN_CMN_20010108_wpr/64835",2
"实力/Na/XIN_CMN_20001027_wpr/3289","实力/Na/XIN_CMN_20001027_wpr/3289",2
"实力/Na/XIN_CMN_20030728_wpr/24084","实力/Na/XIN_CMN_20030728_wpr/24084",2
"实力/Na/XIN_CMN_20030912_wpr/76281","实力/Na/XIN_CMN_20030912_wpr/76281",2
"实力/Na/XIN_CMN_20030822_wpr/72283","实力/Na/XIN_CMN_20030822_wpr/72283",2
"实力/Na/XIN_CMN_20030503_wpr/65740","实力/Na/XIN_CMN_20030503_wpr/65740",2
"实力/Na/XIN_CMN_20001018_wpr/75","实力/Na/XIN_CMN_20001018_wpr/75",2
"实力/Na/XIN_CMN_20030612_wpr/30992","实力/Na/XIN_CMN_20030612_wpr/30992",2
"实力/Na/XIN_CMN_20001015_wpr/217","实力/Na/XIN_CMN_20001015_wpr/217",2
"实力/Na/XIN_CMN_20001122_wpr/30944","实力/Na/XIN_CMN_20001122_wpr/30944",2
"实力/Na/CNA_CMN_20001001_wpr/81740","实力/Na/CNA_CMN_20001001_wpr/81740",2
"实力/Na/ZBN_CMN_20010121_wpr/33097","实力/Na/ZBN_CMN_20010121_wpr/33097",2
"实力/Na/XIN_CMN_20001029_wpr/38013","实力/Na/XIN_CMN_20001029_wpr/38013",2
"实力/Na/XIN_CMN_20030624_wpr/37827","实力/Na/XIN_CMN_20030624_wpr/37827",2
"实力/Na/XIN_CMN_20030829_wpr/36682","实力/Na/XIN_CMN_20030829_wpr/36682",2
"实力/Na/ZBN_CMN_20030904_wpr/8409","实力/Na/ZBN_CMN_20030904_wpr/8409",2
"实力/Na/ZBN_CMN_20030805_wpr/14040","实力/Na/ZBN_CMN_20030805_wpr/14040",2
"实力/Na/XIN_CMN_20030916_wpr/59000","实力/Na/XIN_CMN_20030916_wpr/59000",2
"实力/Na/XIN_CMN_20010107_wpr/4780","实力/Na/XIN_CMN_20010107_wpr/4780",2
"实力/Na/CNA_CMN_20001127_wpr/145165","实力/Na/CNA_CMN_20001127_wpr/145165",2
"实力/Na/ZBN_CMN_20030824_wpr/11769","实力/Na/ZBN_CMN_20030824_wpr/11769",2
"实力/Na/XIN_CMN_20001004_wpr/5858","实力/Na/XIN_CMN_20001004_wpr/5858",2
"实力/Na/ZBN_CMN_20030909_wpr/52827","实力/Na/ZBN_CMN_20030909_wpr/52827",2
"实力/Na/ZBN_CMN_20030731_wpr/52995","实力/Na/ZBN_CMN_20030731_wpr/52995",2
"实力/Na/ZBN_CMN_20001016_wpr/30667","实力/Na/ZBN_CMN_20001016_wpr/30667",2
"实力/Na/XIN_CMN_20001224_wpr/14229","实力/Na/XIN_CMN_20001224_wpr/14229",2
"实力/Na/ZBN_CMN_20030524_wpr/11376","实力/Na/ZBN_CMN_20030524_wpr/11376",2
"实力/Na/ZBN_CMN_20030413_wpr/18042","实力/Na/ZBN_CMN_20030413_wpr/18042",2
"实力/Na/ZBN_CMN_20030731_wpr/7928","实力/Na/ZBN_CMN_20030731_wpr/7928",2
"实力/Na/XIN_CMN_20030728_wpr/17303","实力/Na/XIN_CMN_20030728_wpr/17303",2
"实力/Na/XIN_CMN_20001020_wpr/57197","实力/Na/XIN_CMN_20001020_wpr/57197",2
"实力/Na/ZBN_CMN_20001219_wpr/29001","实力/Na/ZBN_CMN_20001219_wpr/29001",2
"实力/Na/ZBN_CMN_20030605_wpr/47410","实力/Na/ZBN_CMN_20030605_wpr/47410",2
"实力/Na/ZBN_CMN_20030618_wpr/48541","实力/Na/ZBN_CMN_20030618_wpr/48541",2
"实力/Na/CNA_CMN_20001107_wpr/46372","实力/Na/CNA_CMN_20001107_wpr/46372",2
"实力/Na/XIN_CMN_20030915_wpr/43023","实力/Na/XIN_CMN_20030915_wpr/43023",2
"实力/Na/ZBN_CMN_20030619_wpr/42468","实力/Na/ZBN_CMN_20030619_wpr/42468",2
"实力/Na/XIN_CMN_20030827_wpr/16340","实力/Na/XIN_CMN_20030827_wpr/16340",2
"能力/Na/XIN_CMN_20010111_wpr/59980","能力/Na/XIN_CMN_20010111_wpr/59980",2
"实力/Na/ZBN_CMN_20030807_wpr/44395","实力/Na/ZBN_CMN_20030807_wpr/44395",2
"实力/Na/XIN_CMN_20001020_wpr/5612","实力/Na/XIN_CMN_20001020_wpr/5612",2
"实力/Na/ZBN_CMN_20030715_wpr/65446","实力/Na/ZBN_CMN_20030715_wpr/65446",2
"实力/Na/ZBN_CMN_20030529_wpr/51402","实力/Na/ZBN_CMN_20030529_wpr/51402",2
"实力/Na/ZBN_CMN_20030911_wpr/59647","实力/Na/ZBN_CMN_20030911_wpr/59647",2
"实力/Na/ZBN_CMN_20030820_wpr/12634","实力/Na/ZBN_CMN_20030820_wpr/12634",2
"实力/Na/ZBN_CMN_20030823_wpr/7588","实力/Na/ZBN_CMN_20030823_wpr/7588",2
"实力/Na/XIN_CMN_20010121_wpr/2912","实力/Na/XIN_CMN_20010121_wpr/2912",2
"能力/Na/XIN_CMN_20030909_wpr/16313","能力/Na/XIN_CMN_20030909_wpr/16313",2
"实力/Na/ZBN_CMN_20030930_wpr/51928","实力/Na/ZBN_CMN_20030930_wpr/51928",2
"能力/Na/XIN_CMN_20001126_wpr/21149","能力/Na/XIN_CMN_20001126_wpr/21149",2
"实力/Na/ZBN_CMN_20030720_wpr/23766","实力/Na/ZBN_CMN_20030720_wpr/23766",2
"实力/Na/XIN_CMN_20001215_wpr/12677","实力/Na/XIN_CMN_20001215_wpr/12677",2
"实力/Na/ZBN_CMN_20030421_wpr/48227","实力/Na/ZBN_CMN_20030421_wpr/48227",2
"实力/Na/XIN_CMN_20010129_wpr/4753","实力/Na/XIN_CMN_20010129_wpr/4753",2
"实力/Na/XIN_CMN_20001225_wpr/20475","实力/Na/XIN_CMN_20001225_wpr/20475",2
"实力/Na/XIN_CMN_20030526_wpr/58337","实力/Na/XIN_CMN_20030526_wpr/58337",2
"实力/Na/CNA_CMN_20001125_wpr/19822","实力/Na/CNA_CMN_20001125_wpr/19822",2
"实力/Na/XIN_CMN_20030523_wpr/58027","实力/Na/XIN_CMN_20030523_wpr/58027",2
"能力/Na/CNA_CMN_20001211_wpr/17091","能力/Na/CNA_CMN_20001211_wpr/17091",3
"实力/Na/CNA_CMN_20010119_wpr/109972","实力/Na/CNA_CMN_20010119_wpr/109972",3
"能力/Na/CNA_CMN_20001011_wpr/13013","能力/Na/CNA_CMN_20001011_wpr/13013",3
"实力/Na/CNA_CMN_20030521_wpr/2915","实力/Na/CNA_CMN_20030521_wpr/2915",3
"能力/Na/XIN_CMN_20030914_wpr/46205","能力/Na/XIN_CMN_20030914_wpr/46205",3
"能力/Na/CNA_CMN_20001024_wpr/42192","能力/Na/CNA_CMN_20001024_wpr/42192",3
"能力/Na/XIN_CMN_20030513_wpr/56283","能力/Na/XIN_CMN_20030513_wpr/56283",3
"能力/Na/CNA_CMN_20010110_wpr/41531","能力/Na/CNA_CMN_20010110_wpr/41531",3
"能力/Na/ZBN_CMN_20030730_wpr/62046","能力/Na/ZBN_CMN_20030730_wpr/62046",3
"能力/Na/XIN_CMN_20001216_wpr/5505","能力/Na/XIN_CMN_20001216_wpr/5505",3
"能力/Na/CNA_CMN_20010110_wpr/127481","能力/Na/CNA_CMN_20010110_wpr/127481",3
"能力/Na/ZBN_CMN_20030727_wpr/2172","能力/Na/ZBN_CMN_20030727_wpr/2172",3
"能力/Na/XIN_CMN_20001116_wpr/12095","能力/Na/XIN_CMN_20001116_wpr/12095",3
"能力/Na/CNA_CMN_20010118_wpr/78892","能力/Na/CNA_CMN_20010118_wpr/78892",3
"能力/Na/ZBN_CMN_20030901_wpr/73835","能力/Na/ZBN_CMN_20030901_wpr/73835",3
"能力/Na/ZBN_CMN_20030406_wpr/37281","能力/Na/ZBN_CMN_20030406_wpr/37281",3
"能力/Na/CNA_CMN_20001115_wpr/53210","能力/Na/CNA_CMN_20001115_wpr/53210",3
"能力/Na/ZBN_CMN_20030522_wpr/16205","能力/Na/ZBN_CMN_20030522_wpr/16205",3
