"cluster"	"sigcol"
"2"	"女子"
"2"	"选手"
"2"	"首屈一指"
"6"	"新秀"
"6"	"灵魂人物"
"6"	"个个"
"6"	"得奖比"
"6"	"端赖"
"6"	"评审"
"6"	"鼓励"
"6"	"强化"
"6"	"提升"
"6"	"竞技"
"6"	"确立"
"6"	"整合"
"6"	"见长"
"6"	"特质"
"6"	"佳绩"
"6"	"场遇到"
"6"	"伯仲"
"8"	"有"
"8"	"军事"
"8"	"高科技"
"8"	"具有"
"8"	"军事"
"2"	"队"
"2"	"队"
"2"	"相当"
"2"	"坚强"
"2"	"竞赛"
"4"	"水准"
"4"	"证明"
"4"	"自己"
"4"	"还是"
"4"	"宝刀未老"
"4"	"港股"
"6"	"亲民党"
"6"	"秉持"
"6"	"菁英"
"6"	"候选人"
"2"	"有"
"2"	"整体"
"2"	"组"
"2"	"球队"
"2"	"战绩"
"2"	"分析"
"6"	"飘"
"6"	"飘"
"6"	"歌手"
"6"	"郑怡"
"6"	"演唱"
"6"	"有"
"6"	"充分"
"6"	"展现"
"6"	"整顿"
"6"	"拓展"
"6"	"深厚"
"6"	"优势"
"6"	"伯仲"
"6"	"之间"
"6"	"黄永煌"
"6"	"有"
"6"	"股利"
"6"	"经营"
"6"	"股利"
"6"	"加强"
"6"	"太"
"6"	"太"
"6"	"歌唱"
"6"	"葛妮丝派"
"6"	"楚"
"6"	"相"
"3"	"看涨"
"3"	"有"
"3"	"宝座"
"3"	"有"
"3"	"出马"
"3"	"很"
"3"	"好手"
"3"	"很"
"3"	"有"
"3"	"赶上"
"6"	"强化"
"6"	"防卫"
"6"	"保障"
"6"	"台海"
"3"	"保全党"
"3"	"有"
"6"	"经济"
"6"	"更"
"6"	"排上"
"2"	"竞争"
"2"	"对手"
"2"	"比赛"
"2"	"托齐娅"
"2"	"毕竟"
"2"	"强大"
"8"	"基础"
"8"	"有"
"8"	"活力"
"8"	"有"
"8"	"专长"
"6"	"鼓励"
"6"	"有"
"6"	"企业"
"6"	"经济"
"6"	"基础"
"2"	"比赛"
"2"	"冠军"
"2"	"日本队"
"2"	"初显"
"2"	"击败"
"2"	"卫冕"
"2"	"沙特阿拉伯队"
"8"	"竞争"
"8"	"批"
"8"	"具有"
"8"	"企业"
"8"	"吸引"
"2"	"冠军"
"2"	"日本队"
"2"	"相比"
"2"	"中亚"
"2"	"劲旅"
"2"	"乌兹别克"
"2"	"斯坦队"
"2"	"稍"
"2"	"逊"
"2"	"一筹"
"2"	"较量"
"2"	"运动员"
"2"	"比赛"
"2"	"显示出"
"2"	"俗"
"2"	"97"
"2"	"比赛"
"2"	"队伍"
"2"	"保存"
"2"	"四分之一"
"2"	"决赛"
"8"	"经济"
"8"	"壮大"
"8"	"经济"
"8"	"加强"
"8"	"基础"
"2"	"冠军"
"2"	"福建队"
"2"	"首日"
"2"	"出场"
"2"	"显出"
"2"	"强劲"
"2"	"轻取"
"2"	"东道主"
"2"	"四川"
"2"	"预赛"
"2"	"显得"
"2"	"超强"
"1"	"队"
"1"	"实力"
"1"	"中国队"
"1"	"不相上下"
"1"	"强"
"1"	"比赛"
"2"	"夺得"
"2"	"靠"
"2"	"虽然"
"1"	"看"
"1"	"斯巴达"
"1"	"克队"
"1"	"强"
"1"	"拜仁慕尼黑队"
"1"	"出线"
"1"	"批"
"1"	"名将"
"1"	"总体"
"1"	"明显"
"1"	"强"
"1"	"江苏队"
"1"	"江苏队"
"1"	"主力"
"1"	"绝对"
"1"	"优势"
"1"	"主场战"
"1"	"略"
"1"	"强"
"1"	"自己"
"1"	"夺得"
"8"	"竞争"
"8"	"增强"
"8"	"自身"
"8"	"竞争"
"2"	"决赛"
"2"	"队"
"2"	"整体"
"2"	"公认"
"2"	"队"
"8"	"具有"
"8"	"有"
"8"	"能力"
"8"	"竞"
"8"	"争"
"8"	"经济"
"8"	"不断"
"8"	"增强"
"8"	"分析家"
"8"	"增强"
"8"	"经济"
"8"	"财政"
"2"	"取胜"
"2"	"凭借"
"2"	"防守"
"2"	"强大"
"2"	"内线"
"2"	"钢队"
"2"	"主场"
"2"	"73"
"2"	"大胜"
"6"	"经济"
"6"	"经济"
"6"	"相"
"6"	"匹敌"
"2"	"对"
"2"	"对手"
"2"	"相比"
"2"	"整体"
"2"	"尤其"
"2"	"表现力"
"2"	"仍然"
"2"	"有"
"2"	"较为"
"2"	"明显"
"2"	"增强"
"2"	"整体"
"2"	"提高"
"2"	"办学"
"2"	"支"
"2"	"甲"
"2"	"球队"
"2"	"沈军"
"2"	"队"
"2"	"垫底"
"6"	"有"
"6"	"闻名"
"6"	"科"
"6"	"工农业"
"6"	"基础"
"6"	"雄厚"
"6"	"具有"
"2"	"强劲"
"2"	"俄罗斯队"
"2"	"果然"
"8"	"影视业"
"8"	"壮大"
"8"	"增强"
"8"	"活力"
"8"	"提高"
"8"	"竞争力"
"8"	"不断"
"8"	"增强"
"8"	"资本"
"5"	"信息技术"
"5"	"具备"
"5"	"强劲"
"2"	"罚"
"2"	"江苏队"
"2"	"削"
"2"	"弱"
"2"	"比赛"
"2"	"法兰克福队"
"2"	"明晚"
"2"	"主场"
"2"	"迎战"
"2"	"强大"
"2"	"科隆队"
"2"	"有"
"2"	"选手"
"2"	"削弱"
"2"	"整体"
"2"	"影响"
"8"	"具有"
"8"	"拉美"
"8"	"经济"
"6"	"阅"
"6"	"经济"
"2"	"均衡"
"2"	"阿根廷队"
"2"	"凭借"
"2"	"自己"
"2"	"强大"
"2"	"上半场"
"2"	"亚洲区"
"2"	"日本队"
"2"	"缅甸队"
"2"	"比赛"
"2"	"不济"
"2"	"缅甸队"
"2"	"在下"
"8"	"积累"
"8"	"基础"
"8"	"总体"
"2"	"乒坛"
"2"	"有"
"2"	"强大"
"2"	"地位"
"2"	"对手"
"6"	"有"
"6"	"经济"
"6"	"企业"
"1"	"孔令辉"
"1"	"强"
"1"	"比赛"
"1"	"打到"
"2"	"龙虎斗"
"2"	"双方"
"2"	"整体"
"2"	"差"
"2"	"男队"
"2"	"虽然"
"2"	"整体"
"2"	"还是"
"2"	"优势"
"6"	"经济"
"6"	"托"
"1"	"选手"
"1"	"比较"
"1"	"强"
"1"	"中国队"
"1"	"参赛"
"2"	"斯洛文尼亚"
"2"	"队"
"2"	"预赛"
"2"	"冠军"
"2"	"不容"
"2"	"中国队"
"2"	"出线"
"6"	"出众"
"6"	"企业"
"3"	"有"
"3"	"零售"
"3"	"企业"
"3"	"有"
"3"	"企业"
"3"	"入驻"
"2"	"蛙泳"
"2"	"突出"
"2"	"齐晖"
"2"	"杨雨"
"4"	"看"
"4"	"还是"
"4"	"高人一筹"
"4"	"毕竟"
"2"	"男队"
"2"	"发挥"
"2"	"自身"
"2"	"年轻"
"2"	"女队"
"2"	"锻炼"
"2"	"队伍"
