"","tokenlabel","cluster"
"事故/Na/XIN_CMN_20030731_wpr/27604","事故/Na/XIN_CMN_20030731_wpr/27604",1
"事故/Na/CNA_CMN_20001210_wpr/75912","事故/Na/CNA_CMN_20001210_wpr/75912",1
"事故/Na/XIN_CMN_20001210_wpr/10225","事故/Na/XIN_CMN_20001210_wpr/10225",1
"事故/Na/CNA_CMN_20001209_wpr/100460","事故/Na/CNA_CMN_20001209_wpr/100460",1
"事故/Na/XIN_CMN_20030428_wpr/45072","事故/Na/XIN_CMN_20030428_wpr/45072",1
"事故/Na/ZBN_CMN_20030815_wpr/6199","事故/Na/ZBN_CMN_20030815_wpr/6199",1
"事故/Na/XIN_CMN_20030929_wpr/12074","事故/Na/XIN_CMN_20030929_wpr/12074",1
"事故/Na/XIN_CMN_20001117_wpr/5268","事故/Na/XIN_CMN_20001117_wpr/5268",1
"事故/Na/XIN_CMN_20030629_wpr/31269","事故/Na/XIN_CMN_20030629_wpr/31269",1
"事故/Na/CNA_CMN_20001103_wpr/39048","事故/Na/CNA_CMN_20001103_wpr/39048",1
"事故/Na/CNA_CMN_20001201_wpr/58318","事故/Na/CNA_CMN_20001201_wpr/58318",1
"事故/Na/XIN_CMN_20030823_wpr/29544","事故/Na/XIN_CMN_20030823_wpr/29544",1
"事故/Na/XIN_CMN_20030824_wpr/16173","事故/Na/XIN_CMN_20030824_wpr/16173",1
"事故/Na/XIN_CMN_20030611_wpr/17016","事故/Na/XIN_CMN_20030611_wpr/17016",1
"事故/Na/XIN_CMN_20030531_wpr/27708","事故/Na/XIN_CMN_20030531_wpr/27708",1
"事故/Na/XIN_CMN_20030531_wpr/44098","事故/Na/XIN_CMN_20030531_wpr/44098",1
"事故/Na/XIN_CMN_20030604_wpr/31705","事故/Na/XIN_CMN_20030604_wpr/31705",1
"事故/Na/XIN_CMN_20030529_wpr/11482","事故/Na/XIN_CMN_20030529_wpr/11482",1
"事故/Na/CNA_CMN_20010121_wpr/45320","事故/Na/CNA_CMN_20010121_wpr/45320",1
"事故/Na/CNA_CMN_20010128_wpr/48982","事故/Na/CNA_CMN_20010128_wpr/48982",1
"事故/Na/XIN_CMN_20030826_wpr/17575","事故/Na/XIN_CMN_20030826_wpr/17575",1
