"","tokenlabel","cluster"
"条例/Na/CNA_CMN_20001124_wpr/60971","条例/Na/CNA_CMN_20001124_wpr/60971",1
"条例/Na/CNA_CMN_20001106_wpr/62016","条例/Na/CNA_CMN_20001106_wpr/62016",1
"条例/Na/XIN_CMN_20001108_wpr/26641","条例/Na/XIN_CMN_20001108_wpr/26641",1
"条例/Na/XIN_CMN_20010101_wpr/66447","条例/Na/XIN_CMN_20010101_wpr/66447",1
"条例/Na/XIN_CMN_20030813_wpr/52700","条例/Na/XIN_CMN_20030813_wpr/52700",1
"条例/Na/XIN_CMN_20030728_wpr/15549","条例/Na/XIN_CMN_20030728_wpr/15549",1
"法规/Na/XIN_CMN_20030801_wpr/71085","法规/Na/XIN_CMN_20030801_wpr/71085",1
"条例/Na/XIN_CMN_20001016_wpr/79978","条例/Na/XIN_CMN_20001016_wpr/79978",1
"条例/Na/XIN_CMN_20001025_wpr/34827","条例/Na/XIN_CMN_20001025_wpr/34827",1
"条例/Na/XIN_CMN_20030714_wpr/50099","条例/Na/XIN_CMN_20030714_wpr/50099",1
"条例/Na/XIN_CMN_20030608_wpr/15381","条例/Na/XIN_CMN_20030608_wpr/15381",1
"条例/Na/ZBN_CMN_20030709_wpr/40388","条例/Na/ZBN_CMN_20030709_wpr/40388",1
"条例/Na/ZBN_CMN_20030911_wpr/41091","条例/Na/ZBN_CMN_20030911_wpr/41091",1
"条例/Na/XIN_CMN_20030409_wpr/49859","条例/Na/XIN_CMN_20030409_wpr/49859",1
"条例/Na/XIN_CMN_20030409_wpr/49884","条例/Na/XIN_CMN_20030409_wpr/49884",1
"条例/Na/XIN_CMN_20030930_wpr/61422","条例/Na/XIN_CMN_20030930_wpr/61422",1
"条例/Na/XIN_CMN_20030523_wpr/43492","条例/Na/XIN_CMN_20030523_wpr/43492",1
"条例/Na/XIN_CMN_20001023_wpr/37487","条例/Na/XIN_CMN_20001023_wpr/37487",1
"条例/Na/XIN_CMN_20030623_wpr/21255","条例/Na/XIN_CMN_20030623_wpr/21255",1
"条例/Na/XIN_CMN_20030701_wpr/16804","条例/Na/XIN_CMN_20030701_wpr/16804",1
"条例/Na/XIN_CMN_20010101_wpr/19502","条例/Na/XIN_CMN_20010101_wpr/19502",1
"条例/Na/XIN_CMN_20030612_wpr/26271","条例/Na/XIN_CMN_20030612_wpr/26271",1
"条例/Na/XIN_CMN_20030604_wpr/38170","条例/Na/XIN_CMN_20030604_wpr/38170",1
"条例/Na/XIN_CMN_20030807_wpr/13270","条例/Na/XIN_CMN_20030807_wpr/13270",1
"条例/Na/XIN_CMN_20030425_wpr/45253","条例/Na/XIN_CMN_20030425_wpr/45253",1
"条例/Na/XIN_CMN_20030922_wpr/25261","条例/Na/XIN_CMN_20030922_wpr/25261",1
"条例/Na/XIN_CMN_20010107_wpr/8945","条例/Na/XIN_CMN_20010107_wpr/8945",1
"条例/Na/XIN_CMN_20001101_wpr/18986","条例/Na/XIN_CMN_20001101_wpr/18986",1
