"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_6"	"exp_7"	"exp_8"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_6"	"pbin_7"	"pbin_8"	"SumAbsDev"	"LargestDev"
"、"	0	0	0	3	0	0	6	40	4.037	9.818	3.43	14.771	1.257	2.928	4.051	8.709	-1.829	-4.758	-1.544	-4.398	-0.553	-1.311	0.665	21.441	36.499	"8"
"﹑"	0	0	0	1	0	0	0	0	0.082	0.2	0.07	0.301	0.026	0.06	0.083	0.178	-0.037	-0.097	-0.032	0.521	-0.011	-0.027	-0.037	-0.085	0.847	"4"
";"	0	0	0	3	0	0	0	3	0.494	1.202	0.42	1.809	0.154	0.358	0.496	1.066	-0.224	-0.583	-0.189	0.588	-0.068	-0.161	-0.225	1.134	3.172	"8"
"“"	0	0	0	1	8	0	0	0	0.741	1.803	0.63	2.713	0.231	0.538	0.744	1.6	-0.336	-0.874	-0.284	-0.713	11.783	-0.241	-0.337	-0.765	15.333	"5"
"（"	0	1	1	1	0	0	0	0	0.247	0.601	0.21	0.904	0.077	0.179	0.248	0.533	-0.112	0.311	0.709	0.181	-0.034	-0.08	-0.112	-0.255	1.794	"3"
")"	0	0	0	0	7	0	0	0	0.577	1.403	0.49	2.11	0.18	0.418	0.579	1.244	-0.261	-0.68	-0.221	-1.091	11.137	-0.187	-0.262	-0.595	14.434	"5"
"）"	0	1	2	1	0	0	0	0	0.33	0.801	0.28	1.206	0.103	0.239	0.331	0.711	-0.149	0.228	1.573	-0.188	-0.045	-0.107	-0.15	-0.34	2.78	"3"
"《"	34	9	0	0	0	0	0	0	3.542	8.616	3.01	12.962	1.103	2.569	3.555	7.642	28.437	0.299	-1.355	-6.699	-0.485	-1.15	-1.612	-3.654	43.691	"1"
"》"	35	11	1	3	0	1	2	4	4.696	11.421	3.99	17.183	1.462	3.406	4.713	10.131	23.201	-0.281	-1.073	-5.453	-0.643	-0.86	-0.855	-1.749	34.115	"1"
"「"	0	22	1	3	0	21	1	1	4.037	9.818	3.43	14.771	1.257	2.928	4.051	8.709	-1.829	4.14	-0.873	-4.398	-0.553	12.819	-1.103	-3.1	28.815	"6"
"」"	0	23	1	5	0	21	2	1	4.366	10.619	3.71	15.977	1.359	3.167	4.382	9.42	-1.979	4.019	-0.972	-3.515	-0.598	12.009	-0.757	-3.409	27.258	"6"
"00"	0	0	0	0	0	1	0	0	0.082	0.2	0.07	0.301	0.026	0.06	0.083	0.178	-0.037	-0.097	-0.032	-0.156	-0.011	1.224	-0.037	-0.085	1.679	"6"
"106"	0	0	0	1	0	0	0	0	0.082	0.2	0.07	0.301	0.026	0.06	0.083	0.178	-0.037	-0.097	-0.032	0.521	-0.011	-0.027	-0.037	-0.085	0.847	"4"
"10周年"	1	0	0	0	0	0	0	0	0.082	0.2	0.07	0.301	0.026	0.06	0.083	0.178	1.084	-0.097	-0.032	-0.156	-0.011	-0.027	-0.037	-0.085	1.529	"1"
"1日"	1	0	0	0	0	0	0	0	0.082	0.2	0.07	0.301	0.026	0.06	0.083	0.178	1.084	-0.097	-0.032	-0.156	-0.011	-0.027	-0.037	-0.085	1.529	"1"
"2003年"	2	0	0	0	0	0	1	0	0.247	0.601	0.21	0.904	0.077	0.179	0.248	0.533	1.716	-0.291	-0.095	-0.467	-0.034	-0.08	0.642	-0.255	3.58	"1"
"234"	0	0	1	0	0	0	0	0	0.082	0.2	0.07	0.301	0.026	0.06	0.083	0.178	-0.037	-0.097	1.155	-0.156	-0.011	-0.027	-0.037	-0.085	1.605	"3"
"35万"	0	1	0	0	0	0	0	0	0.082	0.2	0.07	0.301	0.026	0.06	0.083	0.178	-0.037	0.698	-0.032	-0.156	-0.011	-0.027	-0.037	-0.085	1.083	"2"
"3月"	0	0	0	1	0	0	0	0	0.082	0.2	0.07	0.301	0.026	0.06	0.083	0.178	-0.037	-0.097	-0.032	0.521	-0.011	-0.027	-0.037	-0.085	0.847	"4"
"49"	0	0	0	1	0	0	0	0	0.082	0.2	0.07	0.301	0.026	0.06	0.083	0.178	-0.037	-0.097	-0.032	0.521	-0.011	-0.027	-0.037	-0.085	0.847	"4"
"900110"	0	0	0	1	0	0	0	0	0.082	0.2	0.07	0.301	0.026	0.06	0.083	0.178	-0.037	-0.097	-0.032	0.521	-0.011	-0.027	-0.037	-0.085	0.847	"4"
"900129"	0	0	1	0	0	0	0	0	0.082	0.2	0.07	0.301	0.026	0.06	0.083	0.178	-0.037	-0.097	1.155	-0.156	-0.011	-0.027	-0.037	-0.085	1.605	"3"
"a"	0	0	1	0	0	0	0	0	0.082	0.2	0.07	0.301	0.026	0.06	0.083	0.178	-0.037	-0.097	1.155	-0.156	-0.011	-0.027	-0.037	-0.085	1.605	"3"
"ARS"	0	0	0	1	0	0	0	0	0.082	0.2	0.07	0.301	0.026	0.06	0.083	0.178	-0.037	-0.097	-0.032	0.521	-0.011	-0.027	-0.037	-0.085	0.847	"4"
"b"	0	0	2	0	0	0	0	0	0.165	0.401	0.14	0.603	0.051	0.119	0.165	0.355	-0.075	-0.194	2.31	-0.312	-0.023	-0.054	-0.075	-0.17	3.213	"3"
"c"	0	0	1	0	0	0	0	0	0.082	0.2	0.07	0.301	0.026	0.06	0.083	0.178	-0.037	-0.097	1.155	-0.156	-0.011	-0.027	-0.037	-0.085	1.605	"3"
"D"	0	0	1	0	0	0	0	0	0.082	0.2	0.07	0.301	0.026	0.06	0.083	0.178	-0.037	-0.097	1.155	-0.156	-0.011	-0.027	-0.037	-0.085	1.605	"3"
"enton"	0	0	0	0	0	0	0	1	0.082	0.2	0.07	0.301	0.026	0.06	0.083	0.178	-0.037	-0.097	-0.032	-0.156	-0.011	-0.027	-0.037	0.75	1.147	"8"
"ii"	0	0	1	0	0	0	0	0	0.082	0.2	0.07	0.301	0.026	0.06	0.083	0.178	-0.037	-0.097	1.155	-0.156	-0.011	-0.027	-0.037	-0.085	1.605	"3"
