"Coll_Word"	"1"	"2"	"3"	"exp_1"	"exp_2"	"exp_3"	"pbin_1"	"pbin_2"	"pbin_3"	"SumAbsDev"	"LargestDev"
"，"	2	65	34	49.442	12.435	39.123	-25.818	33.661	-0.763	60.242	"2"
"："	25	1	4	14.686	3.694	11.621	3.978	-0.995	-2.636	7.609	"1"
"."	0	0	1	0.49	0.123	0.387	-0.292	-0.057	0.412	0.761	"3"
"【"	0	0	1	0.49	0.123	0.387	-0.292	-0.057	0.412	0.761	"3"
"】"	0	0	1	0.49	0.123	0.387	-0.292	-0.057	0.412	0.761	"3"
"◆"	4	0	0	1.958	0.492	1.549	1.241	-0.228	-0.851	2.32	"1"
"10"	0	0	2	0.979	0.246	0.775	-0.584	-0.114	0.824	1.522	"3"
"100"	0	0	1	0.49	0.123	0.387	-0.292	-0.057	0.412	0.761	"3"
"1000"	0	0	1	0.49	0.123	0.387	-0.292	-0.057	0.412	0.761	"3"
"11"	0	0	1	0.49	0.123	0.387	-0.292	-0.057	0.412	0.761	"3"
"1100"	1	0	0	0.49	0.123	0.387	0.31	-0.057	-0.213	0.58	"1"
"12"	4	0	1	2.448	0.616	1.937	0.758	-0.285	-0.445	1.488	"1"
"12亿"	0	0	1	0.49	0.123	0.387	-0.292	-0.057	0.412	0.761	"3"
"13"	5	0	1	2.937	0.739	2.324	1.001	-0.342	-0.596	1.939	"1"
"14"	2	0	1	1.469	0.369	1.162	0.315	-0.171	-0.176	0.662	"1"
"15"	5	0	0	2.448	0.616	1.937	1.551	-0.285	-1.064	2.9	"1"
"1500多"	1	0	0	0.49	0.123	0.387	0.31	-0.057	-0.213	0.58	"1"
"16"	9	0	0	4.406	1.108	3.486	2.792	-0.514	-1.915	5.221	"1"
"17"	7	0	0	3.427	0.862	2.712	2.172	-0.399	-1.49	4.061	"1"
"18"	11	0	1	5.874	1.477	4.648	2.592	-0.685	-1.62	4.897	"1"
"19"	2	1	0	1.469	0.369	1.162	0.315	0.487	-0.638	1.44	"3"
"1980年"	1	0	0	0.49	0.123	0.387	0.31	-0.057	-0.213	0.58	"1"
"1990年"	1	0	0	0.49	0.123	0.387	0.31	-0.057	-0.213	0.58	"1"
"20"	15	1	2	8.811	2.216	6.972	2.538	-0.48	-1.964	4.982	"1"
"2006年"	0	0	1	0.49	0.123	0.387	-0.292	-0.057	0.412	0.761	"3"
"20多"	1	0	1	0.979	0.246	0.775	0.131	-0.114	0.204	0.449	"3"
"20年"	1	0	0	0.49	0.123	0.387	0.31	-0.057	-0.213	0.58	"1"
"21"	3	0	0	1.469	0.369	1.162	0.931	-0.171	-0.638	1.74	"1"
"22"	2	0	0	0.979	0.246	0.775	0.62	-0.114	-0.426	1.16	"1"
"22.03"	1	0	0	0.49	0.123	0.387	0.31	-0.057	-0.213	0.58	"1"
"23"	2	0	1	1.469	0.369	1.162	0.315	-0.171	-0.176	0.662	"1"
"24"	7	0	1	3.916	0.985	3.099	1.511	-0.456	-0.92	2.887	"1"
"25"	5	0	2	3.427	0.862	2.712	0.678	-0.399	-0.349	1.426	"1"
"25.7"	1	0	0	0.49	0.123	0.387	0.31	-0.057	-0.213	0.58	"1"
"2500"	0	0	1	0.49	0.123	0.387	-0.292	-0.057	0.412	0.761	"3"
"250万"	1	0	0	0.49	0.123	0.387	0.31	-0.057	-0.213	0.58	"1"
"25亿"	1	0	0	0.49	0.123	0.387	0.31	-0.057	-0.213	0.58	"1"
"26"	4	0	0	1.958	0.492	1.549	1.241	-0.228	-0.851	2.32	"1"
"26.2"	1	0	0	0.49	0.123	0.387	0.31	-0.057	-0.213	0.58	"1"
"2603"	1	0	0	0.49	0.123	0.387	0.31	-0.057	-0.213	0.58	"1"
"27"	4	0	0	1.958	0.492	1.549	1.241	-0.228	-0.851	2.32	"1"
"28"	1	0	1	0.979	0.246	0.775	0.131	-0.114	0.204	0.449	"3"
"28日电"	0	0	1	0.49	0.123	0.387	-0.292	-0.057	0.412	0.761	"3"
"29"	5	0	0	2.448	0.616	1.937	1.551	-0.285	-1.064	2.9	"1"
"29.7"	1	0	0	0.49	0.123	0.387	0.31	-0.057	-0.213	0.58	"1"
"30"	10	1	3	6.853	1.724	5.423	1.11	-0.327	-0.838	2.275	"1"
"300"	1	0	0	0.49	0.123	0.387	0.31	-0.057	-0.213	0.58	"1"
"30多"	1	0	0	0.49	0.123	0.387	0.31	-0.057	-0.213	0.58	"1"
"30来"	2	0	0	0.979	0.246	0.775	0.62	-0.114	-0.426	1.16	"1"
"33"	5	0	0	2.448	0.616	1.937	1.551	-0.285	-1.064	2.9	"1"
"34"	2	0	0	0.979	0.246	0.775	0.62	-0.114	-0.426	1.16	"1"
"35"	5	0	1	2.937	0.739	2.324	1.001	-0.342	-0.596	1.939	"1"
"36"	3	0	0	1.469	0.369	1.162	0.931	-0.171	-0.638	1.74	"1"
"37"	3	0	0	1.469	0.369	1.162	0.931	-0.171	-0.638	1.74	"1"
"37.2"	1	0	0	0.49	0.123	0.387	0.31	-0.057	-0.213	0.58	"1"
"39"	2	0	0	0.979	0.246	0.775	0.62	-0.114	-0.426	1.16	"1"
"3941"	1	0	0	0.49	0.123	0.387	0.31	-0.057	-0.213	0.58	"1"
"40"	8	0	4	5.874	1.477	4.648	0.759	-0.685	-0.324	1.768	"1"
