"cluster"	"sigcol"
"2"	"爱滋病"
"2"	"肆虐"
"2"	"人民"
"2"	"平均"
"2"	"大幅"
"2"	"减低"
"2"	"爱滋病"
"2"	"肆虐"
"2"	"人民"
"2"	"平均"
"2"	"一半"
"2"	"波国"
"2"	"年"
"2"	"年"
"2"	"能"
"2"	"提高"
"2"	"乡民"
"2"	"平均"
"2"	"百分点"
"6"	"国人"
"6"	"平均"
"6"	"延长"
"6"	"四十五"
"6"	"岁"
"6"	"以上"
"6"	"人口"
"6"	"末"
"6"	"期"
"6"	"病人"
"6"	"更"
"6"	"能"
"6"	"延长"
"6"	"较少"
"6"	"副作用"
"2"	"能"
"2"	"提昇"
"2"	"市民"
"2"	"平均"
"2"	"能"
"2"	"迎头赶上"
"2"	"台北市"
"6"	"制剂"
"6"	"可"
"6"	"延长"
"6"	"爱滋病患"
"6"	"开普敦"
"2"	"发现"
"2"	"土着"
"2"	"男性"
"2"	"平均"
"2"	"为"
"2"	"五十"
"2"	"五点六"
"2"	"岁"
"2"	"较"
"2"	"一般"
"2"	"少"
"2"	"少"
"2"	"将近"
"2"	"岁"
"2"	"女性"
"2"	"平"
"2"	"均"
"2"	"为"
"2"	"六十三"
"2"	"岁"
"2"	"较"
"2"	"一般"
"2"	"少"
"2"	"将近"
"2"	"女性"
"2"	"土着"
"2"	"过去"
"2"	"年"
"2"	"平均"
"2"	"普"
"2"	"遍"
"2"	"降低"
"2"	"891226"
"7"	"医学"
"7"	"人类"
"7"	"平"
"7"	"均"
"7"	"延长"
"7"	"将近"
"7"	"倍"
"7"	"更"
"7"	"长"
"7"	"交通量"
"7"	"倍增"
"7"	"缩短"
"6"	"人民"
"6"	"平均"
"6"	"不断"
"6"	"延长"
"6"	"少"
"6"	"15"
"6"	"延长"
"6"	"PC"
"6"	"133"
"6"	"记忆体"
"6"	"预期"
"2"	"国民"
"2"	"平均"
"2"	"人民"
"2"	"平均"
"2"	"四十八"
"2"	"岁"
"2"	"估计"
"7"	"岁"
"7"	"岁"
"7"	"人口"
"7"	"呈"
"7"	"上升"
"7"	"趋势"
"1"	"14"
"1"	"至"
"1"	"15"
"1"	"岁"
"1"	"那么人"
"1"	"自然"
"1"	"为"
"1"	"110"
"1"	"至"
"1"	"150"
"1"	"岁"
"1"	"科学家"
"6"	"延长"
"6"	"她们"
"6"	"育"
"6"	"需要"
"6"	"她们"
"2"	"肯尼亚"
"2"	"平均"
"2"	"为"
"2"	"51"
"2"	"岁"
"2"	"为"
"7"	"B"
"7"	"星"
"7"	"设计"
"7"	"为"
"7"	"年"
"2"	"0.1"
"2"	"岁"
"2"	"为"
"2"	"74.18"
"2"	"岁"
"2"	"女性"
"2"	"增加"
