"","tokenlabel","cluster"
"时代/Na/CNA_CMN_20001127_wpr/24394","时代/Na/CNA_CMN_20001127_wpr/24394",1
"时代/Na/ZBN_CMN_20001208_wpr/15964","时代/Na/ZBN_CMN_20001208_wpr/15964",1
"时代/Na/CNA_CMN_20001106_wpr/6409","时代/Na/CNA_CMN_20001106_wpr/6409",1
"时代/Na/CNA_CMN_20030422_wpr/6506","时代/Na/CNA_CMN_20030422_wpr/6506",1
"时代/Na/ZBN_CMN_20030807_wpr/78272","时代/Na/ZBN_CMN_20030807_wpr/78272",1
"时代/Na/CNA_CMN_20001126_wpr/25211","时代/Na/CNA_CMN_20001126_wpr/25211",1
"时代/Na/ZBN_CMN_20030929_wpr/64717","时代/Na/ZBN_CMN_20030929_wpr/64717",1
"时代/Na/ZBN_CMN_20030919_wpr/57243","时代/Na/ZBN_CMN_20030919_wpr/57243",1
"时代/Na/ZBN_CMN_20010131_wpr/1552","时代/Na/ZBN_CMN_20010131_wpr/1552",1
"时代/Na/ZBN_CMN_20030415_wpr/71243","时代/Na/ZBN_CMN_20030415_wpr/71243",1
"时代/Na/ZBN_CMN_20030902_wpr/43903","时代/Na/ZBN_CMN_20030902_wpr/43903",1
"时代/Na/ZBN_CMN_20030422_wpr/60558","时代/Na/ZBN_CMN_20030422_wpr/60558",1
"时代/Na/ZBN_CMN_20030610_wpr/39540","时代/Na/ZBN_CMN_20030610_wpr/39540",1
"时代/Na/XIN_CMN_20030412_wpr/14069","时代/Na/XIN_CMN_20030412_wpr/14069",1
"时代/Na/ZBN_CMN_20030818_wpr/11321","时代/Na/ZBN_CMN_20030818_wpr/11321",1
"时代/Na/ZBN_CMN_20010109_wpr/3272","时代/Na/ZBN_CMN_20010109_wpr/3272",1
"时代/Na/ZBN_CMN_20030527_wpr/36374","时代/Na/ZBN_CMN_20030527_wpr/36374",1
"时代/Na/ZBN_CMN_20030419_wpr/21006","时代/Na/ZBN_CMN_20030419_wpr/21006",1
"时代/Na/ZBN_CMN_20030804_wpr/52251","时代/Na/ZBN_CMN_20030804_wpr/52251",1
"时代/Na/XIN_CMN_20010101_wpr/103294","时代/Na/XIN_CMN_20010101_wpr/103294",1
"时代/Na/XIN_CMN_20030908_wpr/51199","时代/Na/XIN_CMN_20030908_wpr/51199",1
"时代/Na/ZBN_CMN_20001120_wpr/21962","时代/Na/ZBN_CMN_20001120_wpr/21962",1
"时期/Na/XIN_CMN_20030904_wpr/21970","时期/Na/XIN_CMN_20030904_wpr/21970",2
"时代/Na/ZBN_CMN_20001113_wpr/2052","时代/Na/ZBN_CMN_20001113_wpr/2052",2
"时代/Na/XIN_CMN_20030528_wpr/68326","时代/Na/XIN_CMN_20030528_wpr/68326",2
"时代/Na/XIN_CMN_20030604_wpr/15875","时代/Na/XIN_CMN_20030604_wpr/15875",2
"时代/Na/ZBN_CMN_20030527_wpr/82601","时代/Na/ZBN_CMN_20030527_wpr/82601",2
"时代/Na/XIN_CMN_20001202_wpr/47387","时代/Na/XIN_CMN_20001202_wpr/47387",2
"时期/Na/XIN_CMN_20001216_wpr/9690","时期/Na/XIN_CMN_20001216_wpr/9690",2
"时代/Na/CNA_CMN_20001214_wpr/132470","时代/Na/CNA_CMN_20001214_wpr/132470",2
"时代/Na/ZBN_CMN_20030713_wpr/6926","时代/Na/ZBN_CMN_20030713_wpr/6926",2
"时代/Na/XIN_CMN_20030720_wpr/33002","时代/Na/XIN_CMN_20030720_wpr/33002",2
"时代/Na/XIN_CMN_20030913_wpr/397","时代/Na/XIN_CMN_20030913_wpr/397",2
"时期/Na/CNA_CMN_20010110_wpr/61352","时期/Na/CNA_CMN_20010110_wpr/61352",2
"时期/Na/XIN_CMN_20010108_wpr/4932","时期/Na/XIN_CMN_20010108_wpr/4932",2
"时代/Na/XIN_CMN_20030830_wpr/8261","时代/Na/XIN_CMN_20030830_wpr/8261",2
"时代/Na/CNA_CMN_20001128_wpr/161651","时代/Na/CNA_CMN_20001128_wpr/161651",2
"时代/Na/CNA_CMN_20001128_wpr/161692","时代/Na/CNA_CMN_20001128_wpr/161692",2
"时代/Na/XIN_CMN_20030515_wpr/74943","时代/Na/XIN_CMN_20030515_wpr/74943",2
"时代/Na/CNA_CMN_20001006_wpr/18555","时代/Na/CNA_CMN_20001006_wpr/18555",2
"时期/Na/XIN_CMN_20030701_wpr/66315","时期/Na/XIN_CMN_20030701_wpr/66315",2
"时期/Na/XIN_CMN_20030506_wpr/84095","时期/Na/XIN_CMN_20030506_wpr/84095",2
"时期/Na/XIN_CMN_20030707_wpr/9852","时期/Na/XIN_CMN_20030707_wpr/9852",2
"时期/Na/XIN_CMN_20030628_wpr/46904","时期/Na/XIN_CMN_20030628_wpr/46904",2
"时期/Na/XIN_CMN_20030424_wpr/82376","时期/Na/XIN_CMN_20030424_wpr/82376",2
"时期/Na/XIN_CMN_20001218_wpr/62326","时期/Na/XIN_CMN_20001218_wpr/62326",2
"时期/Na/XIN_CMN_20030729_wpr/78013","时期/Na/XIN_CMN_20030729_wpr/78013",2
"时代/Na/ZBN_CMN_20030825_wpr/67757","时代/Na/ZBN_CMN_20030825_wpr/67757",2
"时代/Na/XIN_CMN_20001029_wpr/1515","时代/Na/XIN_CMN_20001029_wpr/1515",2
"时期/Na/XIN_CMN_20030906_wpr/51309","时期/Na/XIN_CMN_20030906_wpr/51309",2
"时期/Na/XIN_CMN_20001009_wpr/55739","时期/Na/XIN_CMN_20001009_wpr/55739",2
"时期/Na/XIN_CMN_20030515_wpr/20642","时期/Na/XIN_CMN_20030515_wpr/20642",2
"时期/Na/ZBN_CMN_20010130_wpr/33309","时期/Na/ZBN_CMN_20010130_wpr/33309",2
"时期/Na/XIN_CMN_20030424_wpr/59203","时期/Na/XIN_CMN_20030424_wpr/59203",2
"时期/Na/XIN_CMN_20001221_wpr/35726","时期/Na/XIN_CMN_20001221_wpr/35726",2
"时期/Na/XIN_CMN_20030529_wpr/85394","时期/Na/XIN_CMN_20030529_wpr/85394",2
"时期/Na/XIN_CMN_20030726_wpr/10536","时期/Na/XIN_CMN_20030726_wpr/10536",3
"时期/Na/XIN_CMN_20010112_wpr/35688","时期/Na/XIN_CMN_20010112_wpr/35688",3
"时期/Na/ZBN_CMN_20030504_wpr/11172","时期/Na/ZBN_CMN_20030504_wpr/11172",3
"时期/Na/XIN_CMN_20030622_wpr/36424","时期/Na/XIN_CMN_20030622_wpr/36424",3
"时期/Na/ZBN_CMN_20010130_wpr/2582","时期/Na/ZBN_CMN_20010130_wpr/2582",3
"时期/Na/CNA_CMN_20001221_wpr/23365","时期/Na/CNA_CMN_20001221_wpr/23365",3
"时期/Na/XIN_CMN_20001214_wpr/45729","时期/Na/XIN_CMN_20001214_wpr/45729",3
"时期/Na/XIN_CMN_20001030_wpr/48721","时期/Na/XIN_CMN_20001030_wpr/48721",3
"时代/Na/CNA_CMN_20001101_wpr/114334","时代/Na/CNA_CMN_20001101_wpr/114334",3
"时期/Na/CNA_CMN_20001021_wpr/7972","时期/Na/CNA_CMN_20001021_wpr/7972",3
"时期/Na/ZBN_CMN_20030628_wpr/36264","时期/Na/ZBN_CMN_20030628_wpr/36264",3
"时期/Na/CNA_CMN_20001110_wpr/107552","时期/Na/CNA_CMN_20001110_wpr/107552",3
"时期/Na/XIN_CMN_20030811_wpr/44978","时期/Na/XIN_CMN_20030811_wpr/44978",3
"时期/Na/ZBN_CMN_20001203_wpr/14305","时期/Na/ZBN_CMN_20001203_wpr/14305",3
"时期/Na/CNA_CMN_20001010_wpr/78649","时期/Na/CNA_CMN_20001010_wpr/78649",3
"时期/Na/ZBN_CMN_20030525_wpr/69451","时期/Na/ZBN_CMN_20030525_wpr/69451",3
"时期/Na/CNA_CMN_20010112_wpr/151113","时期/Na/CNA_CMN_20010112_wpr/151113",3
"时代/Na/ZBN_CMN_20010101_wpr/1438","时代/Na/ZBN_CMN_20010101_wpr/1438",3
"时代/Na/ZBN_CMN_20030722_wpr/44780","时代/Na/ZBN_CMN_20030722_wpr/44780",3
"时期/Na/XIN_CMN_20030825_wpr/45482","时期/Na/XIN_CMN_20030825_wpr/45482",3
"时期/Na/CNA_CMN_20001221_wpr/39035","时期/Na/CNA_CMN_20001221_wpr/39035",3
"时期/Na/XIN_CMN_20030623_wpr/56079","时期/Na/XIN_CMN_20030623_wpr/56079",3
"时代/Na/XIN_CMN_20030605_wpr/4168","时代/Na/XIN_CMN_20030605_wpr/4168",3
"时代/Na/ZBN_CMN_20001202_wpr/27894","时代/Na/ZBN_CMN_20001202_wpr/27894",3
"时期/Na/ZBN_CMN_20010117_wpr/1488","时期/Na/ZBN_CMN_20010117_wpr/1488",3
"时代/Na/ZBN_CMN_20030917_wpr/49892","时代/Na/ZBN_CMN_20030917_wpr/49892",3
"时代/Na/CNA_CMN_20001007_wpr/28861","时代/Na/CNA_CMN_20001007_wpr/28861",3
"时代/Na/CNA_CMN_20010107_wpr/1738","时代/Na/CNA_CMN_20010107_wpr/1738",3
"时期/Na/CNA_CMN_20001030_wpr/53133","时期/Na/CNA_CMN_20001030_wpr/53133",3
"时代/Na/XIN_CMN_20030916_wpr/673","时代/Na/XIN_CMN_20030916_wpr/673",3
"时期/Na/ZBN_CMN_20030412_wpr/32712","时期/Na/ZBN_CMN_20030412_wpr/32712",3
"时代/Na/XIN_CMN_20001218_wpr/86116","时代/Na/XIN_CMN_20001218_wpr/86116",3
"时代/Na/CNA_CMN_20001009_wpr/64344","时代/Na/CNA_CMN_20001009_wpr/64344",3
"时期/Na/XIN_CMN_20030510_wpr/38969","时期/Na/XIN_CMN_20030510_wpr/38969",3
"时期/Na/CNA_CMN_20001130_wpr/7350","时期/Na/CNA_CMN_20001130_wpr/7350",3
"时期/Na/ZBN_CMN_20001022_wpr/47132","时期/Na/ZBN_CMN_20001022_wpr/47132",3
