"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_6"	"exp_7"	"exp_8"	"exp_9"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_6"	"pbin_7"	"pbin_8"	"pbin_9"	"SumAbsDev"	"LargestDev"
"－－"	0	0	1	0	0	0	0	0	0	0.052	0.099	0.292	0.027	0.121	0.026	0.216	0.022	0.145	-0.023	-0.045	0.534	-0.012	-0.056	-0.011	-0.105	-0.01	-0.068	0.864	"3"
"----"	0	0	1	0	0	0	0	0	0	0.052	0.099	0.292	0.027	0.121	0.026	0.216	0.022	0.145	-0.023	-0.045	0.534	-0.012	-0.056	-0.011	-0.105	-0.01	-0.068	0.864	"3"
"《"	18	0	0	0	0	0	0	0	0	0.93	1.787	5.263	0.487	2.176	0.469	3.882	0.397	2.609	23.164	-0.818	-2.704	-0.215	-1.007	-0.207	-1.899	-0.174	-1.224	31.412	"1"
"》"	17	0	0	0	0	0	0	0	0	0.878	1.688	4.97	0.46	2.055	0.443	3.666	0.375	2.464	21.877	-0.772	-2.553	-0.203	-0.951	-0.195	-1.793	-0.165	-1.156	29.665	"1"
"1400年"	0	1	0	0	0	0	0	0	0	0.052	0.099	0.292	0.027	0.121	0.026	0.216	0.022	0.145	-0.023	1.003	-0.15	-0.012	-0.056	-0.011	-0.105	-0.01	-0.068	1.438	"2"
"1919年"	0	0	1	0	0	0	0	0	0	0.052	0.099	0.292	0.027	0.121	0.026	0.216	0.022	0.145	-0.023	-0.045	0.534	-0.012	-0.056	-0.011	-0.105	-0.01	-0.068	0.864	"3"
"1941年"	0	0	1	0	0	0	0	0	0	0.052	0.099	0.292	0.027	0.121	0.026	0.216	0.022	0.145	-0.023	-0.045	0.534	-0.012	-0.056	-0.011	-0.105	-0.01	-0.068	0.864	"3"
"1981年"	0	0	0	0	0	0	0	0	1	0.052	0.099	0.292	0.027	0.121	0.026	0.216	0.022	0.145	-0.023	-0.045	-0.15	-0.012	-0.056	-0.011	-0.105	-0.01	0.839	1.251	"9"
"21世纪"	0	0	0	0	1	0	1	0	0	0.103	0.199	0.585	0.054	0.242	0.052	0.431	0.044	0.29	-0.046	-0.091	-0.3	-0.024	0.644	-0.023	0.415	-0.019	-0.136	1.698	"5"
"21日号"	1	0	0	0	0	0	0	0	0	0.052	0.099	0.292	0.027	0.121	0.026	0.216	0.022	0.145	1.287	-0.045	-0.15	-0.012	-0.056	-0.011	-0.105	-0.01	-0.068	1.744	"1"
"2200万"	0	0	1	0	0	0	0	0	0	0.052	0.099	0.292	0.027	0.121	0.026	0.216	0.022	0.145	-0.023	-0.045	0.534	-0.012	-0.056	-0.011	-0.105	-0.01	-0.068	0.864	"3"
"61.7％"	0	0	0	0	0	0	0	1	0	0.052	0.099	0.292	0.027	0.121	0.026	0.216	0.022	0.145	-0.023	-0.045	-0.15	-0.012	-0.056	-0.011	-0.105	1.656	-0.068	2.126	"8"
"620万年"	0	0	1	0	0	0	0	0	0	0.052	0.099	0.292	0.027	0.121	0.026	0.216	0.022	0.145	-0.023	-0.045	0.534	-0.012	-0.056	-0.011	-0.105	-0.01	-0.068	0.864	"3"
"8亿2200万"	0	0	0	0	0	0	0	1	0	0.052	0.099	0.292	0.027	0.121	0.026	0.216	0.022	0.145	-0.023	-0.045	-0.15	-0.012	-0.056	-0.011	-0.105	1.656	-0.068	2.126	"8"
"9％"	0	0	0	0	0	0	0	1	0	0.052	0.099	0.292	0.027	0.121	0.026	0.216	0.022	0.145	-0.023	-0.045	-0.15	-0.012	-0.056	-0.011	-0.105	1.656	-0.068	2.126	"8"
"90年代"	0	0	0	0	0	0	0	0	1	0.052	0.099	0.292	0.027	0.121	0.026	0.216	0.022	0.145	-0.023	-0.045	-0.15	-0.012	-0.056	-0.011	-0.105	-0.01	0.839	1.251	"9"
"CB"	0	0	0	0	1	0	0	0	0	0.052	0.099	0.292	0.027	0.121	0.026	0.216	0.022	0.145	-0.023	-0.045	-0.15	-0.012	0.918	-0.011	-0.105	-0.01	-0.068	1.342	"5"
"e"	0	0	0	0	0	0	7	0	0	0.362	0.695	2.047	0.19	0.846	0.183	1.51	0.154	1.015	-0.161	-0.318	-1.051	-0.083	-0.392	-0.08	4.664	-0.068	-0.476	7.293	"7"
"E"	0	0	1	0	0	0	1	0	0	0.103	0.199	0.585	0.054	0.242	0.052	0.431	0.044	0.29	-0.046	-0.091	0.302	-0.024	-0.112	-0.023	0.415	-0.019	-0.136	1.168	"7"
"LKK"	0	0	0	0	0	0	1	0	0	0.052	0.099	0.292	0.027	0.121	0.026	0.216	0.022	0.145	-0.023	-0.045	-0.15	-0.012	-0.056	-0.011	0.666	-0.01	-0.068	1.041	"7"
"SARS"	0	0	0	0	0	0	5	0	0	0.258	0.496	1.462	0.135	0.604	0.13	1.078	0.11	0.725	-0.115	-0.227	-0.751	-0.06	-0.28	-0.057	3.331	-0.048	-0.34	5.209	"7"
"U"	0	0	1	0	0	0	0	0	0	0.052	0.099	0.292	0.027	0.121	0.026	0.216	0.022	0.145	-0.023	-0.045	0.534	-0.012	-0.056	-0.011	-0.105	-0.01	-0.068	0.864	"3"
"一九七○年代"	0	0	1	0	0	0	0	0	0	0.052	0.099	0.292	0.027	0.121	0.026	0.216	0.022	0.145	-0.023	-0.045	0.534	-0.012	-0.056	-0.011	-0.105	-0.01	-0.068	0.864	"3"
"一九三七年"	0	0	1	0	0	0	0	0	0	0.052	0.099	0.292	0.027	0.121	0.026	0.216	0.022	0.145	-0.023	-0.045	0.534	-0.012	-0.056	-0.011	-0.105	-0.01	-0.068	0.864	"3"
"一去不复返"	0	0	1	0	0	0	0	0	0	0.052	0.099	0.292	0.027	0.121	0.026	0.216	0.022	0.145	-0.023	-0.045	0.534	-0.012	-0.056	-0.011	-0.105	-0.01	-0.068	0.864	"3"
"一定"	0	0	0	0	0	1	0	0	1	0.103	0.199	0.585	0.054	0.242	0.052	0.431	0.044	0.29	-0.046	-0.091	-0.3	-0.024	-0.112	1.288	-0.211	-0.019	0.57	2.661	"6"
"一成不变"	0	0	0	0	0	0	1	0	0	0.052	0.099	0.292	0.027	0.121	0.026	0.216	0.022	0.145	-0.023	-0.045	-0.15	-0.012	-0.056	-0.011	0.666	-0.01	-0.068	1.041	"7"
"一段"	0	0	0	0	0	14	0	0	0	0.723	1.39	4.093	0.379	1.692	0.365	3.019	0.309	2.029	-0.322	-0.636	-2.103	-0.167	-0.783	22.172	-1.477	-0.136	-0.952	28.748	"6"
"七海"	0	0	1	0	0	0	0	0	0	0.052	0.099	0.292	0.027	0.121	0.026	0.216	0.022	0.145	-0.023	-0.045	0.534	-0.012	-0.056	-0.011	-0.105	-0.01	-0.068	0.864	"3"
"万象"	0	0	1	0	0	0	0	0	0	0.052	0.099	0.292	0.027	0.121	0.026	0.216	0.022	0.145	-0.023	-0.045	0.534	-0.012	-0.056	-0.011	-0.105	-0.01	-0.068	0.864	"3"
"三代"	1	0	1	0	0	0	0	0	0	0.103	0.199	0.585	0.054	0.242	0.052	0.431	0.044	0.29	0.997	-0.091	0.302	-0.024	-0.112	-0.023	-0.211	-0.019	-0.136	1.915	"1"
"三国"	0	2	0	0	0	0	0	0	0	0.103	0.199	0.585	0.054	0.242	0.052	0.431	0.044	0.29	-0.046	2.006	-0.3	-0.024	-0.112	-0.023	-0.211	-0.019	-0.136	2.877	"2"
"三星堆"	0	2	0	0	0	0	0	0	0	0.103	0.199	0.585	0.054	0.242	0.052	0.431	0.044	0.29	-0.046	2.006	-0.3	-0.024	-0.112	-0.023	-0.211	-0.019	-0.136	2.877	"2"
"上任"	0	0	0	0	0	0	0	0	1	0.052	0.099	0.292	0.027	0.121	0.026	0.216	0.022	0.145	-0.023	-0.045	-0.15	-0.012	-0.056	-0.011	-0.105	-0.01	0.839	1.251	"9"
"上升"	0	0	0	0	0	0	1	0	0	0.052	0.099	0.292	0.027	0.121	0.026	0.216	0.022	0.145	-0.023	-0.045	-0.15	-0.012	-0.056	-0.011	0.666	-0.01	-0.068	1.041	"7"
"上边"	0	1	0	0	0	0	0	0	0	0.052	0.099	0.292	0.027	0.121	0.026	0.216	0.022	0.145	-0.023	1.003	-0.15	-0.012	-0.056	-0.011	-0.105	-0.01	-0.068	1.438	"2"
"上进"	0	0	1	0	0	0	0	0	0	0.052	0.099	0.292	0.027	0.121	0.026	0.216	0.022	0.145	-0.023	-0.045	0.534	-0.012	-0.056	-0.011	-0.105	-0.01	-0.068	0.864	"3"
"下来"	0	0	2	0	0	0	0	0	0	0.103	0.199	0.585	0.054	0.242	0.052	0.431	0.044	0.29	-0.046	-0.091	1.068	-0.024	-0.112	-0.023	-0.211	-0.019	-0.136	1.73	"3"
"不一"	0	0	0	0	0	0	0	0	1	0.052	0.099	0.292	0.027	0.121	0.026	0.216	0.022	0.145	-0.023	-0.045	-0.15	-0.012	-0.056	-0.011	-0.105	-0.01	0.839	1.251	"9"
"不同"	1	0	1	0	0	0	1	0	5	0.413	0.794	2.339	0.217	0.967	0.209	1.725	0.177	1.159	0.461	-0.363	-0.568	-0.095	-0.448	-0.092	-0.339	-0.078	2.613	5.057	"9"
