"cluster"	"sigcol"
"4"	"从事"
"4"	"经营"
"4"	"活动"
"4"	"相应"
"4"	"资源"
"4"	"提供"
"5"	"队"
"5"	"分别"
"5"	"十六"
"5"	"进行"
"5"	"预赛"
"5"	"决赛"
"5"	"十五"
"5"	"组"
"5"	"安排"
"5"	"收"
"5"	"权责"
"5"	"区公所"
"5"	"云林县"
"5"	"十五"
"5"	"进行"
"5"	"十六"
"5"	"体育"
"5"	"比赛"
"5"	"比赛"
"5"	"项目"
"5"	"教育局"
"5"	"借用"
"5"	"熘冰"
"5"	"中央委员"
"5"	"了"
"5"	"选手村"
"5"	"环境"
"5"	"设备"
"5"	"自信"
"5"	"场地"
"5"	"泰安国"
"5"	"中小学"
"5"	"操场"
"5"	"开垦"
"5"	"祭"
"5"	"祭"
"5"	"祭"
"5"	"高雄县"
"5"	"筹委会"
"5"	"经费"
"5"	"不足"
"5"	"比赛"
"5"	"为由"
"5"	"帆船"
"5"	"等"
"5"	"水上"
"5"	"比赛"
"5"	"项目"
"5"	"理科"
"5"	"十三日"
"5"	"宾馆"
"5"	"预借"
"5"	"提供"
"5"	"使用"
"5"	"陶瓷"
"5"	"馆"
"5"	"规划"
"5"	"陶瓷"
"5"	"公园"
"5"	"为主"
"5"	"加上"
"5"	"活动期"
"5"	"竞赛"
"5"	"规程"
"5"	"高雄县"
"5"	"会勘"
"5"	"经费"
"5"	"器材"
"5"	"参赛"
"5"	"待"
"5"	"张学劳"
"5"	"设计"
"5"	"由于"
"5"	"佈"
"5"	"置"
"5"	"清洁"
"5"	"确保"
"5"	"装置"
"5"	"设置"
"5"	"适当"
"5"	"例如"
"5"	"汉光"
"5"	"演习"
"5"	"屏东"
"5"	"边"
"5"	"坑子口"
"5"	"宽"
"5"	"倍"
"5"	"高挂"
"5"	"比赛"
"5"	"揭幕"
"5"	"提前"
"5"	"才能"
"5"	"预订"
"5"	"羽毛球"
"5"	"攀登"
"5"	"电视塔"
"5"	"举行"
"5"	"运动员"
"5"	"跑到"
"5"	"中国队"
"5"	"训练"
"5"	"探听"
"5"	"虚实"
"5"	"队员"
"5"	"赛场"
"5"	"熟悉"
"5"	"按照"
"5"	"项目"
"5"	"分别"
"5"	"训练"
"5"	"场地"
"5"	"热身"
"5"	"看来"
"5"	"进入"
"5"	"拒绝"
"5"	"表演"
"5"	"公园"
"5"	"十三陵"
"5"	"水库"
"5"	"交通"
"5"	"等"
"5"	"要求"
"5"	"申奥"
"5"	"体操"
"5"	"设计"
"5"	"指定"
"5"	"体操"
"5"	"竞赛"
"5"	"安排"
"5"	"等"
"5"	"运动"
"5"	"运动"
"5"	"相似"
"5"	"由于"
"5"	"比赛"
"5"	"使用木"
"5"	"地板"
"5"	"免费"
"5"	"观看"
"5"	"比赛"
"5"	"花样"
"5"	"游泳"
"5"	"比赛"
"5"	"共出"
"5"	"现"
"5"	"3万"
"5"	"座位"
"1"	"临时"
"1"	"划"
"1"	"内"
"1"	"展开"
"5"	"等"
"5"	"队员"
"5"	"旁边"
"5"	"训练"
"5"	"训练"
"5"	"准时"
"4"	"预"
"4"	"订"
"4"	"体育场"
"4"	"从事"
"5"	"世锦赛"
"5"	"比赛"
"5"	"适应"
"5"	"设施"
"5"	"p"
"5"	"安排"
"5"	"p"
"5"	"马队"
"5"	"一齐"
"5"	"中央"
"5"	"奔来"
"5"	"参"
"5"	"赛"
"5"	"到达"
"5"	"三亚"
"5"	"举行"
"5"	"绕"
"5"	"标赛"
"5"	"昨"
"5"	"晨"
"5"	"断定"
"5"	"湿烂"
"5"	"状况"
"5"	"无法"
"5"	"改善"
"5"	"外"
"5"	"黏土"
"5"	"选手"
"5"	"球队"
"5"	"顿"
"5"	"布阵"
"5"	"等待"
"5"	"围捕"
"5"	"小时"
"5"	"匆匆"
"5"	"赶往"
"5"	"拍摄"
"5"	"外景"
"5"	"演"
"5"	"烟花"
"5"	"引爆"
"5"	"引爆"
"5"	"体育场"
"5"	"讯号"
"5"	"直通"
"5"	"引爆"
"5"	"烟花"
"5"	"适应"
"5"	"学生赛"
"5"	"庙"
"5"	"教堂"
"5"	"借用"
"5"	"庙"
"5"	"信徒"
"5"	"举行"
"5"	"祭祀"
"5"	"体育"
"5"	"比赛"
"5"	"增多"
"5"	"演出"
"5"	"还好"
"5"	"偷拍"
"5"	"风气"
"5"	"薄膜"
"5"	"自家"
"5"	"里"
"5"	"忙"
"5"	"活"
"5"	"起来"
"3"	"扩大"
"3"	"强制"
"3"	"执行"
"3"	"实施"
"1"	"百分之七"
"1"	"供给额"
"1"	"目标区"
"1"	"内"
"1"	"百分之十一"
"3"	"扩大"
"3"	"条例"
"3"	"适用"
"3"	"钢铁业界"
"5"	"证期"
"5"	"代客"
"5"	"承销"
"5"	"债券"
"5"	"洄游"
"5"	"分佈"
"5"	"遍佈"
"5"	"全省"
"5"	"公里"
"3"	"扩大"
"3"	"属于"
"3"	"服务业"
"3"	"适用"
"5"	"圈选"
"5"	"电子类股"
"5"	"更"
"5"	"使用"
"5"	"宝特瓶"
"5"	"数量"
"5"	"超越"
"5"	"回收"
"5"	"规范"
"5"	"未必"
"5"	"风险性"
"5"	"计算"
"5"	"标准"
"5"	"限制"
"5"	"虱目鱼"
"5"	"转音"
"5"	"虱目鱼"
"5"	"分佈"
"5"	"遍及"
"5"	"印度洋"
"3"	"适用"
"3"	"有价证券"
"3"	"认股权"
"3"	"凭证"
"3"	"认股权"
"3"	"纳入"
"3"	"规范"
"5"	"雅吉"
"5"	"台风"
"5"	"警戒"
"3"	"扩大"
"3"	"社工"
"3"	"明定"
"3"	"直辖市"
"3"	"市"
"3"	"扩大"
"3"	"不得"
"3"	"限制"
"3"	"规范"
"3"	"内"
"5"	"移动"
"5"	"以南"
"5"	"脱离"
"5"	"暴风"
"5"	"减弱"
"5"	"台风"
"5"	"闲置资"
"5"	"运用"
"5"	"包括"
"3"	"扩大"
"3"	"计画"
"3"	"列管"
"5"	"方泰霖"
"5"	"南港"
"5"	"大"
"5"	"区"
"5"	"申请"
"5"	"车辆"
"5"	"移置"
"5"	"服务"
"5"	"限于"
"5"	"市区"
"5"	"列入"
"5"	"造街"
"5"	"计画"
"5"	"造街"
"5"	"清水"
"5"	"镇慷榔"
"5"	"评估"
"1"	"现行"
"1"	"法规"
"1"	"内"
"1"	"实施"
"1"	"申请"
"5"	"考虑"
"5"	"其"
"5"	"干预"
"1"	"裁定"
"1"	"许可"
"1"	"内"
"5"	"一百六十多"
"5"	"公里"
"5"	"规模"
"1"	"即日"
"1"	"两百"
"1"	"公尺"
"1"	"内"
"1"	"贩卖"
"5"	"管辖"
"5"	"广"
"5"	"主管机"
"5"	"市"
"5"	"自来水"
"5"	"事业处"
"5"	"供水"
"5"	"包括"
"5"	"新店"
"5"	"合理"
"5"	"891126"
"5"	"干管"
"3"	"放款"
"3"	"列报"
"3"	"日益"
"3"	"扩大"
"5"	"北约"
"5"	"属于"
"5"	"属于"
"5"	"麻醉剂"
"5"	"交流"
"5"	"包括"
"5"	"予"
"5"	"施作"
"5"	"予"
"5"	"选定"
"5"	"属"
"5"	"结社"
"5"	"保障"
"5"	"限制"
"5"	"超出"
"5"	"观测"
"5"	"此后"
"3"	"建设税"
"3"	"适用"
"3"	"扩大"
"5"	"管辖"
"5"	"内"
"5"	"建照"
"5"	"颁奖"
"5"	"较"
"5"	"广"
"5"	"涵盖"
"3"	"电话网"
"3"	"扩大"
"3"	"覆盖"
"3"	"营运"
"3"	"覆"
"3"	"盖"
"3"	"三十六"
"5"	"讨论"
"5"	"理"
"5"	"两造"
"5"	"简化"
"5"	"确认"
"1"	"内"
"1"	"划定"
"1"	"一定"
"1"	"警戒区"
"1"	"域"
"1"	"进入"
"3"	"扩大"
"3"	"退抚"
"3"	"年资"
"3"	"适用"
"1"	"范围"
"1"	"内"
"1"	"医疗用地"
"1"	"其"
"1"	"周围"
"1"	"公尺"
"1"	"内"
"1"	"都市"
"1"	"计画"
"1"	"不得"
"1"	"从事"
"5"	"允诺"
"5"	"能力"
"5"	"之内"
"5"	"工作"
"3"	"纳入"
"3"	"适用"
"1"	"调查"
"1"	"内"
"5"	"大"
"5"	"广"
"5"	"传播力"
"1"	"能力"
"1"	"内"
"1"	"内"
"1"	"较"
"1"	"大"
"1"	"内"
"1"	"保障"
"1"	"内"
"1"	"服务"
"1"	"服务"
"1"	"拓宽"
"1"	"服务"
"5"	"规定"
"5"	"属于"
"5"	"职权"
"3"	"审计"
"3"	"内容"
"3"	"审计"
"3"	"逐步"
"3"	"扩大"
"3"	"审计"
"3"	"不断"
"3"	"审计"
"5"	"互联网"
"5"	"涵盖"
"5"	"过于"
"5"	"宽"
"5"	"泛"
"3"	"包括"
"3"	"扩大"
"3"	"药检"
"3"	"不得"
"1"	"移动"
"1"	"在"
"1"	"世界"
"1"	"内"
"1"	"使用"
"1"	"传输"
"1"	"定向"
"1"	"天线"
"1"	"前方"
"1"	"米"
"1"	"内"
"1"	"施工"
"1"	"天线"
"1"	"米"
"1"	"天线"
"1"	"前方"
"1"	"米"
"1"	"内"
"1"	"施工"
"1"	"天线"
"1"	"前方"
"1"	"米"
"1"	"盟约"
"1"	"平方公里"
"1"	"内"
"5"	"进一步"
"5"	"扩"
"5"	"展"
"5"	"精品"
"5"	"游线"
"1"	"内"
"1"	"监督"
"1"	"更"
"1"	"宽"
"3"	"条例"
"3"	"适用"
"3"	"设定"
"1"	"世界"
"1"	"内"
"1"	"无与伦比"
"3"	"药品"
"3"	"招标集"
"3"	"采购"
"3"	"不断"
"3"	"扩大"
"5"	"选区"
"5"	"其"
"5"	"势力"
"5"	"大略"
"5"	"省获"
"5"	"全国"
"5"	"票价"
"5"	"适当"
"5"	"全国"
"5"	"在"
"5"	"全国"
"5"	"展"
"5"	"艾滋病"
"1"	"联网"
"1"	"在"
"1"	"全球"
"1"	"内"
"1"	"合适"
"5"	"规则"
"5"	"结构"
"5"	"职能"
"5"	"范围"
"1"	"干预"
"1"	"自治"
"1"	"内"
"1"	"事务"
"1"	"全国"
"1"	"省委"
"1"	"全"
"1"	"省"
"1"	"内"
"1"	"开展"
"1"	"内"
"1"	"朝发夕至"
"1"	"公里"
"1"	"内"
"1"	"夕发朝"
"1"	"2500"
"1"	"公里"
"5"	"600多"
"5"	"公里"
"5"	"淹没"
"5"	"涉及"
"5"	"湖北省"
"5"	"重庆市"
"5"	"区"
"5"	"营业区"
"5"	"扩大"
"5"	"营业区"
"5"	"扩大到"
"5"	"行政县"
"5"	"范围"
"5"	"意味"
"3"	"进一步"
"3"	"扩大"
"3"	"规范"
"5"	"大"
"5"	"相对"
"5"	"耳轮"
"5"	"较"
"5"	"大"
"5"	"分布"
"3"	"扩大"
"1"	"保护区"
"1"	"在"
"1"	"保护区"
"1"	"内"
"1"	"严禁"
"1"	"建盖"
"1"	"保护区"
"5"	"受理"
"5"	"管辖"
"5"	"内"
"5"	"举报"
"5"	"侦查"
"1"	"受灾"
"1"	"全"
"1"	"内"
"1"	"口粮"
"5"	"扩张"
"5"	"其三"
"5"	"全球"
"5"	"两极"
"5"	"分化"
"5"	"藏羚羊"
"5"	"大"
"5"	"活动"
"5"	"藏羚羊"
"5"	"种群"
"4"	"服务"
"4"	"青旅"
"4"	"业务"
"4"	"涉"
"4"	"出入境"
"1"	"世界"
"1"	"内"
"5"	"大"
"5"	"列入"
"5"	"鉴定"
"5"	"意味"
"5"	"更"
"5"	"大"
"5"	"更深"
"5"	"层次"
"3"	"纳入"
"1"	"区域"
"1"	"全国"
"1"	"内"
"3"	"扩大"
"3"	"一定"
"3"	"接触者"
"1"	"全"
"1"	"世界"
"1"	"内"
"1"	"反恐"
"1"	"包括"
"1"	"规定"
"1"	"其"
"1"	"国际法"
"1"	"许可"
"1"	"内"
"1"	"行使"
"1"	"管辖权"
"1"	"应当"
"1"	"世界"
"1"	"合理"
"1"	"内"
"1"	"浮动"
"5"	"全球"
"5"	"广"
"5"	"大"
"5"	"确定"
"5"	"浮动"
"5"	"黑颈鹤"
"5"	"活动"
"5"	"狭窄"
"5"	"限于"
"5"	"招生"
"5"	"考试"
"5"	"大"
"5"	"活动"
"5"	"控制"
"5"	"小"
"5"	"图像"
"5"	"直观"
"5"	"探测"
"5"	"广"
"5"	"干扰"
"4"	"批准"
"4"	"经营"
"4"	"长江三角洲"
"4"	"天安"
"4"	"保险"
"4"	"保险"
"1"	"各自"
"1"	"分"
"1"	"管"
"1"	"内"
"5"	"全国"
"5"	"大"
"5"	"降水"
"5"	"降温"
"1"	"大"
"1"	"内"
"5"	"大"
"5"	"饥荒"
"5"	"世界"
"5"	"粮食"
"5"	"石油类"
"5"	"重金属"
"5"	"超标"
"5"	"有所"
"1"	"控制"
"1"	"允许"
"1"	"内"
"1"	"施工"
"1"	"调试"
"1"	"内"
"1"	"展"
"1"	"经营"
"1"	"更"
"1"	"广泛"
"1"	"内"
"1"	"展开"
"1"	"限制"
"1"	"一定"
"1"	"内"
"1"	"其"
"1"	"全国"
"1"	"内"
"1"	"统一"
"1"	"调配"
"1"	"主要"
"1"	"船舶"
"1"	"侧"
"1"	"米"
"1"	"内"
"1"	"段"
"5"	"电站"
"5"	"供电"
"5"	"广"
"4"	"许可证"
"4"	"注册"
"4"	"业务"
"4"	"内容"
"4"	"法律"
"4"	"规定"
"5"	"沙尘"
"5"	"天气"
"5"	"频次"
"5"	"强度"
"5"	"包括"
"5"	"工模"
"5"	"天大"
"5"	"降雨"
"1"	"一定"
"1"	"内"
"1"	"激光"
"1"	"内"
"5"	"举动"
"5"	"超越"
"5"	"驻科"
"5"	"职责"
"5"	"法律"
"1"	"以南"
"1"	"平方公里"
"1"	"内"
"5"	"北约"
"5"	"区域"
"5"	"远远"
"5"	"超出"
"5"	"中亚国"
"1"	"已"
"1"	"全球"
"1"	"内"
"1"	"开展"
"1"	"世界"
"1"	"地质"
"1"	"申报"
"1"	"活动"
"5"	"全国"
"5"	"规模"
"5"	"大"
"5"	"广"
"1"	"公认"
"1"	"合理"
"1"	"数值"
"1"	"内"
"1"	"市"
"1"	"更"
"1"	"大"
"1"	"内"
"1"	"优化"
"1"	"配置"
"1"	"电力"
"1"	"世界"
"1"	"内"
"5"	"降雨"
"5"	"强度"
"5"	"大"
"5"	"广"
"5"	"雨量"
"5"	"大"
"1"	"各自"
"1"	"全县"
"1"	"内"
"1"	"直选"
"1"	"换届"
"5"	"调整"
"5"	"局限"
"5"	"国有"
"5"	"之内"
"5"	"属于"
"5"	"救助"
"5"	"楚国"
"5"	"乞讨"
"3"	"保障"
"3"	"试点"
"3"	"扩大"
"1"	"清理"
"1"	"域名"
"1"	"全国"
"1"	"内"
"1"	"开展"
"1"	"域名"
"1"	"注册"
"1"	"服务"
"1"	"规范"
"1"	"整顿"
"5"	"菌"
"5"	"传播"
"3"	"扩大"
"5"	"运用"
"5"	"保险"
"5"	"债券"
"5"	"限于"
"5"	"扩大到"
"5"	"传播"
"5"	"全球"
"5"	"内感"
"5"	"染"
"5"	"大"
"1"	"全省"
"1"	"内"
"1"	"降雨"
"1"	"更"
"1"	"大"
"1"	"内"
"1"	"安全"
"1"	"抵抗"
"1"	"活动"
"1"	"合法"
"1"	"内"
"5"	"投标"
"5"	"资质"
"5"	"考察"
"5"	"包括"
"5"	"投标"
"5"	"活动"
"5"	"次数"
"5"	"世界"
"5"	"更"
"5"	"大"
"5"	"更"
"5"	"广"
"5"	"更"
"5"	"层次"
"3"	"古籍"
"3"	"布局"
"3"	"进一步"
"3"	"扩大"
"3"	"古籍"
"3"	"选题"
"3"	"不断"
"3"	"拓宽"
"3"	"原先"
"3"	"较"
"5"	"预警"
"5"	"评估"
"5"	"强度"
"5"	"波及"
"5"	"续发病"
"5"	"扩散"
"4"	"工作会议"
"4"	"所"
"4"	"开放"
"4"	"市场准入"
"4"	"服务"
"4"	"定义"
"3"	"逐步"
"3"	"扩大"
"3"	"发放"
"3"	"教科书"
"3"	"级政"
"3"	"逐步"
"5"	"超越"
"5"	"粤港"
"1"	"内"
"5"	"沙尘"
"5"	"天气"
"5"	"强度"
"5"	"减弱"
"5"	"次数"
"5"	"减小"
"5"	"消协"
"5"	"改革"
"5"	"开放"
"5"	"在"
"5"	"更"
"5"	"大"
"5"	"更"
"5"	"广"
"5"	"更"
"5"	"层次"
"5"	"有限"
"5"	"之内"
"3"	"扩大"
"5"	"全球"
"5"	"空前"
"5"	"流动"
"5"	"能力"
"5"	"扩大到"
"5"	"8.5"
"5"	"涵盖"
"5"	"较"
"5"	"广"
"5"	"500"
"1"	"一定"
"1"	"内"
"1"	"吉知马"
"1"	"市镇会"
"1"	"管辖"
"1"	"内"
"5"	"阿兹"
"5"	"包括"
"5"	"在"
"5"	"小"
"1"	"其"
