"","tokenlabel","cluster"
"行为/Na/XIN_CMN_20030627_wpr/33257","行为/Na/XIN_CMN_20030627_wpr/33257",1
"行为/Na/CNA_CMN_20001011_wpr/66196","行为/Na/CNA_CMN_20001011_wpr/66196",1
"行为/Na/CNA_CMN_20001122_wpr/87056","行为/Na/CNA_CMN_20001122_wpr/87056",1
"行为/Na/CNA_CMN_20010109_wpr/18476","行为/Na/CNA_CMN_20010109_wpr/18476",1
"行为/Na/XIN_CMN_20001008_wpr/17910","行为/Na/XIN_CMN_20001008_wpr/17910",1
"行为/Na/XIN_CMN_20001031_wpr/82815","行为/Na/XIN_CMN_20001031_wpr/82815",1
"行为/Na/XIN_CMN_20030928_wpr/45347","行为/Na/XIN_CMN_20030928_wpr/45347",1
"行为/Na/CNA_CMN_20001205_wpr/39200","行为/Na/CNA_CMN_20001205_wpr/39200",1
"行为/Na/CNA_CMN_20001218_wpr/72017","行为/Na/CNA_CMN_20001218_wpr/72017",1
"行为/Na/XIN_CMN_20030619_wpr/38320","行为/Na/XIN_CMN_20030619_wpr/38320",1
"行为/Na/ZBN_CMN_20030626_wpr/37669","行为/Na/ZBN_CMN_20030626_wpr/37669",1
"行为/Na/CNA_CMN_20001024_wpr/153368","行为/Na/CNA_CMN_20001024_wpr/153368",1
"行为/Na/ZBN_CMN_20030608_wpr/26821","行为/Na/ZBN_CMN_20030608_wpr/26821",1
"行为/Na/XIN_CMN_20001211_wpr/1367","行为/Na/XIN_CMN_20001211_wpr/1367",1
"行为/Na/CNA_CMN_20001124_wpr/11463","行为/Na/CNA_CMN_20001124_wpr/11463",1
"行为/Na/CNA_CMN_20001212_wpr/119914","行为/Na/CNA_CMN_20001212_wpr/119914",1
"行为/Na/CNA_CMN_20001122_wpr/87313","行为/Na/CNA_CMN_20001122_wpr/87313",1
"行为/Na/CNA_CMN_20001122_wpr/87284","行为/Na/CNA_CMN_20001122_wpr/87284",1
"行为/Na/ZBN_CMN_20030515_wpr/35612","行为/Na/ZBN_CMN_20030515_wpr/35612",1
"行为/Na/ZBN_CMN_20030515_wpr/50982","行为/Na/ZBN_CMN_20030515_wpr/50982",1
"行为/Na/CNA_CMN_20001002_wpr/97535","行为/Na/CNA_CMN_20001002_wpr/97535",1
"行为/Na/CNA_CMN_20001023_wpr/134875","行为/Na/CNA_CMN_20001023_wpr/134875",1
"行为/Na/XIN_CMN_20001110_wpr/18946","行为/Na/XIN_CMN_20001110_wpr/18946",1
"行为/Na/XIN_CMN_20030828_wpr/66649","行为/Na/XIN_CMN_20030828_wpr/66649",1
"行为/Na/CNA_CMN_20001117_wpr/120644","行为/Na/CNA_CMN_20001117_wpr/120644",1
"行为/Na/ZBN_CMN_20001004_wpr/26985","行为/Na/ZBN_CMN_20001004_wpr/26985",1
"行为/Na/CNA_CMN_20030706_wpr/7115","行为/Na/CNA_CMN_20030706_wpr/7115",1
"行为/Na/CNA_CMN_20001219_wpr/127928","行为/Na/CNA_CMN_20001219_wpr/127928",1
"行为/Na/CNA_CMN_20001118_wpr/99565","行为/Na/CNA_CMN_20001118_wpr/99565",1
"行为/Na/ZBN_CMN_20010109_wpr/11375","行为/Na/ZBN_CMN_20010109_wpr/11375",1
"行为/Na/XIN_CMN_20030804_wpr/22725","行为/Na/XIN_CMN_20030804_wpr/22725",1
"行为/Na/XIN_CMN_20030827_wpr/17749","行为/Na/XIN_CMN_20030827_wpr/17749",1
"行为/Na/ZBN_CMN_20001111_wpr/35652","行为/Na/ZBN_CMN_20001111_wpr/35652",1
"行为/Na/XIN_CMN_20030727_wpr/38985","行为/Na/XIN_CMN_20030727_wpr/38985",1
"行为/Na/ZBN_CMN_20030718_wpr/66272","行为/Na/ZBN_CMN_20030718_wpr/66272",1
"行为/Na/XIN_CMN_20010118_wpr/69867","行为/Na/XIN_CMN_20010118_wpr/69867",1
"行为/Na/XIN_CMN_20010118_wpr/69988","行为/Na/XIN_CMN_20010118_wpr/69988",1
"行为/Na/XIN_CMN_20030813_wpr/46064","行为/Na/XIN_CMN_20030813_wpr/46064",1
"行为/Na/ZBN_CMN_20001127_wpr/29239","行为/Na/ZBN_CMN_20001127_wpr/29239",1
"行为/Na/XIN_CMN_20001221_wpr/90721","行为/Na/XIN_CMN_20001221_wpr/90721",1
"行为/Na/XIN_CMN_20010115_wpr/61221","行为/Na/XIN_CMN_20010115_wpr/61221",1
"行为/Na/CNA_CMN_20030505_wpr/4894","行为/Na/CNA_CMN_20030505_wpr/4894",1
"行为/Na/XIN_CMN_20001217_wpr/15405","行为/Na/XIN_CMN_20001217_wpr/15405",1
"行为/Na/XIN_CMN_20030618_wpr/13223","行为/Na/XIN_CMN_20030618_wpr/13223",1
"行为/Na/XIN_CMN_20001009_wpr/71921","行为/Na/XIN_CMN_20001009_wpr/71921",1
"行为/Na/ZBN_CMN_20001122_wpr/415","行为/Na/ZBN_CMN_20001122_wpr/415",1
"行为/Na/CNA_CMN_20001127_wpr/15920","行为/Na/CNA_CMN_20001127_wpr/15920",1
"行为/Na/ZBN_CMN_20030607_wpr/4571","行为/Na/ZBN_CMN_20030607_wpr/4571",1
"行为/Na/ZBN_CMN_20030522_wpr/14922","行为/Na/ZBN_CMN_20030522_wpr/14922",1
"行为/Na/XIN_CMN_20001130_wpr/20316","行为/Na/XIN_CMN_20001130_wpr/20316",1
"行为/Na/ZBN_CMN_20030810_wpr/25221","行为/Na/ZBN_CMN_20030810_wpr/25221",1
"行为/Na/XIN_CMN_20030419_wpr/2378","行为/Na/XIN_CMN_20030419_wpr/2378",1
"行为/Na/ZBN_CMN_20030925_wpr/86666","行为/Na/ZBN_CMN_20030925_wpr/86666",1
"行为/Na/ZBN_CMN_20030718_wpr/72168","行为/Na/ZBN_CMN_20030718_wpr/72168",1
"行为/Na/XIN_CMN_20030825_wpr/64921","行为/Na/XIN_CMN_20030825_wpr/64921",1
"行为/Na/XIN_CMN_20030912_wpr/9577","行为/Na/XIN_CMN_20030912_wpr/9577",1
"行为/Na/ZBN_CMN_20001102_wpr/26199","行为/Na/ZBN_CMN_20001102_wpr/26199",1
"行为/Na/ZBN_CMN_20001124_wpr/17689","行为/Na/ZBN_CMN_20001124_wpr/17689",1
"行为/Na/ZBN_CMN_20030921_wpr/80829","行为/Na/ZBN_CMN_20030921_wpr/80829",1
"行为/Na/XIN_CMN_20010131_wpr/11896","行为/Na/XIN_CMN_20010131_wpr/11896",1
"行为/Na/XIN_CMN_20001220_wpr/52215","行为/Na/XIN_CMN_20001220_wpr/52215",1
"行为/Na/XIN_CMN_20010123_wpr/63369","行为/Na/XIN_CMN_20010123_wpr/63369",1
"行为/Na/XIN_CMN_20001206_wpr/65948","行为/Na/XIN_CMN_20001206_wpr/65948",1
"行为/Na/ZBN_CMN_20030928_wpr/3567","行为/Na/ZBN_CMN_20030928_wpr/3567",1
"行为/Na/ZBN_CMN_20030914_wpr/48415","行为/Na/ZBN_CMN_20030914_wpr/48415",1
"行为/Na/XIN_CMN_20030503_wpr/5210","行为/Na/XIN_CMN_20030503_wpr/5210",1
"行为/Na/XIN_CMN_20001013_wpr/50737","行为/Na/XIN_CMN_20001013_wpr/50737",1
"行为/Na/ZBN_CMN_20030609_wpr/56181","行为/Na/ZBN_CMN_20030609_wpr/56181",1
"行为/Na/CNA_CMN_20001216_wpr/124021","行为/Na/CNA_CMN_20001216_wpr/124021",1
"行为/Na/ZBN_CMN_20001108_wpr/9031","行为/Na/ZBN_CMN_20001108_wpr/9031",1
"行为/Na/ZBN_CMN_20030531_wpr/48625","行为/Na/ZBN_CMN_20030531_wpr/48625",1
"行为/Na/ZBN_CMN_20030925_wpr/41095","行为/Na/ZBN_CMN_20030925_wpr/41095",1
"行为/Na/ZBN_CMN_20030828_wpr/59240","行为/Na/ZBN_CMN_20030828_wpr/59240",1
"行为/Na/ZBN_CMN_20030629_wpr/39168","行为/Na/ZBN_CMN_20030629_wpr/39168",1
"行为/Na/XIN_CMN_20030924_wpr/60857","行为/Na/XIN_CMN_20030924_wpr/60857",1
"行为/Na/CNA_CMN_20001212_wpr/119970","行为/Na/CNA_CMN_20001212_wpr/119970",1
"行为/Na/XIN_CMN_20001008_wpr/38356","行为/Na/XIN_CMN_20001008_wpr/38356",1
"行为/Na/XIN_CMN_20010111_wpr/2084","行为/Na/XIN_CMN_20010111_wpr/2084",1
"行为/Na/ZBN_CMN_20010128_wpr/28565","行为/Na/ZBN_CMN_20010128_wpr/28565",1
"行为/Na/XIN_CMN_20030426_wpr/48887","行为/Na/XIN_CMN_20030426_wpr/48887",1
"行为/Na/ZBN_CMN_20030711_wpr/54926","行为/Na/ZBN_CMN_20030711_wpr/54926",1
"行为/Na/ZBN_CMN_20030502_wpr/48699","行为/Na/ZBN_CMN_20030502_wpr/48699",1
"行为/Na/XIN_CMN_20030409_wpr/101191","行为/Na/XIN_CMN_20030409_wpr/101191",1
"行为/Na/XIN_CMN_20030416_wpr/36229","行为/Na/XIN_CMN_20030416_wpr/36229",1
"行为/Na/XIN_CMN_20030417_wpr/20809","行为/Na/XIN_CMN_20030417_wpr/20809",1
"行为/Na/CNA_CMN_20001030_wpr/47853","行为/Na/CNA_CMN_20001030_wpr/47853",1
"表现/Na/ZBN_CMN_20001211_wpr/25786","表现/Na/ZBN_CMN_20001211_wpr/25786",1
"行为/Na/CNA_CMN_20010103_wpr/157127","行为/Na/CNA_CMN_20010103_wpr/157127",1
"行为/Na/CNA_CMN_20030801_wpr/5649","行为/Na/CNA_CMN_20030801_wpr/5649",1
"行为/Na/XIN_CMN_20001021_wpr/37093","行为/Na/XIN_CMN_20001021_wpr/37093",1
"行为/Na/XIN_CMN_20030810_wpr/49659","行为/Na/XIN_CMN_20030810_wpr/49659",1
"行为/Na/XIN_CMN_20030404_wpr/93239","行为/Na/XIN_CMN_20030404_wpr/93239",1
"行为/Na/ZBN_CMN_20030412_wpr/6170","行为/Na/ZBN_CMN_20030412_wpr/6170",1
"行为/Na/XIN_CMN_20030914_wpr/16294","行为/Na/XIN_CMN_20030914_wpr/16294",1
