"","tokenlabel","cluster"
"哥哥/Na/ZBN_CMN_20030412_wpr/7395","哥哥/Na/ZBN_CMN_20030412_wpr/7395",1
"哥哥/Na/ZBN_CMN_20030408_wpr/6649","哥哥/Na/ZBN_CMN_20030408_wpr/6649",1
"哥哥/Na/ZBN_CMN_20030408_wpr/6657","哥哥/Na/ZBN_CMN_20030408_wpr/6657",1
"兄弟/Na/CNA_CMN_20001204_wpr/86693","兄弟/Na/CNA_CMN_20001204_wpr/86693",1
"哥哥/Na/ZBN_CMN_20030410_wpr/15917","哥哥/Na/ZBN_CMN_20030410_wpr/15917",1
"哥哥/Na/ZBN_CMN_20030408_wpr/77569","哥哥/Na/ZBN_CMN_20030408_wpr/77569",1
"哥哥/Na/ZBN_CMN_20030406_wpr/23660","哥哥/Na/ZBN_CMN_20030406_wpr/23660",1
"哥哥/Na/ZBN_CMN_20030407_wpr/22267","哥哥/Na/ZBN_CMN_20030407_wpr/22267",1
"哥哥/Na/ZBN_CMN_20030419_wpr/23806","哥哥/Na/ZBN_CMN_20030419_wpr/23806",1
"哥哥/Na/ZBN_CMN_20030411_wpr/15770","哥哥/Na/ZBN_CMN_20030411_wpr/15770",1
"哥哥/Na/ZBN_CMN_20030422_wpr/11054","哥哥/Na/ZBN_CMN_20030422_wpr/11054",1
"哥哥/Na/ZBN_CMN_20030409_wpr/19614","哥哥/Na/ZBN_CMN_20030409_wpr/19614",1
"哥哥/Na/ZBN_CMN_20030419_wpr/24803","哥哥/Na/ZBN_CMN_20030419_wpr/24803",1
"哥哥/Na/ZBN_CMN_20030419_wpr/24812","哥哥/Na/ZBN_CMN_20030419_wpr/24812",1
"兄弟/Na/ZBN_CMN_20030529_wpr/14585","兄弟/Na/ZBN_CMN_20030529_wpr/14585",1
"兄弟/Na/XIN_CMN_20010101_wpr/6931","兄弟/Na/XIN_CMN_20010101_wpr/6931",1
"兄弟/Na/ZBN_CMN_20030512_wpr/31691","兄弟/Na/ZBN_CMN_20030512_wpr/31691",1
"哥哥/Na/ZBN_CMN_20030406_wpr/67562","哥哥/Na/ZBN_CMN_20030406_wpr/67562",1
"哥哥/Na/ZBN_CMN_20030418_wpr/13896","哥哥/Na/ZBN_CMN_20030418_wpr/13896",1
"哥哥/Na/ZBN_CMN_20030407_wpr/22311","哥哥/Na/ZBN_CMN_20030407_wpr/22311",1
"哥哥/Na/ZBN_CMN_20030407_wpr/22302","哥哥/Na/ZBN_CMN_20030407_wpr/22302",1
"哥哥/Na/ZBN_CMN_20030406_wpr/23998","哥哥/Na/ZBN_CMN_20030406_wpr/23998",1
"哥哥/Na/ZBN_CMN_20030406_wpr/24017","哥哥/Na/ZBN_CMN_20030406_wpr/24017",1
"哥哥/Na/ZBN_CMN_20030404_wpr/27158","哥哥/Na/ZBN_CMN_20030404_wpr/27158",1
"弟弟/Na/CNA_CMN_20001126_wpr/89705","弟弟/Na/CNA_CMN_20001126_wpr/89705",1
"弟弟/Na/ZBN_CMN_20030523_wpr/33422","弟弟/Na/ZBN_CMN_20030523_wpr/33422",1
"哥哥/Na/ZBN_CMN_20030404_wpr/29606","哥哥/Na/ZBN_CMN_20030404_wpr/29606",1
"哥哥/Na/ZBN_CMN_20030408_wpr/23162","哥哥/Na/ZBN_CMN_20030408_wpr/23162",1
"弟弟/Na/ZBN_CMN_20030727_wpr/55396","弟弟/Na/ZBN_CMN_20030727_wpr/55396",1
"哥哥/Na/ZBN_CMN_20030604_wpr/11803","哥哥/Na/ZBN_CMN_20030604_wpr/11803",1
"弟弟/Na/ZBN_CMN_20030811_wpr/29375","弟弟/Na/ZBN_CMN_20030811_wpr/29375",1
"哥哥/Na/ZBN_CMN_20030409_wpr/21955","哥哥/Na/ZBN_CMN_20030409_wpr/21955",1
"哥哥/Na/ZBN_CMN_20030404_wpr/17979","哥哥/Na/ZBN_CMN_20030404_wpr/17979",1
"哥哥/Na/ZBN_CMN_20030407_wpr/24203","哥哥/Na/ZBN_CMN_20030407_wpr/24203",1
"弟弟/Na/XIN_CMN_20030511_wpr/27029","弟弟/Na/XIN_CMN_20030511_wpr/27029",1
"弟弟/Na/ZBN_CMN_20030412_wpr/1275","弟弟/Na/ZBN_CMN_20030412_wpr/1275",1
"哥哥/Na/ZBN_CMN_20030405_wpr/6642","哥哥/Na/ZBN_CMN_20030405_wpr/6642",1
"哥哥/Na/XIN_CMN_20001012_wpr/87781","哥哥/Na/XIN_CMN_20001012_wpr/87781",1
"哥哥/Na/ZBN_CMN_20030409_wpr/25391","哥哥/Na/ZBN_CMN_20030409_wpr/25391",1
"哥哥/Na/ZBN_CMN_20030410_wpr/59089","哥哥/Na/ZBN_CMN_20030410_wpr/59089",2
"哥哥/Na/ZBN_CMN_20030407_wpr/81124","哥哥/Na/ZBN_CMN_20030407_wpr/81124",2
"哥哥/Na/ZBN_CMN_20030404_wpr/18251","哥哥/Na/ZBN_CMN_20030404_wpr/18251",2
"哥哥/Na/ZBN_CMN_20030408_wpr/26872","哥哥/Na/ZBN_CMN_20030408_wpr/26872",2
"哥哥/Na/ZBN_CMN_20030408_wpr/13292","哥哥/Na/ZBN_CMN_20030408_wpr/13292",2
"哥哥/Na/ZBN_CMN_20030409_wpr/58326","哥哥/Na/ZBN_CMN_20030409_wpr/58326",2
"哥哥/Na/ZBN_CMN_20030415_wpr/18988","哥哥/Na/ZBN_CMN_20030415_wpr/18988",2
"哥哥/Na/ZBN_CMN_20030413_wpr/16293","哥哥/Na/ZBN_CMN_20030413_wpr/16293",2
"哥哥/Na/ZBN_CMN_20030402_wpr/16414","哥哥/Na/ZBN_CMN_20030402_wpr/16414",2
"哥哥/Na/ZBN_CMN_20030404_wpr/26990","哥哥/Na/ZBN_CMN_20030404_wpr/26990",2
"哥哥/Na/ZBN_CMN_20030405_wpr/6860","哥哥/Na/ZBN_CMN_20030405_wpr/6860",2
"哥哥/Na/ZBN_CMN_20030403_wpr/97554","哥哥/Na/ZBN_CMN_20030403_wpr/97554",2
"哥哥/Na/ZBN_CMN_20030402_wpr/24955","哥哥/Na/ZBN_CMN_20030402_wpr/24955",2
"兄弟/Na/XIN_CMN_20030921_wpr/61083","兄弟/Na/XIN_CMN_20030921_wpr/61083",2
"哥哥/Na/ZBN_CMN_20030402_wpr/24880","哥哥/Na/ZBN_CMN_20030402_wpr/24880",2
"哥哥/Na/ZBN_CMN_20030409_wpr/24145","哥哥/Na/ZBN_CMN_20030409_wpr/24145",2
"哥哥/Na/ZBN_CMN_20030409_wpr/24143","哥哥/Na/ZBN_CMN_20030409_wpr/24143",2
"哥哥/Na/ZBN_CMN_20030406_wpr/26127","哥哥/Na/ZBN_CMN_20030406_wpr/26127",2
"哥哥/Na/ZBN_CMN_20030415_wpr/20003","哥哥/Na/ZBN_CMN_20030415_wpr/20003",2
"哥哥/Na/ZBN_CMN_20030413_wpr/14591","哥哥/Na/ZBN_CMN_20030413_wpr/14591",2
"哥哥/Na/ZBN_CMN_20030409_wpr/22852","哥哥/Na/ZBN_CMN_20030409_wpr/22852",2
"哥哥/Na/ZBN_CMN_20030409_wpr/25107","哥哥/Na/ZBN_CMN_20030409_wpr/25107",2
"哥哥/Na/ZBN_CMN_20030406_wpr/17525","哥哥/Na/ZBN_CMN_20030406_wpr/17525",2
"哥哥/Na/ZBN_CMN_20030413_wpr/14545","哥哥/Na/ZBN_CMN_20030413_wpr/14545",2
"哥哥/Na/ZBN_CMN_20030411_wpr/15433","哥哥/Na/ZBN_CMN_20030411_wpr/15433",2
"哥哥/Na/ZBN_CMN_20030403_wpr/23211","哥哥/Na/ZBN_CMN_20030403_wpr/23211",2
"哥哥/Na/ZBN_CMN_20030407_wpr/23615","哥哥/Na/ZBN_CMN_20030407_wpr/23615",2
