"","tokenlabel","cluster"
"汽车/Na/XIN_CMN_20030406_wpr/8445","汽车/Na/XIN_CMN_20030406_wpr/8445",1
"汽车/Na/XIN_CMN_20030406_wpr/8449","汽车/Na/XIN_CMN_20030406_wpr/8449",1
"汽车/Na/CNA_CMN_20001120_wpr/103727","汽车/Na/CNA_CMN_20001120_wpr/103727",1
"汽车/Na/XIN_CMN_20001014_wpr/17774","汽车/Na/XIN_CMN_20001014_wpr/17774",1
"汽车/Na/XIN_CMN_20001014_wpr/17782","汽车/Na/XIN_CMN_20001014_wpr/17782",1
"汽车/Na/CNA_CMN_20001117_wpr/90264","汽车/Na/CNA_CMN_20001117_wpr/90264",1
"汽车/Na/ZBN_CMN_20010122_wpr/17485","汽车/Na/ZBN_CMN_20010122_wpr/17485",1
"汽车/Na/XIN_CMN_20030714_wpr/74721","汽车/Na/XIN_CMN_20030714_wpr/74721",1
"汽车/Na/XIN_CMN_20030522_wpr/33807","汽车/Na/XIN_CMN_20030522_wpr/33807",1
"汽车/Na/ZBN_CMN_20030804_wpr/47174","汽车/Na/ZBN_CMN_20030804_wpr/47174",1
"汽车/Na/ZBN_CMN_20030909_wpr/33823","汽车/Na/ZBN_CMN_20030909_wpr/33823",1
"汽车/Na/XIN_CMN_20030713_wpr/44862","汽车/Na/XIN_CMN_20030713_wpr/44862",1
"汽车/Na/ZBN_CMN_20030814_wpr/14112","汽车/Na/ZBN_CMN_20030814_wpr/14112",1
"汽车/Na/XIN_CMN_20010109_wpr/85177","汽车/Na/XIN_CMN_20010109_wpr/85177",1
"汽车/Na/ZBN_CMN_20030725_wpr/49456","汽车/Na/ZBN_CMN_20030725_wpr/49456",1
"汽车/Na/XIN_CMN_20030421_wpr/44902","汽车/Na/XIN_CMN_20030421_wpr/44902",1
"汽车/Na/ZBN_CMN_20030519_wpr/76943","汽车/Na/ZBN_CMN_20030519_wpr/76943",1
"汽车/Na/XIN_CMN_20010103_wpr/61351","汽车/Na/XIN_CMN_20010103_wpr/61351",1
"汽车/Na/ZBN_CMN_20001230_wpr/30079","汽车/Na/ZBN_CMN_20001230_wpr/30079",1
"汽车/Na/XIN_CMN_20030717_wpr/12174","汽车/Na/XIN_CMN_20030717_wpr/12174",1
"汽车/Na/ZBN_CMN_20030902_wpr/57224","汽车/Na/ZBN_CMN_20030902_wpr/57224",1
"汽车/Na/XIN_CMN_20030722_wpr/24864","汽车/Na/XIN_CMN_20030722_wpr/24864",1
"汽车/Na/ZBN_CMN_20030811_wpr/50932","汽车/Na/ZBN_CMN_20030811_wpr/50932",1
"汽车/Na/XIN_CMN_20030428_wpr/17107","汽车/Na/XIN_CMN_20030428_wpr/17107",1
