"","tokenlabel","cluster"
"官司/Na/XIN_CMN_20001211_wpr/1132","官司/Na/XIN_CMN_20001211_wpr/1132",1
"诉讼案/Na/XIN_CMN_20001212_wpr/45151","诉讼案/Na/XIN_CMN_20001212_wpr/45151",1
"诉讼案/Na/XIN_CMN_20010130_wpr/38174","诉讼案/Na/XIN_CMN_20010130_wpr/38174",1
"诉讼案/Na/XIN_CMN_20001212_wpr/45190","诉讼案/Na/XIN_CMN_20001212_wpr/45190",1
"诉讼案/Na/XIN_CMN_20001227_wpr/41800","诉讼案/Na/XIN_CMN_20001227_wpr/41800",1
"案件/Na/XIN_CMN_20001203_wpr/29073","案件/Na/XIN_CMN_20001203_wpr/29073",1
"案件/Na/ZBN_CMN_20010129_wpr/9493","案件/Na/ZBN_CMN_20010129_wpr/9493",1
"案件/Na/ZBN_CMN_20030904_wpr/11899","案件/Na/ZBN_CMN_20030904_wpr/11899",1
"案件/Na/ZBN_CMN_20030709_wpr/60869","案件/Na/ZBN_CMN_20030709_wpr/60869",1
"案件/Na/ZBN_CMN_20030607_wpr/75456","案件/Na/ZBN_CMN_20030607_wpr/75456",1
"案件/Na/CNA_CMN_20001004_wpr/70429","案件/Na/CNA_CMN_20001004_wpr/70429",1
"案件/Na/ZBN_CMN_20030521_wpr/65613","案件/Na/ZBN_CMN_20030521_wpr/65613",1
"案件/Na/XIN_CMN_20030825_wpr/29346","案件/Na/XIN_CMN_20030825_wpr/29346",1
"案件/Na/CNA_CMN_20001123_wpr/143422","案件/Na/CNA_CMN_20001123_wpr/143422",1
"案件/Na/ZBN_CMN_20030408_wpr/70095","案件/Na/ZBN_CMN_20030408_wpr/70095",1
"案件/Na/CNA_CMN_20010129_wpr/9906","案件/Na/CNA_CMN_20010129_wpr/9906",1
"官司/Na/ZBN_CMN_20010112_wpr/5077","官司/Na/ZBN_CMN_20010112_wpr/5077",1
"案件/Na/ZBN_CMN_20030708_wpr/21207","案件/Na/ZBN_CMN_20030708_wpr/21207",1
"案件/Na/ZBN_CMN_20030821_wpr/22248","案件/Na/ZBN_CMN_20030821_wpr/22248",1
"案件/Na/ZBN_CMN_20030515_wpr/28255","案件/Na/ZBN_CMN_20030515_wpr/28255",1
"官司/Na/CNA_CMN_20001119_wpr/35281","官司/Na/CNA_CMN_20001119_wpr/35281",1
"诉讼案/Na/XIN_CMN_20001123_wpr/52111","诉讼案/Na/XIN_CMN_20001123_wpr/52111",1
"官司/Na/CNA_CMN_20001206_wpr/176338","官司/Na/CNA_CMN_20001206_wpr/176338",1
"案件/Na/ZBN_CMN_20030812_wpr/63697","案件/Na/ZBN_CMN_20030812_wpr/63697",1
"案件/Na/ZBN_CMN_20001225_wpr/9115","案件/Na/ZBN_CMN_20001225_wpr/9115",1
"案件/Na/ZBN_CMN_20001225_wpr/10170","案件/Na/ZBN_CMN_20001225_wpr/10170",1
"案件/Na/ZBN_CMN_20030704_wpr/56267","案件/Na/ZBN_CMN_20030704_wpr/56267",1
"案件/Na/XIN_CMN_20001218_wpr/982","案件/Na/XIN_CMN_20001218_wpr/982",1
"案件/Na/ZBN_CMN_20030530_wpr/41057","案件/Na/ZBN_CMN_20030530_wpr/41057",1
