"cluster"	"sigcol"
"2"	"傅正纲"
"2"	"授旗"
"2"	"侨胞"
"2"	"持"
"2"	"参加"
"2"	"宣圣"
"2"	"园区"
"2"	"今天"
"2"	"上午"
"2"	"正式"
"2"	"上线"
"2"	"启用"
"2"	"清大"
"2"	"校长"
"2"	"清大"
"2"	"上"
"2"	"举行"
"2"	"双十国庆"
"2"	"致敬"
"2"	"授旗"
"2"	"由"
"2"	"方芸芸"
"2"	"代表"
"2"	"代表"
"2"	"签约"
"2"	"签字"
"2"	"项"
"4"	"侨胞"
"4"	"参加"
"4"	"上午"
"4"	"八时"
"4"	"三十分"
"4"	"举行"
"4"	"揭开"
"4"	"侨胞"
"4"	"今天"
"2"	"歌舞"
"2"	"破土"
"2"	"后"
"2"	"原住民"
"2"	"与会"
"2"	"来宾"
"2"	"汉庙"
"2"	"夜祭"
"2"	"失传"
"2"	"平埔族"
"2"	"圣火点"
"2"	"燃"
"2"	"点火"
"2"	"官手"
"4"	"上"
"4"	"举行"
"4"	"追思"
"4"	"柯恩"
"4"	"总统"
"4"	"今天"
"4"	"举行"
"4"	"通水"
"4"	"六十九"
"4"	"纪念"
"4"	"林丰喜"
"4"	"主持"
"4"	"中心"
"4"	"揭幕"
"4"	"达赖"
"4"	"多瑙河"
"4"	"发表"
"4"	"演说"
"4"	"到场"
"4"	"祝贺"
"4"	"交接"
"4"	"后"
"4"	"厚生会"
"4"	"上午"
"4"	"出席"
"4"	"中心"
"4"	"大楼"
"4"	"揭幕"
"4"	"后"
"2"	"剪綵"
"2"	"上"
"4"	"定于"
"4"	"上午"
"4"	"十时"
"4"	"举行"
"4"	"捐赠"
"4"	"由"
"4"	"法治村"
"4"	"武界"
"4"	"牧师"
"4"	"代表"
"4"	"受"
"2"	"倒数"
"2"	"大使"
"2"	"入主"
"2"	"台长"
"2"	"陈信雄"
"2"	"原住民"
"2"	"传统"
"2"	"埋石"
"2"	"象征"
"2"	"代表"
"2"	"原住民"
"2"	"传统"
"2"	"埋石"
"2"	"象征"
"2"	"简短"
"2"	"后"
"2"	"贵宾"
"2"	"随即"
"4"	"满载"
"4"	"举行"
"4"	"庆典"
"4"	"出港"
"4"	"争相"
"2"	"传统"
"2"	"欢庆"
"2"	"丰收"
"3"	"代表"
"3"	"开幕"
"3"	"总统"
"3"	"亲临"
"3"	"演讲"
"3"	"主持"
"3"	"项"
"3"	"颁奖"
"3"	"891113"
"3"	"吴伯雄"
"3"	"会见"
"4"	"转往"
"4"	"深圳"
"4"	"出席"
"4"	"邓小"
"4"	"塑像"
"4"	"揭幕"
"4"	"深圳"
"4"	"特区"
"4"	"成立"
"4"	"庆祝"
"4"	"大会"
"4"	"今天"
"4"	"中庭"
"4"	"举行"
"4"	"现场"
"4"	"开酒"
"4"	"主厨"
"4"	"宗教"
"2"	"道教"
"2"	"登"
"2"	"刀梯"
"2"	"道士"
"2"	"刀梯"
"2"	"宣读"
"2"	"吴伯雄"
"2"	"祭祖"
"2"	"后"
"2"	"院长"
"2"	"由"
"2"	"今天"
