"","tokenlabel","cluster"
"家族/Na/XIN_CMN_20030922_wpr/18676","家族/Na/XIN_CMN_20030922_wpr/18676",1
"家族/Na/ZBN_CMN_20030923_wpr/75767","家族/Na/ZBN_CMN_20030923_wpr/75767",1
"家族/Na/ZBN_CMN_20030923_wpr/76053","家族/Na/ZBN_CMN_20030923_wpr/76053",1
"家族/Na/ZBN_CMN_20030720_wpr/21896","家族/Na/ZBN_CMN_20030720_wpr/21896",1
"家族/Na/ZBN_CMN_20030626_wpr/58443","家族/Na/ZBN_CMN_20030626_wpr/58443",1
"家族/Na/ZBN_CMN_20030626_wpr/58292","家族/Na/ZBN_CMN_20030626_wpr/58292",1
"家族/Na/ZBN_CMN_20030621_wpr/61565","家族/Na/ZBN_CMN_20030621_wpr/61565",1
"家族/Na/ZBN_CMN_20030806_wpr/35981","家族/Na/ZBN_CMN_20030806_wpr/35981",1
"家族/Na/ZBN_CMN_20001006_wpr/19038","家族/Na/ZBN_CMN_20001006_wpr/19038",1
"家族/Na/ZBN_CMN_20030923_wpr/76025","家族/Na/ZBN_CMN_20030923_wpr/76025",1
"家族/Na/ZBN_CMN_20030905_wpr/36242","家族/Na/ZBN_CMN_20030905_wpr/36242",1
"家族/Na/ZBN_CMN_20030509_wpr/13798","家族/Na/ZBN_CMN_20030509_wpr/13798",1
"家族/Na/ZBN_CMN_20030524_wpr/63556","家族/Na/ZBN_CMN_20030524_wpr/63556",1
"家族/Na/XIN_CMN_20010113_wpr/15907","家族/Na/XIN_CMN_20010113_wpr/15907",1
"家族/Na/ZBN_CMN_20030530_wpr/5580","家族/Na/ZBN_CMN_20030530_wpr/5580",1
"家族/Na/ZBN_CMN_20030531_wpr/56011","家族/Na/ZBN_CMN_20030531_wpr/56011",1
"家族/Na/ZBN_CMN_20030909_wpr/11111","家族/Na/ZBN_CMN_20030909_wpr/11111",1
"家族/Na/ZBN_CMN_20030812_wpr/66919","家族/Na/ZBN_CMN_20030812_wpr/66919",1
"家族/Na/CNA_CMN_20001124_wpr/140145","家族/Na/CNA_CMN_20001124_wpr/140145",1
"家族/Na/CNA_CMN_20001125_wpr/50471","家族/Na/CNA_CMN_20001125_wpr/50471",1
"家族/Na/CNA_CMN_20001122_wpr/122360","家族/Na/CNA_CMN_20001122_wpr/122360",1
"家族/Na/CNA_CMN_20001116_wpr/109137","家族/Na/CNA_CMN_20001116_wpr/109137",1
"家族/Na/CNA_CMN_20001116_wpr/109151","家族/Na/CNA_CMN_20001116_wpr/109151",1
"家族/Na/CNA_CMN_20001125_wpr/50454","家族/Na/CNA_CMN_20001125_wpr/50454",1
"家族/Na/CNA_CMN_20001012_wpr/5777","家族/Na/CNA_CMN_20001012_wpr/5777",1
"家族/Na/CNA_CMN_20001001_wpr/44436","家族/Na/CNA_CMN_20001001_wpr/44436",1
"家族/Na/CNA_CMN_20001116_wpr/108910","家族/Na/CNA_CMN_20001116_wpr/108910",1
"家族/Na/CNA_CMN_20001012_wpr/5639","家族/Na/CNA_CMN_20001012_wpr/5639",1
"家族/Na/CNA_CMN_20001125_wpr/50803","家族/Na/CNA_CMN_20001125_wpr/50803",1
"家族/Na/CNA_CMN_20001122_wpr/122327","家族/Na/CNA_CMN_20001122_wpr/122327",1
"家族/Na/CNA_CMN_20001226_wpr/99305","家族/Na/CNA_CMN_20001226_wpr/99305",1
"家族/Na/CNA_CMN_20001204_wpr/66180","家族/Na/CNA_CMN_20001204_wpr/66180",1
"家族/Na/CNA_CMN_20010118_wpr/94395","家族/Na/CNA_CMN_20010118_wpr/94395",1
"家族/Na/ZBN_CMN_20030526_wpr/22095","家族/Na/ZBN_CMN_20030526_wpr/22095",1
"家族/Na/CNA_CMN_20030402_wpr/2050","家族/Na/CNA_CMN_20030402_wpr/2050",1
"家族/Na/CNA_CMN_20030402_wpr/2239","家族/Na/CNA_CMN_20030402_wpr/2239",1
"家族/Na/CNA_CMN_20030402_wpr/2011","家族/Na/CNA_CMN_20030402_wpr/2011",1
"家族/Na/CNA_CMN_20030601_wpr/844","家族/Na/CNA_CMN_20030601_wpr/844",1
"家族/Na/CNA_CMN_20001125_wpr/46567","家族/Na/CNA_CMN_20001125_wpr/46567",1
"家族/Na/CNA_CMN_20001105_wpr/40206","家族/Na/CNA_CMN_20001105_wpr/40206",1
"家族/Na/CNA_CMN_20001117_wpr/14501","家族/Na/CNA_CMN_20001117_wpr/14501",1
"家族/Na/CNA_CMN_20010121_wpr/26699","家族/Na/CNA_CMN_20010121_wpr/26699",1
"家族/Na/CNA_CMN_20001217_wpr/20017","家族/Na/CNA_CMN_20001217_wpr/20017",1
"家族/Na/CNA_CMN_20001025_wpr/84699","家族/Na/CNA_CMN_20001025_wpr/84699",1
"家族/Na/CNA_CMN_20010121_wpr/4372","家族/Na/CNA_CMN_20010121_wpr/4372",1
"家族/Na/CNA_CMN_20001012_wpr/78218","家族/Na/CNA_CMN_20001012_wpr/78218",1
"家族/Na/CNA_CMN_20001121_wpr/111446","家族/Na/CNA_CMN_20001121_wpr/111446",1
"家族/Na/ZBN_CMN_20030531_wpr/11084","家族/Na/ZBN_CMN_20030531_wpr/11084",2
"家族/Na/CNA_CMN_20001025_wpr/158786","家族/Na/CNA_CMN_20001025_wpr/158786",2
"家族/Na/ZBN_CMN_20030927_wpr/50248","家族/Na/ZBN_CMN_20030927_wpr/50248",2
"家族/Na/ZBN_CMN_20030916_wpr/34694","家族/Na/ZBN_CMN_20030916_wpr/34694",2
"家族/Na/CNA_CMN_20001106_wpr/141481","家族/Na/CNA_CMN_20001106_wpr/141481",2
"家族/Na/ZBN_CMN_20001103_wpr/35071","家族/Na/ZBN_CMN_20001103_wpr/35071",2
"家族/Na/ZBN_CMN_20001031_wpr/30493","家族/Na/ZBN_CMN_20001031_wpr/30493",2
