"cluster"	"sigcol"
"2"	":"
"2"	"共产党"
"2"	"支部"
"2"	"毛泽东任"
"2"	"三十五年"
"2"	":"
"2"	"﹐"
"2"	"市委"
"2"	"李宪生"
"2"	"紧急处"
"2"	"﹐"
"2"	"调任"
"2"	"河南省"
"2"	"委"
"2"	"书记"
"2"	"、"
"2"	"原"
"2"	"中共"
"2"	"西藏"
"2"	"区委"
"2"	"副"
"2"	"郭金龙"
"2"	"接任"
"2"	"陈奎元"
"2"	"北京"
"2"	"北京"
"2"	"市委"
"2"	"贾庆林"
"2"	"中共"
"2"	"广东省"
"2"	"委"
"2"	"李"
"2"	"长春"
"2"	"深圳市"
"2"	"委"
"2"	"书记"
"2"	"张"
"2"	"高丽"
"2"	"从头"
"2"	"陪"
"2"	"中共"
"2"	"珠海"
"2"	"市委"
"2"	"、"
"2"	"航展"
"2"	"组委会"
"2"	"副主任"
"2"	"兼"
"2"	"长"
"2"	"黄"
"2"	"主席"
"2"	"中共"
"2"	"珠海"
"2"	"市委"
"2"	"黄"
"2"	"龙云"
"2"	"﹐"
"2"	"曾"
"2"	"任"
"2"	"黑龙江省"
"2"	"哈尔滨市"
"2"	"长"
"2"	"﹑"
"2"	"齐齐哈尔"
"2"	"市委"
"2"	"黑龙江省"
"2"	"副省长"
"2"	"职"
"2"	"﹐"
"2"	"一九九"
"2"	"调任"
"2"	"﹐"
"2"	"河北省"
"2"	"常务"
"2"	"副省长"
"2"	"﹑"
"2"	"中共"
"2"	"沧州"
"2"	"市委"
"2"	"薄绍铨"
"2"	"﹑"
"2"	"省"
"2"	"厅长"
"2"	"张建"
"2"	"﹑"
"2"	"省"
"2"	"国税局"
"2"	"﹐"
"2"	"河北省"
"2"	"先后"
"2"	"沧州"
"2"	"市委"
"2"	"薄绍铨"
"2"	"﹑"
"2"	"省"
"2"	"厅长"
"2"	"张建"
"2"	"﹑"
"2"	"省"
"2"	"国税局"
"1"	"一九九七年"
"1"	"朝鲜"
"1"	"劳动党"
"1"	"事务"
"1"	"黄长烨"
"1"	"亲信"
"2"	"国务院"
"2"	"主任"
"2"	"、"
"2"	"中共"
"2"	"中"
"2"	"直"
"2"	"工委副"
"2"	"伍绍祖"
"2"	"、"
"2"	"中宣部"
"2"	"副部长"
"2"	"中共"
"1"	"党团"
"1"	"何智辉"
"1"	"工"
"2"	"上海市"
"2"	"委"
"2"	"黄菊"
"2"	"、"
"2"	"福建省"
"2"	"书记"
"2"	"陈明"
"2"	"义"
"2"	"、"
"2"	"省长"
"2"	"习近"
"2"	"出任"
"2"	"正部级"
"2"	"中共"
"2"	"外交部"
"2"	"党组"
"2"	"中共"
"2"	"职"
"2"	"局局"
"2"	"长"
"2"	"、"
"2"	"党总支"
"2"	"书记"
"2"	"徐卫平"
"2"	"撤销"
"2"	"党总支"
"2"	"、"
"2"	"局长"
"2"	"职务"
"2"	"处分"
"2"	"新疆"
"2"	"兵团"
"2"	"党委"
"2"	"分管"
"2"	"统战"
"2"	"副"
"2"	"统战"
"2"	"部长"
"2"	"出席"
"1"	":"
"1"	"保加利亚"
"1"	"共党"
"1"	"穆拉狄诺夫"
"1"	"共党"
"2"	"中共"
"2"	"厦门"
"2"	"市委"
"2"	"副"
"2"	"张宗绪"
"2"	"、"
"2"	"厦门"
"2"	"国安局"
"2"	"局长"
"2"	"﹐"
"2"	"任"
"2"	"江苏"
"2"	"省委"
"2"	"副书"
"2"	"记"
"2"	"﹑"
"2"	"苏州市"
"2"	"委"
"2"	"广洲"
"2"	"四十七"
"2"	"中央"
"2"	"党校"
"2"	"中共"
"2"	"河南省"
"2"	"委"
"2"	"常委"
"2"	"、"
"2"	"政委"
"2"	"书记"
"2"	"、"
"2"	"河南省"
"2"	"副"
"2"	"副省长"
"2"	"一九九八年"
"2"	"担任"
"2"	"中共"
"2"	"甘肃省"
"2"	"出任"
"2"	"中共"
"2"	"四川省"
"2"	"委"
"2"	"常委"
"2"	"、"
"2"	"中共"
"2"	"都市"
"2"	"委员会"
"2"	"原"
"2"	"成都"
"2"	"市委"
"2"	"书记"
"2"	"陶武"
"2"	"出任"
"2"	"中共"
"2"	"历任"
"2"	"辽宁省"
"2"	"金县"
"2"	"县委"
"2"	"副"
"2"	"书记"
"2"	"、"
"2"	"金州"
"2"	"区委"
"2"	"书记"
"2"	"中共"
"2"	"大连"
"2"	"开发区"
"2"	"委"
"2"	"常委"
"2"	"、"
"2"	"江西省"
"2"	"副省长"
"2"	"一九八八年"
"2"	"任"
"2"	"江西省"
"2"	"委副"
"2"	"、"
"2"	"江西省"
"2"	"副省长"
"2"	"、"
"2"	"中共"
"2"	"局长"
"2"	"一九九五年"
"2"	"任"
"2"	"原"
"2"	"辽宁省"
"2"	"委副"
"2"	"书记"
"2"	"、"
"2"	"省长"
"2"	"张国光"
"2"	"调任"
"2"	"湖北省"
"2"	"委副"
"2"	"中共"
"2"	"原"
"2"	"湖北省委"
"2"	"主持"
"2"	"大连市"
"2"	"大连市"
"2"	"委"
"2"	"原"
"2"	"薄"
"2"	"熙"
"2"	"辽宁省"
"2"	"﹐"
"2"	"中共"
"2"	"中央"
"2"	"金融工"
"2"	"委"
"2"	"温家宝"
"2"	"主持"
"2"	"时任"
"2"	"长治县"
"2"	"委"
"2"	"王虎林"
"2"	"怠"
"2"	"直"
"2"	"村党支部"
"2"	"高桂"
"2"	"告诉"
"2"	"文联"
"2"	"主席"
"2"	"全国"
"2"	"总工会"
"2"	"副主席"
"2"	"、"
"2"	"处书"
"2"	"记徐锡澄"
"2"	"、"
"2"	"靶场"
"2"	"市委"
"2"	"孙守璞"
"2"	"、"
"2"	"市长"
"2"	"崔曰臣"
"2"	"当即"
"2"	":"
