"","tokenlabel","cluster"
"书记/Na/ZBN_CMN_20030422_wpr/22675","书记/Na/ZBN_CMN_20030422_wpr/22675",1
"职员/Na/ZBN_CMN_20030814_wpr/71087","职员/Na/ZBN_CMN_20030814_wpr/71087",1
"书记/Na/ZBN_CMN_20030712_wpr/26795","书记/Na/ZBN_CMN_20030712_wpr/26795",1
"职员/Na/ZBN_CMN_20030411_wpr/20828","职员/Na/ZBN_CMN_20030411_wpr/20828",1
"职员/Na/ZBN_CMN_20030716_wpr/21468","职员/Na/ZBN_CMN_20030716_wpr/21468",1
"职员/Na/ZBN_CMN_20030819_wpr/5929","职员/Na/ZBN_CMN_20030819_wpr/5929",1
"职员/Na/ZBN_CMN_20030616_wpr/28668","职员/Na/ZBN_CMN_20030616_wpr/28668",1
"职员/Na/ZBN_CMN_20030813_wpr/26168","职员/Na/ZBN_CMN_20030813_wpr/26168",1
"职员/Na/ZBN_CMN_20001228_wpr/6471","职员/Na/ZBN_CMN_20001228_wpr/6471",1
"职员/Na/ZBN_CMN_20030826_wpr/60963","职员/Na/ZBN_CMN_20030826_wpr/60963",1
"职员/Na/ZBN_CMN_20030821_wpr/79851","职员/Na/ZBN_CMN_20030821_wpr/79851",1
"职员/Na/ZBN_CMN_20030407_wpr/30140","职员/Na/ZBN_CMN_20030407_wpr/30140",1
"职员/Na/ZBN_CMN_20001228_wpr/6591","职员/Na/ZBN_CMN_20001228_wpr/6591",1
"职员/Na/XIN_CMN_20030523_wpr/959","职员/Na/XIN_CMN_20030523_wpr/959",1
"职员/Na/ZBN_CMN_20030712_wpr/17151","职员/Na/ZBN_CMN_20030712_wpr/17151",1
"店员/Na/ZBN_CMN_20030421_wpr/25290","店员/Na/ZBN_CMN_20030421_wpr/25290",1
"店员/Na/ZBN_CMN_20030712_wpr/62605","店员/Na/ZBN_CMN_20030712_wpr/62605",1
"职员/Na/ZBN_CMN_20030712_wpr/72023","职员/Na/ZBN_CMN_20030712_wpr/72023",1
"职员/Na/ZBN_CMN_20030617_wpr/20327","职员/Na/ZBN_CMN_20030617_wpr/20327",1
"职员/Na/ZBN_CMN_20030421_wpr/8756","职员/Na/ZBN_CMN_20030421_wpr/8756",1
"店员/Na/CNA_CMN_20030902_wpr/6081","店员/Na/CNA_CMN_20030902_wpr/6081",1
"职员/Na/CNA_CMN_20010131_wpr/127874","职员/Na/CNA_CMN_20010131_wpr/127874",1
"职员/Na/ZBN_CMN_20030514_wpr/66885","职员/Na/ZBN_CMN_20030514_wpr/66885",1
"职员/Na/ZBN_CMN_20030725_wpr/566","职员/Na/ZBN_CMN_20030725_wpr/566",1
"职员/Na/ZBN_CMN_20030418_wpr/2177","职员/Na/ZBN_CMN_20030418_wpr/2177",1
"职员/Na/ZBN_CMN_20030710_wpr/37514","职员/Na/ZBN_CMN_20030710_wpr/37514",1
"职员/Na/ZBN_CMN_20030413_wpr/85584","职员/Na/ZBN_CMN_20030413_wpr/85584",1
"职员/Na/ZBN_CMN_20030520_wpr/24578","职员/Na/ZBN_CMN_20030520_wpr/24578",1
"职员/Na/ZBN_CMN_20030910_wpr/20422","职员/Na/ZBN_CMN_20030910_wpr/20422",1
"职员/Na/ZBN_CMN_20030701_wpr/25142","职员/Na/ZBN_CMN_20030701_wpr/25142",1
"职员/Na/ZBN_CMN_20001101_wpr/6632","职员/Na/ZBN_CMN_20001101_wpr/6632",1
"职员/Na/ZBN_CMN_20030528_wpr/20960","职员/Na/ZBN_CMN_20030528_wpr/20960",1
"职员/Na/ZBN_CMN_20001121_wpr/18335","职员/Na/ZBN_CMN_20001121_wpr/18335",1
"职员/Na/ZBN_CMN_20030417_wpr/82959","职员/Na/ZBN_CMN_20030417_wpr/82959",1
"职员/Na/ZBN_CMN_20001020_wpr/12467","职员/Na/ZBN_CMN_20001020_wpr/12467",1
"职员/Na/ZBN_CMN_20030820_wpr/77394","职员/Na/ZBN_CMN_20030820_wpr/77394",1
"职员/Na/ZBN_CMN_20030830_wpr/911","职员/Na/ZBN_CMN_20030830_wpr/911",1
"职员/Na/ZBN_CMN_20001210_wpr/34344","职员/Na/ZBN_CMN_20001210_wpr/34344",1
"职员/Na/ZBN_CMN_20001006_wpr/13733","职员/Na/ZBN_CMN_20001006_wpr/13733",1
"职员/Na/ZBN_CMN_20001121_wpr/18219","职员/Na/ZBN_CMN_20001121_wpr/18219",1
"职员/Na/ZBN_CMN_20030513_wpr/57862","职员/Na/ZBN_CMN_20030513_wpr/57862",2
"职员/Na/ZBN_CMN_20030925_wpr/20294","职员/Na/ZBN_CMN_20030925_wpr/20294",2
"职员/Na/ZBN_CMN_20030403_wpr/19495","职员/Na/ZBN_CMN_20030403_wpr/19495",2
"职员/Na/ZBN_CMN_20030708_wpr/29698","职员/Na/ZBN_CMN_20030708_wpr/29698",2
"职员/Na/XIN_CMN_20001109_wpr/30803","职员/Na/XIN_CMN_20001109_wpr/30803",2
"职员/Na/XIN_CMN_20030929_wpr/5735","职员/Na/XIN_CMN_20030929_wpr/5735",2
"职员/Na/ZBN_CMN_20001227_wpr/6014","职员/Na/ZBN_CMN_20001227_wpr/6014",2
"职员/Na/ZBN_CMN_20030627_wpr/27753","职员/Na/ZBN_CMN_20030627_wpr/27753",2
"职员/Na/ZBN_CMN_20030412_wpr/27093","职员/Na/ZBN_CMN_20030412_wpr/27093",2
"职员/Na/CNA_CMN_20030527_wpr/3874","职员/Na/CNA_CMN_20030527_wpr/3874",2
"职员/Na/ZBN_CMN_20030707_wpr/41337","职员/Na/ZBN_CMN_20030707_wpr/41337",2
"职员/Na/ZBN_CMN_20030717_wpr/41923","职员/Na/ZBN_CMN_20030717_wpr/41923",2
"职员/Na/ZBN_CMN_20030515_wpr/8214","职员/Na/ZBN_CMN_20030515_wpr/8214",2
"职员/Na/XIN_CMN_20030609_wpr/26923","职员/Na/XIN_CMN_20030609_wpr/26923",2
"职员/Na/ZBN_CMN_20030807_wpr/42071","职员/Na/ZBN_CMN_20030807_wpr/42071",2
"职员/Na/ZBN_CMN_20030530_wpr/26554","职员/Na/ZBN_CMN_20030530_wpr/26554",2
"职员/Na/CNA_CMN_20001111_wpr/103347","职员/Na/CNA_CMN_20001111_wpr/103347",2
"职员/Na/ZBN_CMN_20001127_wpr/22709","职员/Na/ZBN_CMN_20001127_wpr/22709",2
"职员/Na/ZBN_CMN_20030706_wpr/48235","职员/Na/ZBN_CMN_20030706_wpr/48235",2
"职员/Na/ZBN_CMN_20030406_wpr/32821","职员/Na/ZBN_CMN_20030406_wpr/32821",2
"职员/Na/XIN_CMN_20030729_wpr/36792","职员/Na/XIN_CMN_20030729_wpr/36792",2
"职员/Na/XIN_CMN_20030422_wpr/45960","职员/Na/XIN_CMN_20030422_wpr/45960",2
"职员/Na/ZBN_CMN_20030703_wpr/22664","职员/Na/ZBN_CMN_20030703_wpr/22664",2
"职员/Na/ZBN_CMN_20030409_wpr/59757","职员/Na/ZBN_CMN_20030409_wpr/59757",2
"职员/Na/ZBN_CMN_20001126_wpr/32407","职员/Na/ZBN_CMN_20001126_wpr/32407",2
"职员/Na/ZBN_CMN_20010111_wpr/28628","职员/Na/ZBN_CMN_20010111_wpr/28628",2
"职员/Na/ZBN_CMN_20030412_wpr/62559","职员/Na/ZBN_CMN_20030412_wpr/62559",2
"职员/Na/XIN_CMN_20001015_wpr/46199","职员/Na/XIN_CMN_20001015_wpr/46199",2
"职员/Na/XIN_CMN_20030621_wpr/23548","职员/Na/XIN_CMN_20030621_wpr/23548",3
"职员/Na/XIN_CMN_20010101_wpr/2766","职员/Na/XIN_CMN_20010101_wpr/2766",3
"职员/Na/XIN_CMN_20030911_wpr/68489","职员/Na/XIN_CMN_20030911_wpr/68489",3
"职员/Na/CNA_CMN_20001101_wpr/145291","职员/Na/CNA_CMN_20001101_wpr/145291",3
"书记/Na/XIN_CMN_20001104_wpr/45291","书记/Na/XIN_CMN_20001104_wpr/45291",3
"书记/Na/XIN_CMN_20030519_wpr/10194","书记/Na/XIN_CMN_20030519_wpr/10194",3
"书记/Na/XIN_CMN_20001016_wpr/31301","书记/Na/XIN_CMN_20001016_wpr/31301",3
"职员/Na/XIN_CMN_20001028_wpr/47084","职员/Na/XIN_CMN_20001028_wpr/47084",3
"职员/Na/XIN_CMN_20001028_wpr/47188","职员/Na/XIN_CMN_20001028_wpr/47188",3
"职员/Na/XIN_CMN_20010124_wpr/21997","职员/Na/XIN_CMN_20010124_wpr/21997",3
"职员/Na/XIN_CMN_20010130_wpr/20384","职员/Na/XIN_CMN_20010130_wpr/20384",3
"营业员/Na/ZBN_CMN_20030420_wpr/9512","营业员/Na/ZBN_CMN_20030420_wpr/9512",3
"职员/Na/ZBN_CMN_20030831_wpr/51200","职员/Na/ZBN_CMN_20030831_wpr/51200",3
"职员/Na/ZBN_CMN_20030717_wpr/55190","职员/Na/ZBN_CMN_20030717_wpr/55190",3
"职员/Na/ZBN_CMN_20030717_wpr/54999","职员/Na/ZBN_CMN_20030717_wpr/54999",3
"职员/Na/XIN_CMN_20001214_wpr/55814","职员/Na/XIN_CMN_20001214_wpr/55814",3
"职员/Na/ZBN_CMN_20001222_wpr/35619","职员/Na/ZBN_CMN_20001222_wpr/35619",3
"职员/Na/CNA_CMN_20001123_wpr/134211","职员/Na/CNA_CMN_20001123_wpr/134211",3
"书记/Na/ZBN_CMN_20030423_wpr/1671","书记/Na/ZBN_CMN_20030423_wpr/1671",3
"书记/Na/ZBN_CMN_20030615_wpr/42222","书记/Na/ZBN_CMN_20030615_wpr/42222",3
"书记/Na/XIN_CMN_20001229_wpr/80162","书记/Na/XIN_CMN_20001229_wpr/80162",3
"书记/Na/XIN_CMN_20030726_wpr/4888","书记/Na/XIN_CMN_20030726_wpr/4888",3
"书记/Na/XIN_CMN_20010131_wpr/32867","书记/Na/XIN_CMN_20010131_wpr/32867",3
"书记/Na/ZBN_CMN_20030504_wpr/35973","书记/Na/ZBN_CMN_20030504_wpr/35973",3
"书记/Na/ZBN_CMN_20030613_wpr/68017","书记/Na/ZBN_CMN_20030613_wpr/68017",3
