"cluster"	"sigcol"
"5"	":"
"5"	"共产党"
"5"	"支部"
"5"	"毛泽东任"
"5"	"三十五年"
"5"	":"
"6"	"﹐"
"6"	"市委"
"6"	"李宪生"
"6"	"紧急处"
"6"	"﹐"
"8"	"郭金龙"
"8"	"、"
"8"	"陈奎元"
"8"	"任"
"8"	"西藏"
"8"	"党委"
"8"	"、"
"8"	"河南省委"
"8"	"中共"
"8"	"中央"
"8"	"调动"
"8"	"西藏"
"8"	"自治区"
"8"	"书记"
"8"	"一九九三年"
"8"	"担任"
"8"	"西藏"
"8"	"自治区"
"8"	"党委"
"8"	"副"
"8"	"中共"
"8"	"中央委员"
"8"	"候补"
"8"	"书记"
"8"	"兼"
"8"	"上海市"
"8"	"学联"
"8"	"副"
"8"	"、"
"8"	"校"
"8"	"党委"
"8"	"副"
"8"	"院长"
"8"	"、"
"8"	"教委"
"8"	"党委"
"8"	"第一"
"8"	"中共"
"8"	"四川省"
"8"	"委"
"8"	"周永康"
"8"	"第一"
"8"	"﹐"
"8"	"涛"
"8"	"托普"
"8"	"视察"
"8"	"﹐"
"8"	"四川省"
"8"	"委"
"8"	"周永川"
"8"	"托普"
"8"	"中共"
"8"	"广东省"
"8"	"委"
"8"	"李"
"8"	"长春"
"8"	"深圳市"
"8"	"委"
"8"	"书记"
"8"	"张"
"8"	"高丽"
"8"	"从头"
"8"	"陪"
"8"	"中共"
"8"	"广东省"
"8"	"委"
"8"	"书记"
"8"	"李"
"8"	"长春"
"8"	"深圳市"
"8"	"委"
"8"	"张"
"8"	"高丽"
"8"	"从头"
"8"	"陪"
"8"	"中共"
"8"	"中共"
"8"	"任命"
"8"	"郭金龙"
"8"	"升任"
"8"	"西藏"
"8"	"自治区党"
"8"	"委"
"8"	"西藏"
"8"	"拉萨"
"8"	"曾"
"8"	"伍绍祖"
"8"	"中共"
"8"	"中"
"8"	"直"
"8"	"机关"
"8"	"副"
"7"	"副总理"
"7"	"钱其琛"
"7"	"中央"
"7"	"书记处"
"7"	"曾"
"7"	"庆红"
"7"	"外交部部"
"7"	"长"
"6"	"中共"
"6"	"厦门"
"6"	"市委"
"6"	"洪"
"6"	"永世"
"6"	"坦"
"6"	"厦门"
"8"	"、"
"8"	"国务院"
"8"	"副秘书长"
"8"	"石秀诗"
"8"	"、"
"8"	"中央"
"8"	"工委"
"8"	"郑斯"
"8"	"林和"
"8"	"国务院"
"8"	"港澳办"
"8"	"副主任"
"8"	"届龄"
"8"	"任"
"8"	"外交部"
"8"	"党组"
"8"	"说"
"8"	"中共"
"8"	"杨文彬"
"8"	"省委"
"8"	"、"
"8"	"穆宜林"
"8"	"新任"
"8"	"中共"
"8"	"福建省"
"8"	"委员会"
"8"	"宋"
"8"	"德福"
"8"	"接任"
"8"	"新职"
"8"	"﹐"
"6"	"中共"
"6"	"厦门"
"6"	"市委"
"6"	"副"
"6"	"张宗绪"
"6"	"、"
"6"	"厦门"
"6"	"国安局"
"6"	"局长"
"6"	"﹐"
"7"	"中共"
"7"	"中央"
"7"	"政治局"
"7"	"委员"
"7"	"、"
"7"	"北京"
"7"	"市委"
"7"	"贾庆林"
"7"	"北京"
