"Coll_Word"	"1"	"2"	"exp_1"	"exp_2"	"pbin_1"	"pbin_2"	"SumAbsDev"	"LargestDev"
"?"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"」"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"132"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"171"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"2002"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"2002年"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"4%"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"56"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"76"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"891108"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"Ⅱ"	0	2	0.193	1.807	-0.088	0.088	0.176	"1_&_2"
"Ⅲ"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"immy"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"WTO"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"Y"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"一体"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"一旦"	1	3	0.386	3.614	0.476	-0.476	0.952	"1_&_2"
"一直"	0	3	0.29	2.71	-0.132	0.132	0.264	"1_&_2"
"一路"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"三巴旺"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"三足鼎立"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"三通"	0	2	0.193	1.807	-0.088	0.088	0.176	"1_&_2"
"三雄"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"上升"	0	1	0.097	0.903	-0.044	0.044	0.088	"1_&_2"
"下"	65	8	7.053	65.947	56.192	-56.192	112.384	"1_&_2"
