"","tokenlabel","cluster"
"竞争/Na/ZBN_CMN_20001013_wpr/22743","竞争/Na/ZBN_CMN_20001013_wpr/22743",1
"竞争/Na/ZBN_CMN_20030817_wpr/22619","竞争/Na/ZBN_CMN_20030817_wpr/22619",1
"竞争/Na/CNA_CMN_20001025_wpr/48074","竞争/Na/CNA_CMN_20001025_wpr/48074",1
"竞争/Na/ZBN_CMN_20030503_wpr/21344","竞争/Na/ZBN_CMN_20030503_wpr/21344",1
"竞争/Na/ZBN_CMN_20001116_wpr/4505","竞争/Na/ZBN_CMN_20001116_wpr/4505",1
"竞争/Na/CNA_CMN_20001028_wpr/91902","竞争/Na/CNA_CMN_20001028_wpr/91902",1
"竞争/Na/XIN_CMN_20001129_wpr/30325","竞争/Na/XIN_CMN_20001129_wpr/30325",1
"竞争/Na/ZBN_CMN_20030902_wpr/20633","竞争/Na/ZBN_CMN_20030902_wpr/20633",1
"竞争/Na/ZBN_CMN_20030422_wpr/72937","竞争/Na/ZBN_CMN_20030422_wpr/72937",1
"竞争/Na/CNA_CMN_20001226_wpr/59208","竞争/Na/CNA_CMN_20001226_wpr/59208",1
"竞争/Na/XIN_CMN_20001117_wpr/29548","竞争/Na/XIN_CMN_20001117_wpr/29548",1
"竞争/Na/CNA_CMN_20001129_wpr/32298","竞争/Na/CNA_CMN_20001129_wpr/32298",1
"竞争/Na/CNA_CMN_20001111_wpr/83089","竞争/Na/CNA_CMN_20001111_wpr/83089",1
"竞争/Na/XIN_CMN_20030414_wpr/17847","竞争/Na/XIN_CMN_20030414_wpr/17847",1
"竞争/Na/XIN_CMN_20001203_wpr/46117","竞争/Na/XIN_CMN_20001203_wpr/46117",1
"竞争/Na/CNA_CMN_20001210_wpr/3871","竞争/Na/CNA_CMN_20001210_wpr/3871",1
"竞争/Na/XIN_CMN_20001123_wpr/33741","竞争/Na/XIN_CMN_20001123_wpr/33741",1
"竞争/Na/ZBN_CMN_20030812_wpr/42103","竞争/Na/ZBN_CMN_20030812_wpr/42103",1
"竞争/Na/CNA_CMN_20030425_wpr/6345","竞争/Na/CNA_CMN_20030425_wpr/6345",1
"竞争/Na/XIN_CMN_20010117_wpr/19816","竞争/Na/XIN_CMN_20010117_wpr/19816",1
"竞争/Na/CNA_CMN_20001011_wpr/150112","竞争/Na/CNA_CMN_20001011_wpr/150112",1
"竞争/Na/XIN_CMN_20001019_wpr/44666","竞争/Na/XIN_CMN_20001019_wpr/44666",1
"竞争/Na/XIN_CMN_20010119_wpr/31747","竞争/Na/XIN_CMN_20010119_wpr/31747",1
"竞争/Na/XIN_CMN_20010118_wpr/32464","竞争/Na/XIN_CMN_20010118_wpr/32464",1
"竞争/Na/ZBN_CMN_20030709_wpr/1383","竞争/Na/ZBN_CMN_20030709_wpr/1383",1
"竞争/Na/XIN_CMN_20001208_wpr/58089","竞争/Na/XIN_CMN_20001208_wpr/58089",1
"竞争/Na/ZBN_CMN_20010103_wpr/13678","竞争/Na/ZBN_CMN_20010103_wpr/13678",1
"竞争/Na/XIN_CMN_20030911_wpr/40780","竞争/Na/XIN_CMN_20030911_wpr/40780",1
"竞争/Na/XIN_CMN_20001109_wpr/11001","竞争/Na/XIN_CMN_20001109_wpr/11001",1
"竞争/Na/XIN_CMN_20030611_wpr/24441","竞争/Na/XIN_CMN_20030611_wpr/24441",1
"竞争/Na/XIN_CMN_20030801_wpr/13632","竞争/Na/XIN_CMN_20030801_wpr/13632",1
"竞争/Na/ZBN_CMN_20030614_wpr/2532","竞争/Na/ZBN_CMN_20030614_wpr/2532",1
"竞争/Na/CNA_CMN_20001009_wpr/31765","竞争/Na/CNA_CMN_20001009_wpr/31765",1
"竞争/Na/ZBN_CMN_20010118_wpr/22912","竞争/Na/ZBN_CMN_20010118_wpr/22912",1
"竞争/Na/XIN_CMN_20001001_wpr/52787","竞争/Na/XIN_CMN_20001001_wpr/52787",1
"竞争/Na/ZBN_CMN_20030522_wpr/18760","竞争/Na/ZBN_CMN_20030522_wpr/18760",1
"竞争/Na/XIN_CMN_20001221_wpr/94956","竞争/Na/XIN_CMN_20001221_wpr/94956",1
"竞争/Na/ZBN_CMN_20030912_wpr/61120","竞争/Na/ZBN_CMN_20030912_wpr/61120",1
"竞争/Na/ZBN_CMN_20030913_wpr/55045","竞争/Na/ZBN_CMN_20030913_wpr/55045",1
"竞争/Na/CNA_CMN_20001027_wpr/89321","竞争/Na/CNA_CMN_20001027_wpr/89321",1
"竞争/Na/CNA_CMN_20010108_wpr/34829","竞争/Na/CNA_CMN_20010108_wpr/34829",1
"竞争/Na/CNA_CMN_20010131_wpr/132361","竞争/Na/CNA_CMN_20010131_wpr/132361",1
"竞争/Na/ZBN_CMN_20030626_wpr/82422","竞争/Na/ZBN_CMN_20030626_wpr/82422",1
"竞争/Na/ZBN_CMN_20010108_wpr/6526","竞争/Na/ZBN_CMN_20010108_wpr/6526",1
"竞争/Na/CNA_CMN_20001208_wpr/36400","竞争/Na/CNA_CMN_20001208_wpr/36400",1
"竞争/Na/CNA_CMN_20010117_wpr/29647","竞争/Na/CNA_CMN_20010117_wpr/29647",1
"竞争/Na/ZBN_CMN_20001003_wpr/25357","竞争/Na/ZBN_CMN_20001003_wpr/25357",1
"竞争/Na/XIN_CMN_20030421_wpr/42563","竞争/Na/XIN_CMN_20030421_wpr/42563",1
"竞赛/Na/CNA_CMN_20001107_wpr/46377","竞赛/Na/CNA_CMN_20001107_wpr/46377",1
"竞争/Na/CNA_CMN_20001201_wpr/87446","竞争/Na/CNA_CMN_20001201_wpr/87446",1
"竞争/Na/XIN_CMN_20001214_wpr/47232","竞争/Na/XIN_CMN_20001214_wpr/47232",1
"竞争/Na/CNA_CMN_20001216_wpr/111940","竞争/Na/CNA_CMN_20001216_wpr/111940",1
"竞赛/Na/XIN_CMN_20001220_wpr/80975","竞赛/Na/XIN_CMN_20001220_wpr/80975",1
"竞争/Na/CNA_CMN_20001022_wpr/10060","竞争/Na/CNA_CMN_20001022_wpr/10060",1
"竞争/Na/CNA_CMN_20010105_wpr/161892","竞争/Na/CNA_CMN_20010105_wpr/161892",1
"竞争/Na/XIN_CMN_20010106_wpr/44716","竞争/Na/XIN_CMN_20010106_wpr/44716",1
"竞争/Na/ZBN_CMN_20030811_wpr/2502","竞争/Na/ZBN_CMN_20030811_wpr/2502",1
"竞争/Na/CNA_CMN_20010108_wpr/34910","竞争/Na/CNA_CMN_20010108_wpr/34910",1
"竞争/Na/XIN_CMN_20030616_wpr/15317","竞争/Na/XIN_CMN_20030616_wpr/15317",1
"竞争/Na/ZBN_CMN_20030612_wpr/70239","竞争/Na/ZBN_CMN_20030612_wpr/70239",1
"竞争/Na/ZBN_CMN_20001007_wpr/45470","竞争/Na/ZBN_CMN_20001007_wpr/45470",1
"竞争/Na/CNA_CMN_20001116_wpr/102988","竞争/Na/CNA_CMN_20001116_wpr/102988",1
"竞争/Na/CNA_CMN_20010103_wpr/15792","竞争/Na/CNA_CMN_20010103_wpr/15792",1
"竞争/Na/ZBN_CMN_20001031_wpr/33054","竞争/Na/ZBN_CMN_20001031_wpr/33054",1
"竞争/Na/CNA_CMN_20010114_wpr/37650","竞争/Na/CNA_CMN_20010114_wpr/37650",1
"竞争/Na/XIN_CMN_20010101_wpr/7921","竞争/Na/XIN_CMN_20010101_wpr/7921",1
"竞争/Na/ZBN_CMN_20001230_wpr/44124","竞争/Na/ZBN_CMN_20001230_wpr/44124",1
"竞争/Na/ZBN_CMN_20030910_wpr/27540","竞争/Na/ZBN_CMN_20030910_wpr/27540",1
"竞争/Na/CNA_CMN_20001227_wpr/90608","竞争/Na/CNA_CMN_20001227_wpr/90608",1
"竞争/Na/ZBN_CMN_20030828_wpr/80302","竞争/Na/ZBN_CMN_20030828_wpr/80302",1
"竞争/Na/XIN_CMN_20001219_wpr/44164","竞争/Na/XIN_CMN_20001219_wpr/44164",1
