"cluster"	"sigcol"
"1"	"应当"
"1"	"围"
"1"	"内"
"1"	"为"
"1"	"提供"
"1"	"方便"
"1"	"及时"
"1"	"认证"
"4"	"承销商"
"4"	"拥有"
"4"	"潜在"
"4"	"包括"
"2"	"店"
"2"	"交易"
"2"	"Cyberbranch"
"2"	"为"
"2"	"提供"
"2"	"股票"
"2"	"买卖"
"2"	"服务"
"2"	"互"
"2"	"惠"
"2"	"华银"
"2"	"客户"
"2"	"服务"
"2"	"信赖"
"2"	"导向"
"2"	"系统"
"2"	"提"
"2"	"服务"
"2"	"暂停"
"2"	"融券"
"2"	"卖出"
"2"	"融资"
"2"	"融券"
"2"	"授信"
"2"	"让"
"2"	"标的"
"2"	"证券"
"2"	"暂缓"
"2"	"契约"
"2"	"方式"
"2"	"让"
"2"	"证券"
"2"	"本人"
"2"	"具"
"2"	"委任书"
"2"	"代理人"
"2"	"开户"
"2"	"委託"
"2"	"买卖"
"2"	"办理"
"2"	"交割"
"2"	"资讯"
"2"	"定义"
"2"	"提供"
"2"	"服务"
"2"	"利用"
"4"	"直接"
"4"	"整合"
"4"	"其"
"4"	"供应商"
"4"	"策略"
"2"	"开立"
"2"	"定期"
"2"	"存款"
"2"	"支票"
"2"	"本"
"2"	"服务"
"2"	"多功能"
"2"	"网路"
"2"	"加值"
"2"	"服务"
"2"	"客户"
"2"	"只要"
"2"	"输入"
"2"	"台积"
"2"	"公司"
"2"	"伙"
"2"	"伴"
"2"	"更"
"2"	"公司"
"2"	"服务"
"2"	"为"
"2"	"导向"
"2"	"提升"
"2"	"服务"
"2"	"金融"
"2"	"公司"
"2"	"授"
"2"	"深入"
"2"	"客户"
"2"	"需求"
"2"	"固网"
"2"	"行动电话"
"2"	"增至"
"2"	"一亿四千万"
"2"	"户"
"2"	"户"
"2"	"代客"
"2"	"操作"
"2"	"业务"
"2"	"为"
"2"	"量身"
"2"	"订作"
"2"	"操作"
"2"	"可"
"2"	"提供"
"2"	"证券"
"2"	"分公司"
"2"	"业务员"
"2"	"胡肃安"
"2"	"挪用"
"2"	"代"
"2"	"垫付"
"2"	"交割"
"2"	"款项"
"2"	"存折"
"2"	"印鑑"
"2"	"情事"
"2"	"定期"
"2"	"存款"
"2"	"续"
"2"	"优惠"
"2"	"利率"
"2"	"回馈"
"2"	"广大"
"2"	"台企银"
"2"	"客户"
"2"	"只要"
"2"	"存入"
"2"	"主要"
"2"	"商银"
"2"	"服务"
"2"	"商银"
"2"	"银行"
"2"	"实质"
"2"	"交易"
"4"	"行客户"
"4"	"合库"
"4"	"享有"
"2"	"电信业"
"2"	"务"
"2"	"行销"
"2"	"代理商"
"2"	"管道"
"2"	"电话"
"2"	"业务"
"2"	"委託"
"4"	"大哥大"
"4"	"连络"
"2"	"港元"
"2"	"手续费"
"2"	"存款"
"2"	"低于"
"2"	"三千"
"2"	"港元"
"2"	"存款"
"2"	"利率"
"2"	"厘"
"2"	"低于"
"2"	"储蓄"
"2"	"向"
"2"	"储蓄"
"2"	"户口"
"2"	"少于"
"2"	"三千"
"2"	"提供"
"2"	"厘"
"2"	"息"
"2"	"策略"
"2"	"风险"
"2"	"风险"
"2"	"关连"
"2"	"网路"
"2"	"银行"
"2"	"迥异"
"2"	"客户"
"2"	"银行"
"2"	"客户"
"2"	"面对面"
"2"	"大哥大"
"2"	"资费"
"2"	"现有"
"2"	"可"
"2"	"服务"
"4"	"利用"
"4"	"其"
"4"	"名气"
"4"	"招揽"
"4"	"纵"
"2"	"网站"
"2"	"提供"
"2"	"三万"
"2"	"餐饮店"
"2"	"促销"
"2"	"管道"
"2"	"中小企业"
"4"	"要求"
"4"	"特许"
"2"	"保险"
"2"	"公司"
"2"	"深度"
"2"	"而言"
"2"	"银行"
"2"	"保险"
"2"	"客户"
"2"	"为"
"2"	"资金"
"2"	"异地"
"2"	"汇划"
"2"	"账"
"2"	"提供"
"2"	"分销"
"2"	"代办"
"2"	"业务"
"2"	"为"
"2"	"提供"
"2"	"房屋"
"2"	"租赁"
"2"	"买卖"
"2"	"寄售"
"2"	"向"
"2"	"提供"
"2"	"电话"
"2"	"网"
"2"	"接入"
"2"	"服务"
"2"	"新市场"
"2"	"持有"
"2"	"外汇"
"2"	"银行"
"2"	"柜台"
"2"	"可以"
"2"	"办理"
"2"	"外汇"
"2"	"买卖"
"1"	"回报"
"1"	"具"
"1"	"购买"
"1"	"连结"
"1"	"保险"
"2"	"银行"
"2"	"贷款"
"2"	"直接"
"2"	"划入"
"2"	"借款人"
"2"	"户头"
"2"	"借款"
"2"	"用作"
"2"	"银行"
"2"	"银行"
"2"	"拥有"
"2"	"各自"
"2"	"企业"
"2"	"银行"
"2"	"企业"
"1"	"渠道"
"1"	"重点"
"1"	"经销"
"1"	"品牌"
"1"	"热水器"
"1"	"入手"
"2"	"贷款"
"2"	"向"
"2"	"重点"
"2"	"重点"
"2"	"重点"
"2"	"贷款"
"2"	"倾斜"
"2"	"贷款"
"2"	"风险"
"4"	"保险"
"4"	"可"
"4"	"分配"
"4"	"赢余"
"4"	"享有"
