"","tokenlabel","cluster"
"损失/Na/CNA_CMN_20010116_wpr/10715","损失/Na/CNA_CMN_20010116_wpr/10715",1
"损失/Na/ZBN_CMN_20030927_wpr/26567","损失/Na/ZBN_CMN_20030927_wpr/26567",1
"损失/Na/CNA_CMN_20001228_wpr/139498","损失/Na/CNA_CMN_20001228_wpr/139498",1
"损失/Na/ZBN_CMN_20001128_wpr/10156","损失/Na/ZBN_CMN_20001128_wpr/10156",1
"损失/Na/CNA_CMN_20001105_wpr/74085","损失/Na/CNA_CMN_20001105_wpr/74085",1
"损失/Na/ZBN_CMN_20030405_wpr/66761","损失/Na/ZBN_CMN_20030405_wpr/66761",1
"损失/Na/ZBN_CMN_20030406_wpr/61273","损失/Na/ZBN_CMN_20030406_wpr/61273",1
"损失/Na/CNA_CMN_20030424_wpr/1643","损失/Na/CNA_CMN_20030424_wpr/1643",1
"损失/Na/ZBN_CMN_20010118_wpr/11633","损失/Na/ZBN_CMN_20010118_wpr/11633",1
"损害/Na/CNA_CMN_20001120_wpr/63416","损害/Na/CNA_CMN_20001120_wpr/63416",1
"损失/Na/ZBN_CMN_20030916_wpr/72859","损失/Na/ZBN_CMN_20030916_wpr/72859",1
"损失/Na/XIN_CMN_20030625_wpr/47222","损失/Na/XIN_CMN_20030625_wpr/47222",1
"损失/Na/XIN_CMN_20030414_wpr/11651","损失/Na/XIN_CMN_20030414_wpr/11651",1
"损失/Na/XIN_CMN_20001126_wpr/4045","损失/Na/XIN_CMN_20001126_wpr/4045",1
"损失/Na/ZBN_CMN_20001129_wpr/13293","损失/Na/ZBN_CMN_20001129_wpr/13293",1
"损失/Na/CNA_CMN_20030711_wpr/10629","损失/Na/CNA_CMN_20030711_wpr/10629",1
"损失/Na/XIN_CMN_20030622_wpr/44264","损失/Na/XIN_CMN_20030622_wpr/44264",1
"损失/Na/ZBN_CMN_20030421_wpr/6048","损失/Na/ZBN_CMN_20030421_wpr/6048",1
"损害/Na/XIN_CMN_20030726_wpr/6794","损害/Na/XIN_CMN_20030726_wpr/6794",2
"损失/Na/XIN_CMN_20001101_wpr/64158","损失/Na/XIN_CMN_20001101_wpr/64158",2
"损失/Na/ZBN_CMN_20010119_wpr/16901","损失/Na/ZBN_CMN_20010119_wpr/16901",2
