"Coll_Word"	"1"	"2"	"3"	"4"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"SumAbsDev"	"LargestDev"
"："	0	95	11	8	48.333	21.088	11.809	32.77	-27.31	49.985	-0.32	-8.107	85.722	"2"
"!"	2	0	0	0	0.848	0.37	0.207	0.575	0.745	-0.178	-0.095	-0.294	1.312	"1"
"！"	0	4	1	3	3.392	1.48	0.829	2.3	-1.916	1.361	0.234	0.381	3.892	"1"
"？"	9	0	0	0	3.816	1.665	0.932	2.587	3.354	-0.799	-0.427	-1.325	5.905	"1"
"."	0	3	0	0	1.272	0.555	0.311	0.862	-0.719	2.199	-0.142	-0.442	3.502	"2"
"︰"	0	0	0	4	1.696	0.74	0.414	1.15	-0.958	-0.355	-0.19	2.166	3.669	"4"
"…"	1	0	0	0	0.424	0.185	0.104	0.287	0.373	-0.089	-0.047	-0.147	0.656	"1"
"……"	2	0	0	0	0.848	0.37	0.207	0.575	0.745	-0.178	-0.095	-0.294	1.312	"1"
"（"	0	16	5	5	11.023	4.809	2.693	7.474	-6.228	5.828	0.903	-0.702	13.661	"1"
"》"	0	11	1	3	6.36	2.775	1.554	4.312	-3.593	5.249	-0.276	-0.475	9.593	"2"
"【"	0	2	0	0	0.848	0.37	0.207	0.575	-0.479	1.466	-0.095	-0.294	2.334	"2"
"】"	0	2	0	0	0.848	0.37	0.207	0.575	-0.479	1.466	-0.095	-0.294	2.334	"2"
"＊"	0	1	0	0	0.424	0.185	0.104	0.287	-0.24	0.733	-0.047	-0.147	1.167	"2"
"#"	0	1	1	0	0.848	0.37	0.207	0.575	-0.479	0.474	0.707	-0.294	1.954	"3"
"⊙"	0	3	0	0	1.272	0.555	0.311	0.862	-0.719	2.199	-0.142	-0.442	3.502	"2"
"■"	0	2	0	0	0.848	0.37	0.207	0.575	-0.479	1.466	-0.095	-0.294	2.334	"2"
"◆"	0	10	0	0	4.24	1.85	1.036	2.875	-2.396	7.329	-0.475	-1.472	11.672	"2"
"○"	1	0	0	0	0.424	0.185	0.104	0.287	0.373	-0.089	-0.047	-0.147	0.656	"1"
"01"	0	1	0	0	0.424	0.185	0.104	0.287	-0.24	0.733	-0.047	-0.147	1.167	"2"
"１"	0	0	0	1	0.424	0.185	0.104	0.287	-0.24	-0.089	-0.047	0.541	0.917	"4"
"10日"	0	1	1	1	1.272	0.555	0.311	0.862	-0.719	0.339	0.553	0.195	1.806	"1"
"10月"	0	4	3	1	3.392	1.48	0.829	2.3	-1.916	1.361	1.379	-0.551	5.207	"1"
"11日"	0	1	1	3	2.12	0.925	0.518	1.437	-1.198	0.194	0.376	0.833	2.601	"1"
"11月"	0	1	1	3	2.12	0.925	0.518	1.437	-1.198	0.194	0.376	0.833	2.601	"1"
"12日"	0	1	0	0	0.424	0.185	0.104	0.287	-0.24	0.733	-0.047	-0.147	1.167	"2"
"12时"	0	3	2	1	2.544	1.11	0.622	1.725	-1.437	1.09	0.916	-0.349	3.792	"1"
"12月"	0	1	1	1	1.272	0.555	0.311	0.862	-0.719	0.339	0.553	0.195	1.806	"1"
"13日"	0	4	0	0	1.696	0.74	0.414	1.15	-0.958	2.932	-0.19	-0.589	4.669	"2"
"14日"	0	2	1	2	2.12	0.925	0.518	1.437	-1.198	0.634	0.376	0.351	2.559	"1"
"159553"	0	0	1	0	0.424	0.185	0.104	0.287	-0.24	-0.089	0.985	-0.147	1.461	"3"
"15日"	0	1	0	1	0.848	0.37	0.207	0.575	-0.479	0.474	-0.095	0.308	1.356	"1"
"16日"	0	0	1	1	0.848	0.37	0.207	0.575	-0.479	-0.178	0.707	0.308	1.672	"3"
"17"	0	3	2	2	2.968	1.295	0.725	2.012	-1.677	0.909	0.8	-0.17	3.556	"1"
"170"	0	1	0	0	0.424	0.185	0.104	0.287	-0.24	0.733	-0.047	-0.147	1.167	"2"
"17日"	0	1	0	1	0.848	0.37	0.207	0.575	-0.479	0.474	-0.095	0.308	1.356	"1"
"1987年"	1	0	0	0	0.424	0.185	0.104	0.287	0.373	-0.089	-0.047	-0.147	0.656	"1"
"19日"	0	0	0	1	0.424	0.185	0.104	0.287	-0.24	-0.089	-0.047	0.541	0.917	"4"
"1周年"	1	0	0	0	0.424	0.185	0.104	0.287	0.373	-0.089	-0.047	-0.147	0.656	"1"
"1日"	0	2	2	2	2.544	1.11	0.622	1.725	-1.437	0.512	0.916	0.258	3.123	"1"
"1月"	0	1	1	2	1.696	0.74	0.414	1.15	-0.958	0.253	0.451	0.486	2.148	"1"
"2001年"	0	0	1	1	0.848	0.37	0.207	0.575	-0.479	-0.178	0.707	0.308	1.672	"3"
"2003年"	0	2	1	0	1.272	0.555	0.311	0.862	-0.719	1.046	0.553	-0.442	2.76	"2"
"2008年"	0	1	0	0	0.424	0.185	0.104	0.287	-0.24	0.733	-0.047	-0.147	1.167	"2"
"20日"	0	1	1	2	1.696	0.74	0.414	1.15	-0.958	0.253	0.451	0.486	2.148	"1"
"21日"	0	1	0	0	0.424	0.185	0.104	0.287	-0.24	0.733	-0.047	-0.147	1.167	"2"
"22"	0	0	3	0	1.272	0.555	0.311	0.862	-0.719	-0.266	2.954	-0.442	4.381	"3"
"22日"	0	0	2	0	0.848	0.37	0.207	0.575	-0.479	-0.178	1.969	-0.294	2.92	"3"
"23日"	0	1	0	1	0.848	0.37	0.207	0.575	-0.479	0.474	-0.095	0.308	1.356	"1"
"24日"	0	2	1	1	1.696	0.74	0.414	1.15	-0.958	0.801	0.451	-0.172	2.382	"1"
"250多"	1	0	0	0	0.424	0.185	0.104	0.287	0.373	-0.089	-0.047	-0.147	0.656	"1"
"25日"	0	2	0	0	0.848	0.37	0.207	0.575	-0.479	1.466	-0.095	-0.294	2.334	"2"
"26"	0	4	0	1	2.12	0.925	0.518	1.437	-1.198	2.302	-0.237	-0.256	3.993	"2"
"26日"	0	3	0	0	1.272	0.555	0.311	0.862	-0.719	2.199	-0.142	-0.442	3.502	"2"
"27"	0	0	0	1	0.424	0.185	0.104	0.287	-0.24	-0.089	-0.047	0.541	0.917	"4"
"27日"	0	2	1	0	1.272	0.555	0.311	0.862	-0.719	1.046	0.553	-0.442	2.76	"2"
"28日"	0	5	2	0	2.968	1.295	0.725	2.012	-1.677	2.487	0.8	-1.03	5.994	"2"
"29日"	0	1	0	0	0.424	0.185	0.104	0.287	-0.24	0.733	-0.047	-0.147	1.167	"2"
"2日"	0	4	1	2	2.968	1.295	0.725	2.012	-1.677	1.594	0.272	-0.17	3.713	"1"
"2月"	0	0	0	1	0.424	0.185	0.104	0.287	-0.24	-0.089	-0.047	0.541	0.917	"4"
"30"	0	3	0	0	1.272	0.555	0.311	0.862	-0.719	2.199	-0.142	-0.442	3.502	"2"
"30分"	0	6	0	0	2.544	1.11	0.622	1.725	-1.437	4.397	-0.285	-0.883	7.002	"2"
"30日"	0	1	1	0	0.848	0.37	0.207	0.575	-0.479	0.474	0.707	-0.294	1.954	"3"
"31日"	0	1	1	2	1.696	0.74	0.414	1.15	-0.958	0.253	0.451	0.486	2.148	"1"
"3日"	0	2	1	0	1.272	0.555	0.311	0.862	-0.719	1.046	0.553	-0.442	2.76	"2"
