"","tokenlabel","cluster"
"时代/Na/ZBN_CMN_20001010_wpr/1274","时代/Na/ZBN_CMN_20001010_wpr/1274",1
"时代/Na/XIN_CMN_20001103_wpr/15968","时代/Na/XIN_CMN_20001103_wpr/15968",1
"时代/Na/XIN_CMN_20001001_wpr/38987","时代/Na/XIN_CMN_20001001_wpr/38987",1
"时代/Na/ZBN_CMN_20001201_wpr/16752","时代/Na/ZBN_CMN_20001201_wpr/16752",1
"时代/Na/XIN_CMN_20001018_wpr/80611","时代/Na/XIN_CMN_20001018_wpr/80611",1
"时代/Na/XIN_CMN_20030503_wpr/64048","时代/Na/XIN_CMN_20030503_wpr/64048",1
"时代/Na/XIN_CMN_20030627_wpr/602","时代/Na/XIN_CMN_20030627_wpr/602",1
"时代/Na/XIN_CMN_20030627_wpr/673","时代/Na/XIN_CMN_20030627_wpr/673",1
"时代/Na/ZBN_CMN_20030904_wpr/39757","时代/Na/ZBN_CMN_20030904_wpr/39757",1
"时代/Na/ZBN_CMN_20030621_wpr/38275","时代/Na/ZBN_CMN_20030621_wpr/38275",1
"时代/Na/CNA_CMN_20001209_wpr/95445","时代/Na/CNA_CMN_20001209_wpr/95445",1
"时代/Na/ZBN_CMN_20030404_wpr/55998","时代/Na/ZBN_CMN_20030404_wpr/55998",1
"时代/Na/ZBN_CMN_20010110_wpr/19428","时代/Na/ZBN_CMN_20010110_wpr/19428",1
"时代/Na/CNA_CMN_20010103_wpr/77993","时代/Na/CNA_CMN_20010103_wpr/77993",1
"时代/Na/CNA_CMN_20001009_wpr/123989","时代/Na/CNA_CMN_20001009_wpr/123989",1
"时代/Na/CNA_CMN_20001217_wpr/51701","时代/Na/CNA_CMN_20001217_wpr/51701",1
"时代/Na/CNA_CMN_20001209_wpr/95196","时代/Na/CNA_CMN_20001209_wpr/95196",1
"时期/Na/XIN_CMN_20001226_wpr/49662","时期/Na/XIN_CMN_20001226_wpr/49662",1
"时代/Na/CNA_CMN_20001215_wpr/143276","时代/Na/CNA_CMN_20001215_wpr/143276",1
"时代/Na/XIN_CMN_20001122_wpr/21163","时代/Na/XIN_CMN_20001122_wpr/21163",1
"年代/Nd/CNA_CMN_20001006_wpr/138236","年代/Nd/CNA_CMN_20001006_wpr/138236",1
"时代/Na/CNA_CMN_20001114_wpr/30722","时代/Na/CNA_CMN_20001114_wpr/30722",1
"时代/Na/CNA_CMN_20001224_wpr/29150","时代/Na/CNA_CMN_20001224_wpr/29150",1
"时代/Na/ZBN_CMN_20001020_wpr/1217","时代/Na/ZBN_CMN_20001020_wpr/1217",1
"时代/Na/ZBN_CMN_20030907_wpr/80555","时代/Na/ZBN_CMN_20030907_wpr/80555",1
"时代/Na/ZBN_CMN_20001026_wpr/8620","时代/Na/ZBN_CMN_20001026_wpr/8620",1
"时代/Na/CNA_CMN_20010114_wpr/90933","时代/Na/CNA_CMN_20010114_wpr/90933",1
"时代/Na/CNA_CMN_20001205_wpr/67616","时代/Na/CNA_CMN_20001205_wpr/67616",1
"时代/Na/XIN_CMN_20001029_wpr/29448","时代/Na/XIN_CMN_20001029_wpr/29448",1
"时代/Na/CNA_CMN_20001218_wpr/74183","时代/Na/CNA_CMN_20001218_wpr/74183",1
"时代/Na/XIN_CMN_20030915_wpr/71682","时代/Na/XIN_CMN_20030915_wpr/71682",1
"时代/Na/ZBN_CMN_20030824_wpr/61616","时代/Na/ZBN_CMN_20030824_wpr/61616",1
"时代/Na/XIN_CMN_20001119_wpr/12112","时代/Na/XIN_CMN_20001119_wpr/12112",1
"时代/Na/CNA_CMN_20001201_wpr/150632","时代/Na/CNA_CMN_20001201_wpr/150632",1
"时代/Na/ZBN_CMN_20001004_wpr/10663","时代/Na/ZBN_CMN_20001004_wpr/10663",1
"时代/Na/CNA_CMN_20001020_wpr/48660","时代/Na/CNA_CMN_20001020_wpr/48660",1
"时代/Na/CNA_CMN_20001220_wpr/136092","时代/Na/CNA_CMN_20001220_wpr/136092",1
"时代/Na/XIN_CMN_20030725_wpr/29234","时代/Na/XIN_CMN_20030725_wpr/29234",1
"时代/Na/XIN_CMN_20010131_wpr/20737","时代/Na/XIN_CMN_20010131_wpr/20737",1
"时代/Na/ZBN_CMN_20001027_wpr/30262","时代/Na/ZBN_CMN_20001027_wpr/30262",1
"时代/Na/XIN_CMN_20030722_wpr/23464","时代/Na/XIN_CMN_20030722_wpr/23464",1
"时代/Na/XIN_CMN_20030919_wpr/77611","时代/Na/XIN_CMN_20030919_wpr/77611",1
"时代/Na/ZBN_CMN_20030727_wpr/26131","时代/Na/ZBN_CMN_20030727_wpr/26131",1
"时代/Na/ZBN_CMN_20030721_wpr/41991","时代/Na/ZBN_CMN_20030721_wpr/41991",1
"时代/Na/ZBN_CMN_20030826_wpr/55533","时代/Na/ZBN_CMN_20030826_wpr/55533",1
"时代/Na/CNA_CMN_20001016_wpr/12806","时代/Na/CNA_CMN_20001016_wpr/12806",1
"时代/Na/CNA_CMN_20001214_wpr/146363","时代/Na/CNA_CMN_20001214_wpr/146363",1
"时代/Na/CNA_CMN_20010116_wpr/133094","时代/Na/CNA_CMN_20010116_wpr/133094",1
"时代/Na/CNA_CMN_20030506_wpr/9728","时代/Na/CNA_CMN_20030506_wpr/9728",1
"时代/Na/CNA_CMN_20001006_wpr/117505","时代/Na/CNA_CMN_20001006_wpr/117505",1
"时代/Na/XIN_CMN_20030728_wpr/28691","时代/Na/XIN_CMN_20030728_wpr/28691",1
"时代/Na/XIN_CMN_20030412_wpr/58447","时代/Na/XIN_CMN_20030412_wpr/58447",1
"时代/Na/CNA_CMN_20001109_wpr/118228","时代/Na/CNA_CMN_20001109_wpr/118228",1
"时代/Na/ZBN_CMN_20030804_wpr/39656","时代/Na/ZBN_CMN_20030804_wpr/39656",1
"时代/Na/ZBN_CMN_20030805_wpr/3039","时代/Na/ZBN_CMN_20030805_wpr/3039",1
"时代/Na/XIN_CMN_20030613_wpr/32739","时代/Na/XIN_CMN_20030613_wpr/32739",1
