"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"6"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_6"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_6"	"SumAbsDev"	"LargestDev"
"--"	0	1	1	0	0	0	0.268	0.321	0.248	0.295	0.075	0.794	-0.125	0.53	0.633	-0.139	-0.033	-0.439	1.899	"3"
"－－"	2	1	0	0	0	3	0.803	0.962	0.744	0.885	0.224	2.382	0.73	0.187	-0.345	-0.416	-0.099	0.347	2.124	"1"
"....."	1	0	0	0	0	0	0.134	0.16	0.124	0.148	0.037	0.397	0.874	-0.076	-0.057	-0.069	-0.017	-0.22	1.313	"1"
"《"	0	0	0	0	11	0	1.472	1.764	1.364	1.623	0.411	4.366	-0.686	-0.835	-0.632	-0.763	15.701	-2.416	21.033	"5"
"》"	0	0	0	1	12	1	1.873	2.245	1.735	2.066	0.523	5.557	-0.873	-1.063	-0.805	-0.436	15.199	-2.066	20.442	"5"
"1200年"	0	0	1	0	0	0	0.134	0.16	0.124	0.148	0.037	0.397	-0.062	-0.076	0.907	-0.069	-0.017	-0.22	1.351	"3"
"1939年"	0	2	0	0	0	0	0.268	0.321	0.248	0.295	0.075	0.794	-0.125	1.59	-0.115	-0.139	-0.033	-0.439	2.441	"2"
"1952年"	0	0	0	0	0	2	0.268	0.321	0.248	0.295	0.075	0.794	-0.125	-0.152	-0.115	-0.139	-0.033	0.803	1.367	"6"
"1958年"	0	1	0	0	0	0	0.134	0.16	0.124	0.148	0.037	0.397	-0.062	0.795	-0.057	-0.069	-0.017	-0.22	1.22	"2"
"1966年"	0	0	0	0	0	1	0.134	0.16	0.124	0.148	0.037	0.397	-0.062	-0.076	-0.057	-0.069	-0.017	0.401	0.682	"6"
"205万"	0	0	0	0	0	1	0.134	0.16	0.124	0.148	0.037	0.397	-0.062	-0.076	-0.057	-0.069	-0.017	0.401	0.682	"6"
"20世纪"	1	0	0	0	0	0	0.134	0.16	0.124	0.148	0.037	0.397	0.874	-0.076	-0.057	-0.069	-0.017	-0.22	1.313	"1"
"20多万"	0	0	0	1	0	0	0.134	0.16	0.124	0.148	0.037	0.397	-0.062	-0.076	-0.057	0.831	-0.017	-0.22	1.263	"4"
"4000年"	0	0	0	0	0	1	0.134	0.16	0.124	0.148	0.037	0.397	-0.062	-0.076	-0.057	-0.069	-0.017	0.401	0.682	"6"
"50多"	0	0	1	0	0	0	0.134	0.16	0.124	0.148	0.037	0.397	-0.062	-0.076	0.907	-0.069	-0.017	-0.22	1.351	"3"
"62233660"	0	1	0	0	0	0	0.134	0.16	0.124	0.148	0.037	0.397	-0.062	0.795	-0.057	-0.069	-0.017	-0.22	1.22	"2"
"8000多"	0	0	0	0	0	1	0.134	0.16	0.124	0.148	0.037	0.397	-0.062	-0.076	-0.057	-0.069	-0.017	0.401	0.682	"6"
"80年代"	1	0	0	0	0	0	0.134	0.16	0.124	0.148	0.037	0.397	0.874	-0.076	-0.057	-0.069	-0.017	-0.22	1.313	"1"
"891123"	0	0	0	0	1	0	0.134	0.16	0.124	0.148	0.037	0.397	-0.062	-0.076	-0.057	-0.069	1.427	-0.22	1.911	"5"
"9.6％"	0	0	0	0	0	1	0.134	0.16	0.124	0.148	0.037	0.397	-0.062	-0.076	-0.057	-0.069	-0.017	0.401	0.682	"6"
"90"	0	0	0	2	0	0	0.268	0.321	0.248	0.295	0.075	0.794	-0.125	-0.152	-0.115	1.662	-0.033	-0.439	2.526	"4"
"9000万"	0	0	1	0	0	0	0.134	0.16	0.124	0.148	0.037	0.397	-0.062	-0.076	0.907	-0.069	-0.017	-0.22	1.351	"3"
"90年代"	1	0	0	0	0	0	0.134	0.16	0.124	0.148	0.037	0.397	0.874	-0.076	-0.057	-0.069	-0.017	-0.22	1.313	"1"
"Catherine"	0	0	0	0	0	1	0.134	0.16	0.124	0.148	0.037	0.397	-0.062	-0.076	-0.057	-0.069	-0.017	0.401	0.682	"6"
"e"	3	0	0	0	0	0	0.401	0.481	0.372	0.443	0.112	1.191	2.621	-0.228	-0.172	-0.208	-0.05	-0.659	3.938	"1"
"E"	1	0	0	0	0	0	0.134	0.16	0.124	0.148	0.037	0.397	0.874	-0.076	-0.057	-0.069	-0.017	-0.22	1.313	"1"
"FNAC"	0	0	0	1	0	0	0.134	0.16	0.124	0.148	0.037	0.397	-0.062	-0.076	-0.057	0.831	-0.017	-0.22	1.263	"4"
"K"	0	0	0	1	0	0	0.134	0.16	0.124	0.148	0.037	0.397	-0.062	-0.076	-0.057	0.831	-0.017	-0.22	1.263	"4"
"mode"	0	0	0	1	0	0	0.134	0.16	0.124	0.148	0.037	0.397	-0.062	-0.076	-0.057	0.831	-0.017	-0.22	1.263	"4"
"NMD"	0	0	0	0	0	1	0.134	0.16	0.124	0.148	0.037	0.397	-0.062	-0.076	-0.057	-0.069	-0.017	0.401	0.682	"6"
"O"	0	0	0	0	0	1	0.134	0.16	0.124	0.148	0.037	0.397	-0.062	-0.076	-0.057	-0.069	-0.017	0.401	0.682	"6"
"PC"	1	0	0	0	0	0	0.134	0.16	0.124	0.148	0.037	0.397	0.874	-0.076	-0.057	-0.069	-0.017	-0.22	1.313	"1"
"SARS"	0	5	0	0	0	0	0.669	0.802	0.62	0.738	0.187	1.985	-0.312	3.975	-0.287	-0.347	-0.083	-1.098	6.102	"2"
"Someople's"	0	0	0	1	0	0	0.134	0.16	0.124	0.148	0.037	0.397	-0.062	-0.076	-0.057	0.831	-0.017	-0.22	1.263	"4"
"thetimes"	0	0	0	1	0	0	0.134	0.16	0.124	0.148	0.037	0.397	-0.062	-0.076	-0.057	0.831	-0.017	-0.22	1.263	"4"
