"cluster"	"sigcol"
"6"	"营业日"
"6"	"投资人"
"6"	"委託"
"6"	"南港"
"6"	"国丰"
"6"	"股票"
"6"	"数量"
"6"	"其"
"6"	"柜台"
"6"	"心"
"6"	"依"
"6"	"柜台"
"6"	"买卖"
"6"	"有价证券"
"6"	"监视"
"6"	"股份"
"6"	"申请"
"6"	"证券"
"6"	"柜台"
"6"	"中心"
"6"	"指出"
"6"	"上柜"
"6"	"业务"
"6"	"裁定"
"6"	"限制"
"6"	"其"
"6"	"上柜"
"6"	"免"
"6"	"提拨"
"6"	"新股"
"3"	"基金"
"3"	"年度"
"3"	"资赋"
"3"	"市场"
"6"	"证券"
"6"	"交易所"
"6"	"期货"
"6"	"交易所"
"6"	"证券"
"6"	"柜台"
"6"	"中心"
"6"	"分别"
"6"	"简"
"6"	"业务"
"6"	"保管"
"6"	"客户"
"6"	"利用"
"6"	"客户"
"6"	"帐户"
"6"	"股票"
"6"	"违反"
"6"	"法令"
"6"	"情事"
"6"	"股市"
"6"	"散户"
"6"	"促成"
"6"	"股市"
"6"	"波动"
"6"	"指示"
"6"	"证券"
"6"	"交易所"
"6"	"证券"
"6"	"柜台"
"6"	"中心"
"6"	"转知"
"6"	"柜"
"6"	"公司"
"6"	"不得"
"6"	"盘"
"6"	"非法"
"6"	"经营"
"6"	"汇"
"6"	"买卖"
"6"	"活动"
"6"	"估计"
"6"	"累计"
"6"	"外汇"
"6"	"金额"
"6"	"契约"
"6"	"终止"
"6"	"金纬"
"6"	"股票"
"6"	"上柜"
"6"	"柜台"
"6"	"买卖"
"6"	"中心"
"6"	"指出"
"6"	"管理"
"6"	"股票"
"6"	"尖美"
"6"	"柜台"
"6"	"中心"
"6"	"市价"
"4"	"物业"
"4"	"纠纷"
"4"	"鑑于"
"4"	"现时"
"4"	"二手"
"4"	"楼"
"6"	"结算"
"6"	"华侨"
"6"	"外资"
"6"	"权证"
"6"	"结算"
"6"	"为限"
"6"	"託"
"6"	"务"
"6"	"作业"
"6"	"券商"
"6"	"受託"
"6"	"有价证券"
"6"	"契约"
"6"	"准则"
"6"	"规定"
"6"	"财政部"
"6"	"证期会"
"4"	"毒品"
"4"	"打击"
"4"	"严厉"
"4"	"消费者"
"4"	"资料"
"4"	"商品房"
"4"	"纠"
"4"	"纷"
"4"	"列为"
"4"	"不失为"
"4"	"桩"
"3"	"成交"
"3"	"预计"
"3"	"成交"
"3"	"宗数"
"3"	"明显"
"4"	"修订"
"4"	"程序"
"4"	"若是"
"4"	"配合"
"3"	"份"
"3"	"店铺"
"3"	"及"
"3"	"租"
"3"	"赁"
"3"	"成交"
"3"	"宗数"
"3"	"宗"
"3"	"及"
"4"	"签署"
"4"	"订定"
"4"	"禁止"
"4"	"非法"
"4"	"文物"
"4"	"要求"
"4"	"买方"
"4"	"开辟"
"4"	"旧货"
"4"	"角落"
"4"	"旧货"
"4"	"从中"
"4"	"私人"
"4"	"房屋"
"4"	"屋主"
"4"	"出租"
"4"	"一样"
"3"	"利于"
"3"	"从事"
"3"	"房地产"
"3"	"谢先"
"3"	"田宅宫"
"6"	"股票"
"6"	"收益"
"6"	"丰"
"6"	"是否"
"6"	"股票"
"6"	"赚"
"6"	"出门"
"4"	"完成"
"4"	"总金额"
"4"	"笔"
"4"	"线上"
"4"	"HiOffice.net"
"4"	"线上"
"4"	"交易量"
"3"	"网"
"3"	"结算"
"6"	"财政部"
"6"	"昨天"
"6"	"信用"
"6"	"施行"
"6"	"证券"
"6"	"交易所"
"2"	"磅秤"
"2"	"公平"
"3"	"B"
"3"	"uySafe"
"3"	"网路"
"3"	"履约"
"3"	"机制"
"3"	"M"
"6"	"股票"
"6"	"交易量"
"6"	"股"
"6"	"纽约"
"6"	"股市"
"6"	"买卖"
"4"	"枪枝"
"4"	"透过"
"4"	"流落市"
"4"	"891029"
"3"	"八月"
"3"	"欧元"
"3"	"零售"
"6"	"交易"
"6"	"佔"
"6"	"美元"
"6"	"英镑"
"6"	"佔"
"6"	"百分之二点六"
"6"	"法郎"
"6"	"交易"
"6"	"佔"
"6"	"百分之一点四"
"6"	"证券"
"6"	"暨"
"6"	"期货"
"6"	"委员会"
"6"	"会"
"6"	"股市"
"3"	"持平"
"3"	"纯"
"3"	"租赁"
"3"	"总量"
"6"	"股票"
"6"	"市价"
"6"	"面额"
"6"	"股市"
"6"	"恢复"
"6"	"机制"
"6"	"国安"
"6"	"权"
"6"	"﹑"
"6"	"权色"
"6"	"交易"
"6"	"﹑"
"6"	"财政部"
"6"	"上"
"6"	"股票"
"6"	"法制化"
"6"	"研议案"
"6"	"上市"
"6"	"股票"
"6"	"交易"
"5"	"股权"
"5"	"大陆人"
"5"	"银行"
"4"	"法郎"
"4"	"军售"
"4"	"拉法叶舰"
"4"	"敲定"
"4"	"意图"
"4"	"诈"
"4"	"汤姆笙"
"6"	"证期会"
"6"	"金额"
"6"	"数量"
"6"	"资金"
"6"	"大幅"
"3"	"电子"
"3"	"平台"
"3"	"大型"
"6"	"金额"
"6"	"盘"
"6"	"定价"
"6"	"金额"
"6"	"一百五十一点八亿"
"6"	"股票"
"6"	"交易"
"6"	"金额"
"6"	"股东"
"6"	"常规"
"6"	"明订证"
"6"	"券"
"6"	"申报"
"6"	"转让"
"6"	"股票"
"6"	"891207"
"6"	"券商"
"6"	"信用"
"6"	"违规"
"6"	"证交所"
"6"	"陈永昌"
"6"	"891207"
"6"	"证交所"
"6"	"证券商"
"6"	"信用"
"6"	"陈永昌"
"6"	"零股"
"6"	"限制"
"6"	"集中"
"6"	"交易"
"6"	"市场"
"6"	"投资人"
"6"	"私下"
"6"	"从事"
"6"	"零股"
"6"	"交易"
"6"	"891214"
"2"	"行政院"
"2"	"公平"
"2"	"委"
"2"	"委员会"
"2"	"股份"
"6"	"成交量"
"6"	"股"
"6"	"全"
"6"	"天"
"6"	"排名"
"6"	"第六"
"6"	"活络"
"6"	"个股"
"6"	"康柏"
"6"	"上扬"
"6"	"股"
"6"	"延长"
"6"	"暂缓"
"6"	"颜庆章"
"3"	"打造"
"3"	"电子"
"3"	"市集"
"3"	"市集"
"4"	"泰铢"
"4"	"异常"
"4"	"数额"
"4"	"违犯"
"4"	"规则"
"4"	"吕传胜"
"6"	"交易"
"6"	"佔"
"6"	"百分之十五点六"
"6"	"远期"
"6"	"交易"
"6"	"佔"
"6"	"百分之八点六"
"6"	"保证金"
"6"	"佔"
"6"	"百分之一点二"
"6"	"择"
"6"	"权"
"6"	"换"
"6"	"汇"
"6"	"换"
"6"	"丁"
"6"	"上市柜"
"6"	"股票"
"6"	"制度"
"6"	"完成"
"6"	"连续"
"6"	"结束"
"6"	"股市"
"6"	"首日"
"6"	"低迷"
"6"	"气氛"
"6"	"早盘"
"2"	"行政院"
"2"	"公平"
"2"	"委员会"
"2"	"行政院"
"2"	"公平"
"2"	"委员会"
"2"	"主任委员"
"2"	"赵扬清"
"3"	"900108"
"3"	"商务"
"3"	"电子"
"3"	"技术"
"3"	"水果"
"3"	"量"
"3"	"行情"
"3"	"涨跌"
"3"	"互见"
"3"	"平均"
"3"	"维护"
"3"	"市场"
"3"	"秩序"
"3"	"查缉"
"3"	"百分之八点三"
"3"	"提供"
"3"	"客票"
"3"	"期货"
"3"	"市场"
"3"	"电子"
"3"	"期货"
"3"	"笔"
"3"	"买盘"
"3"	"急拉"
"3"	"增加"
"3"	"量"
"3"	"行情"
"3"	"上涨"
"3"	"居多"
"3"	"蔬菜"
"3"	"平均"
"3"	"批发"
"3"	"价格"
"4"	"亿"
"4"	"法郎"
"4"	"拉法叶舰"
"4"	"商业"
"4"	"笔"
"4"	"合约"
"4"	"查出"
"4"	"拉法叶舰"
"4"	"契约"
"4"	"价格"
"4"	"浮报"
"6"	"时间"
"6"	"信用"
"6"	"制度"
"6"	"国债"
"6"	"股"
"4"	"行为"
"3"	"下跌"
"3"	"水果"
"3"	"进货量"
"3"	"九百九十五"
"3"	"吨"
"3"	"迟滞"
"3"	"价格"
"3"	"加工"
"3"	"北方"
"3"	"食用"
"3"	"菌"
"3"	"市场"
"3"	"保暖"
"3"	"市场"
"3"	"中介"
"3"	"功能"
"3"	"产权"
"3"	"市场"
"3"	"规范"
"3"	"市场"
"3"	"手段"
"2"	"届"
"2"	"高新"
"2"	"技术"
"2"	"成果"
"2"	"会"
"3"	"住宅"
"3"	"暨"
"3"	"房地产"
"3"	"会"
"3"	"开幕"
"6"	"方式"
"6"	"买卖"
"6"	"客商"
"6"	"交易"
"6"	"活跃"
"6"	"乳制品"
"6"	"展位"
"6"	"红火"
"3"	"今日"
"3"	"会"
"3"	"闭"
"3"	"网"
"3"	"电子"
"3"	"系统"
"3"	"进行"
"3"	"公开"
"3"	"招标"
"6"	"影响"
"6"	"新华"
"6"	"指数"
"6"	"时段"
"3"	"网络"
"3"	"网"
"3"	"浙江"
"6"	"天"
"6"	"结算"
"6"	"宗"
"6"	"美元"
"6"	"涉及"
"4"	"佣金"
"4"	"按"
"6"	"瓜果"
"6"	"闽台"
"6"	"蔬"
"6"	"瓜果"
"6"	"展示会"
"6"	"交易"
"6"	"展示会"
"6"	"闽台"
"6"	"蔬"
"6"	"瓜果"
"6"	"交易"
"6"	"展示会"
"6"	"展示会"
"6"	"蔬菜"
"6"	"批发"
"6"	"市场"
"3"	"客户"
"3"	"信息"
"3"	"保密"
"3"	"开通"
"3"	"将"
"3"	"市场"
"3"	"热点"
"3"	"反弹"
"3"	"高点"
"3"	"即告"
"3"	"午"
"3"	"收盘"
"3"	"昨日"
"6"	"果菜"
"6"	"批发"
"6"	"市场"
"6"	"交易"
"6"	"信息"
"6"	"棚"
"3"	"今日"
"3"	"产权"
"3"	"市场"
"3"	"创出"
"3"	"上海"
"3"	"商业"
"3"	"银行"
"3"	"跨行"
"3"	"异地"
"3"	"功能"
"3"	"银行卡"
"3"	"ATM"
"4"	"涉嫌"
"4"	"非法"
"4"	"武器"
"3"	"市场"
"3"	"资本"
"3"	"市场"
"3"	"股权"
"3"	"市场"
"3"	"风险投资"
"4"	"猛"
"4"	"完成"
"4"	"交换球"
"6"	"延长"
"6"	"时间"
"6"	"电子化"
"6"	"全"
"6"	"电子化"
"6"	"交易"
"3"	"网络"
"3"	"手段"
"3"	"类"
"3"	"商务"
"3"	"电子"
"3"	"第93"
"3"	"届"
"3"	"出口商品"
"3"	"会"
"3"	"广交会"
"3"	"零售"
"3"	"电子"
"3"	"拍卖"
"3"	"笔"
"3"	"展销"
"3"	"会"
"3"	"广交会"
"3"	"成交量"
"3"	"减少"
"3"	"潘克信"
"3"	"潘克信"
"3"	"药材"
"3"	"中心"
"3"	"摆摊"
"2"	"洽谈会"
"2"	"会"
"3"	"性"
"3"	"浙江省"
"3"	"届"
"3"	"工业品"
"3"	"网"
"3"	"会"
"3"	"开张"
"3"	"市场"
"6"	"涉及"
"6"	"上证所"
"6"	"上市"
"6"	"证券"
"6"	"交易"
"6"	"交易"
"6"	"时间"
"6"	"交易"
"6"	"价"
"6"	"成交"
"6"	"时间"
"3"	"网"
"3"	"提供"
"3"	"网上"
"3"	"信息"
"3"	"网上"
"3"	"支付"
"3"	"网上"
"4"	"网上银行"
"4"	"笔数"
"4"	"863万"
"4"	"笔"
"3"	"机械"
"3"	"中心"
"3"	"广州"
"6"	"上海"
"6"	"黄金"
"6"	"交易所"
"6"	"进行"
"6"	"铂金"
"6"	"上海"
"6"	"潘清"
"6"	"上海"
"6"	"业务"
"6"	"钱权"
"6"	"交易"
"6"	"权权"
"6"	"行为"
"4"	"图书"
"6"	"因特网"
"6"	"交易"
"6"	"方便"
"6"	"快捷"
"6"	"成本"
"6"	"利用"
"6"	"网络"
"6"	"买卖"
"6"	"股票"
"6"	"手续费"
"4"	"上市公司"
"4"	"虚假"
"4"	"信息"
"4"	"从事"
"4"	"内幕"
"4"	"行为"
"4"	"证券市"
"4"	"低迷"
"3"	"电子"
"3"	"商务"
"3"	"电子"
