"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"6"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_6"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_6"	"SumAbsDev"	"LargestDev"
"，"	0	0	0	60	0	2	3.423	18.038	11.097	13.977	4.273	11.191	-1.529	-9.258	-5.31	35.759	-1.923	-3.333	57.112	"4"
"﹑"	0	0	0	0	0	2	0.11	0.582	0.358	0.451	0.138	0.361	-0.049	-0.299	-0.171	-0.222	-0.062	1.487	2.29	"6"
"......"	0	0	0	1	0	0	0.055	0.291	0.179	0.225	0.069	0.181	-0.025	-0.149	-0.086	0.647	-0.031	-0.086	1.024	"4"
"‘"	0	0	0	2	0	0	0.11	0.582	0.358	0.451	0.138	0.361	-0.049	-0.299	-0.171	1.294	-0.062	-0.173	2.048	"4"
"’"	0	0	0	3	0	0	0.166	0.873	0.537	0.676	0.207	0.542	-0.074	-0.448	-0.257	1.941	-0.093	-0.259	3.072	"4"
"0.1"	0	0	0	0	0	1	0.055	0.291	0.179	0.225	0.069	0.181	-0.025	-0.149	-0.086	-0.111	-0.031	0.744	1.146	"6"
"0.295"	0	0	0	0	0	1	0.055	0.291	0.179	0.225	0.069	0.181	-0.025	-0.149	-0.086	-0.111	-0.031	0.744	1.146	"6"
"0.43"	0	0	0	0	0	1	0.055	0.291	0.179	0.225	0.069	0.181	-0.025	-0.149	-0.086	-0.111	-0.031	0.744	1.146	"6"
"1％"	0	0	0	0	0	1	0.055	0.291	0.179	0.225	0.069	0.181	-0.025	-0.149	-0.086	-0.111	-0.031	0.744	1.146	"6"
"100％"	0	0	0	1	0	0	0.055	0.291	0.179	0.225	0.069	0.181	-0.025	-0.149	-0.086	0.647	-0.031	-0.086	1.024	"4"
"10081.14"	0	0	0	0	0	1	0.055	0.291	0.179	0.225	0.069	0.181	-0.025	-0.149	-0.086	-0.111	-0.031	0.744	1.146	"6"
"102.87"	0	0	1	0	0	0	0.055	0.291	0.179	0.225	0.069	0.181	-0.025	-0.149	0.747	-0.111	-0.031	-0.086	1.149	"3"
"11.8"	0	0	1	0	0	0	0.055	0.291	0.179	0.225	0.069	0.181	-0.025	-0.149	0.747	-0.111	-0.031	-0.086	1.149	"3"
"13亿6000万"	0	0	0	0	0	1	0.055	0.291	0.179	0.225	0.069	0.181	-0.025	-0.149	-0.086	-0.111	-0.031	0.744	1.146	"6"
"14亿4000万"	0	0	0	0	0	1	0.055	0.291	0.179	0.225	0.069	0.181	-0.025	-0.149	-0.086	-0.111	-0.031	0.744	1.146	"6"
"16.79"	0	0	1	0	0	0	0.055	0.291	0.179	0.225	0.069	0.181	-0.025	-0.149	0.747	-0.111	-0.031	-0.086	1.149	"3"
