"","tokenlabel","cluster"
"争端/Na/CNA_CMN_20001215_wpr/65754","争端/Na/CNA_CMN_20001215_wpr/65754",1
"争议/Na/ZBN_CMN_20030830_wpr/74005","争议/Na/ZBN_CMN_20030830_wpr/74005",1
"争议/Na/CNA_CMN_20001115_wpr/163531","争议/Na/CNA_CMN_20001115_wpr/163531",1
"争议/Na/CNA_CMN_20001021_wpr/8974","争议/Na/CNA_CMN_20001021_wpr/8974",1
"争论/Na/ZBN_CMN_20030613_wpr/3083","争论/Na/ZBN_CMN_20030613_wpr/3083",1
"争议/Na/ZBN_CMN_20030730_wpr/60590","争议/Na/ZBN_CMN_20030730_wpr/60590",1
"争论/Na/CNA_CMN_20001019_wpr/2796","争论/Na/CNA_CMN_20001019_wpr/2796",1
"争议/Na/XIN_CMN_20001215_wpr/64133","争议/Na/XIN_CMN_20001215_wpr/64133",1
"争议/Na/XIN_CMN_20030415_wpr/64375","争议/Na/XIN_CMN_20030415_wpr/64375",1
"争议/Na/ZBN_CMN_20010117_wpr/10189","争议/Na/ZBN_CMN_20010117_wpr/10189",1
"争论/Na/XIN_CMN_20030520_wpr/76367","争论/Na/XIN_CMN_20030520_wpr/76367",1
"争议/Na/CNA_CMN_20001012_wpr/100529","争议/Na/CNA_CMN_20001012_wpr/100529",1
"争议/Na/ZBN_CMN_20001223_wpr/6143","争议/Na/ZBN_CMN_20001223_wpr/6143",1
"争议/Na/ZBN_CMN_20030810_wpr/46119","争议/Na/ZBN_CMN_20030810_wpr/46119",1
"争议/Na/ZBN_CMN_20010127_wpr/12341","争议/Na/ZBN_CMN_20010127_wpr/12341",1
"争议/Na/XIN_CMN_20030527_wpr/46378","争议/Na/XIN_CMN_20030527_wpr/46378",1
"争议/Na/CNA_CMN_20010107_wpr/76569","争议/Na/CNA_CMN_20010107_wpr/76569",1
"争议/Na/XIN_CMN_20030616_wpr/45397","争议/Na/XIN_CMN_20030616_wpr/45397",1
"争议/Na/ZBN_CMN_20001115_wpr/20799","争议/Na/ZBN_CMN_20001115_wpr/20799",1
