"Coll_Word"	"1"	"2"	"3"	"exp_1"	"exp_2"	"exp_3"	"pbin_1"	"pbin_2"	"pbin_3"	"SumAbsDev"	"LargestDev"
"﹐"	0	0	2	0.799	0.096	1.106	-0.443	-0.043	0.515	1.001	"3"
"﹑"	0	0	1	0.399	0.048	0.553	-0.221	-0.021	0.257	0.499	"3"
"?"	0	0	1	0.399	0.048	0.553	-0.221	-0.021	0.257	0.499	"3"
"︶"	0	0	1	0.399	0.048	0.553	-0.221	-0.021	0.257	0.499	"3"
"0206"	0	0	1	0.399	0.048	0.553	-0.221	-0.021	0.257	0.499	"3"
"1000多"	1	0	0	0.399	0.048	0.553	0.399	-0.021	-0.35	0.77	"1"
"150多"	1	0	0	0.399	0.048	0.553	0.399	-0.021	-0.35	0.77	"1"
"1974年"	1	0	0	0.399	0.048	0.553	0.399	-0.021	-0.35	0.77	"1"
"1983年"	0	0	1	0.399	0.048	0.553	-0.221	-0.021	0.257	0.499	"3"
"1994年"	1	0	0	0.399	0.048	0.553	0.399	-0.021	-0.35	0.77	"1"
"1999年"	1	0	2	1.198	0.143	1.659	-0.188	-0.064	0.237	0.489	"3"
"20多万"	1	0	0	0.399	0.048	0.553	0.399	-0.021	-0.35	0.77	"1"
"230余"	1	0	0	0.399	0.048	0.553	0.399	-0.021	-0.35	0.77	"1"
"28日"	1	0	1	0.799	0.096	1.106	0.194	-0.043	-0.158	0.395	"1"
"400多"	1	0	0	0.399	0.048	0.553	0.399	-0.021	-0.35	0.77	"1"
"5万"	2	0	0	0.799	0.096	1.106	0.797	-0.043	-0.699	1.539	"1"
"60年代"	1	0	0	0.399	0.048	0.553	0.399	-0.021	-0.35	0.77	"1"
"891001"	1	0	0	0.399	0.048	0.553	0.399	-0.021	-0.35	0.77	"1"
"891018"	1	0	0	0.399	0.048	0.553	0.399	-0.021	-0.35	0.77	"1"
"891027"	0	0	1	0.399	0.048	0.553	-0.221	-0.021	0.257	0.499	"3"
"891123"	0	0	1	0.399	0.048	0.553	-0.221	-0.021	0.257	0.499	"3"
"891129"	0	0	1	0.399	0.048	0.553	-0.221	-0.021	0.257	0.499	"3"
"891215"	1	0	0	0.399	0.048	0.553	0.399	-0.021	-0.35	0.77	"1"
"900117"	0	0	1	0.399	0.048	0.553	-0.221	-0.021	0.257	0.499	"3"
"9月"	3	0	1	1.597	0.191	2.212	0.749	-0.085	-0.624	1.458	"1"
"CHP"	0	0	1	0.399	0.048	0.553	-0.221	-0.021	0.257	0.499	"3"
"一些"	0	0	1	0.399	0.048	0.553	-0.221	-0.021	0.257	0.499	"3"
"一旦"	0	0	1	0.399	0.048	0.553	-0.221	-0.021	0.257	0.499	"3"
"一百零九"	1	0	0	0.399	0.048	0.553	0.399	-0.021	-0.35	0.77	"1"
"一直"	0	0	1	0.399	0.048	0.553	-0.221	-0.021	0.257	0.499	"3"
"一触即发"	0	0	1	0.399	0.048	0.553	-0.221	-0.021	0.257	0.499	"3"
"一连串"	0	1	0	0.399	0.048	0.553	-0.221	1.321	-0.35	1.892	"2"
"一阵子"	0	1	0	0.399	0.048	0.553	-0.221	1.321	-0.35	1.892	"2"
"七四"	1	0	0	0.399	0.048	0.553	0.399	-0.021	-0.35	0.77	"1"
"七百四十六"	0	0	1	0.399	0.048	0.553	-0.221	-0.021	0.257	0.499	"3"
"三万三千"	0	0	1	0.399	0.048	0.553	-0.221	-0.021	0.257	0.499	"3"
"三十六"	0	0	1	0.399	0.048	0.553	-0.221	-0.021	0.257	0.499	"3"
"上万"	1	0	0	0.399	0.048	0.553	0.399	-0.021	-0.35	0.77	"1"
"上市公司"	0	0	1	0.399	0.048	0.553	-0.221	-0.021	0.257	0.499	"3"
"上来"	0	0	1	0.399	0.048	0.553	-0.221	-0.021	0.257	0.499	"3"
"上演"	0	0	1	0.399	0.048	0.553	-0.221	-0.021	0.257	0.499	"3"
"下去"	1	0	0	0.399	0.048	0.553	0.399	-0.021	-0.35	0.77	"1"
"不以为然"	0	0	1	0.399	0.048	0.553	-0.221	-0.021	0.257	0.499	"3"
"不休"	0	0	8	3.194	0.382	4.424	-1.771	-0.17	2.059	4	"3"
"不单"	1	0	0	0.399	0.048	0.553	0.399	-0.021	-0.35	0.77	"1"
"不可能"	0	0	1	0.399	0.048	0.553	-0.221	-0.021	0.257	0.499	"3"
"不和"	0	0	2	0.799	0.096	1.106	-0.443	-0.043	0.515	1.001	"3"
"不安"	2	1	0	1.198	0.143	1.659	0.455	0.864	-1.049	2.368	"3"
"不少"	0	1	5	2.396	0.287	3.318	-1.328	0.594	0.777	2.699	"1"
"不已"	0	0	1	0.399	0.048	0.553	-0.221	-0.021	0.257	0.499	"3"
"不必"	0	0	1	0.399	0.048	0.553	-0.221	-0.021	0.257	0.499	"3"
"不料"	1	0	0	0.399	0.048	0.553	0.399	-0.021	-0.35	0.77	"1"
"不断"	4	0	2	2.396	0.287	3.318	0.749	-0.128	-0.601	1.478	"1"
"与"	2	1	1	1.597	0.191	2.212	0.281	0.75	-0.624	1.655	"2"
"与否"	0	0	1	0.399	0.048	0.553	-0.221	-0.021	0.257	0.499	"3"
"专家组"	0	0	1	0.399	0.048	0.553	-0.221	-0.021	0.257	0.499	"3"
"世贸组织"	0	0	3	1.198	0.143	1.659	-0.664	-0.064	0.772	1.5	"3"
"业者"	0	1	2	1.198	0.143	1.659	-0.664	0.864	0.237	1.765	"2"
"东部"	2	0	0	0.799	0.096	1.106	0.797	-0.043	-0.699	1.539	"1"
"两"	1	0	0	0.399	0.048	0.553	0.399	-0.021	-0.35	0.77	"1"
"两万五千"	0	0	1	0.399	0.048	0.553	-0.221	-0.021	0.257	0.499	"3"
"两国"	0	0	1	0.399	0.048	0.553	-0.221	-0.021	0.257	0.499	"3"
"两岸"	1	0	12	5.19	0.621	7.188	-1.893	-0.276	2.284	4.453	"3"
"严重"	1	1	0	0.799	0.096	1.106	0.194	1.03	-0.699	1.923	"2"
"丧命"	1	0	0	0.399	0.048	0.553	0.399	-0.021	-0.35	0.77	"1"
"丧生"	6	0	0	2.396	0.287	3.318	2.392	-0.128	-2.098	4.618	"1"
"个人所得税"	0	1	0	0.399	0.048	0.553	-0.221	1.321	-0.35	1.892	"2"
"中"	21	0	11	12.776	1.529	17.694	2.533	-0.681	-1.857	5.071	"1"
"中东"	11	0	4	5.989	0.717	8.294	2.036	-0.319	-1.618	3.973	"1"
"中央委员"	0	0	1	0.399	0.048	0.553	-0.221	-0.021	0.257	0.499	"3"
"中央社"	0	0	6	2.396	0.287	3.318	-1.328	-0.128	1.544	3	"3"
"主义"	2	0	0	0.799	0.096	1.106	0.797	-0.043	-0.699	1.539	"1"
"主体性"	0	0	1	0.399	0.048	0.553	-0.221	-0.021	0.257	0.499	"3"
"主张"	0	0	4	1.597	0.191	2.212	-0.885	-0.085	1.029	1.999	"3"
"主权"	0	0	5	1.996	0.239	2.765	-1.107	-0.106	1.287	2.5	"3"
"乃"	0	0	1	0.399	0.048	0.553	-0.221	-0.021	0.257	0.499	"3"
"久"	0	0	1	0.399	0.048	0.553	-0.221	-0.021	0.257	0.499	"3"
"之中"	0	0	1	0.399	0.048	0.553	-0.221	-0.021	0.257	0.499	"3"
"之于"	0	1	0	0.399	0.048	0.553	-0.221	1.321	-0.35	1.892	"2"
"之前"	0	0	1	0.399	0.048	0.553	-0.221	-0.021	0.257	0.499	"3"
"之后"	0	1	1	0.799	0.096	1.106	-0.443	1.03	-0.158	1.631	"2"
"之间"	8	0	3	4.392	0.526	6.082	1.539	-0.234	-1.232	3.005	"1"
"之际"	0	0	2	0.799	0.096	1.106	-0.443	-0.043	0.515	1.001	"3"
"九二"	0	0	2	0.799	0.096	1.106	-0.443	-0.043	0.515	1.001	"3"
"书面"	0	0	2	0.799	0.096	1.106	-0.443	-0.043	0.515	1.001	"3"
"买卖"	0	0	1	0.399	0.048	0.553	-0.221	-0.021	0.257	0.499	"3"
"争到"	0	0	1	0.399	0.048	0.553	-0.221	-0.021	0.257	0.499	"3"
"争端"	0	0	1	0.399	0.048	0.553	-0.221	-0.021	0.257	0.499	"3"
"争议"	0	2	12	5.59	0.669	7.741	-3.098	0.847	1.746	5.691	"1"
"事件"	9	0	1	3.993	0.478	5.529	2.782	-0.213	-2.37	5.365	"1"
"事端"	1	0	0	0.399	0.048	0.553	0.399	-0.021	-0.35	0.77	"1"
"云林站"	1	0	0	0.399	0.048	0.553	0.399	-0.021	-0.35	0.77	"1"
"互相"	0	0	1	0.399	0.048	0.553	-0.221	-0.021	0.257	0.499	"3"
