"","tokenlabel","cluster"
"试验/Na/XIN_CMN_20030521_wpr/55281","试验/Na/XIN_CMN_20030521_wpr/55281",1
"试验/Na/CNA_CMN_20030826_wpr/6752","试验/Na/CNA_CMN_20030826_wpr/6752",1
"实验/Na/CNA_CMN_20001024_wpr/126000","实验/Na/CNA_CMN_20001024_wpr/126000",1
"实验/Na/XIN_CMN_20001009_wpr/21759","实验/Na/XIN_CMN_20001009_wpr/21759",1
"试验/Na/XIN_CMN_20030924_wpr/4172","试验/Na/XIN_CMN_20030924_wpr/4172",1
"实验/Na/ZBN_CMN_20030826_wpr/44044","实验/Na/ZBN_CMN_20030826_wpr/44044",1
"实验/Na/ZBN_CMN_20001203_wpr/9919","实验/Na/ZBN_CMN_20001203_wpr/9919",1
"实验/Na/CNA_CMN_20001215_wpr/21574","实验/Na/CNA_CMN_20001215_wpr/21574",1
"试验/Na/CNA_CMN_20001120_wpr/106282","试验/Na/CNA_CMN_20001120_wpr/106282",1
"实验/Na/XIN_CMN_20030604_wpr/47183","实验/Na/XIN_CMN_20030604_wpr/47183",1
"试验/Na/XIN_CMN_20030521_wpr/55311","试验/Na/XIN_CMN_20030521_wpr/55311",1
"试验/Na/XIN_CMN_20001224_wpr/67791","试验/Na/XIN_CMN_20001224_wpr/67791",1
"试验/Na/XIN_CMN_20010102_wpr/36194","试验/Na/XIN_CMN_20010102_wpr/36194",1
"试验/Na/CNA_CMN_20001108_wpr/137706","试验/Na/CNA_CMN_20001108_wpr/137706",1
"试验/Na/CNA_CMN_20001214_wpr/31858","试验/Na/CNA_CMN_20001214_wpr/31858",1
"试验/Na/CNA_CMN_20001221_wpr/117798","试验/Na/CNA_CMN_20001221_wpr/117798",1
"实验/Na/CNA_CMN_20001205_wpr/115442","实验/Na/CNA_CMN_20001205_wpr/115442",1
"试验/Na/CNA_CMN_20001216_wpr/58889","试验/Na/CNA_CMN_20001216_wpr/58889",1
"实验/Na/CNA_CMN_20030513_wpr/7829","实验/Na/CNA_CMN_20030513_wpr/7829",1
"试验/Na/XIN_CMN_20010117_wpr/94508","试验/Na/XIN_CMN_20010117_wpr/94508",1
"实验/Na/XIN_CMN_20030425_wpr/90750","实验/Na/XIN_CMN_20030425_wpr/90750",1
"实验/Na/ZBN_CMN_20030601_wpr/38685","实验/Na/ZBN_CMN_20030601_wpr/38685",1
