"cluster"	"sigcol"
"2"	"科学家"
"2"	"近代"
"2"	"光"
"2"	"学"
"2"	"理论"
"2"	"应用"
"1"	"学院"
"1"	"种"
"1"	"剧场"
"3"	"操作"
"3"	"数学"
"3"	"口试"
"3"	"听力"
"3"	"学校"
"3"	"学科测"
"3"	"验"
"2"	"891015"
"2"	"科学家"
"2"	"猴子"
"2"	"证明"
"2"	"使用"
"2"	"大麻"
"2"	"上瘾"
"2"	"研究"
"2"	"证明"
"3"	"网域"
"3"	"计划"
"3"	"完成"
"3"	"阶段"
"3"	"定论"
"3"	"採样"
"3"	"相同"
"2"	"研究"
"2"	"小组"
"2"	"老鼠"
"2"	"受精卵"
"2"	"进行"
"2"	"发现"
"2"	"初期"
"2"	"受精卵"
"3"	"计有"
"3"	"一百二十"
"3"	"校"
"3"	"参与"
"3"	"含"
"3"	"试办"
"3"	"校"
"2"	"中"
"2"	"访视"
"2"	"发现"
"2"	"学校"
"2"	"校"
"2"	"学校"
"2"	"人员"
"3"	"成果"
"3"	"进一步"
"3"	"阶段"
"3"	"研究"
"1"	"生命"
"1"	"891101"
"1"	"刘"
"1"	"文金"
"1"	"指挥"
"1"	"国乐团"
"3"	"政大"
"3"	"附属"
"3"	"小学"
"3"	"巡视"
"3"	"政大"
"3"	"计画"
"3"	"测试"
"3"	"玩"
"2"	"进行"
"2"	"临床"
"2"	"试验"
"2"	"结果"
"2"	"初步"
"2"	"研究"
"2"	"显示"
"3"	"A-50U"
"3"	"阶段"
"3"	"891118"
"1"	"系列"
"1"	"剧院"
"1"	"剧场"
"1"	"--"
"1"	"十五时"
"1"	"学习"
"3"	"自然课"
"3"	"测量"
"3"	"温度"
"3"	"温度计"
"3"	"参与"
"3"	"新竹县"
"3"	"大学"
"3"	"需"
"3"	"宽频"
"3"	"网路"
"1"	"同样"
"1"	"台大"
"1"	"林区"
"3"	"做"
"3"	"物理"
"3"	"显示"
"2"	"基因"
"2"	"中"
"2"	"植物"
"3"	"国中"
"3"	"学"
"3"	"班"
"3"	"自主"
"3"	"学习"
"3"	"课程"
"3"	"计划"
"3"	"并存"
"3"	"校"
"3"	"教育局"
"3"	"教育"
"3"	"多元化"
"3"	"教育"
"3"	"理"
"3"	"念"
"3"	"北政"
"3"	"国中"
"3"	"教育"
"3"	"实验"
"1"	"国乐团"
"1"	"龙腾"
"1"	"医师"
"1"	"做"
"3"	"891219"
"3"	"续办"
"3"	"自主"
"3"	"学习"
"3"	"计划"
"2"	"891219"
"2"	"中草药"
"2"	"抗"
"2"	"爱滋"
"2"	"临床"
"2"	"行列"
"2"	"中草药"
"1"	"三楼"
