"Coll_Word"	"1"	"2"	"3"	"exp_1"	"exp_2"	"exp_3"	"pbin_1"	"pbin_2"	"pbin_3"	"SumAbsDev"	"LargestDev"
"--"	2	0	0	0.536	0.53	0.934	1.143	-0.267	-0.546	1.956	"1"
"－－多"	0	1	0	0.268	0.265	0.467	-0.136	0.577	-0.273	0.986	"2"
"﹐"	0	0	3	0.805	0.795	1.401	-0.407	-0.401	0.992	1.8	"3"
"︰"	0	1	0	0.268	0.265	0.467	-0.136	0.577	-0.273	0.986	"2"
"019"	0	0	1	0.268	0.265	0.467	-0.136	-0.134	0.331	0.601	"3"
"1.8"	0	0	1	0.268	0.265	0.467	-0.136	-0.134	0.331	0.601	"3"
"127"	0	1	0	0.268	0.265	0.467	-0.136	0.577	-0.273	0.986	"2"
"129"	0	1	0	0.268	0.265	0.467	-0.136	0.577	-0.273	0.986	"2"
"1500"	0	0	1	0.268	0.265	0.467	-0.136	-0.134	0.331	0.601	"3"
"1500多"	0	0	1	0.268	0.265	0.467	-0.136	-0.134	0.331	0.601	"3"
"1600"	1	0	0	0.268	0.265	0.467	0.572	-0.134	-0.273	0.979	"1"
"1970年"	2	0	0	0.536	0.53	0.934	1.143	-0.267	-0.546	1.956	"1"
"1973年"	0	1	0	0.268	0.265	0.467	-0.136	0.577	-0.273	0.986	"2"
"1996年"	0	0	1	0.268	0.265	0.467	-0.136	-0.134	0.331	0.601	"3"
"1998年"	0	0	1	0.268	0.265	0.467	-0.136	-0.134	0.331	0.601	"3"
"1999年"	0	0	1	0.268	0.265	0.467	-0.136	-0.134	0.331	0.601	"3"
"1万"	0	0	1	0.268	0.265	0.467	-0.136	-0.134	0.331	0.601	"3"
"2000多"	0	0	1	0.268	0.265	0.467	-0.136	-0.134	0.331	0.601	"3"
"250"	0	0	1	0.268	0.265	0.467	-0.136	-0.134	0.331	0.601	"3"
"29日电"	0	0	1	0.268	0.265	0.467	-0.136	-0.134	0.331	0.601	"3"
"3.5％"	1	0	0	0.268	0.265	0.467	0.572	-0.134	-0.273	0.979	"1"
"300多万"	0	0	1	0.268	0.265	0.467	-0.136	-0.134	0.331	0.601	"3"
"34.98"	1	0	0	0.268	0.265	0.467	0.572	-0.134	-0.273	0.979	"1"
"3G"	0	0	1	0.268	0.265	0.467	-0.136	-0.134	0.331	0.601	"3"
"6.2"	1	0	0	0.268	0.265	0.467	0.572	-0.134	-0.273	0.979	"1"
"6月"	1	0	2	0.805	0.795	1.401	0.216	-0.401	0.346	0.963	"2"
"72"	0	0	1	0.268	0.265	0.467	-0.136	-0.134	0.331	0.601	"3"
"89.23"	0	1	0	0.268	0.265	0.467	-0.136	0.577	-0.273	0.986	"2"
"891015"	0	1	0	0.268	0.265	0.467	-0.136	0.577	-0.273	0.986	"2"
"891101"	1	0	0	0.268	0.265	0.467	0.572	-0.134	-0.273	0.979	"1"
"891106"	1	0	0	0.268	0.265	0.467	0.572	-0.134	-0.273	0.979	"1"
"891118"	0	0	1	0.268	0.265	0.467	-0.136	-0.134	0.331	0.601	"3"
"891127"	0	0	1	0.268	0.265	0.467	-0.136	-0.134	0.331	0.601	"3"
"891213"	1	0	0	0.268	0.265	0.467	0.572	-0.134	-0.273	0.979	"1"
"891219"	0	1	1	0.536	0.53	0.934	-0.271	0.338	0.145	0.754	"2"
"900112"	0	0	1	0.268	0.265	0.467	-0.136	-0.134	0.331	0.601	"3"
"900128"	0	0	1	0.268	0.265	0.467	-0.136	-0.134	0.331	0.601	"3"
"A-50U"	0	0	1	0.268	0.265	0.467	-0.136	-0.134	0.331	0.601	"3"
"CAVE"	0	0	1	0.268	0.265	0.467	-0.136	-0.134	0.331	0.601	"3"
