"","clusterID","成员chénɡ_yuán","队员duì_yuán","会员huì_yuán","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,3,91,0,7,73,14,0.938207333635129,0.630828429153463,94
"2",2,22,5,1,5,15,8,0.650510204081633,0.400510204081633,28
"3",3,44,0,3,3,23,21,0.880488909008601,0.443186962426437,47
"4",4,9,0,0,0,4,5,1,0.506172839506173,9
"5",5,0,0,18,2,0,16,1,0.802469135802469,18
"6",6,43,12,30,23,29,33,0.400415224913495,0.340346020761246,85
"7",7,8,0,0,1,4,3,1,0.40625,8
"8",8,98,1,16,36,58,21,0.745633270321361,0.385708884688091,115
"9",9,14,0,0,10,2,2,1,0.551020408163265,14
"10",10,46,3,33,29,32,21,0.477989292088043,0.342950624628197,82
