"cluster"	"sigcol"
"1"	"趋势"
"1"	"因应"
"1"	"策略"
"1"	"演讲"
"1"	"演讲"
"1"	"结束"
"1"	"经贸"
"1"	"会"
"1"	"发表"
"1"	"演讲"
"1"	"社科院"
"2"	"新闻"
"2"	"听众"
"2"	"收听"
"2"	"新闻"
"1"	"展望"
"1"	"研讨会"
"1"	"回顾"
"1"	"」"
"1"	"讨论会"
"1"	"进行"
"1"	"交流"
"1"	"音乐"
"1"	"教授"
"1"	"蔡清赞"
"1"	"进行"
"1"	"演讲"
"1"	"内容"
"1"	"废弃物"
"1"	"分析"
"2"	"制作"
"2"	"淘金"
"2"	"意外"
"2"	"花东"
"1"	"SONY"
"1"	"战略"
"1"	"」"
"1"	"为题"
"1"	"发表"
"1"	"演讲"
"1"	"SONY"
"1"	"国军"
"1"	"研讨会"
"1"	"演讲"
"1"	"课程"
"1"	"研究"
"1"	"代替"
"1"	"任教"
"1"	"结束"
"1"	"提出"
"1"	"报告"
"1"	"黑金"
"1"	"」"
"1"	"报告"
"1"	"连战"
"1"	"听取"
"1"	"报告"
"1"	"做"
"1"	"上述"
"1"	"案件"
"1"	"举办"
"1"	"戒严"
"1"	"时期"
"1"	"政治"
"1"	"案件"
"1"	"研讨会"
"1"	"会议"
"1"	"圆满"
"1"	"侨务"
"1"	"报告"
"1"	"侨团"
"1"	"」"
"1"	"克服"
"1"	"」"
"1"	"为题"
"1"	"发表"
"1"	"演讲"
"1"	"座谈会"
"1"	"科技"
"1"	"计画"
"1"	"测试厂房"
"1"	"讲座"
"1"	"实作"
"1"	"研习"
"1"	"等"
"1"	"提出"
"1"	"议题"
"1"	"涵盖"
"1"	"九二一"
"1"	"等"
"1"	"进行"
"1"	"演讲"
"1"	"邀请"
"1"	"国父"
"1"	"纪念"
"1"	"月会"
"1"	"报告"
"2"	"丰富"
"2"	"旅"
"2"	"法兰克福"
"2"	"广讯报"
"2"	"报导"
"2"	"吴"
"2"	"淑珍"
"2"	"旅"
"1"	"支"
"1"	"盟主"
"1"	"讲座"
"1"	"唿吁"
"1"	"邱垂亮"
"7"	"科技"
"7"	"进行"
"7"	"交流"
"7"	"加深"
"1"	"展览"
"1"	"举办"
"1"	"新闻"
"1"	"大会"
"1"	"讨论会"
"1"	"与会"
"1"	"将就"
"1"	"政治"
"1"	"政治"
"1"	"变革"
"1"	"变革"
"1"	"变革"
"1"	"等"
"1"	"进行"
"1"	"研讨"
"1"	"此次"
"1"	"学术"
"1"	"研讨会"
"2"	"结合"
"2"	"思想"
"2"	"进行"
"2"	"发言"
"2"	"通过"
"2"	"学习"
"1"	"有关"
"1"	"专"
"1"	"学者"
"1"	"热线"
"1"	"进行"
"1"	"热线"
"1"	"咨询"
"1"	"讨论"
"7"	"研究"
"7"	"开展"
"7"	"打黑除"
"7"	"恶"
"7"	"调研"
"7"	"全省"
"7"	"开展"
"7"	"场"
"7"	"作"
"1"	"等"
"1"	"学者"
"1"	"分别"
"1"	"做"
"1"	"报告"
"1"	"介绍"
"1"	"顾拜旦"
"1"	"思想"
"7"	"组织"
"7"	"政协"
"7"	"进行"
"7"	"调查"
"7"	"研究"
"7"	"共开"
"7"	"展"
"7"	"调研"
"7"	"有关"
"7"	"开展"
"7"	"专题"
"7"	"调研"
"1"	"科技"
"1"	"发布"
"1"	"讲座"
"1"	"等"
"1"	"讨论"
"1"	"发言"
"1"	"踊跃"
"1"	"与会"
"2"	"音乐"
"2"	"节目"
"2"	"文艺"
"2"	"节目"
"2"	"863"
"7"	"态势"
"7"	"进行"
"7"	"报道"
"7"	"即日"
"1"	"踊跃"
"1"	"会议"
"1"	"小组"
"1"	"会议"
"1"	"讨论"
"1"	"艾滋病"
"2"	"《"
"2"	"夕阳"
"2"	"册"
"2"	"》"
"2"	"重阳节"
"2"	"等"
"2"	"《"
"2"	"》"
"2"	"音"
"2"	"篇"
"2"	"写到"
"2"	"篇幅"
"2"	"刊"
"2"	"策划"
"2"	"内容"
"2"	"进行"
"2"	"作业"
"2"	"课题"
"2"	"作业"
"2"	"准备"
"2"	"课堂"
"2"	"上"
"2"	"发表"
"2"	"论"
"2"	"《"
"2"	"行走"
"2"	"》"
"2"	"示范"
"2"	"介绍"
"2"	"文章"
"2"	"类"
"2"	"背后"
"1"	"《"
"1"	"论坛报"
"1"	"》"
"1"	"引用"
"1"	"研究"
"1"	"报告"
"1"	"国防"
"1"	"战略"
"1"	"研究院"
"1"	"研讨会"
"1"	"上"
"3"	"张富美"
"3"	"今年"
"3"	"联欢"
"3"	"大会"
"3"	"「"
"3"	"族群"
"3"	"」"
"2"	"绘画"
"2"	"创作"
"2"	"特色"
"3"	"「"
"3"	"力行"
"3"	"民主"
"3"	"祥和"
"3"	"」"
"3"	"为"
"3"	"广场"
"1"	"第六"
"1"	"次"
"1"	"研讨"
"1"	"会"
"1"	"发表"
"1"	"演说"
"1"	"罗文斯"
"2"	"会前会"
"2"	"釐清"
"2"	"今年"
"2"	"锁定"
"2"	"两岸"
"1"	"科技"
"1"	"会议"
"1"	"次"
"1"	"会议"
"1"	"讨"
"1"	"论"
"1"	"科技城市"
"2"	"今年"
"2"	"锁定"
"2"	"两岸"
"1"	"次"
"1"	"会议"
"1"	"两岸"
"1"	"交流"
"3"	"」"
"3"	"片头"
"3"	"片尾"
"3"	"对调"
"3"	"播出"
"3"	"片头曲"
"3"	"会议"
"3"	"为"
"3"	"第三世界"
"2"	"世纪"
"2"	"融合"
"2"	"人文"
"2"	"」"
"2"	"为"
"2"	"征文"
"2"	"参赛"
"2"	"作品"
"1"	"相关"
"1"	"研讨会"
"1"	"是"
"1"	"便捷"
"1"	"主办"
"3"	"开设"
"3"	"「"
"3"	"网餐"
"3"	"」"
"3"	"WEAI"
"3"	"餐厅"
"3"	"开幕"
"3"	"餐厅"
"1"	"举办"
"1"	"座谈会"
"1"	"探讨"
"1"	"旅"
"1"	"专题"
"1"	"演讲"
"1"	"活动"
"1"	"兼具"
"1"	"文化"
"2"	"作为"
"2"	"是"
"2"	"是"
"3"	"「"
"3"	"」"
"3"	"是"
"3"	"郭为藩"
"2"	"世纪"
"2"	"和平"
"2"	"仍然"
"2"	"是"
"2"	"时代"
"1"	"背景"
"1"	"大"
"1"	"研讨"
"1"	"民主"
"1"	"主办"
"1"	"是"
"1"	"边政"
"1"	"会议"
"1"	"是"
"1"	"着重"
"2"	"游戏"
"2"	"今年"
"2"	"推出"
"2"	"连线"
"2"	"游戏"
"1"	"」"
"1"	"为题"
"1"	"报告"
"1"	"报告"
"1"	"讨论"
"1"	"讨论"
"1"	"议题"
"1"	"「"
"1"	"效率"
"1"	"」"
"1"	"研考"
"3"	"愿景"
"3"	"」"
"3"	"「"
"3"	"知识经济"
"3"	"」"
"3"	"为"
"3"	"运用"
"3"	"灯箱"
"3"	"九十一年"
"3"	"发行"
"3"	"新版"
"3"	"钞券"
"3"	"正面"
"3"	"先总统"
"3"	"蒋公"
"3"	"背面"
"3"	"主题"
"7"	"研究"
"2"	"创作"
"2"	"文化"
"2"	"特色"
"3"	"」"
"3"	"为"
"3"	"邀请"
"3"	"与会"
"2"	"动画"
"2"	"内容"
"2"	"趣事"
"2"	"阿贵"
"2"	"餐厅"
"2"	"是以"
"2"	"家庭式"
"2"	"用餐"
"2"	"为"
"1"	"」"
"1"	"为"
"1"	"主轴"
"1"	"分组"
"1"	"讨论"
"1"	"包括"
"1"	"会议"
"1"	"分为"
"1"	"讨论"
"1"	"会议"
"1"	"「"
"1"	"」"
"2"	"知识产权局"
"2"	"相同"
"2"	"「"
"2"	"和平"
"2"	"是"
"2"	"时代"
"2"	"」"
"2"	"「"
"2"	"两岸"
"2"	"是"
"3"	"中华"
"3"	"职棒联盟"
"3"	"职棒"
"3"	"年度"
"3"	"「"
"3"	"新世代"
"3"	"」"
"3"	"邀请"
"3"	"原住民"
"3"	"「"
"3"	"娜鲁湾"
"3"	"」"
"3"	"为"
"3"	"二○○三年"
"3"	"文化节"
"3"	"文化"
"2"	"美高科技"
"2"	"研讨会"
"2"	"锁定"
"2"	"家具"
"2"	"设计"
"2"	"环保"
"2"	"体现"
"3"	"为"
"3"	"背景"
"3"	"爱情戏"
"3"	"上进"
"3"	"升华"
"2"	"作为"
"2"	"结构"
"2"	"作为"
"2"	"主线"
"3"	"主题"
"3"	"专家组"
"3"	"“"
"3"	"863"
"3"	"”"
"3"	"计划"
"3"	"机器人"
"3"	"专家组"
"3"	"机器人"
"3"	"协"
"3"	"主办"
"3"	"会议"
"3"	"“"
"3"	"基因组"
"3"	"”"
"3"	"为"
"3"	"内容"
"3"	"涵盖"
"3"	"基因组"
"3"	"兴建"
"3"	"“"
"3"	"明城"
"3"	"”"
"3"	"文化"
"3"	"旅游"
"3"	"公园"
"3"	"“"
"3"	"”"
"3"	"旅游"
"3"	"机遇"
"3"	"挑战"
"3"	"”"
"3"	"为"
"3"	"会议"
"3"	"开幕"
"3"	"海峡"
"3"	"两岸"
"3"	"编织"
"3"	"新机"
"3"	"挑战"
"3"	"”"
"3"	"为"
"1"	"会议"
"1"	"次"
"1"	"会议"
"1"	"是"
"1"	"贯彻党"
"1"	"十五"
"1"	"十五"
"1"	"届"
"1"	"艾滋病"
"1"	"”"
"1"	"为"
"1"	"着重"
"1"	"讨论"
"1"	"艾滋病"
"1"	"和平"
"3"	"次"
"3"	"为期"
"3"	"科技"
"3"	"下乡"
"3"	"活动"
"3"	"是"
"3"	"“"
"3"	"绿色"
"3"	"”"
"2"	"和平"
"2"	"仍然"
"2"	"是"
"2"	"时代"
"2"	"亚洲"
"2"	"邮件"
"2"	"明确"
"2"	"今年"
"2"	"世界"
"2"	"艾滋病"
"2"	"运动"
"2"	"作为"
"2"	"歌"
"2"	"颂"
"2"	"团结"
"2"	"宏大"
"2"	"创作"
"2"	"文艺"
"2"	"坚持"
"2"	"今年"
"2"	"青少年"
"2"	"冬训"
"2"	"归纳为"
"3"	"”"
"3"	"思想"
"3"	"为"
"3"	"发展为"
"3"	"世纪"
"2"	"珍藏"
"2"	"特色"
"2"	"邮品"
"2"	"邮票"
"2"	"是"
"2"	"邮政"
"1"	"会议"
"1"	"展览"
"1"	"展览"
"1"	"相同"
"1"	"包"
"1"	"括"
"3"	"大"
"3"	"熊猫"
"3"	"生态"
"3"	"公园"
"2"	"文化"
"2"	"特色"
"2"	"和平"
"2"	"团结"
"2"	"大"
"2"	"焰火"
"2"	"表演"
"3"	"“"
"3"	"和平"
"3"	"”"
"3"	"为"
"3"	"盛大"
"3"	"阅兵式"
"3"	"游行"
"3"	"庆祝"
"3"	"次"
"3"	"“"
"3"	"励志"
"3"	"”"
"3"	"为"
"3"	"命名为"
"3"	"“"
"3"	"励"
"3"	"”"
"3"	"晚会"
"2"	"团结"
"2"	"确定"
"2"	"峰会"
"2"	"大"
"2"	"与会"
"2"	"围绕"
"2"	"重振"
"5"	"大"
"5"	"发展"
"5"	"共同"
"3"	"访谈"
"3"	"活动"
"3"	"活动"
"3"	"关爱"
"3"	"”"
"3"	"是"
"3"	"届"
"3"	"博会"
"3"	"届"
"3"	"体搏"
"3"	"今年"
"3"	"“"
"3"	"世界"
"3"	"遗产"
"3"	"保护日"
"3"	"”"
"3"	"活动"
"3"	"确定"
"3"	"“"
"3"	"世界"
"3"	"遗产"
"3"	"“"
"3"	"主题"
"3"	"艺术"
"3"	"作坊"
"3"	"”"
"3"	"是"
"3"	"“"
"3"	"音乐"
"3"	"”"
"3"	"音乐"
"3"	"“"
"3"	"”"
"3"	"“"
"3"	"赛"
"3"	"”"
"3"	"田俊荣"
"3"	"今年"
"3"	"体验"
"3"	"神圣"
"3"	"为"
"3"	"运动"
"3"	"公益"
"3"	"宣传"
"3"	"活动"
"3"	"今年"
"3"	"活动"
"3"	"是"
"3"	"“"
"3"	"”"
"1"	"论坛"
"1"	"百年"
"1"	"科技展"
"3"	"交流"
"3"	"届"
"3"	"大会"
"3"	"是"
"3"	"“"
"3"	"寰宇"
"3"	"华商"
"3"	"一心"
"3"	"共存"
"7"	"数据库"
"7"	"健康"
"3"	"“"
"3"	"”"
"3"	"道出"
"1"	"主办"
"1"	"论坛"
"1"	"是"
"1"	"“"
"1"	"光纤"
"1"	"”"
"1"	"将就"
"3"	"“"
"3"	"”"
"3"	"为"
"3"	"显示出"
"3"	"届"
"2"	"突出"
"2"	"确定"
"2"	"生态"
"2"	"”"
"2"	"突出"
"2"	"青少年"
"2"	"中华"
"2"	"世纪坛"
"2"	"展出"
"2"	"为"
"2"	"“"
"2"	"魅力"
"2"	"文化"
"2"	"奥运"
"2"	"”"
"2"	"本次"
"5"	"刻划"
"5"	"深化"
"5"	"潮剧"
"5"	"人物"
"2"	"是"
"2"	"业者"
"2"	"现代"
"2"	"作"
"2"	"发言"
"2"	"杨烈国"
"2"	"为"
"2"	"“"
"2"	"文化"
"2"	"作品"
"2"	"深层"
"2"	"是"
"2"	"创作"
"2"	"壁画"
"2"	"服务社区"
"2"	"壁画"
"2"	"是"
"2"	"“"
"2"	"花园"
"2"	"”"
"2"	"壁画"
"2"	"圣诞"
"2"	"冰"
"2"	"银河"
"2"	"雪景"
"3"	"举办"
"3"	"“"
"3"	"”"
"3"	"为"
"3"	"系列"
"3"	"讲座"
"3"	"本地"
"3"	"华语"
"3"	"公"
"3"	"是"
"3"	"公园"
"3"	"是"
"3"	"活动"
"3"	"公园"
"3"	"饮"
"2"	"思想"
"2"	"”"
"2"	"若要"
"2"	"思想"
"2"	"阅读"
"2"	"设计"
"2"	"几何"
"2"	"图案"
"2"	"经典"
"2"	"法式"
"2"	"突显"
"2"	"写给"
"2"	"管弦乐"
"2"	"哈萨克"
"2"	"幻"
"2"	"曲"
"2"	"管弦乐"
"3"	"景点"
"3"	"长崎"
"3"	"公园"
"2"	"期"
"2"	"今年"
"2"	"不同"
"2"	"话剧"
"2"	"“"
"3"	"园林"
"3"	"“"
"3"	"水陆"
"3"	"交融"
"3"	"”"
"3"	"为"
"3"	"园"
"3"	"设"
"3"	"演出"
"3"	"“"
"3"	"旅游"
"3"	"”"
"3"	"为"
"3"	"讲述"
"3"	"永远"
"3"	"不同"
"2"	"讲座"
"2"	"围绕"
"2"	"深入"
"2"	"探讨"
"2"	"感兴趣"
"2"	"是"
"2"	"文学"
"2"	"戏剧"
"2"	"展出"
"3"	"档"
"3"	"反吸烟"
"3"	"运动"
"3"	"反吸烟"
"3"	"运动"
"3"	"主题"
"3"	"是"
"3"	"“"
"3"	"快乐"
"3"	"策划"
"3"	"次"
"3"	"艺术展"
"3"	"是"
"3"	"“"
"3"	"幻"
"3"	"”"
"3"	"活动"
"3"	"圣淘沙"
"3"	"休闲"
"3"	"确定"
"3"	"公园"
