"Coll_Word"	"1"	"2"	"3"	"exp_1"	"exp_2"	"exp_3"	"pbin_1"	"pbin_2"	"pbin_3"	"SumAbsDev"	"LargestDev"
"－"	3	1	0	0.462	1.764	1.774	2.249	-0.392	-1.018	3.659	"1"
"--"	0	1	7	0.924	3.528	3.548	-0.427	-1.157	1.782	3.366	"3"
"－－"	4	2	0	0.693	2.646	2.661	2.657	-0.338	-1.527	4.522	"1"
"?"	0	0	1	0.116	0.441	0.443	-0.053	-0.253	0.353	0.659	"3"
"."	0	6	3	1.04	3.969	3.991	-0.48	0.817	-0.424	1.721	"2"
"“"	9	29	8	5.314	20.288	20.398	1.11	2.124	-3.957	7.191	"3"
"”"	13	47	20	9.242	35.283	35.475	0.889	2.227	-3.566	6.682	"3"
"〉"	0	0	1	0.116	0.441	0.443	-0.053	-0.253	0.353	0.659	"3"
"「"	0	14	5	2.195	8.38	8.425	-1.013	2.053	-1.064	4.13	"2"
"」"	0	50	17	7.74	29.549	29.711	-3.572	6.414	-2.979	12.965	"2"
"』"	0	1	0	0.116	0.441	0.443	-0.053	0.356	-0.254	0.663	"2"
"|"	0	1	0	0.116	0.441	0.443	-0.053	0.356	-0.254	0.663	"2"
"□"	0	0	1	0.116	0.441	0.443	-0.053	-0.253	0.353	0.659	"3"
"100周年"	0	0	2	0.231	0.882	0.887	-0.107	-0.505	0.706	1.318	"3"
"102"	0	1	0	0.116	0.441	0.443	-0.053	0.356	-0.254	0.663	"2"
"120周年"	0	1	0	0.116	0.441	0.443	-0.053	0.356	-0.254	0.663	"2"
"134周年"	0	1	0	0.116	0.441	0.443	-0.053	0.356	-0.254	0.663	"2"
"15周年"	0	1	0	0.116	0.441	0.443	-0.053	0.356	-0.254	0.663	"2"
"15日电"	0	1	0	0.116	0.441	0.443	-0.053	0.356	-0.254	0.663	"2"
"2000"	0	5	0	0.578	2.205	2.217	-0.267	1.778	-1.272	3.317	"2"
"2000年"	5	1	1	0.809	3.087	3.104	3.452	-0.954	-0.963	5.369	"1"
"2003"	0	3	0	0.347	1.323	1.33	-0.16	1.067	-0.763	1.99	"2"
"2003年"	0	2	2	0.462	1.764	1.774	-0.213	0.226	0.223	0.662	"2"
"2004年"	0	0	1	0.116	0.441	0.443	-0.053	-0.253	0.353	0.659	"3"
"20周年"	0	0	1	0.116	0.441	0.443	-0.053	-0.253	0.353	0.659	"3"
"20多"	0	1	0	0.116	0.441	0.443	-0.053	0.356	-0.254	0.663	"2"
"21世纪"	0	2	0	0.231	0.882	0.887	-0.107	0.711	-0.509	1.327	"2"
"22日"	0	0	1	0.116	0.441	0.443	-0.053	-0.253	0.353	0.659	"3"
"27日"	0	0	1	0.116	0.441	0.443	-0.053	-0.253	0.353	0.659	"3"
"28日"	2	0	3	0.578	2.205	2.217	0.978	-1.263	0.404	2.645	"2"
"2日电"	0	0	1	0.116	0.441	0.443	-0.053	-0.253	0.353	0.659	"3"
"300多"	0	1	0	0.116	0.441	0.443	-0.053	0.356	-0.254	0.663	"2"
