"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_6"	"exp_7"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_6"	"pbin_7"	"SumAbsDev"	"LargestDev"
"－"	0	0	1	0	0	0	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	-0.045	-0.04	0.455	-0.095	-0.068	-0.031	-0.024	0.758	"3"
"--"	0	0	6	1	1	0	1	0.877	0.783	3.159	1.765	1.311	0.622	0.482	-0.401	-0.356	1.265	-0.349	-0.212	-0.28	0.408	3.271	"3"
"－－"	1	0	0	0	2	0	0	0.292	0.261	1.053	0.588	0.437	0.207	0.161	0.577	-0.119	-0.563	-0.284	1.24	-0.093	-0.072	2.948	"5"
"—"	0	0	1	0	0	0	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	-0.045	-0.04	0.455	-0.095	-0.068	-0.031	-0.024	0.758	"3"
"?"	0	0	2	0	0	0	0	0.195	0.174	0.702	0.392	0.291	0.138	0.107	-0.089	-0.079	0.909	-0.19	-0.137	-0.062	-0.048	1.514	"3"
"."	0	0	1	0	3	0	0	0.39	0.348	1.404	0.785	0.583	0.276	0.214	-0.178	-0.158	-0.251	-0.379	1.958	-0.124	-0.096	3.144	"5"
"“"	4	3	9	1	20	0	0	3.605	3.22	12.987	7.258	5.391	2.555	1.984	0.308	-0.225	-0.947	-2.507	7.629	-1.15	-0.885	13.651	"5"
"”"	3	8	13	7	27	2	2	6.042	5.396	21.762	12.161	9.033	4.282	3.324	-0.872	0.772	-1.933	-1.211	7.432	-0.723	-0.459	13.402	"5"
"「"	1	1	5	13	1	0	1	2.144	1.915	7.722	4.315	3.205	1.519	1.179	-0.451	-0.379	-0.794	4.281	-0.828	-0.684	-0.175	7.592	"4"
"」"	0	3	16	31	2	6	3	5.944	5.309	21.411	11.965	8.887	4.213	3.27	-2.716	-0.675	-1.037	7.297	-2.361	0.612	-0.233	14.931	"4"
"+"	0	0	0	0	1	0	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	-0.045	-0.04	-0.188	-0.095	0.837	-0.031	-0.024	1.26	"5"
"═"	1	0	0	0	0	0	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	1.011	-0.04	-0.188	-0.095	-0.068	-0.031	-0.024	1.457	"1"
"00"	0	0	0	0	1	0	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	-0.045	-0.04	-0.188	-0.095	0.837	-0.031	-0.024	1.26	"5"
"000"	0	0	0	1	0	0	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	-0.045	-0.04	-0.188	0.707	-0.068	-0.031	-0.024	1.103	"4"
"100周年"	0	1	0	0	0	0	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	-0.045	1.06	-0.188	-0.095	-0.068	-0.031	-0.024	1.511	"2"
"10周年"	0	2	1	0	0	0	0	0.292	0.261	1.053	0.588	0.437	0.207	0.161	-0.134	1.669	-0.145	-0.284	-0.205	-0.093	-0.072	2.602	"2"
"120周年"	0	0	0	0	0	1	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	-0.045	-0.04	-0.188	-0.095	-0.068	1.161	-0.024	1.621	"6"
"130多"	0	0	1	0	0	0	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	-0.045	-0.04	0.455	-0.095	-0.068	-0.031	-0.024	0.758	"3"
"15周年"	0	0	0	0	1	0	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	-0.045	-0.04	-0.188	-0.095	0.837	-0.031	-0.024	1.26	"5"
"18日电"	0	1	0	0	0	0	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	-0.045	1.06	-0.188	-0.095	-0.068	-0.031	-0.024	1.511	"2"
"1994年"	1	0	0	0	0	0	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	1.011	-0.04	-0.188	-0.095	-0.068	-0.031	-0.024	1.457	"1"
"2000"	0	0	0	0	1	0	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	-0.045	-0.04	-0.188	-0.095	0.837	-0.031	-0.024	1.26	"5"
"2000年"	2	1	0	0	0	0	0	0.292	0.261	1.053	0.588	0.437	0.207	0.161	1.575	0.622	-0.563	-0.284	-0.205	-0.093	-0.072	3.414	"1"
"2003"	0	0	0	0	1	0	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	-0.045	-0.04	-0.188	-0.095	0.837	-0.031	-0.024	1.26	"5"
"2003年"	0	0	0	0	1	0	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	-0.045	-0.04	-0.188	-0.095	0.837	-0.031	-0.024	1.26	"5"
"2008年"	0	1	0	0	0	0	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	-0.045	1.06	-0.188	-0.095	-0.068	-0.031	-0.024	1.511	"2"
"20周年"	0	0	1	0	0	0	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	-0.045	-0.04	0.455	-0.095	-0.068	-0.031	-0.024	0.758	"3"
"21世纪"	0	0	0	2	0	0	0	0.195	0.174	0.702	0.392	0.291	0.138	0.107	-0.089	-0.079	-0.376	1.415	-0.137	-0.062	-0.048	2.206	"4"
"22日"	0	0	2	0	0	0	0	0.195	0.174	0.702	0.392	0.291	0.138	0.107	-0.089	-0.079	0.909	-0.19	-0.137	-0.062	-0.048	1.514	"3"
"28日"	0	3	0	0	0	0	0	0.292	0.261	1.053	0.588	0.437	0.207	0.161	-0.134	3.181	-0.563	-0.284	-0.205	-0.093	-0.072	4.532	"2"
"29日"	0	0	1	0	0	0	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	-0.045	-0.04	0.455	-0.095	-0.068	-0.031	-0.024	0.758	"3"
"50周年"	0	2	0	0	0	0	0	0.195	0.174	0.702	0.392	0.291	0.138	0.107	-0.089	2.121	-0.376	-0.19	-0.137	-0.062	-0.048	3.023	"2"
"891009"	0	0	1	0	0	0	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	-0.045	-0.04	0.455	-0.095	-0.068	-0.031	-0.024	0.758	"3"
"891016"	0	0	1	0	0	0	0	0.097	0.087	0.351	0.196	0.146	0.069	0.054	-0.045	-0.04	0.455	-0.095	-0.068	-0.031	-0.024	0.758	"3"
