"cluster"	"sigcol"
"3"	"随后"
"3"	"因"
"3"	"航权"
"3"	"而"
"3"	"三月"
"3"	"十五日"
"3"	"保証"
"3"	"化解"
"3"	"接近"
"3"	"穆巴拉克"
"3"	"成为"
"3"	"欧盟"
"3"	"问题"
"3"	"与"
"3"	"赛普勒斯"
"3"	"和"
"3"	"领土"
"3"	"问题"
"3"	"牵扯"
"3"	"相信"
"2"	"青年"
"2"	"与"
"2"	"发生"
"2"	"激烈"
"2"	"捕"
"2"	"激烈"
"2"	"选举"
"2"	"联邦"
"2"	"法院"
"2"	"和平"
"3"	"和"
"3"	"安全"
"3"	"雷克"
"3"	"而"
"3"	"受损"
"3"	"一九九五年"
"3"	"核四"
"3"	"一直"
"3"	"朝野"
"3"	"核四"
"3"	"僵局"
"3"	"安排"
"3"	"问题"
"3"	"分歧"
"3"	"消除"
"2"	"欧盟"
"2"	"问题"
"2"	"发生"
"2"	"激烈"
"2"	"问题"
"2"	"此"
"2"	"与"
"2"	"皇马"
"2"	"佩雷斯"
"2"	"发生"
"2"	"随后"
"3"	"墙"
"3"	"为何"
"3"	"成为"
"3"	"巴"
"3"	"焦点"
"3"	"问题"
"3"	"更"
"3"	"成为"
"3"	"方"
"3"	"焦点"
"3"	"议程"
"3"	"问题"
"3"	"谈判"
"4"	"找出"
"4"	"解决"
"4"	"避免"
"4"	"善意"
"2"	"问题"
"2"	"双方"
"2"	"发生"
"2"	"又"
"2"	"两"
"2"	"两国"
"2"	"问题"
"2"	"达成"
"2"	"共识"
"2"	"发生"
"2"	"个别"
"2"	"问题"
"3"	"联邦"
"3"	"州"
"3"	"选举"
"3"	"交回"
"3"	"州"
"3"	"最高法院"
"2"	"激烈"
"2"	"选举"
"2"	"发生"
"2"	"1800年"
"3"	"此"
"3"	"课题"
"3"	"引起"
"3"	"外交"
"3"	"招致"
"3"	"英国"
"3"	"强烈"
"2"	"发生"
"2"	"有时"
"2"	"父母"
"2"	"哥哥"
"3"	"弟弟"
"3"	"反对"
"3"	"起"
"3"	"终"
"3"	"酿成"
"3"	"悲剧"
"3"	"对方"
"3"	"结果"
"3"	"起"
"3"	"被告"
"3"	"找上"
"3"	"妻子"
"3"	"对方"
"2"	"发生"
"2"	"激烈"
"2"	"亮出"
"2"	"利刀"
"3"	"两"
"3"	"邻居"
"3"	"为了"
"3"	"事"
"3"	"相骂"
"3"	"起"
"2"	"不和"
"2"	"发生"
