"","tokenlabel","cluster"
"冲突/Na/XIN_CMN_20030412_wpr/34678","冲突/Na/XIN_CMN_20030412_wpr/34678",1
"冲突/Na/XIN_CMN_20030609_wpr/53359","冲突/Na/XIN_CMN_20030609_wpr/53359",1
"冲突/Na/XIN_CMN_20001022_wpr/27629","冲突/Na/XIN_CMN_20001022_wpr/27629",1
"冲突/Na/XIN_CMN_20030825_wpr/5005","冲突/Na/XIN_CMN_20030825_wpr/5005",1
"冲突/Na/XIN_CMN_20030920_wpr/46516","冲突/Na/XIN_CMN_20030920_wpr/46516",1
"冲突/Na/XIN_CMN_20030812_wpr/56806","冲突/Na/XIN_CMN_20030812_wpr/56806",1
"冲突/Na/XIN_CMN_20010119_wpr/52669","冲突/Na/XIN_CMN_20010119_wpr/52669",1
"冲突/Na/XIN_CMN_20030424_wpr/2545","冲突/Na/XIN_CMN_20030424_wpr/2545",1
"冲突/Na/CNA_CMN_20001207_wpr/6576","冲突/Na/CNA_CMN_20001207_wpr/6576",1
"冲突/Na/XIN_CMN_20030730_wpr/46590","冲突/Na/XIN_CMN_20030730_wpr/46590",1
"冲突/Na/XIN_CMN_20001019_wpr/38688","冲突/Na/XIN_CMN_20001019_wpr/38688",1
"冲突/Na/XIN_CMN_20030403_wpr/9543","冲突/Na/XIN_CMN_20030403_wpr/9543",1
"冲突/Na/XIN_CMN_20001117_wpr/38595","冲突/Na/XIN_CMN_20001117_wpr/38595",1
"冲突/Na/CNA_CMN_20001102_wpr/87498","冲突/Na/CNA_CMN_20001102_wpr/87498",1
"冲突/Na/CNA_CMN_20001013_wpr/104803","冲突/Na/CNA_CMN_20001013_wpr/104803",1
"冲突/Na/XIN_CMN_20001102_wpr/60019","冲突/Na/XIN_CMN_20001102_wpr/60019",1
"冲突/Na/XIN_CMN_20001203_wpr/4084","冲突/Na/XIN_CMN_20001203_wpr/4084",1
"冲突/Na/XIN_CMN_20001013_wpr/18871","冲突/Na/XIN_CMN_20001013_wpr/18871",1
