"Coll_Word"	"1"	"2"	"3"	"exp_1"	"exp_2"	"exp_3"	"pbin_1"	"pbin_2"	"pbin_3"	"SumAbsDev"	"LargestDev"
"%左"	0	0	1	0.578	0.069	0.354	-0.374	-0.031	0.451	0.856	"3"
"，"	146	0	5	87.203	10.371	53.426	27.877	-4.666	-21.13	53.673	"1"
"、"	1	0	28	16.748	1.992	10.261	-9.242	-0.896	11.353	21.491	"3"
";"	0	3	6	5.198	0.618	3.184	-3.368	1.702	1.249	6.319	"1"
"="	0	0	1	0.578	0.069	0.354	-0.374	-0.031	0.451	0.856	"3"
"×"	0	0	2	1.155	0.137	0.708	-0.748	-0.062	0.902	1.712	"3"
"……"	1	0	0	0.578	0.069	0.354	0.238	-0.031	-0.19	0.459	"1"
"0.66"	0	0	1	0.578	0.069	0.354	-0.374	-0.031	0.451	0.856	"3"
"1.5"	0	0	1	0.578	0.069	0.354	-0.374	-0.031	0.451	0.856	"3"
"1000多"	0	0	1	0.578	0.069	0.354	-0.374	-0.031	0.451	0.856	"3"
"1060亿"	0	1	0	0.578	0.069	0.354	-0.374	1.163	-0.19	1.727	"2"
"1265"	0	0	1	0.578	0.069	0.354	-0.374	-0.031	0.451	0.856	"3"
"126万"	0	0	1	0.578	0.069	0.354	-0.374	-0.031	0.451	0.856	"3"
"12万"	1	0	1	1.155	0.137	0.708	-0.176	-0.062	0.235	0.473	"3"
"138亿"	0	0	1	0.578	0.069	0.354	-0.374	-0.031	0.451	0.856	"3"
"14500"	1	0	0	0.578	0.069	0.354	0.238	-0.031	-0.19	0.459	"1"
"1500余"	1	0	0	0.578	0.069	0.354	0.238	-0.031	-0.19	0.459	"1"
"15分"	1	0	0	0.578	0.069	0.354	0.238	-0.031	-0.19	0.459	"1"
"161"	1	0	0	0.578	0.069	0.354	0.238	-0.031	-0.19	0.459	"1"
"1618"	0	1	0	0.578	0.069	0.354	-0.374	1.163	-0.19	1.727	"2"
"1673"	0	0	1	0.578	0.069	0.354	-0.374	-0.031	0.451	0.856	"3"
