"Coll_Word"	"1"	"2"	"3"	"exp_1"	"exp_2"	"exp_3"	"pbin_1"	"pbin_2"	"pbin_3"	"SumAbsDev"	"LargestDev"
"："	0	2	4	2.545	1.16	2.295	-1.439	0.484	0.807	2.73	"1"
"?"	0	1	2	1.273	0.58	1.147	-0.719	0.323	0.485	1.527	"1"
"’"	2	0	1	1.273	0.58	1.147	0.412	-0.28	-0.172	0.864	"1"
"”"	52	0	9	25.879	11.79	23.331	11.226	-5.69	-4.271	21.187	"1"
"「"	0	3	1	1.697	0.773	1.53	-0.959	1.607	-0.296	2.862	"2"
"」"	0	4	11	6.364	2.899	5.737	-3.596	0.486	2.201	6.283	"1"
"◆"	0	0	1	0.424	0.193	0.382	-0.24	-0.093	0.417	0.75	"3"
"1978年"	0	0	1	0.424	0.193	0.382	-0.24	-0.093	0.417	0.75	"3"
"2.6％"	0	0	1	0.424	0.193	0.382	-0.24	-0.093	0.417	0.75	"3"
"891005"	0	0	1	0.424	0.193	0.382	-0.24	-0.093	0.417	0.75	"3"
"891231"	0	0	1	0.424	0.193	0.382	-0.24	-0.093	0.417	0.75	"3"
"9999"	0	0	1	0.424	0.193	0.382	-0.24	-0.093	0.417	0.75	"3"
"http:"	1	0	0	0.424	0.193	0.382	0.372	-0.093	-0.209	0.674	"1"
"RNA"	0	0	1	0.424	0.193	0.382	-0.24	-0.093	0.417	0.75	"3"
"SMS"	0	0	1	0.424	0.193	0.382	-0.24	-0.093	0.417	0.75	"3"
"一下"	0	0	2	0.848	0.387	0.765	-0.48	-0.187	0.835	1.502	"3"
"一些"	0	6	2	3.394	1.546	3.06	-1.918	2.993	-0.452	5.363	"2"
"一切"	1	0	0	0.424	0.193	0.382	0.372	-0.093	-0.209	0.674	"1"
"一厢情愿"	0	0	1	0.424	0.193	0.382	-0.24	-0.093	0.417	0.75	"3"
"一国两制"	1	0	0	0.424	0.193	0.382	0.372	-0.093	-0.209	0.674	"1"
"一致"	0	9	0	3.818	1.739	3.442	-2.158	6.424	-1.884	10.466	"2"
"一般人"	0	0	2	0.848	0.387	0.765	-0.48	-0.187	0.835	1.502	"3"
"一般家"	0	0	1	0.424	0.193	0.382	-0.24	-0.093	0.417	0.75	"3"
"一部分"	0	0	2	0.848	0.387	0.765	-0.48	-0.187	0.835	1.502	"3"
"万众一心"	2	0	0	0.848	0.387	0.765	0.745	-0.187	-0.419	1.351	"1"
"三党"	0	1	0	0.424	0.193	0.382	-0.24	0.714	-0.209	1.163	"2"
"三成二"	0	1	0	0.424	0.193	0.382	-0.24	0.714	-0.209	1.163	"2"
"三讲"	1	0	0	0.424	0.193	0.382	0.372	-0.093	-0.209	0.674	"1"
"三通"	0	1	0	0.424	0.193	0.382	-0.24	0.714	-0.209	1.163	"2"
"上"	9	0	5	5.939	2.706	5.355	1.076	-1.306	-0.267	2.649	"2"
"上述"	0	4	0	1.697	0.773	1.53	-0.959	2.855	-0.837	4.651	"2"
"下"	1	1	2	1.697	0.773	1.53	-0.363	0.239	0.306	0.908	"1"
"不"	0	0	3	1.273	0.58	1.147	-0.719	-0.28	1.252	2.251	"3"
"不一"	0	5	0	2.121	0.966	1.912	-1.199	3.569	-1.047	5.815	"2"
"不只"	0	0	1	0.424	0.193	0.382	-0.24	-0.093	0.417	0.75	"3"
"不可能"	1	0	0	0.424	0.193	0.382	0.372	-0.093	-0.209	0.674	"1"
"不同"	0	2	22	10.182	4.639	9.18	-5.754	-0.885	7.137	13.776	"3"
"不和"	0	0	1	0.424	0.193	0.382	-0.24	-0.093	0.417	0.75	"3"
"不容易"	0	0	1	0.424	0.193	0.382	-0.24	-0.093	0.417	0.75	"3"
"不忘"	0	0	1	0.424	0.193	0.382	-0.24	-0.093	0.417	0.75	"3"
"不懈"	1	0	1	0.848	0.387	0.765	0.175	-0.187	0.209	0.571	"3"
"不断"	3	0	0	1.273	0.58	1.147	1.117	-0.28	-0.628	2.025	"1"
"不无"	0	0	1	0.424	0.193	0.382	-0.24	-0.093	0.417	0.75	"3"
"不符"	0	0	1	0.424	0.193	0.382	-0.24	-0.093	0.417	0.75	"3"
"不管"	0	0	1	0.424	0.193	0.382	-0.24	-0.093	0.417	0.75	"3"
