"cluster"	"sigcol"
"1"	"台玻"
"1"	"传统"
"1"	"造"
"1"	"冲击"
"1"	"投资"
"1"	"加速"
"1"	"产业"
"1"	"产业"
"1"	"环境"
"1"	"冲击"
"1"	"经济"
"1"	"协助"
"1"	"化"
"1"	"传统"
"1"	"转型"
"1"	"科学园区"
"1"	"设厂"
"1"	"形成"
"1"	"科技"
"1"	"发展"
"1"	"科技"
"1"	"发展"
"1"	"迅速"
"1"	"台湾"
"2"	"规划"
"2"	"整合"
"2"	"规划"
"2"	"项目"
"1"	"林信义"
"1"	"徐旭东"
"1"	"传统"
"1"	"大老"
"1"	"徐旭东"
"1"	"891012"
"1"	"协助"
"1"	"振兴"
"1"	"景气"
"1"	"外移"
"1"	"方式表"
"1"	"台湾"
"1"	"工业"
"1"	"理事长"
"1"	"林坤钟"
"1"	"传统"
"1"	"面临"
"1"	"生存"
"1"	"重要"
"1"	"产业界"
"3"	"财经"
"3"	"连带"
"1"	"放空"
"1"	"个人电脑"
"1"	"网际"
"1"	"网路"
"1"	"手机"
"1"	"利于"
"1"	"发展"
"1"	"促进"
"1"	"跨"
"1"	"协助"
"1"	"展延"
"1"	"传统"
"1"	"业者"
"1"	"贷款"
"1"	"行业"
"1"	"投资"
"1"	"西部"
"1"	"基础"
"1"	"设施"
"1"	"优势"
"1"	"项目"
"1"	"放宽"
"1"	"大陆"
"1"	"投资"
"1"	"政策"
"1"	"倾斜"
"1"	"高科技"
"1"	"产业"
"1"	"发展"
"1"	"发展"
"1"	"高"
"1"	"新"
"1"	"技术"
"1"	"需求"
"1"	"经济全球化"
"1"	"高科技"
"1"	"大陆"
"1"	"科技"
"1"	"因应"
"1"	"科技"
"1"	"需求"
"1"	"我国"
"1"	"推动"
"1"	"电子化"
"1"	"工业区"
"1"	"需求"
"1"	"拟订"
"1"	"政策"
"1"	"发展"
"1"	"主要"
"1"	"欠佳"
"1"	"景气"
"1"	"疑虑"
"1"	"产业"
"1"	"环境"
"1"	"平常心"
"1"	"调整"
"1"	"产业"
"1"	"结构"
"1"	"提升"
"1"	"附加"
"1"	"价值"
"1"	"因应"
"1"	"资策会"
"2"	"观光"
"2"	"产业"
"2"	"IT"
"2"	"发展"
"2"	"策略性"
"2"	"产业"
"1"	"提高"
"1"	"进而"
"1"	"提升"
"1"	"整体"
"1"	"医药"
"1"	"企业"
"1"	"教育"
"1"	"体系"
"1"	"培育"
"1"	"人才"
"1"	"需求"
"1"	"网际"
"1"	"网路"
"1"	"经济部"
"1"	"经济部"
"1"	"经济部"
"1"	"提升"
"1"	"竞争力"
"1"	"服务团"
"1"	"暨"
"1"	"授旗"
"1"	"投资"
"1"	"设厂"
"1"	"传"
"1"	"统"
"1"	"电子"
"1"	"产业"
"1"	"凡是"
"1"	"劳力"
"1"	"密集"
"3"	"医疗展"
"3"	"生物科技"
"3"	"重心"
"1"	"未来"
"1"	"垂直"
"1"	"整合"
"1"	"架构"
"1"	"社群"
"1"	"改善"
"1"	"产业"
"1"	"竞争力"
"1"	"我国"
"1"	"高科技"
"1"	"产业"
"1"	"崭露头角"
"1"	"传统"
"1"	"切记"
"1"	"经营"
"1"	"环境"
"1"	"学园区"
"1"	"积体电路"
"1"	"电晶体"
"1"	"液晶显示器"
"1"	"核心"
"1"	"带动"
"1"	"低耗"
"1"	"产业"
"1"	"产"
"1"	"高科技"
"1"	"速"
"1"	"通讯"
"1"	"科技"
"1"	"整合"
"1"	"扶持"
"1"	"经济"
"1"	"成长"
"1"	"知识经济"
"1"	"全球化"
"1"	"投资"
"1"	"经济部"
"1"	"协会"
"1"	"投资"
"1"	"洽请"
"1"	"产业"
"1"	"公会"
"1"	"赴"
"1"	"投资"
"1"	"环境"
"1"	"企业"
"1"	"出走"
"1"	"挽救"
"1"	"传统"
"1"	"失业率"
"3"	"报导性"
"3"	"爱滋"
"3"	"891115"
"1"	"投资"
"1"	"环境"
"1"	"传统"
"1"	"出走"
"1"	"高科技"
"1"	"产业"
"1"	"走向"
"1"	"投资"
"1"	"高科技"
"1"	"外移"
"1"	"大陆"
"1"	"大陆"
"1"	"投资"
"1"	"促进"
"1"	"科技"
"1"	"联交所"
"1"	"新"
"1"	"花莲"
"1"	"发展"
"1"	"环境"
"1"	"高"
"1"	"工时"
"1"	"企业"
"1"	"传统"
"1"	"中小企业"
"2"	"发展成"
"2"	"兼具"
"2"	"观光"
"2"	"价值"
"2"	"园区"
"1"	"邀集"
"1"	"外商"
"1"	"投资"
"1"	"促进"
"1"	"发展"
"1"	"活络"
"1"	"整体"
"1"	"经济"
"1"	"因应"
"1"	"投资"
"1"	"产业"
"1"	"外移"
"1"	"重点"
"1"	"科技"
"1"	"国内"
"1"	"投资"
"1"	"知识"
"1"	"传统"
"1"	"产业"
"1"	"结合"
"1"	"传统"
"1"	"注入"
"1"	"新"
"1"	"创造"
"1"	"新"
"1"	"商机"
"1"	"统"
"1"	"产业"
"1"	"重要"
"1"	"策略"
"1"	"传统"
"1"	"知识"
"1"	"产业"
"1"	"关键"
"1"	"旅游"
"1"	"资讯"
"1"	"厂商"
"1"	"建置"
"1"	"台中县"
"1"	"资源"
"1"	"协助"
"1"	"促进"
"1"	"国内"
"1"	"生技"
"1"	"发展"
"1"	"产业"
"1"	"淘汰"
"1"	"国内"
"1"	"IC"
"1"	"具"
"1"	"高"
"1"	"成长"
"1"	"特性"
"1"	"全球"
"1"	"劳工局"
"1"	"国内"
"1"	"劳动"
"1"	"结"
"1"	"构"
"1"	"调整"
"1"	"企业"
"1"	"外移"
"1"	"造成"
"1"	"经济"
"1"	"景气"
"1"	"高"
"1"	"科技"
"1"	"为主"
"1"	"台湾"
"1"	"受惠"
"1"	"全球"
"1"	"半导体"
"1"	"研讨会"
"1"	"大陆"
"1"	"半导体"
"1"	"业"
"1"	"发展"
"1"	"大陆"
"1"	"政策"
"1"	"台商"
"1"	"大陆"
"1"	"优先"
"1"	"受惠"
"1"	"大陆"
"1"	"台商"
"1"	"林信义"
"1"	"彰化"
"1"	"传统"
"1"	"巩"
"1"	"传统"
"1"	"产业"
"1"	"高"
"1"	"研发"
"1"	"比重"
"1"	"新"
"1"	"型态"
"1"	"成为"
"1"	"企业型"
"1"	"升级"
"2"	"发展"
"2"	"花莲"
"2"	"区域"
"2"	"绿色"
"2"	"资源"
"2"	"观光"
"2"	"花莲"
"2"	"推动"
"2"	"观光"
"2"	"产业面"
"1"	"笔记型"
"1"	"商"
"1"	"第四季"
"1"	"全球"
"1"	"资讯"
"1"	"景"
"1"	"发展"
"1"	"优势"
"1"	"吸引"
"1"	"进驻"
"1"	"根留"
"1"	"台湾"
"1"	"流程"
"1"	"投资"
"1"	"行销"
"1"	"未来"
"1"	"发展"
"1"	"台湾"
"1"	"经济"
"1"	"外移"
"1"	"大陆"
"2"	"科学园区"
"2"	"园区"
"2"	"高"
"2"	"论坛"
"1"	"科学园区"
"1"	"部份"
"1"	"高科技"
"1"	"外移"
"1"	"八十年代"
"1"	"面临"
"1"	"产业"
"1"	"转型"
"1"	"拉长"
"1"	"传统"
"1"	"产业"
"1"	"生命线"
"1"	"科学园区"
"1"	"全球"
"1"	"论坛"
"1"	"徐旭东"
"1"	"科技"
"1"	"创新"
"1"	"竞争力"
"1"	"徐旭东"
"1"	"企业"
"1"	"外移"
"1"	"外移"
"1"	"无线"
"1"	"领域"
"1"	"有鑑于"
"1"	"资讯"
"1"	"家电"
"1"	"成为"
"1"	"明星"
"1"	"产业"
"1"	"缩短"
"1"	"工时"
"1"	"促"
"1"	"升级"
"1"	"产品"
"1"	"知识"
"1"	"价值"
"1"	"高科技"
"1"	"沦为"
"1"	"代工"
"1"	"产业"
"1"	"政策"
"1"	"外商"
"1"	"投资"
"1"	"奖励"
"1"	"替代"
"1"	"关键"
"1"	"台湾"
"1"	"传统"
"1"	"营建业"
"1"	"发展"
"1"	"台湾"
"1"	"中小企业"
"1"	"传统"
"1"	"出走到"
"1"	"大陆"
"1"	"劳工"
"1"	"工时案"
"1"	"周延"
"1"	"发展"
"1"	"行政院版"
"1"	"工时案"
"2"	"能源"
"2"	"耗"
"2"	"造纸"
"2"	"钢铁"
"2"	"能源"
"1"	"加快"
"1"	"外商"
"1"	"投"
"1"	"资"
"1"	"高科技"
"1"	"促进"
"1"	"高新"
"1"	"技术"
"2"	"WTO"
"2"	"畜牧"
"2"	"业者"
"2"	"逐步"
"1"	"设厂"
"1"	"模式"
"1"	"适合"
