"","tokenlabel","cluster"
"成分/Na/CNA_CMN_20001025_wpr/140900","成分/Na/CNA_CMN_20001025_wpr/140900",1
"成分/Na/XIN_CMN_20001207_wpr/37634","成分/Na/XIN_CMN_20001207_wpr/37634",1
"材料/Na/ZBN_CMN_20030527_wpr/9534","材料/Na/ZBN_CMN_20030527_wpr/9534",1
"成分/Na/ZBN_CMN_20030618_wpr/7987","成分/Na/ZBN_CMN_20030618_wpr/7987",1
"成分/Na/ZBN_CMN_20030530_wpr/87174","成分/Na/ZBN_CMN_20030530_wpr/87174",1
"成份/Na/CNA_CMN_20001112_wpr/59054","成份/Na/CNA_CMN_20001112_wpr/59054",1
"成分/Na/XIN_CMN_20001201_wpr/71416","成分/Na/XIN_CMN_20001201_wpr/71416",1
"成分/Na/XIN_CMN_20001126_wpr/51285","成分/Na/XIN_CMN_20001126_wpr/51285",1
"材料/Na/ZBN_CMN_20030903_wpr/72339","材料/Na/ZBN_CMN_20030903_wpr/72339",1
"材料/Na/ZBN_CMN_20030827_wpr/63273","材料/Na/ZBN_CMN_20030827_wpr/63273",1
"材料/Na/ZBN_CMN_20030926_wpr/7723","材料/Na/ZBN_CMN_20030926_wpr/7723",1
"成份/Na/XIN_CMN_20010121_wpr/35146","成份/Na/XIN_CMN_20010121_wpr/35146",1
"材料/Na/XIN_CMN_20001007_wpr/24047","材料/Na/XIN_CMN_20001007_wpr/24047",1
"材料/Na/XIN_CMN_20010117_wpr/54406","材料/Na/XIN_CMN_20010117_wpr/54406",1
"成分/Na/ZBN_CMN_20030710_wpr/64137","成分/Na/ZBN_CMN_20030710_wpr/64137",1
"成分/Na/XIN_CMN_20030514_wpr/3413","成分/Na/XIN_CMN_20030514_wpr/3413",1
"成分/Na/ZBN_CMN_20001215_wpr/9006","成分/Na/ZBN_CMN_20001215_wpr/9006",1
"成分/Na/XIN_CMN_20030411_wpr/2505","成分/Na/XIN_CMN_20030411_wpr/2505",1
"成分/Na/CNA_CMN_20001208_wpr/14039","成分/Na/CNA_CMN_20001208_wpr/14039",1
"原料/Na/CNA_CMN_20001012_wpr/12299","原料/Na/CNA_CMN_20001012_wpr/12299",1
"原料/Na/CNA_CMN_20001023_wpr/18155","原料/Na/CNA_CMN_20001023_wpr/18155",1
