"","tokenlabel","cluster"
"成份/Na/CNA_CMN_20001112_wpr/71065","成份/Na/CNA_CMN_20001112_wpr/71065",1
"成分/Na/XIN_CMN_20001126_wpr/50985","成分/Na/XIN_CMN_20001126_wpr/50985",1
"成分/Na/XIN_CMN_20001126_wpr/51285","成分/Na/XIN_CMN_20001126_wpr/51285",1
"成分/Na/CNA_CMN_20001017_wpr/35517","成分/Na/CNA_CMN_20001017_wpr/35517",1
"成分/Na/CNA_CMN_20001019_wpr/142327","成分/Na/CNA_CMN_20001019_wpr/142327",1
"成分/Na/ZBN_CMN_20010107_wpr/27686","成分/Na/ZBN_CMN_20010107_wpr/27686",1
"成份/Na/CNA_CMN_20001112_wpr/71154","成份/Na/CNA_CMN_20001112_wpr/71154",1
"成分/Na/CNA_CMN_20001110_wpr/98421","成分/Na/CNA_CMN_20001110_wpr/98421",1
"成分/Na/XIN_CMN_20001219_wpr/82850","成分/Na/XIN_CMN_20001219_wpr/82850",1
"成份/Na/XIN_CMN_20030927_wpr/26476","成份/Na/XIN_CMN_20030927_wpr/26476",1
"材料/Na/CNA_CMN_20001026_wpr/69070","材料/Na/CNA_CMN_20001026_wpr/69070",1
"原料/Na/CNA_CMN_20001027_wpr/175890","原料/Na/CNA_CMN_20001027_wpr/175890",1
"成份/Na/ZBN_CMN_20030714_wpr/6410","成份/Na/ZBN_CMN_20030714_wpr/6410",1
"成份/Na/ZBN_CMN_20030615_wpr/10446","成份/Na/ZBN_CMN_20030615_wpr/10446",1
"成分/Na/XIN_CMN_20001014_wpr/62257","成分/Na/XIN_CMN_20001014_wpr/62257",1
"成分/Na/XIN_CMN_20001107_wpr/50042","成分/Na/XIN_CMN_20001107_wpr/50042",1
"成分/Na/ZBN_CMN_20030910_wpr/7204","成分/Na/ZBN_CMN_20030910_wpr/7204",1
"成分/Na/ZBN_CMN_20010110_wpr/11693","成分/Na/ZBN_CMN_20010110_wpr/11693",1
"成分/Na/ZBN_CMN_20030711_wpr/77875","成分/Na/ZBN_CMN_20030711_wpr/77875",1
"成分/Na/XIN_CMN_20030711_wpr/76389","成分/Na/XIN_CMN_20030711_wpr/76389",2
"成分/Na/XIN_CMN_20030711_wpr/76381","成分/Na/XIN_CMN_20030711_wpr/76381",2
"成分/Na/CNA_CMN_20001226_wpr/90963","成分/Na/CNA_CMN_20001226_wpr/90963",2
"成分/Na/ZBN_CMN_20030912_wpr/10602","成分/Na/ZBN_CMN_20030912_wpr/10602",2
"成分/Na/ZBN_CMN_20030902_wpr/66203","成分/Na/ZBN_CMN_20030902_wpr/66203",2
"成分/Na/ZBN_CMN_20030507_wpr/9190","成分/Na/ZBN_CMN_20030507_wpr/9190",2
"成份/Na/ZBN_CMN_20030923_wpr/11646","成份/Na/ZBN_CMN_20030923_wpr/11646",2
"成分/Na/XIN_CMN_20001130_wpr/48408","成分/Na/XIN_CMN_20001130_wpr/48408",2
"成份/Na/CNA_CMN_20001208_wpr/77133","成份/Na/CNA_CMN_20001208_wpr/77133",2
"成分/Na/XIN_CMN_20030922_wpr/72150","成分/Na/XIN_CMN_20030922_wpr/72150",2
"成分/Na/ZBN_CMN_20030626_wpr/36863","成分/Na/ZBN_CMN_20030626_wpr/36863",2
"成分/Na/XIN_CMN_20030728_wpr/63522","成分/Na/XIN_CMN_20030728_wpr/63522",2
"成分/Na/XIN_CMN_20001218_wpr/67858","成分/Na/XIN_CMN_20001218_wpr/67858",2
"成分/Na/CNA_CMN_20001024_wpr/135837","成分/Na/CNA_CMN_20001024_wpr/135837",2
"成分/Na/XIN_CMN_20030419_wpr/2985","成分/Na/XIN_CMN_20030419_wpr/2985",2
"成分/Na/XIN_CMN_20030813_wpr/3051","成分/Na/XIN_CMN_20030813_wpr/3051",2
"成分/Na/XIN_CMN_20030511_wpr/57461","成分/Na/XIN_CMN_20030511_wpr/57461",2
"成分/Na/XIN_CMN_20030618_wpr/52748","成分/Na/XIN_CMN_20030618_wpr/52748",2
"材料/Na/XIN_CMN_20030408_wpr/69653","材料/Na/XIN_CMN_20030408_wpr/69653",2
"成分/Na/XIN_CMN_20010125_wpr/17932","成分/Na/XIN_CMN_20010125_wpr/17932",2
"成分/Na/ZBN_CMN_20030623_wpr/70285","成分/Na/ZBN_CMN_20030623_wpr/70285",2
"成分/Na/CNA_CMN_20001218_wpr/72234","成分/Na/CNA_CMN_20001218_wpr/72234",2
"成分/Na/XIN_CMN_20030908_wpr/85935","成分/Na/XIN_CMN_20030908_wpr/85935",2
"成分/Na/XIN_CMN_20001118_wpr/18558","成分/Na/XIN_CMN_20001118_wpr/18558",2
"成分/Na/ZBN_CMN_20030422_wpr/5922","成分/Na/ZBN_CMN_20030422_wpr/5922",2
"成分/Na/ZBN_CMN_20030422_wpr/6112","成分/Na/ZBN_CMN_20030422_wpr/6112",2
"成分/Na/ZBN_CMN_20030422_wpr/5886","成分/Na/ZBN_CMN_20030422_wpr/5886",2
"成份/Na/CNA_CMN_20001109_wpr/41340","成份/Na/CNA_CMN_20001109_wpr/41340",2
"成份/Na/ZBN_CMN_20030627_wpr/14931","成份/Na/ZBN_CMN_20030627_wpr/14931",2
"成分/Na/ZBN_CMN_20010107_wpr/27546","成分/Na/ZBN_CMN_20010107_wpr/27546",2
"成份/Na/CNA_CMN_20001007_wpr/34719","成份/Na/CNA_CMN_20001007_wpr/34719",2
"成份/Na/XIN_CMN_20030620_wpr/7085","成份/Na/XIN_CMN_20030620_wpr/7085",2
"成分/Na/CNA_CMN_20030708_wpr/7147","成分/Na/CNA_CMN_20030708_wpr/7147",2
"成份/Na/CNA_CMN_20010104_wpr/122113","成份/Na/CNA_CMN_20010104_wpr/122113",2
