"","tokenlabel","cluster"
"权益/Na/XIN_CMN_20001012_wpr/4515","权益/Na/XIN_CMN_20001012_wpr/4515",1
"权益/Na/XIN_CMN_20001012_wpr/38824","权益/Na/XIN_CMN_20001012_wpr/38824",1
"权益/Na/XIN_CMN_20030922_wpr/51295","权益/Na/XIN_CMN_20030922_wpr/51295",1
"权益/Na/XIN_CMN_20030606_wpr/4887","权益/Na/XIN_CMN_20030606_wpr/4887",1
"权益/Na/CNA_CMN_20001230_wpr/347","权益/Na/CNA_CMN_20001230_wpr/347",1
"权益/Na/XIN_CMN_20030903_wpr/36756","权益/Na/XIN_CMN_20030903_wpr/36756",1
"权益/Na/CNA_CMN_20001122_wpr/69514","权益/Na/CNA_CMN_20001122_wpr/69514",1
"权益/Na/CNA_CMN_20001008_wpr/10138","权益/Na/CNA_CMN_20001008_wpr/10138",1
"权益/Na/CNA_CMN_20010120_wpr/96120","权益/Na/CNA_CMN_20010120_wpr/96120",1
"权益/Na/XIN_CMN_20030918_wpr/32900","权益/Na/XIN_CMN_20030918_wpr/32900",1
"权益/Na/CNA_CMN_20001125_wpr/55248","权益/Na/CNA_CMN_20001125_wpr/55248",1
"权益/Na/CNA_CMN_20010108_wpr/5953","权益/Na/CNA_CMN_20010108_wpr/5953",1
"权益/Na/XIN_CMN_20030917_wpr/63681","权益/Na/XIN_CMN_20030917_wpr/63681",1
"权益/Na/CNA_CMN_20001203_wpr/22004","权益/Na/CNA_CMN_20001203_wpr/22004",1
"权益/Na/XIN_CMN_20001229_wpr/65223","权益/Na/XIN_CMN_20001229_wpr/65223",1
"权益/Na/XIN_CMN_20030904_wpr/44491","权益/Na/XIN_CMN_20030904_wpr/44491",1
"权益/Na/XIN_CMN_20030902_wpr/44271","权益/Na/XIN_CMN_20030902_wpr/44271",1
"权益/Na/XIN_CMN_20030604_wpr/36899","权益/Na/XIN_CMN_20030604_wpr/36899",1
"权益/Na/XIN_CMN_20001213_wpr/37155","权益/Na/XIN_CMN_20001213_wpr/37155",1
"权益/Na/XIN_CMN_20001009_wpr/34868","权益/Na/XIN_CMN_20001009_wpr/34868",1
"权益/Na/XIN_CMN_20030610_wpr/17774","权益/Na/XIN_CMN_20030610_wpr/17774",1
"权益/Na/XIN_CMN_20001218_wpr/21403","权益/Na/XIN_CMN_20001218_wpr/21403",1
"权益/Na/XIN_CMN_20001228_wpr/53306","权益/Na/XIN_CMN_20001228_wpr/53306",1
"权益/Na/XIN_CMN_20030925_wpr/40986","权益/Na/XIN_CMN_20030925_wpr/40986",1
"权益/Na/XIN_CMN_20030611_wpr/14414","权益/Na/XIN_CMN_20030611_wpr/14414",1
"权益/Na/XIN_CMN_20030423_wpr/73514","权益/Na/XIN_CMN_20030423_wpr/73514",1
"权益/Na/CNA_CMN_20030404_wpr/14675","权益/Na/CNA_CMN_20030404_wpr/14675",1
"权益/Na/XIN_CMN_20001106_wpr/10353","权益/Na/XIN_CMN_20001106_wpr/10353",1
"权益/Na/XIN_CMN_20001023_wpr/23522","权益/Na/XIN_CMN_20001023_wpr/23522",1
"权益/Na/XIN_CMN_20030823_wpr/10749","权益/Na/XIN_CMN_20030823_wpr/10749",1
"权益/Na/XIN_CMN_20001219_wpr/48761","权益/Na/XIN_CMN_20001219_wpr/48761",1
"权益/Na/XIN_CMN_20001229_wpr/26957","权益/Na/XIN_CMN_20001229_wpr/26957",1
"权益/Na/XIN_CMN_20001120_wpr/36020","权益/Na/XIN_CMN_20001120_wpr/36020",1
"权益/Na/XIN_CMN_20001031_wpr/34846","权益/Na/XIN_CMN_20001031_wpr/34846",1
"权益/Na/XIN_CMN_20030727_wpr/42253","权益/Na/XIN_CMN_20030727_wpr/42253",1
"权益/Na/XIN_CMN_20010118_wpr/6121","权益/Na/XIN_CMN_20010118_wpr/6121",1
"权益/Na/XIN_CMN_20030911_wpr/6050","权益/Na/XIN_CMN_20030911_wpr/6050",1
"权益/Na/XIN_CMN_20001224_wpr/41090","权益/Na/XIN_CMN_20001224_wpr/41090",1
"权益/Na/XIN_CMN_20001005_wpr/38606","权益/Na/XIN_CMN_20001005_wpr/38606",1
"权益/Na/XIN_CMN_20030404_wpr/42414","权益/Na/XIN_CMN_20030404_wpr/42414",1
"权益/Na/XIN_CMN_20030505_wpr/24458","权益/Na/XIN_CMN_20030505_wpr/24458",1
"权益/Na/XIN_CMN_20030628_wpr/33458","权益/Na/XIN_CMN_20030628_wpr/33458",1
"权益/Na/XIN_CMN_20030908_wpr/50372","权益/Na/XIN_CMN_20030908_wpr/50372",1
"权益/Na/CNA_CMN_20001128_wpr/163078","权益/Na/CNA_CMN_20001128_wpr/163078",2
"权益/Na/CNA_CMN_20010112_wpr/91137","权益/Na/CNA_CMN_20010112_wpr/91137",2
"权益/Na/CNA_CMN_20010128_wpr/11327","权益/Na/CNA_CMN_20010128_wpr/11327",2
"权益/Na/CNA_CMN_20010110_wpr/26667","权益/Na/CNA_CMN_20010110_wpr/26667",2
"权益/Na/CNA_CMN_20001124_wpr/31865","权益/Na/CNA_CMN_20001124_wpr/31865",2
"权益/Na/CNA_CMN_20001211_wpr/119707","权益/Na/CNA_CMN_20001211_wpr/119707",2
"权益/Na/CNA_CMN_20001124_wpr/41327","权益/Na/CNA_CMN_20001124_wpr/41327",2
"权益/Na/CNA_CMN_20001215_wpr/138207","权益/Na/CNA_CMN_20001215_wpr/138207",2
"权益/Na/CNA_CMN_20001021_wpr/102041","权益/Na/CNA_CMN_20001021_wpr/102041",2
"权益/Na/CNA_CMN_20001220_wpr/41557","权益/Na/CNA_CMN_20001220_wpr/41557",2
"权益/Na/CNA_CMN_20001222_wpr/132226","权益/Na/CNA_CMN_20001222_wpr/132226",2
"权益/Na/CNA_CMN_20001125_wpr/67968","权益/Na/CNA_CMN_20001125_wpr/67968",2
"权益/Na/CNA_CMN_20001024_wpr/40945","权益/Na/CNA_CMN_20001024_wpr/40945",2
"权益/Na/CNA_CMN_20001221_wpr/111590","权益/Na/CNA_CMN_20001221_wpr/111590",2
"权益/Na/CNA_CMN_20001031_wpr/79514","权益/Na/CNA_CMN_20001031_wpr/79514",2
"权益/Na/CNA_CMN_20001003_wpr/90367","权益/Na/CNA_CMN_20001003_wpr/90367",2
"权益/Na/CNA_CMN_20030624_wpr/9561","权益/Na/CNA_CMN_20030624_wpr/9561",2
"权益/Na/CNA_CMN_20001009_wpr/108522","权益/Na/CNA_CMN_20001009_wpr/108522",2
"权益/Na/CNA_CMN_20030520_wpr/9208","权益/Na/CNA_CMN_20030520_wpr/9208",2
"权益/Na/CNA_CMN_20010119_wpr/58038","权益/Na/CNA_CMN_20010119_wpr/58038",2
"权益/Na/CNA_CMN_20010110_wpr/52301","权益/Na/CNA_CMN_20010110_wpr/52301",2
"权益/Na/CNA_CMN_20010115_wpr/60872","权益/Na/CNA_CMN_20010115_wpr/60872",2
"权益/Na/CNA_CMN_20001117_wpr/117954","权益/Na/CNA_CMN_20001117_wpr/117954",2
"权益/Na/CNA_CMN_20010107_wpr/39995","权益/Na/CNA_CMN_20010107_wpr/39995",2
"利润/Na/CNA_CMN_20001019_wpr/131436","利润/Na/CNA_CMN_20001019_wpr/131436",2
"利润/Na/CNA_CMN_20001220_wpr/136254","利润/Na/CNA_CMN_20001220_wpr/136254",2
"利润/Na/XIN_CMN_20030829_wpr/33335","利润/Na/XIN_CMN_20030829_wpr/33335",2
"利润/Na/CNA_CMN_20001101_wpr/42821","利润/Na/CNA_CMN_20001101_wpr/42821",2
"利润/Na/XIN_CMN_20030712_wpr/6424","利润/Na/XIN_CMN_20030712_wpr/6424",2
"利润/Na/ZBN_CMN_20001227_wpr/34425","利润/Na/ZBN_CMN_20001227_wpr/34425",2
"利润/Na/CNA_CMN_20030529_wpr/12249","利润/Na/CNA_CMN_20030529_wpr/12249",2
"利润/Na/CNA_CMN_20030410_wpr/8682","利润/Na/CNA_CMN_20030410_wpr/8682",2
