"cluster"	"sigcol"
"4"	"上线"
"4"	"资讯"
"4"	"有限公司"
"4"	"事业部"
"5"	"全民"
"5"	"限"
"5"	"公司"
"5"	"天天"
"5"	"地铁"
"5"	"挂牌"
"5"	"停牌"
"5"	"上市"
"5"	"公司"
"5"	"批准"
"5"	"规范"
"5"	"化"
"5"	"制"
"5"	"试点"
"5"	"股票"
"5"	"上市"
"4"	"燃"
"4"	"百分之一百"
"4"	"文久"
"4"	"有限公司"
"4"	"立荣"
"4"	"航空"
"4"	"公司"
"4"	"口永"
"4"	"康"
"4"	"有限公司"
"4"	"被"
"5"	"该"
"5"	"投资"
"5"	"事业"
"5"	"资本"
"5"	"总额"
"5"	"发行"
"5"	"总数"
"5"	"该"
"5"	"科技"
"5"	"电讯"
"5"	"百分之十五"
"5"	"受益"
"5"	"凭证"
"5"	"基金"
"5"	"投资"
"5"	"不得"
"5"	"投资"
"5"	"党魁"
"5"	"转让"
"5"	"佣人"
"5"	"成立"
"5"	"公司"
"5"	"实"
"5"	"有线"
"5"	"公司"
"5"	"股东会"
"5"	"董事会"
"4"	"复华"
"4"	"证券"
"4"	"投资"
"4"	"信託"
"4"	"有限公司"
"4"	"董事长"
"4"	"参"
"5"	"公司"
"5"	"经理人"
"5"	"持有"
"5"	"公司"
"5"	"股份"
"5"	"超过"
"5"	"总额"
"5"	"百分之十"
"5"	"股东"
"5"	"证券"
"5"	"收购"
"5"	"大东"
"5"	"持有"
"5"	"一成"
"5"	"电讯"
"5"	"盈科"
"5"	"报导"
"5"	"引述"
"5"	"电讯"
"5"	"精选"
"5"	"基金"
"5"	"公司"
"5"	"投资"
"5"	"东方"
"4"	"公司"
"4"	"有限公司"
"4"	"百分之四十二"
"4"	"逃税"
"4"	"股份"
"4"	"公司"
"5"	"通讯"
"5"	"公司"
"5"	"投资"
"5"	"远东"
"5"	"企业"
"5"	"集团"
"5"	"上市"
"5"	"公司"
"5"	"买回"
"5"	"公"
"5"	"司"
"5"	"办法"
"5"	"申报"
"5"	"买回"
"5"	"公司"
"5"	"二百零八"
"5"	"上市公司"
"5"	"家"
"4"	"万力"
"4"	"油压"
"4"	"工业"
"4"	"有限公司"
"4"	"八月"
"4"	"上海"
"4"	"石油"
"4"	"化工"
"4"	"有限公司"
"4"	"董事长"
"4"	"总经理"
"4"	"撰文"
"5"	"拥有"
"5"	"公司"
"5"	"行号"
"5"	"隶属"
"4"	"水泥"
"4"	"股份"
"4"	"有限公司"
"4"	"制造厂"
"4"	"新城山"
"4"	"矿场"
"4"	"企业"
"4"	"限"
"4"	"公司"
"4"	"永康"
"4"	"总厂"
"4"	"汉翔"
"4"	"航空"
"4"	"工业"
"4"	"股份"
"4"	"事业"
"4"	"有限"
"4"	"公"
"4"	"司"
"4"	"龙誉"
"4"	"有限公司"
"4"	"金宝山"
"4"	"事业"
"4"	"股份"
"4"	"有限公司"
"4"	"大吉"
"4"	"葬仪"
"4"	"洽谈"
"4"	"有限公司"
"4"	"董事长"
"5"	"两亿九千五"
"5"	"股份"
"5"	"购入"
"5"	"风驰"
"5"	"四成九"
"5"	"余下"
"5"	"五成一"
"5"	"由"
"5"	"风驰"
"5"	"顾问"
"5"	"公司"
"4"	"台湾高"
"4"	"铁路"
"4"	"有限公司"
