"","tokenlabel","cluster"
"水平/Na/XIN_CMN_20001110_wpr/31445","水平/Na/XIN_CMN_20001110_wpr/31445",1
"水平/Na/XIN_CMN_20030717_wpr/10517","水平/Na/XIN_CMN_20030717_wpr/10517",1
"程度/Na/ZBN_CMN_20030608_wpr/33870","程度/Na/ZBN_CMN_20030608_wpr/33870",1
"程度/Na/XIN_CMN_20001009_wpr/72816","程度/Na/XIN_CMN_20001009_wpr/72816",1
"程度/Na/CNA_CMN_20010112_wpr/19760","程度/Na/CNA_CMN_20010112_wpr/19760",1
"水平/Na/ZBN_CMN_20030609_wpr/20401","水平/Na/ZBN_CMN_20030609_wpr/20401",1
"水平/Na/XIN_CMN_20030513_wpr/2238","水平/Na/XIN_CMN_20030513_wpr/2238",1
"水平/Na/XIN_CMN_20030916_wpr/15321","水平/Na/XIN_CMN_20030916_wpr/15321",1
"水平/Na/ZBN_CMN_20001011_wpr/37543","水平/Na/ZBN_CMN_20001011_wpr/37543",1
"水平/Na/XIN_CMN_20030708_wpr/81027","水平/Na/XIN_CMN_20030708_wpr/81027",1
"水平/Na/ZBN_CMN_20030623_wpr/48975","水平/Na/ZBN_CMN_20030623_wpr/48975",1
"水平/Na/XIN_CMN_20001102_wpr/46881","水平/Na/XIN_CMN_20001102_wpr/46881",1
"水平/Na/XIN_CMN_20030822_wpr/45804","水平/Na/XIN_CMN_20030822_wpr/45804",1
"水平/Na/XIN_CMN_20030410_wpr/15745","水平/Na/XIN_CMN_20030410_wpr/15745",1
"水平/Na/XIN_CMN_20010124_wpr/46494","水平/Na/XIN_CMN_20010124_wpr/46494",1
"水平/Na/ZBN_CMN_20030718_wpr/59284","水平/Na/ZBN_CMN_20030718_wpr/59284",1
"水平/Na/XIN_CMN_20001214_wpr/63633","水平/Na/XIN_CMN_20001214_wpr/63633",1
"水平/Na/XIN_CMN_20030713_wpr/32230","水平/Na/XIN_CMN_20030713_wpr/32230",1
"水平/Na/XIN_CMN_20001020_wpr/1839","水平/Na/XIN_CMN_20001020_wpr/1839",1
"水平/Na/XIN_CMN_20001107_wpr/66531","水平/Na/XIN_CMN_20001107_wpr/66531",1
"水平/Na/XIN_CMN_20030807_wpr/71626","水平/Na/XIN_CMN_20030807_wpr/71626",1
"等级/Na/XIN_CMN_20030926_wpr/22501","等级/Na/XIN_CMN_20030926_wpr/22501",1
