"","tokenlabel","cluster"
"水平/Na/ZBN_CMN_20030518_wpr/2156","水平/Na/ZBN_CMN_20030518_wpr/2156",1
"水平/Na/ZBN_CMN_20030706_wpr/6503","水平/Na/ZBN_CMN_20030706_wpr/6503",1
"水平/Na/ZBN_CMN_20030814_wpr/70052","水平/Na/ZBN_CMN_20030814_wpr/70052",1
"水平/Na/ZBN_CMN_20030731_wpr/32387","水平/Na/ZBN_CMN_20030731_wpr/32387",1
"程度/Na/XIN_CMN_20001206_wpr/15378","程度/Na/XIN_CMN_20001206_wpr/15378",1
"程度/Na/XIN_CMN_20030726_wpr/44900","程度/Na/XIN_CMN_20030726_wpr/44900",1
"水平/Na/XIN_CMN_20001125_wpr/14328","水平/Na/XIN_CMN_20001125_wpr/14328",1
"水平/Na/XIN_CMN_20030606_wpr/47781","水平/Na/XIN_CMN_20030606_wpr/47781",1
"水平/Na/CNA_CMN_20030414_wpr/1478","水平/Na/CNA_CMN_20030414_wpr/1478",1
"水平/Na/XIN_CMN_20010124_wpr/46494","水平/Na/XIN_CMN_20010124_wpr/46494",1
"水平/Na/XIN_CMN_20010109_wpr/73716","水平/Na/XIN_CMN_20010109_wpr/73716",1
"水平/Na/CNA_CMN_20010129_wpr/134694","水平/Na/CNA_CMN_20010129_wpr/134694",1
"水平/Na/XIN_CMN_20010117_wpr/93323","水平/Na/XIN_CMN_20010117_wpr/93323",1
"水平/Na/XIN_CMN_20010127_wpr/36185","水平/Na/XIN_CMN_20010127_wpr/36185",1
"水平/Na/ZBN_CMN_20030802_wpr/41112","水平/Na/ZBN_CMN_20030802_wpr/41112",1
"水平/Na/XIN_CMN_20030925_wpr/39678","水平/Na/XIN_CMN_20030925_wpr/39678",1
"水平/Na/XIN_CMN_20001225_wpr/37086","水平/Na/XIN_CMN_20001225_wpr/37086",1
"水平/Na/ZBN_CMN_20001101_wpr/39973","水平/Na/ZBN_CMN_20001101_wpr/39973",1
"水平/Na/ZBN_CMN_20030613_wpr/36238","水平/Na/ZBN_CMN_20030613_wpr/36238",1
"水平/Na/XIN_CMN_20030506_wpr/586","水平/Na/XIN_CMN_20030506_wpr/586",1
"水平/Na/XIN_CMN_20001203_wpr/8684","水平/Na/XIN_CMN_20001203_wpr/8684",1
"水平/Na/XIN_CMN_20030727_wpr/43706","水平/Na/XIN_CMN_20030727_wpr/43706",1
"水平/Na/XIN_CMN_20010111_wpr/3932","水平/Na/XIN_CMN_20010111_wpr/3932",1
"程度/Na/XIN_CMN_20010115_wpr/70031","程度/Na/XIN_CMN_20010115_wpr/70031",1
"程度/Na/CNA_CMN_20001227_wpr/55850","程度/Na/CNA_CMN_20001227_wpr/55850",1
"程度/Na/XIN_CMN_20030614_wpr/24235","程度/Na/XIN_CMN_20030614_wpr/24235",1
"水平/Na/XIN_CMN_20001203_wpr/14069","水平/Na/XIN_CMN_20001203_wpr/14069",1
"程度/Na/CNA_CMN_20001117_wpr/134093","程度/Na/CNA_CMN_20001117_wpr/134093",1
"水平/Na/XIN_CMN_20001213_wpr/59974","水平/Na/XIN_CMN_20001213_wpr/59974",1
"水平/Na/XIN_CMN_20030902_wpr/37177","水平/Na/XIN_CMN_20030902_wpr/37177",1
"水平/Na/XIN_CMN_20030618_wpr/28700","水平/Na/XIN_CMN_20030618_wpr/28700",1
"水平/Na/XIN_CMN_20030828_wpr/43823","水平/Na/XIN_CMN_20030828_wpr/43823",1
"层次/Na/XIN_CMN_20030808_wpr/32308","层次/Na/XIN_CMN_20030808_wpr/32308",1
"水平/Na/ZBN_CMN_20010128_wpr/42205","水平/Na/ZBN_CMN_20010128_wpr/42205",1
"层次/Na/ZBN_CMN_20001014_wpr/31156","层次/Na/ZBN_CMN_20001014_wpr/31156",1
"水平/Na/XIN_CMN_20030611_wpr/7397","水平/Na/XIN_CMN_20030611_wpr/7397",1
"水平/Na/CNA_CMN_20030808_wpr/862","水平/Na/CNA_CMN_20030808_wpr/862",1
"水平/Na/XIN_CMN_20001203_wpr/14102","水平/Na/XIN_CMN_20001203_wpr/14102",1
"水平/Na/XIN_CMN_20010104_wpr/25901","水平/Na/XIN_CMN_20010104_wpr/25901",1
"水平/Na/XIN_CMN_20030429_wpr/76558","水平/Na/XIN_CMN_20030429_wpr/76558",1
"水平/Na/XIN_CMN_20001112_wpr/23702","水平/Na/XIN_CMN_20001112_wpr/23702",1
"程度/Na/XIN_CMN_20010111_wpr/75912","程度/Na/XIN_CMN_20010111_wpr/75912",1
"层次/Na/XIN_CMN_20001015_wpr/35926","层次/Na/XIN_CMN_20001015_wpr/35926",1
"程度/Na/XIN_CMN_20030520_wpr/15215","程度/Na/XIN_CMN_20030520_wpr/15215",1
"水平/Na/ZBN_CMN_20030411_wpr/57009","水平/Na/ZBN_CMN_20030411_wpr/57009",1
"水平/Na/XIN_CMN_20030616_wpr/58201","水平/Na/XIN_CMN_20030616_wpr/58201",1
"水平/Na/XIN_CMN_20030715_wpr/38218","水平/Na/XIN_CMN_20030715_wpr/38218",1
"水平/Na/XIN_CMN_20030517_wpr/11971","水平/Na/XIN_CMN_20030517_wpr/11971",1
"水平/Na/XIN_CMN_20001205_wpr/9130","水平/Na/XIN_CMN_20001205_wpr/9130",1
"水平/Na/XIN_CMN_20030729_wpr/18482","水平/Na/XIN_CMN_20030729_wpr/18482",1
"水平/Na/XIN_CMN_20030916_wpr/5868","水平/Na/XIN_CMN_20030916_wpr/5868",1
"水平/Na/XIN_CMN_20001101_wpr/29322","水平/Na/XIN_CMN_20001101_wpr/29322",1
"水平/Na/XIN_CMN_20001004_wpr/416","水平/Na/XIN_CMN_20001004_wpr/416",1
"水平/Na/XIN_CMN_20001022_wpr/28895","水平/Na/XIN_CMN_20001022_wpr/28895",1
"水平/Na/XIN_CMN_20030707_wpr/30227","水平/Na/XIN_CMN_20030707_wpr/30227",1
"水平/Na/XIN_CMN_20010127_wpr/18777","水平/Na/XIN_CMN_20010127_wpr/18777",1
"层次/Na/XIN_CMN_20001013_wpr/33893","层次/Na/XIN_CMN_20001013_wpr/33893",1
"层次/Na/ZBN_CMN_20001026_wpr/30197","层次/Na/ZBN_CMN_20001026_wpr/30197",1
"层次/Na/XIN_CMN_20001018_wpr/27102","层次/Na/XIN_CMN_20001018_wpr/27102",1
