"cluster"	"sigcol"
"3"	"享受"
"3"	"体会"
"3"	"生命"
"3"	"感受到"
"3"	"感受"
"3"	"之"
"3"	"爱"
"3"	"青少年"
"3"	"尊重"
"3"	"懂得"
"3"	"尊重"
"3"	"卢太城"
"3"	"生命"
"3"	"庄严"
"3"	"走到"
"3"	"尽头"
"3"	"关怀"
"6"	"协荣"
"6"	"保险"
"3"	"随时"
"3"	"之"
"3"	"虞"
"2"	"891101"
"2"	"伤者"
"2"	"送医"
"2"	"受伤"
"2"	"似"
"2"	"无"
"2"	"危险"
"3"	"纵横"
"3"	"情场"
"3"	"点燃"
"3"	"火花"
"3"	"891103"
"2"	"严重"
"2"	"呛"
"2"	"危险"
"2"	"加护"
"2"	"无"
"2"	"危险"
"2"	"受到"
"3"	"祈福"
"3"	"关怀"
"3"	"跨越"
"3"	"古典乐"
"3"	"诠释"
"3"	"现代人"
"3"	"视野"
"3"	"古典乐"
"3"	"诠释"
"3"	"现代人"
"3"	"视野"
"3"	"积极面"
"3"	"艺术"
"3"	"人文"
"3"	"学奖"
"3"	"顾"
"3"	"关怀"
"3"	"迎向"
"3"	"阳光"
"3"	"亟需"
"3"	"寻觅"
"3"	"延续"
"3"	"落海"
"3"	"没有"
"3"	"迹象"
"3"	"落海"
"5"	"负有"
"5"	"保护国人"
"5"	"财产"
"5"	"安全"
"3"	"好了"
"3"	"点燃"
"3"	"之"
"3"	"火"
"3"	"爱心"
"3"	"募款"
"3"	"民众"
"3"	"善款"
"3"	"点燃"
"3"	"之"
"3"	"火"
"5"	"罔顾"
"5"	"忽"
"5"	"安全"
"3"	"韧"
"3"	"加油"
"3"	"祝福"
"3"	"!"
"3"	"第十六"
"3"	"点燃"
"3"	"之"
"3"	"火"
"3"	"爱心"
"3"	"募款"
"3"	"活动"
"3"	"信託"
"3"	"见证"
"3"	"拿手"
"3"	"救出"
"3"	"无"
"3"	"迹象"
"3"	"全"
"3"	"安眠"
"3"	"如此"
"3"	"自古以来"
"3"	"牺牲"
"3"	"不见得"
"3"	"拯救"
"3"	"礼物"
"3"	"大小朋友"
"3"	"点燃"
"3"	"之"
"3"	"火"
"3"	"爱心"
"3"	"募款"
"3"	"拯救"
"3"	"绝食"
"3"	"严重"
"3"	"失去"
"3"	"平均"
"3"	"学科"
"3"	"意义"
"3"	"价值"
"3"	"付出"
"3"	"代价"
"3"	"柴油"
"2"	"院方"
"2"	"无"
"2"	"危险"
"2"	"马偕"
"3"	"没有"
"3"	"人性"
"3"	"没有"
"3"	"正念"
"3"	"邪恶"
"3"	"无度"
"3"	"行恶"
"3"	"没有"
"3"	"早期"
"3"	"地球"
"3"	"形成"
"3"	"毁灭"
"3"	"始"
"3"	"灭绝"
"3"	"吻合"
"3"	"太空"
"3"	"心脏"
"3"	"细胞"
"3"	"进而"
