"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"6"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_6"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_6"	"SumAbsDev"	"LargestDev"
"："	4	42	0	0	0	0	16.002	9.373	12.751	3.378	3.103	1.393	-4.341	24.189	-6.485	-1.524	-1.395	-0.614	38.548	"2"
"."	0	1	0	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	-0.186	0.691	-0.141	-0.033	-0.03	-0.013	1.094	"2"
"＊"	0	1	0	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	-0.186	0.691	-0.141	-0.033	-0.03	-0.013	1.094	"2"
"／"	1	1	0	0	0	0	0.696	0.408	0.554	0.147	0.135	0.061	0.241	0.437	-0.282	-0.066	-0.061	-0.027	1.114	"2"
"#"	0	1	0	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	-0.186	0.691	-0.141	-0.033	-0.03	-0.013	1.094	"2"
"１"	0	2	0	0	0	0	0.696	0.408	0.554	0.147	0.135	0.061	-0.371	1.382	-0.282	-0.066	-0.061	-0.027	2.189	"2"
"10时"	0	5	0	0	0	0	1.739	1.019	1.386	0.367	0.337	0.151	-0.928	3.454	-0.705	-0.166	-0.152	-0.067	5.472	"2"
"112"	1	0	0	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	0.459	-0.099	-0.141	-0.033	-0.03	-0.013	0.775	"1"
"11时"	0	6	0	0	0	0	2.087	1.223	1.663	0.441	0.405	0.182	-1.114	4.145	-0.846	-0.199	-0.182	-0.08	6.566	"2"
"11点"	0	1	0	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	-0.186	0.691	-0.141	-0.033	-0.03	-0.013	1.094	"2"
"12时"	0	3	0	0	0	0	1.044	0.611	0.832	0.22	0.202	0.091	-0.557	2.073	-0.423	-0.099	-0.091	-0.04	3.283	"2"
"12点"	0	1	0	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	-0.186	0.691	-0.141	-0.033	-0.03	-0.013	1.094	"2"
"140"	0	1	0	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	-0.186	0.691	-0.141	-0.033	-0.03	-0.013	1.094	"2"
"1483"	0	0	1	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	-0.186	-0.099	0.557	-0.033	-0.03	-0.013	0.918	"3"
"14世纪"	0	0	1	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	-0.186	-0.099	0.557	-0.033	-0.03	-0.013	0.918	"3"
"14分"	0	0	0	0	0	1	0.348	0.204	0.277	0.073	0.067	0.03	-0.186	-0.099	-0.141	-0.033	-0.03	1.519	2.008	"6"
"1966年"	1	0	0	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	0.459	-0.099	-0.141	-0.033	-0.03	-0.013	0.775	"1"
"1时"	0	4	0	0	0	0	1.391	0.815	1.109	0.294	0.27	0.121	-0.743	2.763	-0.564	-0.132	-0.121	-0.053	4.376	"2"
"20分"	0	1	0	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	-0.186	0.691	-0.141	-0.033	-0.03	-0.013	1.094	"2"
"2时"	0	4	0	0	0	0	1.391	0.815	1.109	0.294	0.27	0.121	-0.743	2.763	-0.564	-0.132	-0.121	-0.053	4.376	"2"
"2楼"	0	2	0	0	0	0	0.696	0.408	0.554	0.147	0.135	0.061	-0.371	1.382	-0.282	-0.066	-0.061	-0.027	2.189	"2"
"30分"	0	10	0	0	0	0	3.479	2.038	2.772	0.734	0.675	0.303	-1.857	6.909	-1.41	-0.331	-0.303	-0.134	10.944	"2"
"3万1000"	1	0	0	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	0.459	-0.099	-0.141	-0.033	-0.03	-0.013	0.775	"1"
"3时"	0	3	0	0	0	0	1.044	0.611	0.832	0.22	0.202	0.091	-0.557	2.073	-0.423	-0.099	-0.091	-0.04	3.283	"2"
"3楼"	0	1	0	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	-0.186	0.691	-0.141	-0.033	-0.03	-0.013	1.094	"2"
"40"	0	1	0	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	-0.186	0.691	-0.141	-0.033	-0.03	-0.013	1.094	"2"
"41"	1	0	0	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	0.459	-0.099	-0.141	-0.033	-0.03	-0.013	0.775	"1"
"43"	0	0	1	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	-0.186	-0.099	0.557	-0.033	-0.03	-0.013	0.918	"3"
"460"	0	1	0	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	-0.186	0.691	-0.141	-0.033	-0.03	-0.013	1.094	"2"
"4时"	0	3	0	0	0	0	1.044	0.611	0.832	0.22	0.202	0.091	-0.557	2.073	-0.423	-0.099	-0.091	-0.04	3.283	"2"
"4点"	0	1	0	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	-0.186	0.691	-0.141	-0.033	-0.03	-0.013	1.094	"2"
"50分"	0	1	0	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	-0.186	0.691	-0.141	-0.033	-0.03	-0.013	1.094	"2"
"5时"	0	2	0	0	0	0	0.696	0.408	0.554	0.147	0.135	0.061	-0.371	1.382	-0.282	-0.066	-0.061	-0.027	2.189	"2"
"5楼"	0	2	0	0	0	0	0.696	0.408	0.554	0.147	0.135	0.061	-0.371	1.382	-0.282	-0.066	-0.061	-0.027	2.189	"2"
"6时"	0	4	0	0	0	0	1.391	0.815	1.109	0.294	0.27	0.121	-0.743	2.763	-0.564	-0.132	-0.121	-0.053	4.376	"2"
"7时"	0	3	0	0	0	0	1.044	0.611	0.832	0.22	0.202	0.091	-0.557	2.073	-0.423	-0.099	-0.091	-0.04	3.283	"2"
"8时"	0	3	0	0	0	0	1.044	0.611	0.832	0.22	0.202	0.091	-0.557	2.073	-0.423	-0.099	-0.091	-0.04	3.283	"2"
"8月尾"	0	1	0	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	-0.186	0.691	-0.141	-0.033	-0.03	-0.013	1.094	"2"
"Air"	1	0	0	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	0.459	-0.099	-0.141	-0.033	-0.03	-0.013	0.775	"1"
"B"	1	2	0	0	0	0	1.044	0.611	0.832	0.22	0.202	0.091	-0.142	0.968	-0.423	-0.099	-0.091	-0.04	1.763	"2"
"CourseRoad"	0	1	0	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	-0.186	0.691	-0.141	-0.033	-0.03	-0.013	1.094	"2"
"EmileHeskey"	1	0	0	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	0.459	-0.099	-0.141	-0.033	-0.03	-0.013	0.775	"1"
"Hotel"	0	1	0	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	-0.186	0.691	-0.141	-0.033	-0.03	-0.013	1.094	"2"
"Igor"	0	1	0	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	-0.186	0.691	-0.141	-0.033	-0.03	-0.013	1.094	"2"
"JAMA"	0	0	1	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	-0.186	-0.099	0.557	-0.033	-0.03	-0.013	0.918	"3"
"Miu"	2	0	0	0	0	0	0.696	0.408	0.554	0.147	0.135	0.061	0.917	-0.198	-0.282	-0.066	-0.061	-0.027	1.551	"1"
"Pte"	1	0	0	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	0.459	-0.099	-0.141	-0.033	-0.03	-0.013	0.775	"1"
"Race"	0	1	0	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	-0.186	0.691	-0.141	-0.033	-0.03	-0.013	1.094	"2"
"Road"	0	1	0	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	-0.186	0.691	-0.141	-0.033	-0.03	-0.013	1.094	"2"
"s"	0	1	0	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	-0.186	0.691	-0.141	-0.033	-0.03	-0.013	1.094	"2"
"SAFRA"	0	1	0	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	-0.186	0.691	-0.141	-0.033	-0.03	-0.013	1.094	"2"
"Seasons"	0	1	0	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	-0.186	0.691	-0.141	-0.033	-0.03	-0.013	1.094	"2"
"Ten"	0	1	0	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	-0.186	0.691	-0.141	-0.033	-0.03	-0.013	1.094	"2"
"ussieTechnology(S"	1	0	0	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	0.459	-0.099	-0.141	-0.033	-0.03	-0.013	0.775	"1"
"Zouk"	1	0	0	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	0.459	-0.099	-0.141	-0.033	-0.03	-0.013	0.775	"1"
"一八六一"	1	0	0	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	0.459	-0.099	-0.141	-0.033	-0.03	-0.013	0.775	"1"
"一定"	1	0	0	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	0.459	-0.099	-0.141	-0.033	-0.03	-0.013	0.775	"1"
"一巷"	1	0	0	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	0.459	-0.099	-0.141	-0.033	-0.03	-0.013	0.775	"1"
"一带"	1	1	0	0	0	0	0.696	0.408	0.554	0.147	0.135	0.061	0.241	0.437	-0.282	-0.066	-0.061	-0.027	1.114	"2"
"一时间"	1	0	0	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	0.459	-0.099	-0.141	-0.033	-0.03	-0.013	0.775	"1"
"一直"	0	0	3	0	0	1	1.391	0.815	1.109	0.294	0.27	0.121	-0.743	-0.396	1.171	-0.132	-0.121	0.936	3.499	"3"
"一部分"	0	0	1	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	-0.186	-0.099	0.557	-0.033	-0.03	-0.013	0.918	"3"
"七零"	1	0	0	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	0.459	-0.099	-0.141	-0.033	-0.03	-0.013	0.775	"1"
"七零七"	1	0	0	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	0.459	-0.099	-0.141	-0.033	-0.03	-0.013	0.775	"1"
"三貂角"	1	0	0	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	0.459	-0.099	-0.141	-0.033	-0.03	-0.013	0.775	"1"
"上"	8	0	0	1	2	2	4.522	2.649	3.603	0.955	0.877	0.394	1.351	-1.286	-1.833	0.201	0.663	1.242	6.576	"3"
"上床"	0	0	1	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	-0.186	-0.099	0.557	-0.033	-0.03	-0.013	0.918	"3"
"上牌"	2	0	0	0	0	0	0.696	0.408	0.554	0.147	0.135	0.061	0.917	-0.198	-0.282	-0.066	-0.061	-0.027	1.551	"1"
"上班"	1	0	0	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	0.459	-0.099	-0.141	-0.033	-0.03	-0.013	0.775	"1"
"上船"	0	1	0	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	-0.186	0.691	-0.141	-0.033	-0.03	-0.013	1.094	"2"
"上课"	2	0	0	0	0	0	0.696	0.408	0.554	0.147	0.135	0.061	0.917	-0.198	-0.282	-0.066	-0.061	-0.027	1.551	"1"
"上述"	2	0	0	0	0	0	0.696	0.408	0.554	0.147	0.135	0.061	0.917	-0.198	-0.282	-0.066	-0.061	-0.027	1.551	"1"
"上阵"	0	0	0	0	1	0	0.348	0.204	0.277	0.073	0.067	0.03	-0.186	-0.099	-0.141	-0.033	1.171	-0.013	1.643	"5"
"上风"	0	0	1	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	-0.186	-0.099	0.557	-0.033	-0.03	-0.013	0.918	"3"
"下午"	0	14	0	0	0	0	4.87	2.853	3.881	1.028	0.944	0.424	-2.599	9.672	-1.974	-0.464	-0.425	-0.187	15.321	"2"
"下属"	0	0	1	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	-0.186	-0.099	0.557	-0.033	-0.03	-0.013	0.918	"3"
"下档"	1	0	0	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	0.459	-0.099	-0.141	-0.033	-0.03	-0.013	0.775	"1"
"下滑"	0	0	0	0	1	0	0.348	0.204	0.277	0.073	0.067	0.03	-0.186	-0.099	-0.141	-0.033	1.171	-0.013	1.643	"5"
"不可"	0	0	1	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	-0.186	-0.099	0.557	-0.033	-0.03	-0.013	0.918	"3"
"不同"	4	7	0	0	0	0	3.827	2.241	3.049	0.808	0.742	0.333	0.245	2.657	-1.551	-0.364	-0.334	-0.147	5.298	"2"
"不好"	1	0	0	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	0.459	-0.099	-0.141	-0.033	-0.03	-0.013	0.775	"1"
"不断"	0	0	2	0	0	0	0.696	0.408	0.554	0.147	0.135	0.061	-0.371	-0.198	1.114	-0.066	-0.061	-0.027	1.837	"3"
"不舍"	0	0	1	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	-0.186	-0.099	0.557	-0.033	-0.03	-0.013	0.918	"3"
"不论"	0	0	1	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	-0.186	-0.099	0.557	-0.033	-0.03	-0.013	0.918	"3"
"不败"	1	0	0	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	0.459	-0.099	-0.141	-0.033	-0.03	-0.013	0.775	"1"
"不远"	2	0	0	0	0	0	0.696	0.408	0.554	0.147	0.135	0.061	0.917	-0.198	-0.282	-0.066	-0.061	-0.027	1.551	"1"
"与此同时"	0	0	1	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	-0.186	-0.099	0.557	-0.033	-0.03	-0.013	0.918	"3"
"且"	0	0	2	0	0	0	0.696	0.408	0.554	0.147	0.135	0.061	-0.371	-0.198	1.114	-0.066	-0.061	-0.027	1.837	"3"
"世界"	0	0	11	2	0	1	4.87	2.853	3.881	1.028	0.944	0.424	-2.599	-1.385	3.949	0.561	-0.425	0.456	9.375	"3"
"世界级"	0	0	1	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	-0.186	-0.099	0.557	-0.033	-0.03	-0.013	0.918	"3"
"东南亚"	2	0	0	0	0	0	0.696	0.408	0.554	0.147	0.135	0.061	0.917	-0.198	-0.282	-0.066	-0.061	-0.027	1.551	"1"
"东海岸"	1	0	0	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	0.459	-0.099	-0.141	-0.033	-0.03	-0.013	0.775	"1"
"个别"	2	0	0	0	0	0	0.696	0.408	0.554	0.147	0.135	0.061	0.917	-0.198	-0.282	-0.066	-0.061	-0.027	1.551	"1"
"中"	1	0	22	5	1	2	10.784	6.317	8.593	2.276	2.091	0.939	-4.512	-3.068	6.154	1.134	-0.429	0.617	15.914	"3"
"中医学"	0	0	0	1	0	0	0.348	0.204	0.277	0.073	0.067	0.03	-0.186	-0.099	-0.141	1.134	-0.03	-0.013	1.603	"4"
"中午"	0	2	0	0	0	0	0.696	0.408	0.554	0.147	0.135	0.061	-0.371	1.382	-0.282	-0.066	-0.061	-0.027	2.189	"2"
"中华民族"	0	0	0	1	0	0	0.348	0.204	0.277	0.073	0.067	0.03	-0.186	-0.099	-0.141	1.134	-0.03	-0.013	1.603	"4"
"中卫"	0	0	0	0	1	0	0.348	0.204	0.277	0.073	0.067	0.03	-0.186	-0.099	-0.141	-0.033	1.171	-0.013	1.643	"5"
"中国家"	0	0	0	0	0	2	0.696	0.408	0.554	0.147	0.135	0.061	-0.371	-0.198	-0.282	-0.066	-0.061	3.037	4.015	"6"
"中国队"	0	0	0	0	1	0	0.348	0.204	0.277	0.073	0.067	0.03	-0.186	-0.099	-0.141	-0.033	1.171	-0.013	1.643	"5"
"中场"	1	0	0	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	0.459	-0.099	-0.141	-0.033	-0.03	-0.013	0.775	"1"
"中层"	0	0	0	0	0	1	0.348	0.204	0.277	0.073	0.067	0.03	-0.186	-0.099	-0.141	-0.033	-0.03	1.519	2.008	"6"
"中心"	9	4	4	0	0	0	5.914	3.464	4.712	1.248	1.147	0.515	1.017	0.331	-0.327	-0.563	-0.516	-0.227	2.981	"1"
"中情局"	1	0	0	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	0.459	-0.099	-0.141	-0.033	-0.03	-0.013	0.775	"1"
"中枢"	1	0	0	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	0.459	-0.099	-0.141	-0.033	-0.03	-0.013	0.775	"1"
"中西文"	0	0	0	1	0	0	0.348	0.204	0.277	0.073	0.067	0.03	-0.186	-0.099	-0.141	1.134	-0.03	-0.013	1.603	"4"
"中锋"	0	0	0	0	1	0	0.348	0.204	0.277	0.073	0.067	0.03	-0.186	-0.099	-0.141	-0.033	1.171	-0.013	1.643	"5"
"临时"	1	0	0	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	0.459	-0.099	-0.141	-0.033	-0.03	-0.013	0.775	"1"
"丹戎巴葛"	1	0	0	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	0.459	-0.099	-0.141	-0.033	-0.03	-0.013	0.775	"1"
"主"	1	0	1	0	0	0	0.696	0.408	0.554	0.147	0.135	0.061	0.241	-0.198	0.321	-0.066	-0.061	-0.027	0.914	"3"
"主人"	1	0	0	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	0.459	-0.099	-0.141	-0.033	-0.03	-0.013	0.775	"1"
"主体"	0	0	1	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	-0.186	-0.099	0.557	-0.033	-0.03	-0.013	0.918	"3"
"主力"	0	0	0	0	3	0	1.044	0.611	0.832	0.22	0.202	0.091	-0.557	-0.297	-0.423	-0.099	3.513	-0.04	4.929	"5"
"主导"	0	0	2	0	0	0	0.696	0.408	0.554	0.147	0.135	0.061	-0.371	-0.198	1.114	-0.066	-0.061	-0.027	1.837	"3"
"主权"	0	0	3	0	0	0	1.044	0.611	0.832	0.22	0.202	0.091	-0.557	-0.297	1.672	-0.099	-0.091	-0.04	2.756	"3"
"主要"	1	0	0	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	0.459	-0.099	-0.141	-0.033	-0.03	-0.013	0.775	"1"
"主谋"	1	0	0	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	0.459	-0.099	-0.141	-0.033	-0.03	-0.013	0.775	"1"
"丽江"	0	1	0	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	-0.186	0.691	-0.141	-0.033	-0.03	-0.013	1.094	"2"
"举"	0	0	1	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	-0.186	-0.099	0.557	-0.033	-0.03	-0.013	0.918	"3"
"举行"	4	2	1	0	0	0	2.435	1.426	1.94	0.514	0.472	0.212	0.707	0.363	-0.42	-0.232	-0.212	-0.094	2.028	"1"
"举足"	0	0	1	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	-0.186	-0.099	0.557	-0.033	-0.03	-0.013	0.918	"3"
"举足轻重"	0	0	2	0	0	0	0.696	0.408	0.554	0.147	0.135	0.061	-0.371	-0.198	1.114	-0.066	-0.061	-0.027	1.837	"3"
"义诊"	1	0	0	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	0.459	-0.099	-0.141	-0.033	-0.03	-0.013	0.775	"1"
"义顺中"	0	1	0	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	-0.186	0.691	-0.141	-0.033	-0.03	-0.013	1.094	"2"
"之间"	0	1	0	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	-0.186	0.691	-0.141	-0.033	-0.03	-0.013	1.094	"2"
"乌"	0	1	0	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	-0.186	0.691	-0.141	-0.033	-0.03	-0.013	1.094	"2"
"乌节路"	0	1	0	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	-0.186	0.691	-0.141	-0.033	-0.03	-0.013	1.094	"2"
"乐坛"	0	0	1	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	-0.186	-0.099	0.557	-0.033	-0.03	-0.013	0.918	"3"
"乔伊斯"	0	0	0	0	1	0	0.348	0.204	0.277	0.073	0.067	0.03	-0.186	-0.099	-0.141	-0.033	1.171	-0.013	1.643	"5"
"乔装"	1	0	0	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	0.459	-0.099	-0.141	-0.033	-0.03	-0.013	0.775	"1"
"乘客"	1	0	0	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	0.459	-0.099	-0.141	-0.033	-0.03	-0.013	0.775	"1"
"买家"	1	0	0	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	0.459	-0.099	-0.141	-0.033	-0.03	-0.013	0.775	"1"
"予以"	1	0	0	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	0.459	-0.099	-0.141	-0.033	-0.03	-0.013	0.775	"1"
"争取"	0	0	1	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	-0.186	-0.099	0.557	-0.033	-0.03	-0.013	0.918	"3"
"事主"	0	1	0	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	-0.186	0.691	-0.141	-0.033	-0.03	-0.013	1.094	"2"
"事务"	0	0	1	1	0	0	0.696	0.408	0.554	0.147	0.135	0.061	-0.371	-0.198	0.321	0.849	-0.061	-0.027	1.827	"4"
"事发"	6	0	0	0	0	0	2.087	1.223	1.663	0.441	0.405	0.182	2.752	-0.594	-0.846	-0.199	-0.182	-0.08	4.653	"1"
"事故"	1	1	0	0	0	0	0.696	0.408	0.554	0.147	0.135	0.061	0.241	0.437	-0.282	-0.066	-0.061	-0.027	1.114	"2"
"二十一分"	1	0	0	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	0.459	-0.099	-0.141	-0.033	-0.03	-0.013	0.775	"1"
"二十七日"	0	1	0	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	-0.186	0.691	-0.141	-0.033	-0.03	-0.013	1.094	"2"
"二日"	1	0	0	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	0.459	-0.099	-0.141	-0.033	-0.03	-0.013	0.775	"1"
"二时"	1	0	0	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	0.459	-0.099	-0.141	-0.033	-0.03	-0.013	0.775	"1"
"二楼"	2	0	0	0	0	0	0.696	0.408	0.554	0.147	0.135	0.061	0.917	-0.198	-0.282	-0.066	-0.061	-0.027	1.551	"1"
"二点五"	1	0	0	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	0.459	-0.099	-0.141	-0.033	-0.03	-0.013	0.775	"1"
"五二"	1	0	0	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	0.459	-0.099	-0.141	-0.033	-0.03	-0.013	0.775	"1"
"五千三百五十九"	1	0	0	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	0.459	-0.099	-0.141	-0.033	-0.03	-0.013	0.775	"1"
"井正"	0	0	1	0	0	0	0.348	0.204	0.277	0.073	0.067	0.03	-0.186	-0.099	0.557	-0.033	-0.03	-0.013	0.918	"3"
"亚军"	0	0	0	0	2	0	0.696	0.408	0.554	0.147	0.135	0.061	-0.371	-0.198	-0.282	-0.066	2.342	-0.027	3.286	"5"
