"","tokenlabel","cluster"
"东西/Na/ZBN_CMN_20030930_wpr/78423","东西/Na/ZBN_CMN_20030930_wpr/78423",1
"东西/Na/ZBN_CMN_20030622_wpr/3937","东西/Na/ZBN_CMN_20030622_wpr/3937",1
"东西/Na/ZBN_CMN_20001218_wpr/17349","东西/Na/ZBN_CMN_20001218_wpr/17349",1
"东西/Na/ZBN_CMN_20030813_wpr/28289","东西/Na/ZBN_CMN_20030813_wpr/28289",1
"东西/Na/CNA_CMN_20030714_wpr/9101","东西/Na/CNA_CMN_20030714_wpr/9101",1
"东西/Na/ZBN_CMN_20010111_wpr/19950","东西/Na/ZBN_CMN_20010111_wpr/19950",1
"东西/Na/ZBN_CMN_20030504_wpr/44223","东西/Na/ZBN_CMN_20030504_wpr/44223",1
"东西/Na/ZBN_CMN_20030614_wpr/21213","东西/Na/ZBN_CMN_20030614_wpr/21213",1
"东西/Na/ZBN_CMN_20030925_wpr/34413","东西/Na/ZBN_CMN_20030925_wpr/34413",1
"东西/Na/ZBN_CMN_20030721_wpr/76774","东西/Na/ZBN_CMN_20030721_wpr/76774",1
"东西/Na/ZBN_CMN_20030823_wpr/12609","东西/Na/ZBN_CMN_20030823_wpr/12609",1
"东西/Na/ZBN_CMN_20030604_wpr/14902","东西/Na/ZBN_CMN_20030604_wpr/14902",1
"东西/Na/ZBN_CMN_20001025_wpr/20682","东西/Na/ZBN_CMN_20001025_wpr/20682",1
"东西/Na/XIN_CMN_20030924_wpr/41081","东西/Na/XIN_CMN_20030924_wpr/41081",1
"东西/Na/CNA_CMN_20001108_wpr/109741","东西/Na/CNA_CMN_20001108_wpr/109741",1
"东西/Na/ZBN_CMN_20030804_wpr/66742","东西/Na/ZBN_CMN_20030804_wpr/66742",1
"东西/Na/CNA_CMN_20001125_wpr/100230","东西/Na/CNA_CMN_20001125_wpr/100230",1
"东西/Na/CNA_CMN_20001114_wpr/67004","东西/Na/CNA_CMN_20001114_wpr/67004",1
"东西/Na/ZBN_CMN_20030427_wpr/50456","东西/Na/ZBN_CMN_20030427_wpr/50456",1
"东西/Na/ZBN_CMN_20030901_wpr/16997","东西/Na/ZBN_CMN_20030901_wpr/16997",1
"东西/Na/ZBN_CMN_20030523_wpr/15554","东西/Na/ZBN_CMN_20030523_wpr/15554",1
"东西/Na/ZBN_CMN_20030420_wpr/15424","东西/Na/ZBN_CMN_20030420_wpr/15424",1
"东西/Na/ZBN_CMN_20030919_wpr/67241","东西/Na/ZBN_CMN_20030919_wpr/67241",1
"东西/Na/CNA_CMN_20030606_wpr/6794","东西/Na/CNA_CMN_20030606_wpr/6794",1
"东西/Na/ZBN_CMN_20030412_wpr/74682","东西/Na/ZBN_CMN_20030412_wpr/74682",1
"东西/Na/ZBN_CMN_20001218_wpr/21685","东西/Na/ZBN_CMN_20001218_wpr/21685",1
"东西/Na/XIN_CMN_20030430_wpr/47714","东西/Na/XIN_CMN_20030430_wpr/47714",1
"东西/Na/ZBN_CMN_20030905_wpr/34956","东西/Na/ZBN_CMN_20030905_wpr/34956",1
"东西/Na/XIN_CMN_20030524_wpr/38070","东西/Na/XIN_CMN_20030524_wpr/38070",1
"东西/Na/ZBN_CMN_20030616_wpr/76727","东西/Na/ZBN_CMN_20030616_wpr/76727",1
"东西/Na/ZBN_CMN_20030926_wpr/84104","东西/Na/ZBN_CMN_20030926_wpr/84104",1
"东西/Na/ZBN_CMN_20030928_wpr/15893","东西/Na/ZBN_CMN_20030928_wpr/15893",1
"东西/Na/ZBN_CMN_20030913_wpr/18053","东西/Na/ZBN_CMN_20030913_wpr/18053",1
"东西/Na/ZBN_CMN_20030820_wpr/54621","东西/Na/ZBN_CMN_20030820_wpr/54621",1
"东西/Na/XIN_CMN_20030523_wpr/15996","东西/Na/XIN_CMN_20030523_wpr/15996",1
"物质/Na/ZBN_CMN_20030825_wpr/37083","物质/Na/ZBN_CMN_20030825_wpr/37083",1
"东西/Na/ZBN_CMN_20030912_wpr/63662","东西/Na/ZBN_CMN_20030912_wpr/63662",1
"材料/Na/CNA_CMN_20010114_wpr/25154","材料/Na/CNA_CMN_20010114_wpr/25154",1
"成份/Na/CNA_CMN_20010110_wpr/135257","成份/Na/CNA_CMN_20010110_wpr/135257",1
"成分/Na/ZBN_CMN_20001218_wpr/33703","成分/Na/ZBN_CMN_20001218_wpr/33703",1
"物质/Na/ZBN_CMN_20030604_wpr/47446","物质/Na/ZBN_CMN_20030604_wpr/47446",1
"东西/Na/CNA_CMN_20001101_wpr/76551","东西/Na/CNA_CMN_20001101_wpr/76551",1
"成分/Na/ZBN_CMN_20001020_wpr/20686","成分/Na/ZBN_CMN_20001020_wpr/20686",1
"原料/Na/CNA_CMN_20001228_wpr/127448","原料/Na/CNA_CMN_20001228_wpr/127448",1
"东西/Na/XIN_CMN_20030628_wpr/50089","东西/Na/XIN_CMN_20030628_wpr/50089",1
"物质/Na/XIN_CMN_20030712_wpr/27213","物质/Na/XIN_CMN_20030712_wpr/27213",1
"成分/Na/ZBN_CMN_20030924_wpr/63291","成分/Na/ZBN_CMN_20030924_wpr/63291",1
"东西/Na/CNA_CMN_20001012_wpr/100582","东西/Na/CNA_CMN_20001012_wpr/100582",1
"东西/Na/ZBN_CMN_20001130_wpr/26534","东西/Na/ZBN_CMN_20001130_wpr/26534",1
"东西/Na/ZBN_CMN_20030713_wpr/36824","东西/Na/ZBN_CMN_20030713_wpr/36824",1
"东西/Na/ZBN_CMN_20010108_wpr/1992","东西/Na/ZBN_CMN_20010108_wpr/1992",1
"东西/Na/ZBN_CMN_20001214_wpr/11524","东西/Na/ZBN_CMN_20001214_wpr/11524",1
"东西/Na/ZBN_CMN_20030924_wpr/52136","东西/Na/ZBN_CMN_20030924_wpr/52136",1
"东西/Na/ZBN_CMN_20010115_wpr/25107","东西/Na/ZBN_CMN_20010115_wpr/25107",1
"东西/Na/ZBN_CMN_20030414_wpr/73382","东西/Na/ZBN_CMN_20030414_wpr/73382",1
"东西/Na/ZBN_CMN_20030724_wpr/14336","东西/Na/ZBN_CMN_20030724_wpr/14336",1
"东西/Na/ZBN_CMN_20010111_wpr/17566","东西/Na/ZBN_CMN_20010111_wpr/17566",1
"东西/Na/XIN_CMN_20001228_wpr/15310","东西/Na/XIN_CMN_20001228_wpr/15310",1
"东西/Na/ZBN_CMN_20030510_wpr/7447","东西/Na/ZBN_CMN_20030510_wpr/7447",1
"东西/Na/ZBN_CMN_20030426_wpr/11238","东西/Na/ZBN_CMN_20030426_wpr/11238",1
"东西/Na/ZBN_CMN_20030512_wpr/60903","东西/Na/ZBN_CMN_20030512_wpr/60903",1
"东西/Na/ZBN_CMN_20030506_wpr/24583","东西/Na/ZBN_CMN_20030506_wpr/24583",1
"东西/Na/ZBN_CMN_20010117_wpr/19330","东西/Na/ZBN_CMN_20010117_wpr/19330",1
"东西/Na/CNA_CMN_20001003_wpr/92118","东西/Na/CNA_CMN_20001003_wpr/92118",1
"东西/Na/XIN_CMN_20030908_wpr/78248","东西/Na/XIN_CMN_20030908_wpr/78248",1
"东西/Na/XIN_CMN_20030609_wpr/32991","东西/Na/XIN_CMN_20030609_wpr/32991",1
"东西/Na/ZBN_CMN_20030530_wpr/31189","东西/Na/ZBN_CMN_20030530_wpr/31189",1
"东西/Na/ZBN_CMN_20030730_wpr/66965","东西/Na/ZBN_CMN_20030730_wpr/66965",1
"东西/Na/ZBN_CMN_20030703_wpr/37089","东西/Na/ZBN_CMN_20030703_wpr/37089",1
"东西/Na/ZBN_CMN_20030813_wpr/60914","东西/Na/ZBN_CMN_20030813_wpr/60914",1
"东西/Na/ZBN_CMN_20030828_wpr/59960","东西/Na/ZBN_CMN_20030828_wpr/59960",1
"东西/Na/XIN_CMN_20030525_wpr/43819","东西/Na/XIN_CMN_20030525_wpr/43819",1
"东西/Na/XIN_CMN_20010124_wpr/9141","东西/Na/XIN_CMN_20010124_wpr/9141",1
"东西/Na/ZBN_CMN_20030919_wpr/41560","东西/Na/ZBN_CMN_20030919_wpr/41560",1
"物资/Na/XIN_CMN_20030422_wpr/48922","物资/Na/XIN_CMN_20030422_wpr/48922",1
"东西/Na/CNA_CMN_20001115_wpr/51085","东西/Na/CNA_CMN_20001115_wpr/51085",1
"东西/Na/ZBN_CMN_20030706_wpr/54223","东西/Na/ZBN_CMN_20030706_wpr/54223",1
"东西/Na/CNA_CMN_20001017_wpr/77479","东西/Na/CNA_CMN_20001017_wpr/77479",1
"东西/Na/ZBN_CMN_20030625_wpr/7991","东西/Na/ZBN_CMN_20030625_wpr/7991",1
"东西/Na/ZBN_CMN_20030522_wpr/15724","东西/Na/ZBN_CMN_20030522_wpr/15724",1
"东西/Na/ZBN_CMN_20030410_wpr/1715","东西/Na/ZBN_CMN_20030410_wpr/1715",1
"东西/Na/CNA_CMN_20001115_wpr/143278","东西/Na/CNA_CMN_20001115_wpr/143278",1
"东西/Na/ZBN_CMN_20001219_wpr/10841","东西/Na/ZBN_CMN_20001219_wpr/10841",1
"东西/Na/ZBN_CMN_20030914_wpr/33212","东西/Na/ZBN_CMN_20030914_wpr/33212",1
"东西/Na/ZBN_CMN_20030418_wpr/73920","东西/Na/ZBN_CMN_20030418_wpr/73920",1
"成分/Na/ZBN_CMN_20010123_wpr/15992","成分/Na/ZBN_CMN_20010123_wpr/15992",1
"东西/Na/ZBN_CMN_20030415_wpr/18399","东西/Na/ZBN_CMN_20030415_wpr/18399",1
"东西/Na/CNA_CMN_20001017_wpr/55856","东西/Na/CNA_CMN_20001017_wpr/55856",1
"东西/Na/ZBN_CMN_20030428_wpr/55973","东西/Na/ZBN_CMN_20030428_wpr/55973",1
"东西/Na/ZBN_CMN_20030603_wpr/10388","东西/Na/ZBN_CMN_20030603_wpr/10388",1
"东西/Na/ZBN_CMN_20030629_wpr/16381","东西/Na/ZBN_CMN_20030629_wpr/16381",1
"东西/Na/XIN_CMN_20030911_wpr/57858","东西/Na/XIN_CMN_20030911_wpr/57858",1
"东西/Na/ZBN_CMN_20030825_wpr/15041","东西/Na/ZBN_CMN_20030825_wpr/15041",1
"东西/Na/XIN_CMN_20030407_wpr/40038","东西/Na/XIN_CMN_20030407_wpr/40038",1
"东西/Na/ZBN_CMN_20030428_wpr/64379","东西/Na/ZBN_CMN_20030428_wpr/64379",1
"东西/Na/ZBN_CMN_20030507_wpr/7288","东西/Na/ZBN_CMN_20030507_wpr/7288",1
"东西/Na/ZBN_CMN_20030622_wpr/47285","东西/Na/ZBN_CMN_20030622_wpr/47285",1
"东西/Na/ZBN_CMN_20030620_wpr/79141","东西/Na/ZBN_CMN_20030620_wpr/79141",1
"东西/Na/ZBN_CMN_20030427_wpr/55576","东西/Na/ZBN_CMN_20030427_wpr/55576",1
"东西/Na/ZBN_CMN_20030927_wpr/14956","东西/Na/ZBN_CMN_20030927_wpr/14956",1
"东西/Na/ZBN_CMN_20030622_wpr/83632","东西/Na/ZBN_CMN_20030622_wpr/83632",1
"东西/Na/XIN_CMN_20010124_wpr/9266","东西/Na/XIN_CMN_20010124_wpr/9266",1
"东西/Na/ZBN_CMN_20030818_wpr/61827","东西/Na/ZBN_CMN_20030818_wpr/61827",1
"东西/Na/ZBN_CMN_20030407_wpr/60121","东西/Na/ZBN_CMN_20030407_wpr/60121",1
"东西/Na/CNA_CMN_20010105_wpr/53493","东西/Na/CNA_CMN_20010105_wpr/53493",1
"东西/Na/ZBN_CMN_20030822_wpr/37799","东西/Na/ZBN_CMN_20030822_wpr/37799",1
"物质/Na/ZBN_CMN_20030815_wpr/41460","物质/Na/ZBN_CMN_20030815_wpr/41460",2
"物质/Na/XIN_CMN_20030507_wpr/66518","物质/Na/XIN_CMN_20030507_wpr/66518",2
"物质/Na/XIN_CMN_20030506_wpr/32606","物质/Na/XIN_CMN_20030506_wpr/32606",2
"物资/Na/XIN_CMN_20030512_wpr/52270","物资/Na/XIN_CMN_20030512_wpr/52270",2
"物资/Na/XIN_CMN_20030503_wpr/42336","物资/Na/XIN_CMN_20030503_wpr/42336",2
"材料/Na/XIN_CMN_20030912_wpr/14631","材料/Na/XIN_CMN_20030912_wpr/14631",2
"材料/Na/XIN_CMN_20030520_wpr/75236","材料/Na/XIN_CMN_20030520_wpr/75236",2
"材料/Na/XIN_CMN_20030403_wpr/12480","材料/Na/XIN_CMN_20030403_wpr/12480",2
"材料/Na/XIN_CMN_20030403_wpr/12404","材料/Na/XIN_CMN_20030403_wpr/12404",2
"物资/Na/XIN_CMN_20001124_wpr/34769","物资/Na/XIN_CMN_20001124_wpr/34769",2
"物资/Na/XIN_CMN_20030404_wpr/90011","物资/Na/XIN_CMN_20030404_wpr/90011",2
"物资/Na/XIN_CMN_20030404_wpr/82116","物资/Na/XIN_CMN_20030404_wpr/82116",2
"物资/Na/XIN_CMN_20030404_wpr/91554","物资/Na/XIN_CMN_20030404_wpr/91554",2
"物资/Na/XIN_CMN_20030508_wpr/54114","物资/Na/XIN_CMN_20030508_wpr/54114",2
"物资/Na/XIN_CMN_20030406_wpr/22261","物资/Na/XIN_CMN_20030406_wpr/22261",2
"物资/Na/XIN_CMN_20030420_wpr/32579","物资/Na/XIN_CMN_20030420_wpr/32579",2
