"Coll_Word"	"1"	"2"	"3"	"exp_1"	"exp_2"	"exp_3"	"pbin_1"	"pbin_2"	"pbin_3"	"SumAbsDev"	"LargestDev"
"，"	0	0	13	2.278	2.669	8.053	-1.088	-1.297	2.704	5.089	"3"
"﹐"	0	0	1	0.175	0.205	0.619	-0.084	-0.1	0.208	0.392	"3"
"、"	0	1	86	15.243	17.863	53.894	-7.278	-7.312	16.358	30.948	"3"
":"	0	0	18	3.154	3.696	11.151	-1.506	-1.797	3.744	7.047	"3"
"："	0	0	2	0.35	0.411	1.239	-0.167	-0.2	0.416	0.783	"3"
"！"	3	0	0	0.526	0.616	1.858	2.269	-0.299	-1.259	3.827	"1"
"？"	7	0	0	1.226	1.437	4.336	5.295	-0.699	-2.937	8.931	"1"
"("	0	0	8	1.402	1.643	4.956	-0.669	-0.798	1.664	3.131	"3"
")"	0	0	9	1.577	1.848	5.575	-0.753	-0.898	1.872	3.523	"3"
"°"	1	0	0	0.175	0.205	0.619	0.756	-0.1	-0.42	1.276	"1"
"10"	0	0	1	0.175	0.205	0.619	-0.084	-0.1	0.208	0.392	"3"
"105.21"	0	0	1	0.175	0.205	0.619	-0.084	-0.1	0.208	0.392	"3"
"1100多万"	0	1	0	0.175	0.205	0.619	-0.084	0.688	-0.42	1.192	"2"
"1131万"	0	1	0	0.175	0.205	0.619	-0.084	0.688	-0.42	1.192	"2"
"133万"	0	1	0	0.175	0.205	0.619	-0.084	0.688	-0.42	1.192	"2"
"15日电"	0	1	0	0.175	0.205	0.619	-0.084	0.688	-0.42	1.192	"2"
"17时"	0	1	0	0.175	0.205	0.619	-0.084	0.688	-0.42	1.192	"2"
"200"	0	0	1	0.175	0.205	0.619	-0.084	-0.1	0.208	0.392	"3"
"21.9"	0	0	1	0.175	0.205	0.619	-0.084	-0.1	0.208	0.392	"3"
"2日电"	0	0	1	0.175	0.205	0.619	-0.084	-0.1	0.208	0.392	"3"
"30万"	0	1	0	0.175	0.205	0.619	-0.084	0.688	-0.42	1.192	"2"
"310万"	0	1	0	0.175	0.205	0.619	-0.084	0.688	-0.42	1.192	"2"
"314万"	0	1	0	0.175	0.205	0.619	-0.084	0.688	-0.42	1.192	"2"
"34亿"	0	0	1	0.175	0.205	0.619	-0.084	-0.1	0.208	0.392	"3"
"4.6"	0	0	1	0.175	0.205	0.619	-0.084	-0.1	0.208	0.392	"3"
"4000"	0	1	0	0.175	0.205	0.619	-0.084	0.688	-0.42	1.192	"2"
"40余"	0	0	1	0.175	0.205	0.619	-0.084	-0.1	0.208	0.392	"3"
"486"	0	0	1	0.175	0.205	0.619	-0.084	-0.1	0.208	0.392	"3"
"4月"	0	1	0	0.175	0.205	0.619	-0.084	0.688	-0.42	1.192	"2"
"500万"	0	1	0	0.175	0.205	0.619	-0.084	0.688	-0.42	1.192	"2"
"53"	0	0	1	0.175	0.205	0.619	-0.084	-0.1	0.208	0.392	"3"
"5月"	0	4	0	0.701	0.821	2.478	-0.335	2.75	-1.678	4.763	"2"
"5车"	0	1	0	0.175	0.205	0.619	-0.084	0.688	-0.42	1.192	"2"
"891223"	1	0	0	0.175	0.205	0.619	0.756	-0.1	-0.42	1.276	"1"
"aeger-LeCoultre"	0	0	1	0.175	0.205	0.619	-0.084	-0.1	0.208	0.392	"3"
"C"	0	0	2	0.35	0.411	1.239	-0.167	-0.2	0.416	0.783	"3"
"C.N.R.RA"	0	0	1	0.175	0.205	0.619	-0.084	-0.1	0.208	0.392	"3"
"C60"	0	0	1	0.175	0.205	0.619	-0.084	-0.1	0.208	0.392	"3"
"Dextromethorphan"	0	0	1	0.175	0.205	0.619	-0.084	-0.1	0.208	0.392	"3"
"finasteride"	0	0	1	0.175	0.205	0.619	-0.084	-0.1	0.208	0.392	"3"
"Kurau"	0	0	1	0.175	0.205	0.619	-0.084	-0.1	0.208	0.392	"3"
"O"	0	0	1	0.175	0.205	0.619	-0.084	-0.1	0.208	0.392	"3"
"Paramex"	0	0	1	0.175	0.205	0.619	-0.084	-0.1	0.208	0.392	"3"
"RU"	0	0	1	0.175	0.205	0.619	-0.084	-0.1	0.208	0.392	"3"
"一下"	1	0	0	0.175	0.205	0.619	0.756	-0.1	-0.42	1.276	"1"
"一些"	2	0	0	0.35	0.411	1.239	1.513	-0.2	-0.839	2.552	"1"
"一体"	0	0	1	0.175	0.205	0.619	-0.084	-0.1	0.208	0.392	"3"
"一切"	0	1	1	0.35	0.411	1.239	-0.167	0.434	-0.21	0.811	"2"
"一半"	0	0	1	0.175	0.205	0.619	-0.084	-0.1	0.208	0.392	"3"
"一层层"	0	0	1	0.175	0.205	0.619	-0.084	-0.1	0.208	0.392	"3"
"一扫而空"	0	0	1	0.175	0.205	0.619	-0.084	-0.1	0.208	0.392	"3"
"一样"	2	0	0	0.35	0.411	1.239	1.513	-0.2	-0.839	2.552	"1"
"一点"	2	0	0	0.35	0.411	1.239	1.513	-0.2	-0.839	2.552	"1"
"一般"	0	0	1	0.175	0.205	0.619	-0.084	-0.1	0.208	0.392	"3"
"一阵"	0	0	1	0.175	0.205	0.619	-0.084	-0.1	0.208	0.392	"3"
"万"	0	1	0	0.175	0.205	0.619	-0.084	0.688	-0.42	1.192	"2"
"万一"	1	0	0	0.175	0.205	0.619	0.756	-0.1	-0.42	1.276	"1"
"三分之二"	0	0	1	0.175	0.205	0.619	-0.084	-0.1	0.208	0.392	"3"
"上涨"	0	0	2	0.35	0.411	1.239	-0.167	-0.2	0.416	0.783	"3"
"上等"	0	0	1	0.175	0.205	0.619	-0.084	-0.1	0.208	0.392	"3"
"上门"	1	0	0	0.175	0.205	0.619	0.756	-0.1	-0.42	1.276	"1"
"下单"	0	0	1	0.175	0.205	0.619	-0.084	-0.1	0.208	0.392	"3"
"下床"	0	0	1	0.175	0.205	0.619	-0.084	-0.1	0.208	0.392	"3"
"下来"	1	0	0	0.175	0.205	0.619	0.756	-0.1	-0.42	1.276	"1"
"下游"	0	0	1	0.175	0.205	0.619	-0.084	-0.1	0.208	0.392	"3"
"下课"	1	0	0	0.175	0.205	0.619	0.756	-0.1	-0.42	1.276	"1"
"下车"	1	0	0	0.175	0.205	0.619	0.756	-0.1	-0.42	1.276	"1"
"不"	21	0	1	3.855	4.517	13.628	14.622	-2.196	-7.666	24.484	"1"
"不一"	1	0	0	0.175	0.205	0.619	0.756	-0.1	-0.42	1.276	"1"
"不仅"	0	0	1	0.175	0.205	0.619	-0.084	-0.1	0.208	0.392	"3"
"不便"	0	1	0	0.175	0.205	0.619	-0.084	0.688	-0.42	1.192	"2"
"不变"	2	0	0	0.35	0.411	1.239	1.513	-0.2	-0.839	2.552	"1"
"不只"	0	0	1	0.175	0.205	0.619	-0.084	-0.1	0.208	0.392	"3"
"不可以"	1	0	0	0.175	0.205	0.619	0.756	-0.1	-0.42	1.276	"1"
"不同"	1	0	1	0.35	0.411	1.239	0.495	-0.2	-0.21	0.905	"1"
"不少"	3	0	0	0.526	0.616	1.858	2.269	-0.299	-1.259	3.827	"1"
"不建"	0	0	1	0.175	0.205	0.619	-0.084	-0.1	0.208	0.392	"3"
"不断"	0	0	1	0.175	0.205	0.619	-0.084	-0.1	0.208	0.392	"3"
"不易"	0	0	1	0.175	0.205	0.619	-0.084	-0.1	0.208	0.392	"3"
"不正"	1	0	0	0.175	0.205	0.619	0.756	-0.1	-0.42	1.276	"1"
"不法"	0	1	0	0.175	0.205	0.619	-0.084	0.688	-0.42	1.192	"2"
"不用"	1	0	0	0.175	0.205	0.619	0.756	-0.1	-0.42	1.276	"1"
"不能"	2	0	0	0.35	0.411	1.239	1.513	-0.2	-0.839	2.552	"1"
"不良"	0	0	1	0.175	0.205	0.619	-0.084	-0.1	0.208	0.392	"3"
"不见了"	1	0	0	0.175	0.205	0.619	0.756	-0.1	-0.42	1.276	"1"
"不足"	0	1	0	0.175	0.205	0.619	-0.084	0.688	-0.42	1.192	"2"
"不过"	1	0	0	0.175	0.205	0.619	0.756	-0.1	-0.42	1.276	"1"
"不过如此"	0	0	1	0.175	0.205	0.619	-0.084	-0.1	0.208	0.392	"3"
"专利权"	0	0	1	0.175	0.205	0.619	-0.084	-0.1	0.208	0.392	"3"
"专用"	0	0	1	0.175	0.205	0.619	-0.084	-0.1	0.208	0.392	"3"
"且"	0	0	1	0.175	0.205	0.619	-0.084	-0.1	0.208	0.392	"3"
"世俗"	0	0	1	0.175	0.205	0.619	-0.084	-0.1	0.208	0.392	"3"
"东南部"	0	1	0	0.175	0.205	0.619	-0.084	0.688	-0.42	1.192	"2"
"东西"	2	0	1	0.526	0.616	1.858	1.09	-0.299	-0.489	1.878	"1"
"丢"	1	0	0	0.175	0.205	0.619	0.756	-0.1	-0.42	1.276	"1"
"丢失"	0	0	1	0.175	0.205	0.619	-0.084	-0.1	0.208	0.392	"3"
"严密"	0	1	0	0.175	0.205	0.619	-0.084	0.688	-0.42	1.192	"2"
"严重"	0	0	1	0.175	0.205	0.619	-0.084	-0.1	0.208	0.392	"3"
"中"	0	0	8	1.402	1.643	4.956	-0.669	-0.798	1.664	3.131	"3"
"中医"	0	0	5	0.876	1.027	3.097	-0.418	-0.499	1.04	1.957	"3"
"中药"	0	0	2	0.35	0.411	1.239	-0.167	-0.2	0.416	0.783	"3"
"中西部"	0	1	0	0.175	0.205	0.619	-0.084	0.688	-0.42	1.192	"2"
"中风"	0	0	1	0.175	0.205	0.619	-0.084	-0.1	0.208	0.392	"3"
"丰富"	0	0	5	0.876	1.027	3.097	-0.418	-0.499	1.04	1.957	"3"
"临床"	0	0	1	0.175	0.205	0.619	-0.084	-0.1	0.208	0.392	"3"
"为"	0	0	1	0.175	0.205	0.619	-0.084	-0.1	0.208	0.392	"3"
"为主"	0	0	1	0.175	0.205	0.619	-0.084	-0.1	0.208	0.392	"3"
"主义"	0	9	0	1.577	1.848	5.575	-0.753	6.188	-3.777	10.718	"2"
"主要"	0	0	4	0.701	0.821	2.478	-0.335	-0.399	0.832	1.566	"3"
"主观"	1	0	0	0.175	0.205	0.619	0.756	-0.1	-0.42	1.276	"1"
"么"	1	0	0	0.175	0.205	0.619	0.756	-0.1	-0.42	1.276	"1"
"之外"	1	0	0	0.175	0.205	0.619	0.756	-0.1	-0.42	1.276	"1"
"乐意"	1	0	0	0.175	0.205	0.619	0.756	-0.1	-0.42	1.276	"1"
"九二一"	0	1	0	0.175	0.205	0.619	-0.084	0.688	-0.42	1.192	"2"
"也许"	1	0	0	0.175	0.205	0.619	0.756	-0.1	-0.42	1.276	"1"
"乡镇企业"	0	0	2	0.35	0.411	1.239	-0.167	-0.2	0.416	0.783	"3"
"书包"	0	0	1	0.175	0.205	0.619	-0.084	-0.1	0.208	0.392	"3"
"买"	14	0	0	2.453	2.874	8.673	10.59	-1.397	-5.875	17.862	"1"
"买不起"	1	0	0	0.175	0.205	0.619	0.756	-0.1	-0.42	1.276	"1"
"乳胶质"	0	0	2	0.35	0.411	1.239	-0.167	-0.2	0.416	0.783	"3"
"了"	7	0	2	1.577	1.848	5.575	3.883	-0.898	-1.731	6.512	"1"
"了解到"	1	0	0	0.175	0.205	0.619	0.756	-0.1	-0.42	1.276	"1"
"予以"	0	1	0	0.175	0.205	0.619	-0.084	0.688	-0.42	1.192	"2"
"二十万"	0	1	0	0.175	0.205	0.619	-0.084	0.688	-0.42	1.192	"2"
"二极体"	0	0	1	0.175	0.205	0.619	-0.084	-0.1	0.208	0.392	"3"
"二氧化碳"	0	0	1	0.175	0.205	0.619	-0.084	-0.1	0.208	0.392	"3"
"互动"	0	0	1	0.175	0.205	0.619	-0.084	-0.1	0.208	0.392	"3"
"互补"	0	0	1	0.175	0.205	0.619	-0.084	-0.1	0.208	0.392	"3"
"五百万"	0	1	0	0.175	0.205	0.619	-0.084	0.688	-0.42	1.192	"2"
