"","tokenlabel","cluster"
"成份/Na/CNA_CMN_20001108_wpr/39182","成份/Na/CNA_CMN_20001108_wpr/39182",1
"成分/Na/XIN_CMN_20030501_wpr/75733","成分/Na/XIN_CMN_20030501_wpr/75733",1
"成分/Na/XIN_CMN_20030801_wpr/75101","成分/Na/XIN_CMN_20030801_wpr/75101",1
"成份/Na/ZBN_CMN_20030731_wpr/37905","成份/Na/ZBN_CMN_20030731_wpr/37905",1
"成分/Na/CNA_CMN_20001001_wpr/52421","成分/Na/CNA_CMN_20001001_wpr/52421",1
"成份/Na/CNA_CMN_20010108_wpr/60466","成份/Na/CNA_CMN_20010108_wpr/60466",1
"成份/Na/CNA_CMN_20001113_wpr/6315","成份/Na/CNA_CMN_20001113_wpr/6315",1
"成分/Na/XIN_CMN_20001201_wpr/71416","成分/Na/XIN_CMN_20001201_wpr/71416",1
"成分/Na/ZBN_CMN_20001002_wpr/26958","成分/Na/ZBN_CMN_20001002_wpr/26958",1
"成分/Na/ZBN_CMN_20030918_wpr/69768","成分/Na/ZBN_CMN_20030918_wpr/69768",1
"成分/Na/ZBN_CMN_20030423_wpr/14823","成分/Na/ZBN_CMN_20030423_wpr/14823",1
"成分/Na/ZBN_CMN_20030912_wpr/10577","成分/Na/ZBN_CMN_20030912_wpr/10577",1
"原料/Na/CNA_CMN_20001027_wpr/175890","原料/Na/CNA_CMN_20001027_wpr/175890",1
"原料/Na/CNA_CMN_20001021_wpr/23563","原料/Na/CNA_CMN_20001021_wpr/23563",1
"原料/Na/XIN_CMN_20030615_wpr/38754","原料/Na/XIN_CMN_20030615_wpr/38754",1
"原料/Na/CNA_CMN_20030823_wpr/3678","原料/Na/CNA_CMN_20030823_wpr/3678",1
"成分/Na/ZBN_CMN_20030907_wpr/39742","成分/Na/ZBN_CMN_20030907_wpr/39742",1
"成分/Na/ZBN_CMN_20030604_wpr/7369","成分/Na/ZBN_CMN_20030604_wpr/7369",1
"材料/Na/ZBN_CMN_20030427_wpr/55340","材料/Na/ZBN_CMN_20030427_wpr/55340",1
"材料/Na/ZBN_CMN_20030408_wpr/70731","材料/Na/ZBN_CMN_20030408_wpr/70731",1
"成分/Na/ZBN_CMN_20030422_wpr/279","成分/Na/ZBN_CMN_20030422_wpr/279",1
"成分/Na/XIN_CMN_20030609_wpr/73472","成分/Na/XIN_CMN_20030609_wpr/73472",1
"成分/Na/XIN_CMN_20010105_wpr/59317","成分/Na/XIN_CMN_20010105_wpr/59317",1
"成份/Na/XIN_CMN_20030619_wpr/62763","成份/Na/XIN_CMN_20030619_wpr/62763",1
"成分/Na/XIN_CMN_20030607_wpr/28336","成分/Na/XIN_CMN_20030607_wpr/28336",1
"成分/Na/XIN_CMN_20030614_wpr/1698","成分/Na/XIN_CMN_20030614_wpr/1698",1
"成分/Na/CNA_CMN_20001130_wpr/165307","成分/Na/CNA_CMN_20001130_wpr/165307",1
"成分/Na/CNA_CMN_20001208_wpr/14152","成分/Na/CNA_CMN_20001208_wpr/14152",1
"成分/Na/ZBN_CMN_20001203_wpr/4041","成分/Na/ZBN_CMN_20001203_wpr/4041",1
"成分/Na/XIN_CMN_20030806_wpr/926","成分/Na/XIN_CMN_20030806_wpr/926",1
"成份/Na/CNA_CMN_20001124_wpr/19520","成份/Na/CNA_CMN_20001124_wpr/19520",1
"成分/Na/CNA_CMN_20030711_wpr/6836","成分/Na/CNA_CMN_20030711_wpr/6836",1
"成分/Na/ZBN_CMN_20030703_wpr/56111","成分/Na/ZBN_CMN_20030703_wpr/56111",1
"成分/Na/ZBN_CMN_20030711_wpr/10346","成分/Na/ZBN_CMN_20030711_wpr/10346",1
"成分/Na/ZBN_CMN_20030528_wpr/7312","成分/Na/ZBN_CMN_20030528_wpr/7312",1
"成分/Na/ZBN_CMN_20030623_wpr/31922","成分/Na/ZBN_CMN_20030623_wpr/31922",1
"成份/Na/ZBN_CMN_20030705_wpr/21141","成份/Na/ZBN_CMN_20030705_wpr/21141",1
"成分/Na/ZBN_CMN_20030603_wpr/22878","成分/Na/ZBN_CMN_20030603_wpr/22878",1
"成分/Na/XIN_CMN_20001112_wpr/63684","成分/Na/XIN_CMN_20001112_wpr/63684",1
"成分/Na/XIN_CMN_20030822_wpr/62893","成分/Na/XIN_CMN_20030822_wpr/62893",1
"成分/Na/CNA_CMN_20010113_wpr/21881","成分/Na/CNA_CMN_20010113_wpr/21881",1
"成份/Na/CNA_CMN_20001108_wpr/39163","成份/Na/CNA_CMN_20001108_wpr/39163",1
"成份/Na/CNA_CMN_20001020_wpr/151220","成份/Na/CNA_CMN_20001020_wpr/151220",1
"成分/Na/ZBN_CMN_20030927_wpr/52919","成分/Na/ZBN_CMN_20030927_wpr/52919",1
"成分/Na/ZBN_CMN_20030924_wpr/63379","成分/Na/ZBN_CMN_20030924_wpr/63379",1
"成分/Na/XIN_CMN_20030908_wpr/8607","成分/Na/XIN_CMN_20030908_wpr/8607",1
"材料/Na/ZBN_CMN_20030926_wpr/7723","材料/Na/ZBN_CMN_20030926_wpr/7723",1
"材料/Na/CNA_CMN_20001221_wpr/164453","材料/Na/CNA_CMN_20001221_wpr/164453",1
"成分/Na/XIN_CMN_20030517_wpr/59919","成分/Na/XIN_CMN_20030517_wpr/59919",1
"成分/Na/CNA_CMN_20001109_wpr/141949","成分/Na/CNA_CMN_20001109_wpr/141949",1
"成份/Na/CNA_CMN_20001130_wpr/9614","成份/Na/CNA_CMN_20001130_wpr/9614",1
"成份/Na/XIN_CMN_20030827_wpr/12637","成份/Na/XIN_CMN_20030827_wpr/12637",1
"成分/Na/CNA_CMN_20001118_wpr/53448","成分/Na/CNA_CMN_20001118_wpr/53448",1
"成分/Na/ZBN_CMN_20030508_wpr/82974","成分/Na/ZBN_CMN_20030508_wpr/82974",1
"成分/Na/CNA_CMN_20001030_wpr/24439","成分/Na/CNA_CMN_20001030_wpr/24439",1
"成分/Na/XIN_CMN_20001025_wpr/65305","成分/Na/XIN_CMN_20001025_wpr/65305",1
"成分/Na/XIN_CMN_20001211_wpr/29355","成分/Na/XIN_CMN_20001211_wpr/29355",1
"成分/Na/ZBN_CMN_20030526_wpr/10377","成分/Na/ZBN_CMN_20030526_wpr/10377",1
"成分/Na/ZBN_CMN_20030918_wpr/69208","成分/Na/ZBN_CMN_20030918_wpr/69208",1
"成分/Na/XIN_CMN_20010115_wpr/76686","成分/Na/XIN_CMN_20010115_wpr/76686",1
"成分/Na/CNA_CMN_20001228_wpr/135112","成分/Na/CNA_CMN_20001228_wpr/135112",1
"成分/Na/XIN_CMN_20030704_wpr/9886","成分/Na/XIN_CMN_20030704_wpr/9886",1
"成分/Na/XIN_CMN_20030607_wpr/28380","成分/Na/XIN_CMN_20030607_wpr/28380",1
"成分/Na/ZBN_CMN_20030906_wpr/117183","成分/Na/ZBN_CMN_20030906_wpr/117183",1
"成分/Na/XIN_CMN_20010131_wpr/60638","成分/Na/XIN_CMN_20010131_wpr/60638",1
"成分/Na/ZBN_CMN_20030405_wpr/33764","成分/Na/ZBN_CMN_20030405_wpr/33764",1
"材料/Na/XIN_CMN_20030918_wpr/28099","材料/Na/XIN_CMN_20030918_wpr/28099",1
"成分/Na/ZBN_CMN_20030903_wpr/10319","成分/Na/ZBN_CMN_20030903_wpr/10319",1
"成分/Na/XIN_CMN_20001217_wpr/36104","成分/Na/XIN_CMN_20001217_wpr/36104",1
"原料/Na/XIN_CMN_20030415_wpr/7336","原料/Na/XIN_CMN_20030415_wpr/7336",1
"成分/Na/CNA_CMN_20010105_wpr/48045","成分/Na/CNA_CMN_20010105_wpr/48045",1
"成分/Na/XIN_CMN_20030524_wpr/62471","成分/Na/XIN_CMN_20030524_wpr/62471",1
"成分/Na/XIN_CMN_20030518_wpr/1430","成分/Na/XIN_CMN_20030518_wpr/1430",1
"成分/Na/XIN_CMN_20030518_wpr/245","成分/Na/XIN_CMN_20030518_wpr/245",1
"成份/Na/XIN_CMN_20030825_wpr/41104","成份/Na/XIN_CMN_20030825_wpr/41104",1
"成分/Na/ZBN_CMN_20010107_wpr/27546","成分/Na/ZBN_CMN_20010107_wpr/27546",1
"成分/Na/XIN_CMN_20030801_wpr/73419","成分/Na/XIN_CMN_20030801_wpr/73419",1
"成份/Na/CNA_CMN_20010106_wpr/81195","成份/Na/CNA_CMN_20010106_wpr/81195",1
"材料/Na/XIN_CMN_20030715_wpr/25319","材料/Na/XIN_CMN_20030715_wpr/25319",2
"材料/Na/XIN_CMN_20030826_wpr/90144","材料/Na/XIN_CMN_20030826_wpr/90144",2
"材料/Na/XIN_CMN_20001104_wpr/17593","材料/Na/XIN_CMN_20001104_wpr/17593",2
"材料/Na/XIN_CMN_20030621_wpr/36557","材料/Na/XIN_CMN_20030621_wpr/36557",2
"材料/Na/XIN_CMN_20030531_wpr/31","材料/Na/XIN_CMN_20030531_wpr/31",2
"材料/Na/XIN_CMN_20030804_wpr/3803","材料/Na/XIN_CMN_20030804_wpr/3803",2
"材料/Na/XIN_CMN_20001128_wpr/66516","材料/Na/XIN_CMN_20001128_wpr/66516",2
"材料/Na/XIN_CMN_20030422_wpr/68957","材料/Na/XIN_CMN_20030422_wpr/68957",2
"材料/Na/XIN_CMN_20030404_wpr/87264","材料/Na/XIN_CMN_20030404_wpr/87264",2
"材料/Na/XIN_CMN_20030409_wpr/96508","材料/Na/XIN_CMN_20030409_wpr/96508",2
"材料/Na/XIN_CMN_20001105_wpr/13818","材料/Na/XIN_CMN_20001105_wpr/13818",2
"材料/Na/XIN_CMN_20001108_wpr/22269","材料/Na/XIN_CMN_20001108_wpr/22269",2
"材料/Na/XIN_CMN_20001231_wpr/10254","材料/Na/XIN_CMN_20001231_wpr/10254",2
"材料/Na/ZBN_CMN_20030825_wpr/62569","材料/Na/ZBN_CMN_20030825_wpr/62569",2
"材料/Na/XIN_CMN_20030603_wpr/557","材料/Na/XIN_CMN_20030603_wpr/557",2
