"cluster"	"sigcol"
"3"	"当局"
"3"	"採取"
"3"	"严密"
"3"	"防范"
"3"	"迅速"
"3"	"採取"
"3"	"各"
"3"	"种"
"3"	"断然"
"3"	"政府"
"3"	"应变"
"3"	"措施"
"3"	"採取"
"3"	"政府"
"3"	"立即"
"3"	"祭出"
"3"	"多"
"3"	"项"
"3"	"护盘"
"3"	"挽回"
"3"	"股市"
"3"	"跌幅"
"3"	"限制"
"3"	"不须"
"3"	"採行"
"3"	"暂停"
"3"	"合理"
"3"	"王庆丰"
"3"	"相关"
"3"	"奖励"
"3"	"适度"
"3"	"放宽"
"4"	"缩短"
"4"	"工时"
"4"	"配套"
"4"	"实施"
"4"	"实施"
"4"	"血性"
"4"	"治标"
"4"	"不治本"
"4"	"具体"
"4"	"财经"
"4"	"政策"
"4"	"脱钩"
"4"	"等"
"4"	"因应"
"4"	"配套"
"4"	"执行"
"4"	"缩短"
"3"	"管理"
"3"	"相关"
"3"	"后续"
"3"	"成效"
"4"	"限制性"
"4"	"调节性"
"3"	"採取"
"3"	"包括"
"3"	"高利率"
"3"	"可行"
"3"	"措施"
"3"	"不尽然"
"3"	"短期性"
"3"	"当局"
"3"	"项"
"3"	"採取"
"3"	"管制"
"3"	"限时"
"3"	"等"
"3"	"大陆人民"
"4"	"有效"
"4"	"政府"
"4"	"推行"
"4"	"各"
"4"	"项"
"3"	"李雪津"
"3"	"项"
"4"	"改革"
"4"	"数据证"
"3"	"採取"
"3"	"必要"
"3"	"救助"
"3"	"採取"
"3"	"措施"
"3"	"了无"
"4"	"财经"
"4"	"妥适"
"4"	"钟荣吉"
"3"	"促进"
"3"	"就业"
"3"	"订定"
"3"	"就业"
"4"	"配套"
"4"	"等"
"4"	"完善"
"4"	"配套"
"4"	"实施"
"4"	"财政部"
"4"	"通汇"
"4"	"配套"
"4"	"尽速"
"3"	"宣佈"
"3"	"採取"
"3"	"严厉"
"3"	"对付"
"3"	"政府"
"3"	"各"
"3"	"项"
"3"	"予以"
"3"	"配合"
"3"	"助"
"3"	"政府"
"3"	"加强"
"3"	"执行"
"3"	"节水"
"3"	"节省"
"3"	"卫生"
"3"	"宣佈"
"3"	"种"
"3"	"预防性"
"3"	"及早"
"3"	"因应"
"3"	"政府"
"3"	"加强"
"3"	"相关"
"3"	"上述"
"3"	"强化"
"3"	"採取"
"3"	"相关"
"3"	"避免"
"3"	"限制"
"3"	"缩小"
"3"	"百分之三点五"
"3"	"短期"
"3"	"措施"
"3"	"项"
"3"	"推动"
"3"	"採取"
"3"	"务实"
"3"	"套"
"3"	"旅客"
"3"	"安心"
"3"	"无功而返"
"3"	"旅客"
"3"	"出入境"
"3"	"严厉"
"3"	"香菸"
"3"	"管制"
"3"	"实施"
"4"	"各"
"4"	"因应"
"3"	"各"
"3"	"加强"
"3"	"落实"
"3"	"各"
"3"	"项"
"3"	"防制"
"3"	"洗钱"
"3"	"防止"
"3"	"调整"
"3"	"补助"
"3"	"重建区"
"3"	"休假"
"3"	"限定"
"3"	"改善"
"4"	"等"
"4"	"相关"
"4"	"研商"
"4"	"相关"
"4"	"配套"
"3"	"解除"
"3"	"制"
"3"	"项"
"3"	"措施"
"3"	"採取"
"3"	"停电"
"3"	"达比"
"3"	"机场"
"3"	"採取"
"3"	"必要"
"3"	"旅客"
"3"	"强制"
"3"	"隔离"
"3"	"旅客"
"3"	"彻底"
"3"	"隔离"
"3"	"使"
"3"	"知难而退"
"3"	"重大"
"4"	"立即"
"4"	"防范"
"4"	"宣导"
"4"	"紧急"
"4"	"应变"
"3"	"适用"
"3"	"入境"
"3"	"管制"
"3"	"隔离"
"4"	"过渡"
"3"	"项"
"3"	"确信"
"3"	"有助于"
"4"	"这些"
"4"	"这些"
"4"	"包括"
"3"	"合理"
"3"	"收费"
"3"	"这些"
"3"	"有力"
"3"	"促进"
"3"	"采"
"3"	"取"
"3"	"控制"
"4"	"积极"
"4"	"这些"
"3"	"政府"
"3"	"推动"
"3"	"重要"
"3"	"保护"
"1"	"政府"
"1"	"采取"
"1"	"果断"
"1"	"哈拉"
"4"	"具体"
"4"	"政策"
"4"	"制定"
"3"	"这些"
"3"	"一方面"
"3"	"维"
"3"	"护"
"3"	"保护"
"4"	"重大"
"4"	"改革"
"4"	"出台"
"4"	"制"
"3"	"项"
"3"	"阶段性"
"3"	"制定出"
"3"	"项"
"3"	"落实"
"3"	"一些"
"3"	"保护"
"3"	"安全"
"3"	"可行"
"3"	"如"
"3"	"禁止"
"3"	"防"
"3"	"范"
"3"	"控制"
"3"	"项"
"3"	"重大"
"3"	"积极"
"3"	"信贷"
"4"	"供水"
"4"	"等"
"4"	"促"
"4"	"使"
"4"	"各"
"4"	"例如"
"1"	"采取"
"1"	"系"
"1"	"列强"
"1"	"监管"
"1"	"加强"
"1"	"监管"
"1"	"逐步"
"1"	"进口"
"1"	"采取"
"1"	"有效"
"1"	"积极"
"1"	"采取"
"1"	"各"
"1"	"实行"
"1"	"促进"
"1"	"鼓励"
"4"	"系列"
"4"	"保护"
"4"	"确保"
"1"	"采取"
"1"	"各"
"1"	"种"
"1"	"使"
"4"	"国有企业"
"4"	"改革"
"4"	"重要"
"4"	"改革"
"4"	"促进"
"3"	"落实生"
"3"	"保护"
"3"	"避免"
"4"	"供电"
"4"	"紧急"
"4"	"停电"
"4"	"包括"
"4"	"幼儿园"
"4"	"等"
"1"	"采取"
"1"	"有效"
"1"	"坚决"
"1"	"制止"
"1"	"确保"
"1"	"安全"
"1"	"采取"
"1"	"有力"
"1"	"切实"
"1"	"消除"
"1"	"隐患"
"1"	"确保"
"1"	"万无一失"
"4"	"积极"
"4"	"多"
"4"	"种"
"4"	"政策"
"4"	"鼓励人"
"4"	"使"
"3"	"干预"
"3"	"效果"
"3"	"防治"
"3"	"降低"
"3"	"高发"
"3"	"发病率"
"3"	"项"
"3"	"政策"
"3"	"国有企业"
"3"	"管理"
"4"	"采取"
"4"	"系列"
"4"	"推行"
"4"	"节约"
"4"	"大力"
"4"	"逐步"
"3"	"项"
"1"	"改革"
"1"	"采取"
"1"	"必要"
"1"	"配套"
"1"	"改革"
"4"	"落实"
"4"	"奖励"
"4"	"等"
"4"	"系列"
"4"	"进一步"
"4"	"扩"
"4"	"打击力"
"3"	"各"
"3"	"环节"
"3"	"严格"
"3"	"规范"
"3"	"消毒"
"3"	"隔离"
"3"	"严"
"1"	"各"
"1"	"采取"
"1"	"防"
"1"	"非典型"
"1"	"肺炎"
"1"	"扩散"
"1"	"避免"
"3"	"等"
"3"	"检查"
"3"	"落实"
"3"	"进一步"
"3"	"加强"
"3"	"非典"
"3"	"预防"
