"","tokenlabel","cluster"
"飞弹/Na/CNA_CMN_20030504_wpr/6772","飞弹/Na/CNA_CMN_20030504_wpr/6772",1
"飞弹/Na/CNA_CMN_20030504_wpr/6761","飞弹/Na/CNA_CMN_20030504_wpr/6761",1
"导弹/Na/ZBN_CMN_20001224_wpr/11491","导弹/Na/ZBN_CMN_20001224_wpr/11491",1
"飞弹/Na/CNA_CMN_20001226_wpr/72062","飞弹/Na/CNA_CMN_20001226_wpr/72062",1
"飞弹/Na/CNA_CMN_20001002_wpr/88746","飞弹/Na/CNA_CMN_20001002_wpr/88746",1
"飞弹/Na/CNA_CMN_20001220_wpr/12385","飞弹/Na/CNA_CMN_20001220_wpr/12385",1
"飞弹/Na/CNA_CMN_20001221_wpr/158499","飞弹/Na/CNA_CMN_20001221_wpr/158499",1
"导弹/Na/XIN_CMN_20030619_wpr/850","导弹/Na/XIN_CMN_20030619_wpr/850",1
"飞弹/Na/CNA_CMN_20001217_wpr/5410","飞弹/Na/CNA_CMN_20001217_wpr/5410",1
"导弹/Na/XIN_CMN_20010112_wpr/38027","导弹/Na/XIN_CMN_20010112_wpr/38027",1
"飞弹/Na/CNA_CMN_20001104_wpr/6156","飞弹/Na/CNA_CMN_20001104_wpr/6156",1
"导弹/Na/XIN_CMN_20030521_wpr/60252","导弹/Na/XIN_CMN_20030521_wpr/60252",1
"飞弹/Na/CNA_CMN_20001222_wpr/1142","飞弹/Na/CNA_CMN_20001222_wpr/1142",1
"飞弹/Na/CNA_CMN_20001026_wpr/1691","飞弹/Na/CNA_CMN_20001026_wpr/1691",1
"飞弹/Na/CNA_CMN_20030913_wpr/9477","飞弹/Na/CNA_CMN_20030913_wpr/9477",1
"飞弹/Na/CNA_CMN_20030622_wpr/3212","飞弹/Na/CNA_CMN_20030622_wpr/3212",1
"导弹/Na/ZBN_CMN_20001028_wpr/33579","导弹/Na/ZBN_CMN_20001028_wpr/33579",1
"飞弹/Na/CNA_CMN_20001224_wpr/14737","飞弹/Na/CNA_CMN_20001224_wpr/14737",1
"飞弹/Na/CNA_CMN_20010119_wpr/21875","飞弹/Na/CNA_CMN_20010119_wpr/21875",1
"飞弹/Na/CNA_CMN_20010120_wpr/125574","飞弹/Na/CNA_CMN_20010120_wpr/125574",1
"导弹/Na/ZBN_CMN_20001023_wpr/298","导弹/Na/ZBN_CMN_20001023_wpr/298",1
"飞弹/Na/CNA_CMN_20001020_wpr/7301","飞弹/Na/CNA_CMN_20001020_wpr/7301",1
"导弹/Na/ZBN_CMN_20001221_wpr/4406","导弹/Na/ZBN_CMN_20001221_wpr/4406",1
"导弹/Na/ZBN_CMN_20001229_wpr/1612","导弹/Na/ZBN_CMN_20001229_wpr/1612",1
"飞弹/Na/CNA_CMN_20001123_wpr/26271","飞弹/Na/CNA_CMN_20001123_wpr/26271",1
"飞弹/Na/CNA_CMN_20001108_wpr/70314","飞弹/Na/CNA_CMN_20001108_wpr/70314",1
"导弹/Na/ZBN_CMN_20001018_wpr/24092","导弹/Na/ZBN_CMN_20001018_wpr/24092",1
"导弹/Na/XIN_CMN_20001219_wpr/69866","导弹/Na/XIN_CMN_20001219_wpr/69866",1
"导弹/Na/ZBN_CMN_20001026_wpr/35528","导弹/Na/ZBN_CMN_20001026_wpr/35528",1
"导弹/Na/ZBN_CMN_20001225_wpr/24035","导弹/Na/ZBN_CMN_20001225_wpr/24035",1
"导弹/Na/CNA_CMN_20001016_wpr/53766","导弹/Na/CNA_CMN_20001016_wpr/53766",1
"导弹/Na/CNA_CMN_20001016_wpr/54172","导弹/Na/CNA_CMN_20001016_wpr/54172",1
"导弹/Na/ZBN_CMN_20001017_wpr/10231","导弹/Na/ZBN_CMN_20001017_wpr/10231",1
"飞弹/Na/CNA_CMN_20001103_wpr/63984","飞弹/Na/CNA_CMN_20001103_wpr/63984",1
"飞弹/Na/CNA_CMN_20001012_wpr/9504","飞弹/Na/CNA_CMN_20001012_wpr/9504",1
"飞弹/Na/CNA_CMN_20001214_wpr/103562","飞弹/Na/CNA_CMN_20001214_wpr/103562",1
"飞弹/Na/CNA_CMN_20001223_wpr/17227","飞弹/Na/CNA_CMN_20001223_wpr/17227",1
"飞弹/Na/CNA_CMN_20001220_wpr/12368","飞弹/Na/CNA_CMN_20001220_wpr/12368",1
"导弹/Na/CNA_CMN_20001102_wpr/116463","导弹/Na/CNA_CMN_20001102_wpr/116463",1
"飞弹/Na/CNA_CMN_20001214_wpr/103585","飞弹/Na/CNA_CMN_20001214_wpr/103585",1
"导弹/Na/XIN_CMN_20030916_wpr/20996","导弹/Na/XIN_CMN_20030916_wpr/20996",1
"飞弹/Na/CNA_CMN_20001207_wpr/16635","飞弹/Na/CNA_CMN_20001207_wpr/16635",1
"飞弹/Na/CNA_CMN_20001224_wpr/14884","飞弹/Na/CNA_CMN_20001224_wpr/14884",1
"导弹/Na/ZBN_CMN_20010128_wpr/17004","导弹/Na/ZBN_CMN_20010128_wpr/17004",1
"飞弹/Na/CNA_CMN_20010112_wpr/78457","飞弹/Na/CNA_CMN_20010112_wpr/78457",1
"导弹/Na/XIN_CMN_20001221_wpr/83243","导弹/Na/XIN_CMN_20001221_wpr/83243",1
"导弹/Na/CNA_CMN_20001004_wpr/27021","导弹/Na/CNA_CMN_20001004_wpr/27021",1
"导弹/Na/XIN_CMN_20001221_wpr/83340","导弹/Na/XIN_CMN_20001221_wpr/83340",1
"导弹/Na/XIN_CMN_20001017_wpr/58758","导弹/Na/XIN_CMN_20001017_wpr/58758",1
"导弹/Na/XIN_CMN_20030601_wpr/33297","导弹/Na/XIN_CMN_20030601_wpr/33297",1
"导弹/Na/ZBN_CMN_20010115_wpr/4552","导弹/Na/ZBN_CMN_20010115_wpr/4552",1
"导弹/Na/XIN_CMN_20010118_wpr/57384","导弹/Na/XIN_CMN_20010118_wpr/57384",1
"飞弹/Na/CNA_CMN_20010120_wpr/127206","飞弹/Na/CNA_CMN_20010120_wpr/127206",1
"飞弹/Na/CNA_CMN_20001214_wpr/163425","飞弹/Na/CNA_CMN_20001214_wpr/163425",1
"飞弹/Na/CNA_CMN_20001229_wpr/112479","飞弹/Na/CNA_CMN_20001229_wpr/112479",1
"飞弹/Na/CNA_CMN_20010109_wpr/8210","飞弹/Na/CNA_CMN_20010109_wpr/8210",1
"飞弹/Na/CNA_CMN_20010108_wpr/33692","飞弹/Na/CNA_CMN_20010108_wpr/33692",1
"飞弹/Na/CNA_CMN_20001216_wpr/96534","飞弹/Na/CNA_CMN_20001216_wpr/96534",1
"导弹/Na/ZBN_CMN_20001231_wpr/1717","导弹/Na/ZBN_CMN_20001231_wpr/1717",1
"导弹/Na/ZBN_CMN_20010115_wpr/4581","导弹/Na/ZBN_CMN_20010115_wpr/4581",1
"导弹/Na/XIN_CMN_20030926_wpr/20319","导弹/Na/XIN_CMN_20030926_wpr/20319",1
"飞弹/Na/CNA_CMN_20001108_wpr/71771","飞弹/Na/CNA_CMN_20001108_wpr/71771",1
"飞弹/Na/CNA_CMN_20001230_wpr/68436","飞弹/Na/CNA_CMN_20001230_wpr/68436",1
"导弹/Na/ZBN_CMN_20010113_wpr/6091","导弹/Na/ZBN_CMN_20010113_wpr/6091",1
"飞弹/Na/CNA_CMN_20001217_wpr/2885","飞弹/Na/CNA_CMN_20001217_wpr/2885",1
"导弹/Na/ZBN_CMN_20001219_wpr/8320","导弹/Na/ZBN_CMN_20001219_wpr/8320",1
"飞弹/Na/CNA_CMN_20010111_wpr/18928","飞弹/Na/CNA_CMN_20010111_wpr/18928",1
"飞弹/Na/CNA_CMN_20001223_wpr/27704","飞弹/Na/CNA_CMN_20001223_wpr/27704",1
"导弹/Na/ZBN_CMN_20001229_wpr/6262","导弹/Na/ZBN_CMN_20001229_wpr/6262",1
"导弹/Na/ZBN_CMN_20001028_wpr/33608","导弹/Na/ZBN_CMN_20001028_wpr/33608",1
"导弹/Na/ZBN_CMN_20001111_wpr/7927","导弹/Na/ZBN_CMN_20001111_wpr/7927",1
"导弹/Na/ZBN_CMN_20001229_wpr/1583","导弹/Na/ZBN_CMN_20001229_wpr/1583",1
"导弹/Na/XIN_CMN_20030813_wpr/55535","导弹/Na/XIN_CMN_20030813_wpr/55535",1
"导弹/Na/XIN_CMN_20010127_wpr/25873","导弹/Na/XIN_CMN_20010127_wpr/25873",1
"导弹/Na/CNA_CMN_20010122_wpr/51076","导弹/Na/CNA_CMN_20010122_wpr/51076",1
"导弹/Na/XIN_CMN_20001223_wpr/22979","导弹/Na/XIN_CMN_20001223_wpr/22979",1
"导弹/Na/XIN_CMN_20010129_wpr/19217","导弹/Na/XIN_CMN_20010129_wpr/19217",1
"导弹/Na/XIN_CMN_20001017_wpr/12665","导弹/Na/XIN_CMN_20001017_wpr/12665",1
"飞弹/Na/CNA_CMN_20001014_wpr/2947","飞弹/Na/CNA_CMN_20001014_wpr/2947",1
"飞弹/Na/CNA_CMN_20001017_wpr/22122","飞弹/Na/CNA_CMN_20001017_wpr/22122",1
"飞弹/Na/CNA_CMN_20001218_wpr/11815","飞弹/Na/CNA_CMN_20001218_wpr/11815",1
"飞弹/Na/CNA_CMN_20030814_wpr/2341","飞弹/Na/CNA_CMN_20030814_wpr/2341",1
"飞弹/Na/CNA_CMN_20010115_wpr/671","飞弹/Na/CNA_CMN_20010115_wpr/671",1
"导弹/Na/ZBN_CMN_20001216_wpr/8895","导弹/Na/ZBN_CMN_20001216_wpr/8895",1
"飞弹/Na/CNA_CMN_20001017_wpr/72313","飞弹/Na/CNA_CMN_20001017_wpr/72313",1
"飞弹/Na/CNA_CMN_20001215_wpr/138922","飞弹/Na/CNA_CMN_20001215_wpr/138922",1
"导弹/Na/ZBN_CMN_20010127_wpr/3770","导弹/Na/ZBN_CMN_20010127_wpr/3770",1
"飞弹/Na/CNA_CMN_20010121_wpr/58402","飞弹/Na/CNA_CMN_20010121_wpr/58402",1
