"cluster"	"sigcol"
"5"	"价格"
"5"	"作为"
"5"	"世界"
"5"	"欧元"
"5"	"疲弱"
"5"	"货币"
"5"	"发难"
"5"	"出现"
"5"	"其它"
"5"	"连环"
"5"	"贬值"
"5"	"骨牌"
"5"	"干预"
"3"	"动用"
"3"	"强力"
"3"	"拆"
"3"	"机构"
"3"	"观察"
"5"	"欧元"
"5"	"新兴"
"5"	"本身"
"1"	"扩张"
"1"	"国际"
"1"	"基金会"
"1"	"明年"
"3"	"调节"
"3"	"供给额"
"3"	"M2"
"3"	"成长"
"3"	"维持"
"3"	"原订"
"3"	"全球"
"3"	"裕"
"3"	"跌"
"3"	"披索"
"3"	"维持"
"3"	"披索"
"3"	"稳定"
"3"	"市场"
"3"	"干预"
"1"	"成长"
"1"	"远景"
"1"	"891006"
"1"	"国际"
"1"	"基金会"
"1"	"印尼"
"1"	"展延"
"1"	"银行"
"5"	"升"
"5"	"日圆"
"5"	"兑"
"5"	"美元"
"5"	"亚洲"
"5"	"主要"
"5"	"受"
"5"	"此"
"5"	"激"
"5"	"励"
"5"	"普遍"
"5"	"挺升"
"5"	"外汇"
"5"	"交易商"
"5"	"升"
"5"	"日圆"
"5"	"兑"
"5"	"美元"
"5"	"亚洲"
"5"	"主要"
"5"	"受"
"5"	"此"
"5"	"激"
"5"	"励"
"5"	"普遍"
"5"	"坚挺"
"5"	"外汇"
"5"	"交易商"
"1"	"全球"
"1"	"根据"
"1"	"国际"
"1"	"基金"
"1"	"IMF"
"2"	"美元"
"2"	"做为"
"2"	"交易"
"2"	"工具"
"2"	"财政"
"2"	"委员会"
"2"	"委员会"
"2"	"央行"
"2"	"理当"
"2"	"营造"
"2"	"宽松"
"2"	"政策"
"2"	"调降"
"2"	"利率"
"5"	"日圆"
"5"	"兑"
"5"	"美元"
"5"	"亚洲"
"5"	"主要"
"5"	"普遍"
"5"	"走强"
"5"	"外汇"
"5"	"交易商"
"5"	"分析"
"4"	"欧"
"4"	"洲"
"4"	"国"
"4"	"兑换"
"1"	"达成"
"1"	"成长"
"1"	"国际"
"1"	"基金会"
"1"	"油价"
"1"	"货币"
"1"	"疲弱"
"3"	"金融"
"3"	"日平均"
"3"	"供给"
"3"	"额"
"3"	"M1B"
"3"	"受"
"3"	"低迷"
"3"	"货币"
"3"	"机构"
"3"	"支票"
"3"	"存款"
"3"	"活期"
"3"	"存款"
"3"	"供给额"
"3"	"M1B"
"3"	"指"
"3"	"M1A"
"3"	"加上"
"3"	"营利"
