"","tokenlabel","cluster"
"新闻/Na/XIN_CMN_20010124_wpr/1818","新闻/Na/XIN_CMN_20010124_wpr/1818",1
"新闻/Na/XIN_CMN_20001122_wpr/32237","新闻/Na/XIN_CMN_20001122_wpr/32237",1
"新闻/Na/XIN_CMN_20001024_wpr/44411","新闻/Na/XIN_CMN_20001024_wpr/44411",1
"新闻/Na/XIN_CMN_20001213_wpr/36861","新闻/Na/XIN_CMN_20001213_wpr/36861",1
"新闻/Na/XIN_CMN_20001102_wpr/44289","新闻/Na/XIN_CMN_20001102_wpr/44289",1
"新闻/Na/XIN_CMN_20001103_wpr/41808","新闻/Na/XIN_CMN_20001103_wpr/41808",1
"新闻/Na/XIN_CMN_20001108_wpr/46379","新闻/Na/XIN_CMN_20001108_wpr/46379",1
"新闻/Na/XIN_CMN_20001116_wpr/19923","新闻/Na/XIN_CMN_20001116_wpr/19923",1
"新闻/Na/XIN_CMN_20001120_wpr/29499","新闻/Na/XIN_CMN_20001120_wpr/29499",1
"新闻/Na/XIN_CMN_20001008_wpr/33201","新闻/Na/XIN_CMN_20001008_wpr/33201",1
"新闻/Na/XIN_CMN_20010120_wpr/18116","新闻/Na/XIN_CMN_20010120_wpr/18116",1
"新闻/Na/XIN_CMN_20010103_wpr/3114","新闻/Na/XIN_CMN_20010103_wpr/3114",1
"新闻/Na/XIN_CMN_20010109_wpr/6711","新闻/Na/XIN_CMN_20010109_wpr/6711",1
"新闻/Na/XIN_CMN_20001219_wpr/7435","新闻/Na/XIN_CMN_20001219_wpr/7435",1
"新闻/Na/XIN_CMN_20010110_wpr/18065","新闻/Na/XIN_CMN_20010110_wpr/18065",1
"新闻/Na/XIN_CMN_20010106_wpr/9909","新闻/Na/XIN_CMN_20010106_wpr/9909",1
"新闻/Na/XIN_CMN_20010111_wpr/50283","新闻/Na/XIN_CMN_20010111_wpr/50283",1
"新闻/Na/XIN_CMN_20010126_wpr/11839","新闻/Na/XIN_CMN_20010126_wpr/11839",1
"新闻/Na/XIN_CMN_20001230_wpr/5041","新闻/Na/XIN_CMN_20001230_wpr/5041",1
"新闻/Na/XIN_CMN_20001017_wpr/42949","新闻/Na/XIN_CMN_20001017_wpr/42949",1
"新闻/Na/XIN_CMN_20001225_wpr/7648","新闻/Na/XIN_CMN_20001225_wpr/7648",1
"新闻/Na/XIN_CMN_20001213_wpr/19531","新闻/Na/XIN_CMN_20001213_wpr/19531",1
"新闻/Na/XIN_CMN_20001109_wpr/40403","新闻/Na/XIN_CMN_20001109_wpr/40403",1
"新闻/Na/XIN_CMN_20001121_wpr/10068","新闻/Na/XIN_CMN_20001121_wpr/10068",1
