"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"SumAbsDev"	"LargestDev"
"--"	0	0	1	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	-0.204	0.461	-0.024	-0.057	0.793	"3"
"﹐"	0	1	3	0	0	0.411	1.499	1.383	0.212	0.496	-0.188	-0.284	0.912	-0.095	-0.23	1.709	"3"
":"	0	4	27	0	0	3.186	11.614	10.714	1.644	3.841	-1.46	-2.603	8.663	-0.734	-1.781	15.241	"3"
"("	0	0	39	1	0	4.111	14.985	13.825	2.122	4.956	-1.884	-8.155	16.571	-0.436	-2.298	29.344	"3"
")"	0	1	42	0	0	4.419	16.109	14.862	2.281	5.328	-2.025	-7.339	17.924	-1.018	-2.47	30.776	"3"
"《"	43	0	3	0	0	4.728	17.233	15.899	2.44	5.7	38.445	-9.378	-5.065	-1.089	-2.643	56.62	"1"
"》"	42	0	3	0	0	4.625	16.859	15.553	2.387	5.576	37.486	-9.174	-4.909	-1.065	-2.585	55.219	"1"
"」"	0	4	4	1	1	1.028	3.746	3.456	0.53	1.239	-0.471	0.258	0.324	0.377	-0.192	1.622	"1"
"107"	0	0	1	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	-0.204	0.461	-0.024	-0.057	0.793	"3"
"10日"	0	0	1	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	-0.204	0.461	-0.024	-0.057	0.793	"3"
"140"	0	1	0	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	0.426	-0.184	-0.024	-0.057	0.738	"2"
"14日"	0	0	1	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	-0.204	0.461	-0.024	-0.057	0.793	"3"
"17日电"	0	0	1	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	-0.204	0.461	-0.024	-0.057	0.793	"3"
"19日"	0	0	1	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	-0.204	0.461	-0.024	-0.057	0.793	"3"
"2000年"	0	1	0	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	0.426	-0.184	-0.024	-0.057	0.738	"2"
"2002年"	0	0	2	0	0	0.206	0.749	0.691	0.106	0.248	-0.094	-0.408	0.923	-0.047	-0.115	1.587	"3"
"22日"	0	0	1	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	-0.204	0.461	-0.024	-0.057	0.793	"3"
"24"	1	0	0	0	1	0.206	0.749	0.691	0.106	0.248	0.71	-0.408	-0.368	-0.047	0.634	2.167	"1"
"26日"	0	0	1	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	-0.204	0.461	-0.024	-0.057	0.793	"3"
"27"	0	0	0	0	1	0.103	0.375	0.346	0.053	0.124	-0.047	-0.204	-0.184	-0.024	0.907	1.366	"5"
"27日电"	0	0	1	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	-0.204	0.461	-0.024	-0.057	0.793	"3"
"28"	0	0	0	0	1	0.103	0.375	0.346	0.053	0.124	-0.047	-0.204	-0.184	-0.024	0.907	1.366	"5"
"29"	0	0	0	0	1	0.103	0.375	0.346	0.053	0.124	-0.047	-0.204	-0.184	-0.024	0.907	1.366	"5"
"29日"	0	1	0	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	0.426	-0.184	-0.024	-0.057	0.738	"2"
"2日"	0	0	1	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	-0.204	0.461	-0.024	-0.057	0.793	"3"
"3时"	0	1	0	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	0.426	-0.184	-0.024	-0.057	0.738	"2"
"6成"	0	0	1	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	-0.204	0.461	-0.024	-0.057	0.793	"3"
"6日"	0	0	2	0	0	0.206	0.749	0.691	0.106	0.248	-0.094	-0.408	0.923	-0.047	-0.115	1.587	"3"
"7月"	0	0	2	0	0	0.206	0.749	0.691	0.106	0.248	-0.094	-0.408	0.923	-0.047	-0.115	1.587	"3"
"891016"	0	1	0	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	0.426	-0.184	-0.024	-0.057	0.738	"2"
"891110"	0	0	0	1	0	0.103	0.375	0.346	0.053	0.124	-0.047	-0.204	-0.184	1.275	-0.057	1.767	"4"
"891118"	0	0	1	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	-0.204	0.461	-0.024	-0.057	0.793	"3"
"891127"	0	1	0	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	0.426	-0.184	-0.024	-0.057	0.738	"2"
"891206"	0	0	1	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	-0.204	0.461	-0.024	-0.057	0.793	"3"
"891215"	0	0	1	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	-0.204	0.461	-0.024	-0.057	0.793	"3"
"ＣＮＮ"	0	0	1	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	-0.204	0.461	-0.024	-0.057	0.793	"3"
"DoCoMo"	0	0	0	0	1	0.103	0.375	0.346	0.053	0.124	-0.047	-0.204	-0.184	-0.024	0.907	1.366	"5"
"DU"	0	1	0	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	0.426	-0.184	-0.024	-0.057	0.738	"2"
"Handelsblatt"	1	0	0	0	0	0.103	0.375	0.346	0.053	0.124	0.988	-0.204	-0.184	-0.024	-0.057	1.457	"1"
"News"	0	1	0	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	0.426	-0.184	-0.024	-0.057	0.738	"2"
"NEWS"	0	1	0	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	0.426	-0.184	-0.024	-0.057	0.738	"2"
"POSTNET"	1	0	0	0	0	0.103	0.375	0.346	0.053	0.124	0.988	-0.204	-0.184	-0.024	-0.057	1.457	"1"
"PrensaEconomica"	0	0	1	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	-0.204	0.461	-0.024	-0.057	0.793	"3"
"Science"	0	1	0	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	0.426	-0.184	-0.024	-0.057	0.738	"2"
"SETN"	0	1	0	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	0.426	-0.184	-0.024	-0.057	0.738	"2"
"三十日"	0	0	1	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	-0.204	0.461	-0.024	-0.057	0.793	"3"
"上报"	0	0	1	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	-0.204	0.461	-0.024	-0.057	0.793	"3"
"上海"	0	0	2	0	0	0.206	0.749	0.691	0.106	0.248	-0.094	-0.408	0.923	-0.047	-0.115	1.587	"3"
"上海市"	0	1	0	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	0.426	-0.184	-0.024	-0.057	0.738	"2"
"上述"	1	1	1	0	0	0.308	1.124	1.037	0.159	0.372	0.556	-0.165	-0.14	-0.071	-0.172	1.104	"1"
"下调"	0	1	0	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	0.426	-0.184	-0.024	-0.057	0.738	"2"
"下院"	0	1	0	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	0.426	-0.184	-0.024	-0.057	0.738	"2"
"不利"	0	1	0	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	0.426	-0.184	-0.024	-0.057	0.738	"2"
"不和"	0	0	0	1	0	0.103	0.375	0.346	0.053	0.124	-0.047	-0.204	-0.184	1.275	-0.057	1.767	"4"
"不实"	0	3	0	0	0	0.308	1.124	1.037	0.159	0.372	-0.141	1.279	-0.553	-0.071	-0.172	2.216	"2"
"不幸"	0	2	0	0	0	0.206	0.749	0.691	0.106	0.248	-0.094	0.853	-0.368	-0.047	-0.115	1.477	"2"
"不明"	0	0	1	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	-0.204	0.461	-0.024	-0.057	0.793	"3"
"不符"	1	0	0	0	0	0.103	0.375	0.346	0.053	0.124	0.988	-0.204	-0.184	-0.024	-0.057	1.457	"1"
"丑闻"	0	1	0	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	0.426	-0.184	-0.024	-0.057	0.738	"2"
"专业"	0	1	0	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	0.426	-0.184	-0.024	-0.057	0.738	"2"
"专业报"	0	0	0	0	1	0.103	0.375	0.346	0.053	0.124	-0.047	-0.204	-0.184	-0.024	0.907	1.366	"5"
"专电"	0	2	0	0	1	0.308	1.124	1.037	0.159	0.372	-0.141	0.5	-0.553	-0.071	0.485	1.75	"3"
"专题"	0	0	1	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	-0.204	0.461	-0.024	-0.057	0.793	"3"
"世界"	0	0	2	0	0	0.206	0.749	0.691	0.106	0.248	-0.094	-0.408	0.923	-0.047	-0.115	1.587	"3"
"东京"	0	1	3	0	1	0.514	1.873	1.728	0.265	0.62	-0.235	-0.418	0.641	-0.118	0.315	1.727	"3"
"东方"	0	0	0	0	1	0.103	0.375	0.346	0.053	0.124	-0.047	-0.204	-0.184	-0.024	0.907	1.366	"5"
"东森"	0	0	0	1	0	0.103	0.375	0.346	0.053	0.124	-0.047	-0.204	-0.184	1.275	-0.057	1.767	"4"
"严重急"	0	0	1	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	-0.204	0.461	-0.024	-0.057	0.793	"3"
"中共"	0	0	8	1	0	0.925	3.372	3.111	0.477	1.115	-0.424	-1.835	2.896	0.411	-0.517	6.083	"3"
"中关村"	0	0	1	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	-0.204	0.461	-0.024	-0.057	0.793	"3"
"中南区"	0	0	0	0	1	0.103	0.375	0.346	0.053	0.124	-0.047	-0.204	-0.184	-0.024	0.907	1.366	"5"
"中国"	0	4	8	0	0	1.233	4.496	4.148	0.637	1.487	-0.565	-0.291	1.627	-0.284	-0.689	3.456	"3"
"中国日报"	1	0	0	1	0	0.206	0.749	0.691	0.106	0.248	0.71	-0.408	-0.368	0.986	-0.115	2.587	"4"
"中国时报"	2	0	0	0	0	0.206	0.749	0.691	0.106	0.248	1.976	-0.408	-0.368	-0.047	-0.115	2.914	"1"
