"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"SumAbsDev"	"LargestDev"
"--"	2	0	1	1	0	1.079	0.475	1.511	0.487	0.448	0.529	-0.22	-0.289	0.393	-0.206	1.637	"1"
"："	0	6	7	0	1	3.777	1.662	5.288	1.704	1.568	-1.912	2.445	0.604	-0.789	-0.28	6.03	"2"
"！"	0	2	2	0	0	1.079	0.475	1.511	0.487	0.448	-0.546	1.144	0.313	-0.225	-0.206	2.434	"2"
"？"	0	1	3	0	0	1.079	0.475	1.511	0.487	0.448	-0.546	0.401	0.811	-0.225	-0.206	2.189	"3"
"）"	0	7	6	2	4	5.127	2.256	7.177	2.312	2.128	-2.595	2.341	-0.418	-0.231	0.806	6.391	"1"
"《"	16	3	10	26	0	14.84	6.53	20.776	6.693	6.161	0.385	-1.021	-2.854	9.796	-2.838	16.894	"4"
"》"	15	3	7	29	0	14.57	6.411	20.398	6.572	6.049	0.302	-0.987	-4.282	12.657	-2.786	21.014	"4"
"／"	0	0	1	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	0.423	-0.056	-0.052	0.723	"3"
"106.09"	1	0	0	0	0	0.27	0.119	0.378	0.122	0.112	0.569	-0.055	-0.206	-0.056	-0.052	0.938	"1"
"10日电"	2	0	0	0	0	0.54	0.237	0.755	0.243	0.224	1.138	-0.11	-0.412	-0.113	-0.103	1.876	"1"
"12日电"	1	0	0	0	0	0.27	0.119	0.378	0.122	0.112	0.569	-0.055	-0.206	-0.056	-0.052	0.938	"1"
"1900年"	0	0	0	1	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	-0.206	0.915	-0.052	1.365	"4"
"1948年"	0	0	2	0	0	0.54	0.237	0.755	0.243	0.224	-0.273	-0.11	0.846	-0.113	-0.103	1.445	"3"
"1987年"	0	0	1	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	0.423	-0.056	-0.052	0.723	"3"
"19日"	1	0	1	0	0	0.54	0.237	0.755	0.243	0.224	0.331	-0.11	0.213	-0.113	-0.103	0.87	"1"
"200多"	0	0	0	0	1	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	-0.206	-0.056	0.951	1.405	"5"
"2100多"	0	0	0	0	1	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	-0.206	-0.056	0.951	1.405	"5"
"2200"	0	0	1	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	0.423	-0.056	-0.052	0.723	"3"
"28日电"	1	0	0	0	0	0.27	0.119	0.378	0.122	0.112	0.569	-0.055	-0.206	-0.056	-0.052	0.938	"1"
"29日"	1	0	0	0	0	0.27	0.119	0.378	0.122	0.112	0.569	-0.055	-0.206	-0.056	-0.052	0.938	"1"
"2日电"	1	0	0	0	0	0.27	0.119	0.378	0.122	0.112	0.569	-0.055	-0.206	-0.056	-0.052	0.938	"1"
"42"	0	1	0	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	0.925	-0.206	-0.056	-0.052	1.376	"2"
"4日"	1	0	1	0	0	0.54	0.237	0.755	0.243	0.224	0.331	-0.11	0.213	-0.113	-0.103	0.87	"1"
"4日电"	1	0	0	0	0	0.27	0.119	0.378	0.122	0.112	0.569	-0.055	-0.206	-0.056	-0.052	0.938	"1"
"500亿"	0	0	1	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	0.423	-0.056	-0.052	0.723	"3"
"50年代"	0	0	1	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	0.423	-0.056	-0.052	0.723	"3"
"5大"	0	0	0	1	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	-0.206	0.915	-0.052	1.365	"4"
"63％"	0	1	0	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	0.925	-0.206	-0.056	-0.052	1.376	"2"
"7.5"	0	0	1	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	0.423	-0.056	-0.052	0.723	"3"
