"Coll_Word"	"1"	"2"	"3"	"4"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"SumAbsDev"	"LargestDev"
"－－"	0	0	0	1	0.228	0.269	0.053	0.45	-0.112	-0.136	-0.024	0.347	0.619	"4"
"?"	0	0	2	1	0.684	0.808	0.159	1.35	-0.337	-0.409	2.089	-0.24	3.075	"3"
"■"	2	0	0	0	0.456	0.539	0.106	0.9	1.285	-0.272	-0.047	-0.519	2.123	"1"
"0213"	0	1	0	0	0.228	0.269	0.053	0.45	-0.112	0.57	-0.024	-0.26	0.966	"2"
"1亿8750万"	0	1	0	0	0.228	0.269	0.053	0.45	-0.112	0.57	-0.024	-0.26	0.966	"2"
"21分制"	0	1	0	0	0.228	0.269	0.053	0.45	-0.112	0.57	-0.024	-0.26	0.966	"2"
"32％"	0	0	0	1	0.228	0.269	0.053	0.45	-0.112	-0.136	-0.024	0.347	0.619	"4"
"37％"	1	0	0	0	0.228	0.269	0.053	0.45	0.642	-0.136	-0.024	-0.26	1.062	"1"
"50万"	0	1	0	0	0.228	0.269	0.053	0.45	-0.112	0.57	-0.024	-0.26	0.966	"2"
"60"	1	0	0	0	0.228	0.269	0.053	0.45	0.642	-0.136	-0.024	-0.26	1.062	"1"
"60％"	1	0	0	0	0.228	0.269	0.053	0.45	0.642	-0.136	-0.024	-0.26	1.062	"1"
"891004"	0	1	0	0	0.228	0.269	0.053	0.45	-0.112	0.57	-0.024	-0.26	0.966	"2"
"891112"	0	0	0	1	0.228	0.269	0.053	0.45	-0.112	-0.136	-0.024	0.347	0.619	"4"
"891124"	0	0	1	0	0.228	0.269	0.053	0.45	-0.112	-0.136	1.275	-0.26	1.783	"3"
"891220"	0	0	1	0	0.228	0.269	0.053	0.45	-0.112	-0.136	1.275	-0.26	1.783	"3"
"CHP"	0	2	0	0	0.456	0.539	0.106	0.9	-0.225	1.14	-0.047	-0.519	1.931	"2"
"CNN"	0	1	0	0	0.228	0.269	0.053	0.45	-0.112	0.57	-0.024	-0.26	0.966	"2"
"Planet"	0	0	0	1	0.228	0.269	0.053	0.45	-0.112	-0.136	-0.024	0.347	0.619	"4"
"Project"	0	0	0	1	0.228	0.269	0.053	0.45	-0.112	-0.136	-0.024	0.347	0.619	"4"
"一些"	0	7	0	0	1.595	1.885	0.371	3.149	-0.786	3.989	-0.166	-1.817	6.758	"2"
"一再"	1	0	0	0	0.228	0.269	0.053	0.45	0.642	-0.136	-0.024	-0.26	1.062	"1"
"一切"	0	0	0	2	0.456	0.539	0.106	0.9	-0.225	-0.272	-0.047	0.694	1.238	"4"
"一千八百亿"	0	1	0	0	0.228	0.269	0.053	0.45	-0.112	0.57	-0.024	-0.26	0.966	"2"
"一半"	1	0	0	2	0.684	0.808	0.159	1.35	0.268	-0.409	-0.071	0.372	1.12	"2"
"一方面"	0	1	0	1	0.456	0.539	0.106	0.9	-0.225	0.332	-0.047	0.157	0.761	"2"
"一日"	1	0	0	0	0.228	0.269	0.053	0.45	0.642	-0.136	-0.024	-0.26	1.062	"1"
"一时"	0	0	0	1	0.228	0.269	0.053	0.45	-0.112	-0.136	-0.024	0.347	0.619	"4"
"一胎化"	0	1	0	0	0.228	0.269	0.053	0.45	-0.112	0.57	-0.024	-0.26	0.966	"2"
"一致"	0	3	0	1	0.911	1.077	0.212	1.799	-0.449	1.205	-0.095	-0.408	2.157	"2"
"一面倒"	0	1	0	0	0.228	0.269	0.053	0.45	-0.112	0.57	-0.024	-0.26	0.966	"2"
"七成"	1	0	0	0	0.228	0.269	0.053	0.45	0.642	-0.136	-0.024	-0.26	1.062	"1"
"三党"	0	0	0	3	0.684	0.808	0.159	1.35	-0.337	-0.409	-0.071	1.041	1.858	"4"
"三分之二"	2	0	0	1	0.684	0.808	0.159	1.35	0.879	-0.409	-0.071	-0.24	1.599	"1"
"上述"	0	2	0	0	0.456	0.539	0.106	0.9	-0.225	1.14	-0.047	-0.519	1.931	"2"
"上面"	0	0	0	1	0.228	0.269	0.053	0.45	-0.112	-0.136	-0.024	0.347	0.619	"4"
"下台"	0	2	0	0	0.456	0.539	0.106	0.9	-0.225	1.14	-0.047	-0.519	1.931	"2"
"不信任案"	0	2	0	0	0.456	0.539	0.106	0.9	-0.225	1.14	-0.047	-0.519	1.931	"2"
"不和"	0	1	0	0	0.228	0.269	0.053	0.45	-0.112	0.57	-0.024	-0.26	0.966	"2"
"不外"	0	0	0	1	0.228	0.269	0.053	0.45	-0.112	-0.136	-0.024	0.347	0.619	"4"
"不如"	0	0	0	1	0.228	0.269	0.053	0.45	-0.112	-0.136	-0.024	0.347	0.619	"4"
"不安"	0	0	0	3	0.684	0.808	0.159	1.35	-0.337	-0.409	-0.071	1.041	1.858	"4"
"不容"	0	0	0	1	0.228	0.269	0.053	0.45	-0.112	-0.136	-0.024	0.347	0.619	"4"
"不少"	0	3	0	0	0.684	0.808	0.159	1.35	-0.337	1.709	-0.071	-0.779	2.896	"2"
