"cluster"	"sigcol"
"8"	"了解"
"8"	"民众"
"8"	"倾听"
"8"	"难得"
"8"	"联盟"
"2"	"ICM"
"2"	"研究所"
"2"	"所"
"2"	"做"
"2"	"项"
"2"	"调查"
"2"	"结果"
"2"	"显示"
"2"	"支持"
"2"	"英国人"
"8"	"解散"
"8"	"国会"
"8"	"选"
"8"	"许可"
"8"	"真实"
"8"	"反映"
"8"	"不如"
"6"	"迫"
"6"	"总统"
"6"	"解散"
"6"	"国会"
"6"	"真正"
"6"	"台湾"
"6"	"显现"
"6"	"立委"
"8"	"当政府"
"8"	"政策"
"8"	"违背"
"8"	"走向"
"8"	"亲民"
"8"	"党"
"8"	"尘埃落定"
"8"	"且"
"8"	"涵括"
"8"	"辩论"
"8"	"选民"
"8"	"民进党"
"8"	"支持度"
"8"	"况且"
"1"	"政府"
"1"	"政策"
"1"	"测验"
"1"	"根据"
"1"	"今日"
"1"	"美国报"
"1"	"根据"
"1"	"今日"
"1"	"美国报"
"1"	"有线电视"
"1"	"新闻网"
"1"	"盖洛普"
"1"	"测验"
"1"	"公佈"
"1"	"最"
"1"	"新"
"1"	"调查"
"1"	"显示"
"8"	"政党"
"8"	"轮替"
"8"	"一切"
"8"	"施政"
"8"	"民意"
"6"	"日报"
"6"	"泰国"
"8"	"施政"
"8"	"必须"
"8"	"倾听"
"8"	"了解"
"8"	"基层"
"8"	"民众"
"8"	"声音"
"8"	"亲民党"
"7"	"基础"
"7"	"希望"
"7"	"台湾"
"7"	"当局"
"7"	"领导人"
"7"	"顺应"
"7"	"採取"
"7"	"正视"
"7"	"回避"
"7"	"现实"
"7"	"态度"
"8"	"回应"
"8"	"听取"
"8"	"董建华"
"8"	"透过"
"8"	"选出"
"8"	"优秀者"
"2"	"备询"
"2"	"进行"
"2"	"调查"
"8"	"民众"
"8"	"巳"
"8"	"自由党"
"8"	"支持率"
"2"	"民众"
"2"	"所"
"2"	"公佈"
"2"	"项"
"2"	"调查"
"2"	"结果"
"2"	"显示"
"2"	"选民"
"8"	"支持度"
"8"	"新"
"8"	"赢回"
"8"	"支持"
"8"	"策"
"2"	"二十二日电"
"2"	"发佈"
"2"	"份"
"2"	"调查"
"2"	"九成"
"2"	"支"
"2"	"持"
"2"	"当前"
"2"	"政情"
"2"	"调查"
"2"	"发表会"
"2"	"台大"
"2"	"近期"
"2"	"进行"
"2"	"大规模"
"2"	"调查"
"2"	"进行"
"2"	"检讨"
"8"	"政府"
"8"	"求不得"
"8"	"违反"
"8"	"继续"
"8"	"开票"
"8"	"民主"
"8"	"选举"
"8"	"程序"
"7"	"机关"
"7"	"顺应"
"7"	"整体"
"6"	"立委"
"6"	"了解"
"6"	"阳明"
"6"	"大学"
"6"	"环境卫生"
"6"	"研究所"
"6"	"基于"
"2"	"选民"
"2"	"调查"
"2"	"施政"
"8"	"大部分"
"8"	"民意"
"8"	"总统"
"8"	"浑"
"8"	"不觉"
"8"	"检讨"
"6"	"误导"
"6"	"塑造"
"5"	"立法院"
"5"	"机关"
"5"	"副首长"
"5"	"选举"
"5"	"政党"
"5"	"提名"
"5"	"认定"
"5"	"机关"
"5"	"副首长"
"5"	"选举"
"8"	"宋楚瑜"
"8"	"表明"
"8"	"诉诸"
"8"	"推动"
"8"	"野"
"8"	"核四"
"8"	"佔"
"8"	"百分之三"
"8"	"十六点零八"
"8"	"基于"
"8"	"尊重"
"8"	"支持"
"8"	"停建"
"8"	"核四"
"8"	"在野党"
"8"	"反对"
"8"	"最"
"8"	"三党"
"8"	"领导人"
"8"	"坐下来"
"8"	"讨论"
"8"	"亲民"
"8"	"尊重"
"8"	"民意"
"8"	"罢免案"
"8"	"正当性"
"8"	"支持"
"8"	"倒阁"
"8"	"字眼"
"8"	"民意"
"8"	"改选"
"8"	"党"
"8"	"直接面"
"8"	"当然"
"8"	"政党"
"8"	"改选"
"8"	"时机"
"8"	"反应"
"8"	"在野"
"8"	"联盟"
"2"	"选情"
"2"	"自视甚高"
"2"	"调查"
"2"	"政治"
"2"	"观察家"
"8"	"连战"
"8"	"强调"
"8"	"罢免案"
"8"	"诉诸"
"8"	"风灾"
"8"	"坠机"
"8"	"许雅静"
"8"	"党"
"8"	"议题"
"8"	"诉诸"
"8"	"风灾"
"8"	"总统"
"2"	"民调"
"2"	"差距"
"2"	"多数"
"2"	"调查"
"2"	"声望"
"2"	"领先"
"2"	"根据"
"2"	"选民"
"2"	"联合"
"2"	"进行"
"2"	"调查"
"2"	"结果"
"2"	"布"
"2"	"领先"
"2"	"高尔"
"8"	"国民党"
"8"	"胡志强"
"8"	"国民党"
"8"	"依据"
"8"	"採取"
"8"	"立场"
"8"	"定"
"3"	"三党"
"3"	"会面"
"3"	"主流"
"3"	"对话"
"3"	"机制"
"3"	"会面"
