"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_6"	"exp_7"	"exp_8"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_6"	"pbin_7"	"pbin_8"	"SumAbsDev"	"LargestDev"
"118"	0	0	0	0	0	1	0	0	0.212	0.177	0.077	0.063	0.057	0.206	0.037	0.171	-0.103	-0.085	-0.035	-0.028	-0.025	0.686	-0.016	-0.081	1.059	"6"
"120"	0	0	0	0	0	0	0	1	0.212	0.177	0.077	0.063	0.057	0.206	0.037	0.171	-0.103	-0.085	-0.035	-0.028	-0.025	-0.1	-0.016	0.768	1.16	"8"
"1220"	0	1	0	0	0	0	0	0	0.212	0.177	0.077	0.063	0.057	0.206	0.037	0.171	-0.103	0.751	-0.035	-0.028	-0.025	-0.1	-0.016	-0.081	1.139	"2"
"127"	0	0	0	0	0	1	0	0	0.212	0.177	0.077	0.063	0.057	0.206	0.037	0.171	-0.103	-0.085	-0.035	-0.028	-0.025	0.686	-0.016	-0.081	1.059	"6"
"133"	1	0	0	0	0	0	0	0	0.212	0.177	0.077	0.063	0.057	0.206	0.037	0.171	0.674	-0.085	-0.035	-0.028	-0.025	-0.1	-0.016	-0.081	1.044	"1"
"1408"	0	0	0	0	0	0	1	0	0.212	0.177	0.077	0.063	0.057	0.206	0.037	0.171	-0.103	-0.085	-0.035	-0.028	-0.025	-0.1	1.432	-0.081	1.889	"7"
"142"	1	1	0	0	0	0	0	0	0.424	0.355	0.154	0.126	0.114	0.412	0.074	0.341	0.421	0.49	-0.07	-0.057	-0.051	-0.2	-0.033	-0.162	1.484	"2"
"195"	1	0	0	0	0	0	0	0	0.212	0.177	0.077	0.063	0.057	0.206	0.037	0.171	0.674	-0.085	-0.035	-0.028	-0.025	-0.1	-0.016	-0.081	1.044	"1"
"2000万"	0	0	0	0	0	1	0	0	0.212	0.177	0.077	0.063	0.057	0.206	0.037	0.171	-0.103	-0.085	-0.035	-0.028	-0.025	0.686	-0.016	-0.081	1.059	"6"
"215"	2	0	0	0	0	0	0	0	0.424	0.355	0.154	0.126	0.114	0.412	0.074	0.341	1.347	-0.17	-0.07	-0.057	-0.051	-0.2	-0.033	-0.162	2.09	"1"
"2163"	1	0	0	0	0	0	0	0	0.212	0.177	0.077	0.063	0.057	0.206	0.037	0.171	0.674	-0.085	-0.035	-0.028	-0.025	-0.1	-0.016	-0.081	1.044	"1"
"226"	0	0	0	0	0	1	0	0	0.212	0.177	0.077	0.063	0.057	0.206	0.037	0.171	-0.103	-0.085	-0.035	-0.028	-0.025	0.686	-0.016	-0.081	1.059	"6"
"238"	0	1	0	0	0	0	0	0	0.212	0.177	0.077	0.063	0.057	0.206	0.037	0.171	-0.103	0.751	-0.035	-0.028	-0.025	-0.1	-0.016	-0.081	1.139	"2"
"2563"	1	0	0	0	0	0	0	0	0.212	0.177	0.077	0.063	0.057	0.206	0.037	0.171	0.674	-0.085	-0.035	-0.028	-0.025	-0.1	-0.016	-0.081	1.044	"1"
"30％"	0	0	0	0	0	1	0	0	0.212	0.177	0.077	0.063	0.057	0.206	0.037	0.171	-0.103	-0.085	-0.035	-0.028	-0.025	0.686	-0.016	-0.081	1.059	"6"
