"","tokenlabel","cluster"
"人士/Na/ZBN_CMN_20001113_wpr/15862","人士/Na/ZBN_CMN_20001113_wpr/15862",1
"人士/Na/ZBN_CMN_20001112_wpr/21710","人士/Na/ZBN_CMN_20001112_wpr/21710",1
"人士/Na/ZBN_CMN_20010111_wpr/19374","人士/Na/ZBN_CMN_20010111_wpr/19374",1
"人士/Na/ZBN_CMN_20001012_wpr/21570","人士/Na/ZBN_CMN_20001012_wpr/21570",1
"人士/Na/ZBN_CMN_20030525_wpr/8890","人士/Na/ZBN_CMN_20030525_wpr/8890",1
"人士/Na/ZBN_CMN_20030616_wpr/24883","人士/Na/ZBN_CMN_20030616_wpr/24883",1
"人士/Na/ZBN_CMN_20030911_wpr/52801","人士/Na/ZBN_CMN_20030911_wpr/52801",1
"人们/Na/ZBN_CMN_20001012_wpr/34644","人们/Na/ZBN_CMN_20001012_wpr/34644",1
"人们/Na/ZBN_CMN_20030410_wpr/54281","人们/Na/ZBN_CMN_20030410_wpr/54281",1
"人类/Na/ZBN_CMN_20030522_wpr/47899","人类/Na/ZBN_CMN_20030522_wpr/47899",1
"人类/Na/ZBN_CMN_20030423_wpr/1286","人类/Na/ZBN_CMN_20030423_wpr/1286",1
"人士/Na/CNA_CMN_20010106_wpr/79372","人士/Na/CNA_CMN_20010106_wpr/79372",1
"人们/Na/XIN_CMN_20030921_wpr/59866","人们/Na/XIN_CMN_20030921_wpr/59866",1
"人们/Na/XIN_CMN_20010124_wpr/4334","人们/Na/XIN_CMN_20010124_wpr/4334",1
"人类/Na/XIN_CMN_20030529_wpr/20701","人类/Na/XIN_CMN_20030529_wpr/20701",1
"人们/Na/XIN_CMN_20001119_wpr/7861","人们/Na/XIN_CMN_20001119_wpr/7861",1
"人们/Na/XIN_CMN_20030612_wpr/51416","人们/Na/XIN_CMN_20030612_wpr/51416",1
"人士/Na/CNA_CMN_20001211_wpr/139884","人士/Na/CNA_CMN_20001211_wpr/139884",1
"人士/Na/CNA_CMN_20001225_wpr/834","人士/Na/CNA_CMN_20001225_wpr/834",1
"人士/Na/CNA_CMN_20001228_wpr/58147","人士/Na/CNA_CMN_20001228_wpr/58147",1
"人类/Na/CNA_CMN_20030403_wpr/2364","人类/Na/CNA_CMN_20030403_wpr/2364",1
"人们/Na/ZBN_CMN_20010108_wpr/15556","人们/Na/ZBN_CMN_20010108_wpr/15556",1
"人士/Na/ZBN_CMN_20001201_wpr/23515","人士/Na/ZBN_CMN_20001201_wpr/23515",1
"人士/Na/XIN_CMN_20030605_wpr/27431","人士/Na/XIN_CMN_20030605_wpr/27431",1
"人士/Na/ZBN_CMN_20030911_wpr/14220","人士/Na/ZBN_CMN_20030911_wpr/14220",1
